Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.78,7.85,7.66,7.84,7.3981,3091377
2025-07-23,7.83,7.83,7.655,7.77,7.3321,2491195
2025-07-24,7.85,7.91,7.8,7.88,7.4359,2330057
2025-07-25,7.86,7.96,7.83,7.92,7.4736,3709401
2025-07-28,7.94,8.04,7.94,8.01,7.5585,1441465
2025-07-29,8.11,8.45,7.87,8.09,7.634,4874703
2025-07-30,8,8.12,7.93,8.03,7.5774,2012045
2025-07-31,8.05,8.11,8.015,8.09,7.634,1536211
2025-08-01,8.02,8.045,7.845,7.9,7.4547,1809404
2025-08-04,7.89,7.92,7.76,7.77,7.3321,1778401
2025-08-05,7.83,7.92,7.77,7.9,7.4547,1968307
2025-08-06,7.85,7.91,7.8,7.87,7.4264,1171628
2025-08-07,7.82,7.96,7.78,7.96,7.5114,1500501
2025-08-08,7.99,7.99,7.83,7.84,7.3981,980481
2025-08-11,7.78,7.82,7.65,7.71,7.2754,1748391
2025-08-12,7.64,7.72,7.59,7.62,7.1905,3589638
2025-08-13,7.64,7.78,7.56,7.77,7.3321,1726390
2025-08-14,7.8,7.875,7.785,7.83,7.3887,1314222
2025-08-15,7.86,8.07,7.86,7.98,7.5302,2242846
2025-08-18,8.2,8.23,7.94,8.23,7.7661,4113250
2025-08-19,8.48,8.7,8.36,8.66,8.1719,6139370
2025-08-20,8.68,8.75,8.44,8.49,8.0115,3914169
2025-08-21,8.6,8.82,8.52,8.82,8.3229,4352290
2025-08-22,8.81,9,8.71,8.9,8.3984,3716621
2025-08-25,8.9,8.97,8.795,8.95,8.4456,3763989
2025-08-26,8.95,9.17,8.94,9.17,8.6532,4594492
2025-08-27,9.18,9.31,9.15,9.29,8.7664,2605023
2025-08-28,9.31,9.78,9.29,9.57,9.0306,6219152
2025-08-29,9.46,9.71,9.39,9.6,9.0589,4011481
2025-09-01,9.55,9.65,9.53,9.53,8.9929,1945957
2025-09-02,9.5,9.61,9.28,9.28,8.757,2065710
2025-09-03,9.18,9.29,9.06,9.19,8.672,1409139
2025-09-04,9.12,9.24,9.05,9.21,8.6909,2409637
2025-09-05,9.24,9.27,9.18,9.19,8.672,852290
2025-09-08,9.2,9.25,9.12,9.14,8.6248,920053
2025-09-09,9.11,9.175,9.08,9.14,8.6248,1095311
2025-09-10,9.18,9.31,9.15,9.27,8.7475,998923
2025-09-11,9.29,9.31,9.18,9.22,8.7003,997703
2025-09-12,9.24,9.29,9.12,9.15,8.6343,1833564
2025-09-15,9.12,9.23,9.1,9.1,8.5871,1152455
2025-09-16,9.19,9.27,9.14,9.16,8.6437,2306851
2025-09-17,9.15,9.15,8.92,8.96,8.455,1340607
2025-09-18,8.87,8.87,8.63,8.75,8.3376,1593016
2025-09-19,8.79,8.81,8.49,8.51,8.1089,3301404
2025-09-22,8.49,8.55,8.43,8.47,8.0708,1022202
2025-09-23,8.43,8.5,8.36,8.5,8.0993,1085522
2025-09-24,8.43,8.63,8.37,8.58,8.1756,1551639
2025-09-25,8.54,8.63,8.45,8.49,8.0898,906455
2025-09-26,8.44,8.48,8.35,8.37,7.9755,1137815
2025-09-29,8.44,8.66,8.44,8.62,8.2137,1937891
2025-09-30,8.6,8.74,8.6,8.63,8.2232,1502234
2025-10-01,8.75,9.12,8.73,9.08,8.652,2421726
2025-10-02,9.04,9.21,9.01,9.06,8.6329,1192097
2025-10-03,9.07,9.11,8.86,8.86,8.4424,1149622
2025-10-06,8.89,8.94,8.81,8.81,8.3947,567518
2025-10-07,8.82,8.94,8.77,8.83,8.4138,1503950
2025-10-08,8.83,8.93,8.65,8.85,8.4328,1117698
2025-10-09,8.88,8.96,8.81,8.94,8.5186,1097770
2025-10-10,8.93,9.06,8.825,9,8.5758,1175426
2025-10-13,8.9,9.1,8.84,9.02,8.5948,1466684
2025-10-14,8.95,9.19,8.85,9.19,8.7568,1834639
2025-10-15,9.2,9.34,9.19,9.28,8.8426,2326849
2025-10-16,9.42,9.6,9.2,9.46,9.0141,3271241
2025-10-17,9.4,9.4,9.14,9.2,8.7663,1246217
2025-10-20,9.2,9.34,9.08,9.16,8.7282,2156543
2025-10-21,9.13,9.27,9.13,9.17,8.7378,634867
2025-10-22,9.14,9.18,9.01,9.1,8.6711,782969
2025-10-23,9.1,9.24,9.035,9.23,8.7949,886924
2025-10-24,9.23,9.26,9.1,9.1,8.6711,722275
2025-10-27,9.22,9.22,9,9,8.5758,495394
2025-10-28,9.17,9.3,9.105,9.21,8.7759,885906
2025-10-29,9.26,9.485,9.22,9.33,8.8902,1380958
2025-10-30,9.28,9.44,9.26,9.37,8.9283,991722
2025-10-31,9.37,9.545,9.34,9.53,9.0808,1698341
2025-11-03,9.5,9.63,9.5,9.62,9.1666,1627962
2025-11-04,9.63,9.67,9.475,9.6,9.1475,1074566
2025-11-05,9.62,9.65,9.47,9.6,9.1475,1268496
2025-11-06,9.62,9.63,9.4,9.42,8.976,1187510
2025-11-07,9.45,9.53,9.31,9.34,8.8997,650875
2025-11-10,9.49,9.51,9.415,9.46,9.0141,837877
2025-11-11,9.48,9.48,9.32,9.4,8.9569,708589
2025-11-12,9.4,9.48,9.24,9.39,8.9474,1009563
2025-11-13,9.4,9.47,9.305,9.4,8.9569,1267955
2025-11-14,9.36,9.37,9.18,9.22,8.7854,772217
2025-11-17,9.13,9.29,9.11,9.28,8.8426,2115467
2025-11-18,9.27,9.52,9.26,9.44,8.995,1857947
2025-11-19,9.44,9.49,9.22,9.22,8.7854,1812377
2025-11-20,9.5,9.5,8.79,9.3,8.8616,4784908
2025-11-21,9.16,9.475,9.12,9.36,8.9188,1951176
2025-11-24,9.43,9.45,9.275,9.35,8.9093,1613967
2025-11-25,9.31,9.5,9.28,9.47,9.0236,1824125
2025-11-26,9.5,9.625,9.43,9.57,9.1189,2539792
2025-11-27,9.62,9.63,9.49,9.62,9.1666,1514502
2025-11-28,9.62,9.64,9.53,9.59,9.138,864116
2025-12-01,9.5,9.57,9.32,9.32,8.8807,2044930
2025-12-02,9.27,9.49,9.27,9.37,8.9283,1062090
2025-12-03,9.25,9.44,9.22,9.39,8.9474,1349224
2025-12-04,9.26,9.41,9.26,9.36,8.9188,708497
2025-12-05,9.36,9.36,9.18,9.23,8.7949,1066437
2025-12-08,9.13,9.21,9.02,9.06,8.6329,890265
2025-12-09,9.02,9.06,8.92,8.98,8.5567,1246399
2025-12-10,9,9,8.79,8.79,8.3757,1680619
2025-12-11,8.74,8.835,8.67,8.76,8.3471,1623832
2025-12-12,8.86,8.92,8.79,8.81,8.3947,789460
2025-12-15,8.72,9.04,8.72,9.04,8.6139,1656885
2025-12-16,9,9.26,8.99,9.2,8.7663,1335737
2025-12-17,9.2,9.25,9.05,9.05,8.6234,980344
2025-12-18,8.92,9.01,8.86,8.93,8.5091,1792819
2025-12-19,8.95,9.04,8.87,9.04,8.6139,2381610
2025-12-22,9.02,9.285,9.01,9.19,8.7568,1756071
2025-12-23,9.19,9.31,9.15,9.23,8.7949,716392
2025-12-24,9.16,9.28,9.16,9.25,8.814,382714
2025-12-29,9.25,9.25,9.17,9.2,8.7663,545052
2025-12-30,9.25,9.33,9.21,9.32,8.8807,379752
2025-12-31,9.22,9.34,9.18,9.21,8.7759,391601
2026-01-02,9.2,9.28,9.18,9.18,8.7473,364890
2026-01-05,9.2,9.315,9.17,9.24,8.8045,550132
2026-01-06,9.24,9.28,9.05,9.05,8.6234,961096
2026-01-07,9.02,9.15,9,9.07,8.6425,707059
2026-01-08,9.01,9.22,9.01,9.16,8.7282,1028591
2026-01-09,9.19,9.28,9.17,9.18,8.7473,650003
2026-01-12,9.18,9.205,9.105,9.14,8.7092,1888747
2026-01-13,9.19,9.24,9.13,9.2,8.7663,1880809
2026-01-14,9.23,9.34,9.15,9.31,8.8712,3142020
2026-01-15,9.27,9.47,9.27,9.4,8.9569,1030020
2026-01-16,9.31,9.48,9.31,9.4,8.9569,1492109
2026-01-19,9.3,9.4,8.01,8.3,7.9088,3258666
2026-01-20,8.4,8.51,8,8.37,7.9755,3994238
2026-01-21,8.35,8.35,8.06,8.09,7.7087,2142846
2026-01-22,8.12,8.59,8.12,8.53,8.1279,2677993
2026-01-23,8.38,8.59,8.18,8.18,7.7944,2297102
2026-01-27,8.38,8.63,8.29,8.39,7.9945,1946195
2026-01-28,8.38,8.47,8.27,8.34,7.9469,1192309
2026-01-29,8.33,8.45,8.2,8.45,8.0517,1268125
2026-01-30,8.43,8.515,8.32,8.47,8.0708,1242600
2026-02-02,8.41,8.62,8.37,8.6,8.1946,1407396
2026-02-03,8.75,8.88,8.53,8.58,8.1756,1405157
2026-02-04,8.55,8.63,8.46,8.56,8.1565,1034464
2026-02-05,8.67,8.75,8.43,8.53,8.1279,900938
2026-02-06,8.49,8.51,8.23,8.25,7.8611,1205474
2026-02-09,8.24,8.515,8.24,8.43,8.0326,1085895
2026-02-10,8.44,8.51,8.37,8.4,8.0041,1008547
2026-02-11,8.41,8.7,8.31,8.66,8.2518,1126805
2026-02-12,8.64,8.7,8.49,8.57,8.166,1362999
2026-02-13,8.58,8.69,8.5,8.52,8.1184,1239668
2026-02-16,9.4,9.6,8.76,9.1,8.6711,5715805
2026-02-17,9.15,9.68,9.12,9.67,9.2142,3595926
2026-02-18,9.67,9.92,9.6,9.69,9.2333,2633769
2026-02-19,9.69,9.73,9.43,9.63,9.1761,1646065
2026-02-20,9.48,9.57,9.36,9.46,9.0141,1803104
2026-02-23,9.45,9.45,9.255,9.44,8.995,1609230
2026-02-24,9.39,9.5,9.34,9.45,9.0046,1657965
2026-02-25,9.47,9.57,9.34,9.51,9.0617,818179
2026-02-26,9.49,9.7,9.43,9.64,9.1856,1441206
2026-02-27,9.67,9.73,9.63,9.73,9.2714,2072983
2026-03-02,9.6,9.83,9.53,9.83,9.3667,1146988
2026-03-03,9.79,9.96,9.705,9.76,9.3,1327990
2026-03-04,9.72,9.81,9.6,9.6,9.1475,1221092
2026-03-05,9.67,9.95,9.67,9.91,9.4429,1511630
2026-03-06,9.73,9.97,9.73,9.96,9.4905,1311593
2026-03-09,9.77,9.93,9.48,9.53,9.0808,2032807
2026-03-10,9.6,9.65,9.51,9.56,9.1094,1349580
2026-03-11,9.5,9.69,9.5,9.66,9.2047,1733401
2026-03-12,9.48,9.55,9.395,9.48,9.0332,1409307
2026-03-13,9.4,9.61,9.32,9.58,9.1284,1110506
2026-03-16,9.45,9.53,9.4,9.48,9.0332,653631
2026-03-17,9.47,9.56,9.44,9.56,9.1094,597048
2026-03-18,9.55,9.69,9.47,9.66,9.2047,820771
2026-03-19,9.43,9.52,9.3,9.46,9.0908,1730549
2026-03-20,9.46,9.62,9.39,9.47,9.1004,2680936
2026-03-23,9.4,9.43,9.06,9.36,8.9947,1270030
2026-03-24,9.45,9.5,9.05,9.06,8.7064,1060585
2026-03-25,9.06,9.315,9.06,9.26,8.8986,1144150
2026-03-26,9.34,9.38,9.14,9.24,8.8794,814381
2026-03-27,9.21,9.58,9.17,9.44,9.0716,874834
2026-03-30,9.22,9.62,9.165,9.43,9.062,1969565
2026-03-31,9.42,9.68,9.355,9.57,9.1965,943608
2026-04-01,9.53,9.62,9.21,9.34,8.9755,3064724
2026-04-02,9.35,9.55,9.35,9.39,9.0236,1413031
2026-04-07,9.45,9.5,9.21,9.21,8.8506,1508437
2026-04-08,9.21,9.36,9.19,9.31,8.9467,2122240
2026-04-09,9.3,9.43,9.18,9.21,8.8506,3274545
2026-04-10,9.26,9.37,9.14,9.24,8.8794,1283552
2026-04-13,7.8,8.2,7.57,8.04,7.7262,7743047
2026-04-14,8.08,8.17,7.77,7.79,7.486,3775117
2026-04-15,7.88,7.895,7.71,7.71,7.4091,2967622
2026-04-16,7.75,7.75,7.52,7.55,7.2554,3148545
2026-04-17,7.61,7.62,7.47,7.47,7.1785,2375356
2026-04-20,7.46,7.46,7.34,7.42,7.1304,2166970
2026-04-21,7.45,7.46,7.35,7.35,7.0632,1238889
2026-04-22,7.44,7.5,7.38,7.39,7.1016,1466590
