Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.915,0.965,0.915,0.94,0.94,14844653
2025-07-23,0.95,0.96,0.935,0.945,0.945,2040101
2025-07-24,0.94,0.955,0.925,0.945,0.945,1256537
2025-07-25,0.95,0.96,0.93,0.955,0.955,902735
2025-07-28,0.96,0.97,0.925,0.94,0.94,710486
2025-07-29,0.94,0.945,0.92,0.93,0.93,328341
2025-07-30,0.93,0.94,0.925,0.93,0.93,8906443
2025-07-31,0.93,0.94,0.875,0.875,0.875,1620867
2025-08-01,0.865,0.88,0.85,0.855,0.855,1774687
2025-08-04,0.85,0.875,0.85,0.865,0.865,883661
2025-08-05,0.87,0.91,0.865,0.87,0.87,1221146
2025-08-06,0.88,0.89,0.865,0.875,0.875,838737
2025-08-07,0.87,0.895,0.86,0.87,0.87,1264384
2025-08-08,0.875,0.895,0.855,0.885,0.885,1043810
2025-08-11,0.885,0.935,0.885,0.935,0.935,1712390
2025-08-12,0.935,0.94,0.915,0.935,0.935,1022912
2025-08-13,0.94,0.9675,0.9375,0.96,0.96,1167122
2025-08-14,0.96,0.975,0.945,0.955,0.955,2182714
2025-08-15,0.95,0.98,0.945,0.98,0.98,1981085
2025-08-18,0.97,0.99,0.965,0.97,0.97,8845302
2025-08-19,0.975,0.975,0.95,0.955,0.955,607503
2025-08-20,0.955,0.965,0.925,0.935,0.935,940381
2025-08-21,0.935,0.97,0.935,0.965,0.965,1735081
2025-08-22,0.96,0.97,0.95,0.96,0.96,3166894
2025-08-25,0.98,1.01,0.97,0.975,0.975,2731268
2025-08-26,0.975,0.98,0.96,0.97,0.97,2161584
2025-08-27,0.955,0.98,0.955,0.97,0.97,1211102
2025-08-28,0.975,0.985,0.955,0.97,0.97,666873
2025-08-29,0.965,0.975,0.955,0.965,0.965,1508875
2025-09-01,0.965,0.97,0.925,0.935,0.935,3081122
2025-09-02,0.925,0.95,0.925,0.935,0.935,1283897
2025-09-03,0.935,0.955,0.875,0.875,0.875,1682175
2025-09-04,0.885,0.915,0.855,0.865,0.865,2010166
2025-09-05,0.865,0.87,0.835,0.855,0.855,1272161
2025-09-08,0.865,0.89,0.855,0.875,0.875,1192184
2025-09-09,0.875,0.89,0.86,0.87,0.87,720713
2025-09-10,0.87,0.87,0.83,0.835,0.835,1198448
2025-09-11,0.845,0.865,0.83,0.855,0.855,1228741
2025-09-12,0.855,0.87,0.835,0.84,0.84,695180
2025-09-15,0.84,0.87,0.84,0.87,0.87,659024
2025-09-16,0.875,0.89,0.87,0.88,0.88,529216
2025-09-17,0.87,0.88,0.855,0.86,0.86,746302
2025-09-18,0.86,0.895,0.855,0.885,0.885,652694
2025-09-19,0.885,0.9,0.88,0.895,0.895,2848071
2025-09-22,0.9,0.9,0.875,0.875,0.875,1593991
2025-09-23,0.875,0.905,0.875,0.89,0.89,1385212
2025-09-24,0.885,0.885,0.86,0.87,0.87,477726
2025-09-25,0.88,0.885,0.86,0.87,0.87,1003755
2025-09-26,0.86,0.87,0.84,0.845,0.845,579681
2025-09-29,0.85,0.855,0.835,0.85,0.85,440878
2025-09-30,0.85,0.85,0.825,0.825,0.825,850068
2025-10-01,0.85,0.85,0.815,0.82,0.82,1366900
2025-10-02,0.83,0.8375,0.81,0.82,0.82,628085
2025-10-03,0.825,0.835,0.82,0.825,0.825,576089
2025-10-06,0.825,0.83,0.805,0.825,0.825,466849
2025-10-07,0.815,0.8225,0.795,0.8,0.8,782838
2025-10-08,0.8,0.8,0.78,0.8,0.8,953835
2025-10-09,0.8,0.83,0.7975,0.805,0.805,772397
2025-10-10,0.805,0.81,0.79,0.8,0.8,656743
2025-10-13,0.805,0.805,0.765,0.765,0.765,1037409
2025-10-14,0.775,0.8025,0.7725,0.79,0.79,1705572
2025-10-15,0.81,0.835,0.8,0.83,0.83,1031580
2025-10-16,0.83,0.84,0.81,0.825,0.825,1131772
2025-10-17,0.825,0.825,0.78,0.78,0.78,899819
2025-10-20,0.8,0.8,0.76,0.76,0.76,1198165
2025-10-21,0.8,0.805,0.7775,0.8,0.8,655912
2025-10-22,0.795,0.8075,0.785,0.795,0.795,727446
2025-10-23,0.795,0.8025,0.785,0.8,0.8,552922
2025-10-24,0.805,0.815,0.79,0.8,0.8,1282795
2025-10-27,0.81,0.81,0.795,0.8,0.8,409702
2025-10-28,0.8,0.8,0.77,0.78,0.78,603002
2025-10-29,0.78,0.78,0.755,0.755,0.755,535756
2025-10-30,0.75,0.785,0.745,0.785,0.785,859021
2025-10-31,0.785,0.7975,0.7775,0.79,0.79,598621
2025-11-03,0.77,0.77,0.7475,0.75,0.75,962427
2025-11-04,0.75,0.76,0.74,0.75,0.75,767672
2025-11-05,0.755,0.755,0.725,0.73,0.73,531415
2025-11-06,0.75,0.76,0.74,0.75,0.75,1367222
2025-11-07,0.755,0.76,0.745,0.75,0.75,542735
2025-11-10,0.775,0.8,0.77,0.79,0.79,462219
2025-11-11,0.8,0.805,0.78,0.805,0.805,1142434
2025-11-12,0.795,0.805,0.765,0.77,0.77,1072680
2025-11-13,0.77,0.775,0.76,0.76,0.76,606046
2025-11-14,0.745,0.7525,0.725,0.74,0.74,762545
2025-11-17,0.75,0.76,0.735,0.755,0.755,1118716
2025-11-18,0.755,0.765,0.735,0.74,0.74,1014097
2025-11-19,0.735,0.75,0.73,0.73,0.73,852341
2025-11-20,0.73,0.7475,0.73,0.73,0.73,642554
2025-11-21,0.725,0.73,0.71,0.72,0.72,798498
2025-11-24,0.72,0.7425,0.72,0.735,0.735,2523123
2025-11-25,0.74,0.74,0.7175,0.72,0.72,770349
2025-11-26,0.72,0.74,0.72,0.735,0.735,293695
2025-11-27,0.73,0.74,0.725,0.74,0.74,427772
2025-11-28,0.74,0.765,0.735,0.755,0.755,1002465
2025-12-01,0.755,0.77,0.75,0.765,0.765,534917
2025-12-02,0.765,0.7775,0.76,0.775,0.775,484501
2025-12-03,0.765,0.78,0.72,0.725,0.725,1321493
2025-12-04,0.725,0.74,0.72,0.725,0.725,581212
2025-12-05,0.725,0.735,0.715,0.735,0.735,908243
2025-12-08,0.735,0.745,0.725,0.73,0.73,1976159
2025-12-09,0.73,0.735,0.715,0.72,0.72,1102103
2025-12-10,0.72,0.72,0.7025,0.72,0.72,747610
2025-12-11,0.715,0.725,0.695,0.695,0.695,1520307
2025-12-12,0.7,0.72,0.7,0.71,0.71,309211
2025-12-15,0.71,0.7325,0.7025,0.71,0.71,1785725
2025-12-16,0.715,0.72,0.6925,0.7,0.7,1134564
2025-12-17,0.715,0.715,0.665,0.7,0.7,2785083
2025-12-18,0.695,0.705,0.68,0.695,0.695,558567
2025-12-19,0.7,0.715,0.7,0.715,0.715,1200862
2025-12-22,0.715,0.745,0.71,0.735,0.735,1289125
2025-12-23,0.735,0.75,0.73,0.745,0.745,616615
2025-12-24,0.75,0.75,0.7375,0.74,0.74,377802
2025-12-29,0.74,0.785,0.735,0.78,0.78,1171099
2025-12-30,0.79,0.79,0.76,0.775,0.775,645679
2025-12-31,0.78,0.795,0.76,0.775,0.775,4070651
2026-01-02,0.765,0.7775,0.75,0.77,0.77,1266952
2026-01-05,0.78,0.78,0.76,0.775,0.775,1202275
2026-01-06,0.77,0.825,0.77,0.82,0.82,1356489
2026-01-07,0.82,0.8425,0.8175,0.835,0.835,1567239
2026-01-08,0.83,0.855,0.815,0.83,0.83,2427338
2026-01-09,0.835,0.865,0.815,0.845,0.845,2320240
2026-01-12,0.87,0.875,0.84,0.845,0.845,2373372
