Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,1.45,1.455,1.42,1.42,1.42,136464
2025-04-28,1.42,1.45,1.42,1.45,1.45,21804
2025-04-29,1.45,1.45,1.43,1.43,1.43,28755
2025-04-30,1.45,1.45,1.43,1.43,1.43,30638
2025-05-01,1.435,1.45,1.43,1.45,1.45,66569
2025-05-02,1.45,1.49,1.45,1.49,1.49,191676
2025-05-05,1.49,1.49,1.45,1.465,1.465,47738
2025-05-06,1.44,1.48,1.44,1.48,1.48,78791
2025-05-07,1.48,1.49,1.46,1.48,1.48,61485
2025-05-08,1.49,1.505,1.465,1.49,1.49,155765
2025-05-09,1.52,1.57,1.5,1.57,1.57,312553
2025-05-12,1.57,1.57,1.485,1.505,1.505,145746
2025-05-13,1.51,1.565,1.5,1.525,1.525,115680
2025-05-14,1.515,1.52,1.5,1.52,1.52,23604
2025-05-15,1.53,1.53,1.5,1.52,1.52,45210
2025-05-16,1.5,1.535,1.495,1.495,1.495,203168
2025-05-19,1.5,1.505,1.4275,1.465,1.465,304173
2025-05-20,1.47,1.48,1.445,1.48,1.48,123978
2025-05-21,1.48,1.48,1.44,1.44,1.44,171018
2025-05-22,1.5,1.5,1.415,1.45,1.45,296930
2025-05-23,1.44,1.44,1.3925,1.405,1.405,261462
2025-05-26,1.415,1.445,1.39,1.425,1.425,371377
2025-05-27,1.425,1.43,1.36,1.375,1.375,447512
2025-05-28,1.375,1.375,1.34,1.345,1.345,344572
2025-05-29,1.38,1.395,1.355,1.375,1.375,559282
2025-05-30,1.39,1.395,1.36,1.38,1.38,229079
2025-06-02,1.38,1.385,1.36,1.37,1.37,363917
2025-06-03,1.38,1.395,1.36,1.37,1.37,236729
2025-06-04,1.38,1.39,1.365,1.38,1.38,910184
2025-06-05,1.38,1.39,1.37,1.38,1.38,188373
2025-06-06,1.37,1.385,1.355,1.37,1.37,199482
2025-06-10,1.375,1.39,1.37,1.37,1.37,150056
2025-06-11,1.38,1.41,1.36,1.385,1.385,381995
2025-06-12,1.4,1.4,1.355,1.38,1.38,285239
2025-06-13,1.365,1.395,1.365,1.395,1.395,225267
2025-06-16,1.39,1.4,1.38,1.395,1.395,233798
2025-06-17,1.395,1.405,1.37,1.385,1.385,433505
2025-06-18,1.38,1.415,1.38,1.385,1.385,461251
2025-06-19,1.42,1.42,1.365,1.39,1.39,328460
2025-06-20,1.39,1.4,1.375,1.4,1.4,5862276
2025-06-23,1.4,1.405,1.37,1.395,1.395,827165
2025-06-24,1.385,1.42,1.385,1.405,1.405,185323
2025-06-25,1.42,1.42,1.39,1.405,1.405,204578
2025-06-26,1.4,1.42,1.395,1.405,1.405,195824
2025-06-27,1.4,1.42,1.39,1.4,1.4,301349
2025-06-30,1.4,1.41,1.375,1.38,1.38,215301
2025-07-01,1.39,1.405,1.37,1.375,1.375,118129
2025-07-02,1.39,1.39,1.36,1.375,1.375,178132
2025-07-03,1.365,1.38,1.36,1.375,1.375,116997
2025-07-04,1.37,1.385,1.36,1.36,1.36,153938
2025-07-07,1.38,1.38,1.365,1.365,1.365,93531
2025-07-08,1.375,1.38,1.37,1.375,1.375,42313
2025-07-09,1.38,1.38,1.365,1.365,1.365,189837
