Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,6.1,6.27,5.98,6.17,6.17,219399
2025-04-28,6.22,6.34,6.11,6.11,6.11,251434
2025-04-29,6.13,6.25,6.02,6.06,6.06,180424
2025-04-30,6.12,6.17,5.95,6.14,6.14,203890
2025-05-01,6.14,6.24,6.01,6.07,6.07,151054
2025-05-02,6.15,6.25,6.01,6.06,6.06,220160
2025-05-05,6.18,6.23,5.99,6.04,6.04,180633
2025-05-06,6,6.04,5.9,6,6,132159
2025-05-07,5.95,6.11,5.86,6.1,6.1,284956
2025-05-08,6.15,6.23,6.02,6.19,6.19,254960
2025-05-09,6.2,6.26,6.12,6.19,6.19,154124
2025-05-12,6.2,6.22,6.11,6.19,6.19,145463
2025-05-13,6.3,6.79,6.3,6.72,6.72,424164
2025-05-14,6.72,7.24,6.68,7.07,7.07,389779
2025-05-15,7.07,7.46,7,7.31,7.31,453900
2025-05-16,7.36,7.44,6.95,7.14,7.14,271650
2025-05-19,7.13,7.25,6.96,6.97,6.97,220861
2025-05-20,6.99,7.295,6.99,7.23,7.23,299508
2025-05-21,7.23,7.37,7.11,7.27,7.27,366645
2025-05-22,7.2,7.34,7.15,7.21,7.21,202985
2025-05-23,7.19,7.46,7.16,7.45,7.45,134995
2025-05-26,7.45,7.83,7.38,7.59,7.59,428281
2025-05-27,7.76,7.82,7.375,7.56,7.56,198474
2025-05-28,7.65,7.79,7.56,7.64,7.64,152832
2025-05-29,7.66,7.97,7.66,7.9,7.9,328819
2025-05-30,7.85,8,7.82,7.95,7.95,171353
2025-06-02,7.89,7.9,7.58,7.7,7.7,196446
2025-06-03,7.68,7.68,6.95,6.99,6.99,324042
2025-06-04,7.1,7.29,7.02,7.12,7.12,224680
2025-06-05,7.15,7.33,7.1,7.31,7.31,151482
2025-06-06,7.4,7.45,7.15,7.15,7.15,126316
2025-06-10,7.23,7.29,7.09,7.17,7.17,68093
2025-06-11,7.25,7.65,7.19,7.45,7.45,164938
2025-06-12,7.56,7.65,7.21,7.39,7.39,240541
2025-06-13,7.39,7.39,7.21,7.3,7.3,115351
2025-06-16,7.23,7.29,6.91,7.07,7.07,248765
2025-06-17,7.15,7.19,6.95,7.02,7.02,210379
2025-06-18,6.95,7.29,6.9,7.11,7.11,157868
2025-06-19,7.15,7.15,6.94,7.06,7.06,101365
2025-06-20,7.02,7.19,6.97,7.18,7.18,166121
2025-06-23,7.18,7.18,6.84,7.02,7.02,164563
2025-06-24,7.02,7.23,6.84,6.91,6.91,165002
2025-06-25,6.91,7.13,6.9,7.1,7.1,156627
2025-06-26,7.1,7.21,6.91,7.14,7.14,309364
2025-06-27,7.2,7.56,7.02,7.4,7.4,266591
2025-06-30,7.5,7.69,7.29,7.48,7.48,190287
2025-07-01,7.49,7.49,7.2,7.25,7.25,258893
2025-07-02,7.25,7.37,6.84,6.99,6.99,278869
2025-07-03,6.99,7.09,6.77,6.8,6.8,206056
2025-07-04,6.86,7.1,6.76,6.8,6.8,173121
2025-07-07,6.78,6.79,6.41,6.52,6.52,276150
2025-07-08,6.47,6.61,6.35,6.42,6.42,205462
2025-07-09,6.5,6.71,6.35,6.59,6.59,300992
2025-07-10,6.8,6.87,6.38,6.46,6.46,269165
2025-07-11,6.5,6.71,6.47,6.55,6.55,187523
2025-07-14,6.6,6.7,6.5,6.54,6.54,461159
2025-07-15,6.62,6.79,6.55,6.73,6.73,187209
2025-07-16,6.75,6.88,6.64,6.7,6.7,194942
2025-07-17,6.66,6.79,6.52,6.67,6.67,119241
2025-07-18,6.65,6.94,6.65,6.79,6.79,254269
2025-07-21,6.71,6.75,6.515,6.6,6.6,150307
2025-07-22,6.63,6.69,6.18,6.2,6.2,433221
2025-07-23,6.22,6.38,6.08,6.18,6.18,333675
2025-07-24,6.28,6.39,6.2,6.25,6.25,200836
2025-07-25,6.41,6.41,6.2,6.3,6.3,231500
2025-07-28,6.3,6.46,6.21,6.38,6.38,292839
2025-07-29,6.35,6.36,6.18,6.28,6.28,152826
2025-07-30,6.27,6.37,6.14,6.16,6.16,187773
2025-07-31,6.08,6.33,5.96,6.15,6.15,595112
2025-08-01,6.2,6.32,6.08,6.25,6.25,144709
2025-08-04,6.17,6.23,6.08,6.08,6.08,182118
2025-08-05,6.21,6.215,6.055,6.14,6.14,348208
2025-08-06,6.1,6.51,6.08,6.47,6.47,373061
2025-08-07,6.47,6.63,6.35,6.56,6.56,178269
2025-08-08,6.52,6.655,6.39,6.52,6.52,129738
2025-08-11,6.44,6.58,6.325,6.47,6.47,172170
2025-08-12,6.3,6.3,5.82,5.82,5.82,1119834
2025-08-13,5.85,5.88,5.56,5.6,5.6,652553
2025-08-14,5.65,5.84,5.56,5.79,5.79,376920
2025-08-15,5.81,6.13,5.73,6.07,6.07,477218
2025-08-18,5.46,5.7,4.735,4.81,4.81,2997651
2025-08-19,4.87,5.26,4.83,5.21,5.21,1731806
2025-08-20,5.22,5.26,4.96,5.1,5.1,695343
2025-08-21,5.07,5.3,5,5.05,5.05,1161434
2025-08-22,4.99,5,4.77,4.92,4.92,1150240
2025-08-25,4.92,5.03,4.83,4.93,4.93,1019213
2025-08-26,4.9,4.94,4.83,4.89,4.89,462954
2025-08-27,4.88,4.88,4.7,4.71,4.71,713277
2025-08-28,4.72,4.855,4.67,4.78,4.78,606472
2025-08-29,4.78,4.83,4.72,4.72,4.72,460808
2025-09-01,4.7,4.7,4.5,4.57,4.57,636589
2025-09-02,4.54,4.65,4.52,4.63,4.63,401528
2025-09-03,4.58,4.76,4.47,4.6,4.6,765888
2025-09-04,4.61,4.75,4.61,4.66,4.66,467982
2025-09-05,4.7,4.78,4.68,4.74,4.74,285963
2025-09-08,4.75,4.82,4.67,4.82,4.82,429322
2025-09-09,4.78,4.85,4.67,4.67,4.67,483966
