Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,9.79,9.925,9.79,9.89,9.0967,2842244
2025-07-23,9.95,9.99,9.82,9.86,9.0691,2720371
2025-07-24,9.88,9.92,9.75,9.78,8.9955,1508125
2025-07-25,9.78,9.83,9.725,9.78,8.9955,1310042
2025-07-28,9.77,9.79,9.71,9.78,8.9955,1267813
2025-07-29,9.77,9.8,9.69,9.73,8.9496,1370528
2025-07-30,9.74,9.84,9.71,9.71,8.9312,2486700
2025-07-31,9.71,9.77,9.685,9.72,8.9404,1886526
2025-08-01,9.72,9.79,9.65,9.76,8.9772,3586991
2025-08-04,9.79,9.94,9.75,9.9,9.1059,1641421
2025-08-05,9.97,10.03,9.95,10,9.1979,2246304
2025-08-06,10.03,10.04,9.93,9.94,9.1427,1584565
2025-08-07,9.94,10.09,9.91,10.07,9.2623,2054254
2025-08-08,10.06,10.12,10.01,10.11,9.2991,1954158
2025-08-11,10.11,10.12,10.035,10.04,9.2347,1367803
2025-08-12,10.04,10.265,9.995,10.22,9.4003,3486470
2025-08-13,9.5,9.5,8.7,8.88,8.1677,20806251
2025-08-14,9.02,9.225,8.93,9.07,8.3425,9205953
2025-08-15,9.1,9.125,8.71,8.71,8.0114,12971739
2025-08-18,8.75,8.89,8.72,8.72,8.0206,8155553
2025-08-19,8.75,8.81,8.67,8.67,7.9746,5994950
2025-08-20,8.71,8.74,8.63,8.66,7.9654,6186600
2025-08-21,8.67,8.72,8.54,8.54,7.855,7715923
2025-08-22,8.51,8.63,8.5,8.57,7.8826,5608406
2025-08-25,8.62,8.63,8.46,8.46,7.7814,9489434
2025-08-26,8.04,8.22,8.03,8.12,7.6961,8030525
2025-08-27,8.09,8.25,8.07,8.21,7.7814,6837975
2025-08-28,8.24,8.27,8.03,8.03,7.6108,5243350
2025-08-29,8.08,8.35,8.08,8.23,7.8004,6002374
2025-09-01,8.21,8.3,8.18,8.28,7.8478,3650690
2025-09-02,8.27,8.29,8.18,8.22,7.7909,2738595
2025-09-03,8.17,8.24,8.12,8.17,7.7435,3901035
2025-09-04,8.2,8.24,8.16,8.23,7.8004,2356577
2025-09-05,8.24,8.32,8.21,8.23,7.8004,5116230
2025-09-08,8.25,8.28,8.18,8.23,7.8004,2604836
