Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.1,7.1,6.925,6.95,6.8347,479924
2025-07-23,6.98,7,6.9,6.96,6.8446,1056819
2025-07-24,6.98,7.01,6.96,6.97,6.8544,459970
2025-07-25,6.99,7.07,6.98,7.01,6.8937,364529
2025-07-28,7.03,7.175,7.03,7.12,7.0019,579937
2025-07-29,7.08,7.15,6.98,7.02,6.9036,506212
2025-07-30,7.04,7.05,6.97,7.02,6.9036,604151
2025-07-31,7.02,7.02,6.91,6.98,6.8642,835185
2025-08-01,6.93,6.93,6.84,6.89,6.7757,763687
2025-08-04,6.85,6.96,6.85,6.9,6.7856,321382
2025-08-05,6.95,7.02,6.91,6.99,6.8741,400753
2025-08-06,7.01,7.01,6.89,6.94,6.8249,741962
2025-08-07,6.91,6.94,6.9,6.92,6.8052,427257
2025-08-08,6.99,7.01,6.93,6.95,6.8347,343486
2025-08-11,6.96,7.05,6.95,6.97,6.8544,750536
2025-08-12,6.95,7.02,6.915,6.94,6.8249,810695
2025-08-13,6.97,7.01,6.9,6.94,6.8249,794739
2025-08-14,6.94,7.01,6.89,6.98,6.8642,774134
2025-08-15,6.95,7.03,6.95,7.03,6.9134,489936
2025-08-18,6.98,7.015,6.955,6.99,6.8741,510671
2025-08-19,6.97,7,6.93,6.99,6.8741,517005
2025-08-20,7,7.095,6.99,7.09,6.9724,524585
2025-08-21,6.97,7.04,6.8,7,6.8839,1307485
2025-08-22,6.9,6.98,6.82,6.9,6.7856,930214
2025-08-25,6.85,6.98,6.85,6.94,6.8249,704280
2025-08-26,6.94,6.97,6.72,6.84,6.7266,1396727
2025-08-27,6.86,6.9,6.83,6.86,6.7462,704787
2025-08-28,6.86,6.86,6.78,6.86,6.7462,356346
2025-08-29,6.85,6.86,6.79,6.83,6.7167,734707
2025-09-01,6.85,6.87,6.79,6.83,6.7167,474576
2025-09-02,6.84,6.89,6.8,6.85,6.7364,409040
2025-09-03,6.82,6.82,6.72,6.74,6.6282,558323
2025-09-04,6.76,6.84,6.76,6.83,6.7167,543027
2025-09-05,6.85,6.87,6.815,6.82,6.7069,684067
2025-09-08,6.88,6.88,6.74,6.76,6.6479,675438
2025-09-09,6.75,6.83,6.745,6.8,6.6872,799432
2025-09-10,6.81,6.89,6.81,6.87,6.7561,327033
2025-09-11,6.83,6.92,6.82,6.9,6.7856,629180
2025-09-12,6.88,6.98,6.88,6.91,6.7954,369972
2025-09-15,6.94,7.05,6.91,7.04,6.9232,547566
2025-09-16,7.06,7.07,6.985,7.06,6.9429,488674
2025-09-17,7.03,7.04,6.94,6.98,6.9257,563440
2025-09-18,6.95,6.98,6.87,6.88,6.8265,826479
2025-09-19,6.85,7.09,6.85,7.09,7.0349,1593096
2025-09-22,7.01,7.03,6.86,6.86,6.8067,698535
2025-09-23,6.88,6.94,6.84,6.92,6.8662,263916
2025-09-24,6.88,6.94,6.82,6.84,6.7868,584940
2025-09-25,6.8,6.885,6.8,6.86,6.8067,320260
2025-09-26,6.82,6.86,6.725,6.79,6.7372,741950
2025-09-29,6.79,6.82,6.67,6.75,6.6975,564963
2025-09-30,6.7,6.82,6.605,6.81,6.7571,1225419
2025-10-01,6.81,6.93,6.725,6.9,6.8464,689105
2025-10-02,6.91,7.05,6.91,7,6.9456,443186
2025-10-03,6.99,7.05,6.95,7.02,6.9654,360784
2025-10-06,7.06,7.06,6.91,7.02,6.9654,482714
2025-10-07,6.98,7.03,6.9,6.95,6.896,460307
2025-10-08,7.03,7.05,6.98,6.98,6.9257,493892
2025-10-09,7.02,7.1,7.02,7.07,7.015,308085
2025-10-10,6.97,7.1,6.97,7.09,7.0349,326203
2025-10-13,7.08,7.11,7.035,7.07,7.015,299341
2025-10-14,7.01,7.08,6.89,6.99,6.9357,306194
2025-10-15,7.02,7.09,7,7.05,6.9952,416221
2025-10-16,7.1,7.16,7.01,7.12,7.0646,490518
2025-10-17,7.05,7.14,7.05,7.13,7.0746,409398
2025-10-20,7.15,7.17,7.09,7.12,7.0646,396007
2025-10-21,7.17,7.24,7.15,7.17,7.1143,905941
2025-10-22,7.17,7.22,7.12,7.21,7.154,432780
2025-10-23,7.18,7.23,7.17,7.2,7.144,218678
2025-10-24,7.24,7.28,7.21,7.22,7.1639,426185
2025-10-27,7.25,7.25,7.1,7.12,7.0646,265231
2025-10-28,7.2,7.24,7.17,7.21,7.154,677838
2025-10-29,7.23,7.23,7.07,7.12,7.0646,550407
2025-10-30,7.08,7.155,7.08,7.1,7.0448,446957
2025-10-31,7.15,7.2,7.09,7.12,7.0646,568815
2025-11-03,7.15,7.15,7.085,7.11,7.0547,460459
2025-11-04,7.13,7.23,7.11,7.11,7.0547,380114
2025-11-05,7.14,7.14,7.05,7.06,7.0051,394609
2025-11-06,7.1,7.115,7.05,7.06,7.0051,304182
2025-11-07,7.15,7.15,6.99,7.02,6.9654,285114
2025-11-10,6.95,6.96,6.9,6.93,6.8761,363629
2025-11-11,6.95,6.95,6.87,6.91,6.8563,355267
2025-11-12,6.94,6.955,6.89,6.91,6.8563,559886
2025-11-13,6.94,6.95,6.75,6.8,6.7471,989552
2025-11-14,6.72,6.81,6.72,6.78,6.7273,415963
2025-11-17,6.85,6.92,6.75,6.87,6.8166,744468
2025-11-18,6.82,6.875,6.77,6.8,6.7471,571105
