Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.54,0.54,0.53,0.535,0.5256,553504
2025-07-23,0.535,0.5375,0.53,0.53,0.5206,618631
2025-07-24,0.535,0.5375,0.53,0.535,0.5256,150932
2025-07-25,0.53,0.535,0.53,0.53,0.5206,38772
2025-07-28,0.535,0.535,0.53,0.53,0.5206,239658
2025-07-29,0.535,0.535,0.53,0.53,0.5206,152615
2025-07-30,0.53,0.535,0.53,0.53,0.5206,386480
2025-07-31,0.53,0.5325,0.525,0.525,0.5157,593210
2025-08-01,0.53,0.5325,0.525,0.525,0.5157,185993
2025-08-04,0.53,0.535,0.525,0.53,0.5206,103845
2025-08-05,0.53,0.53,0.525,0.53,0.5206,203168
2025-08-06,0.53,0.53,0.525,0.53,0.5206,222100
2025-08-07,0.525,0.535,0.525,0.535,0.5256,176746
2025-08-08,0.53,0.535,0.5275,0.53,0.5206,141549
2025-08-11,0.53,0.5325,0.5275,0.53,0.5206,224794
2025-08-12,0.535,0.535,0.5275,0.53,0.5206,173814
2025-08-13,0.53,0.535,0.53,0.535,0.5256,172504
2025-08-14,0.53,0.535,0.53,0.53,0.5206,218790
2025-08-15,0.535,0.535,0.53,0.53,0.5206,100027
2025-08-18,0.525,0.535,0.525,0.535,0.5256,137183
2025-08-19,0.535,0.535,0.525,0.5325,0.5231,118760
2025-08-20,0.53,0.535,0.53,0.53,0.5206,233668
2025-08-21,0.53,0.5325,0.53,0.53,0.5206,212253
2025-08-22,0.53,0.535,0.53,0.535,0.5256,160840
2025-08-25,0.535,0.535,0.525,0.525,0.5157,304344
2025-08-26,0.525,0.53,0.5225,0.525,0.5157,126182
2025-08-27,0.53,0.535,0.525,0.535,0.5256,243265
2025-08-28,0.53,0.535,0.525,0.53,0.5206,335355
2025-08-29,0.53,0.535,0.525,0.525,0.5157,942003
2025-09-01,0.53,0.545,0.53,0.54,0.5305,549341
2025-09-02,0.54,0.545,0.5375,0.545,0.5354,298626
2025-09-03,0.545,0.545,0.535,0.535,0.5256,24556
2025-09-04,0.545,0.55,0.54,0.54,0.5305,1497274
2025-09-05,0.545,0.545,0.535,0.535,0.5256,339239
2025-09-08,0.54,0.54,0.535,0.535,0.5256,60442
2025-09-09,0.54,0.545,0.53,0.53,0.5206,332201
2025-09-10,0.54,0.54,0.53,0.535,0.5256,503164
2025-09-11,0.535,0.535,0.525,0.525,0.525,297980
2025-09-12,0.53,0.535,0.525,0.525,0.525,541708
2025-09-15,0.525,0.535,0.525,0.53,0.53,453766
2025-09-16,0.53,0.5325,0.525,0.53,0.53,235302
2025-09-17,0.53,0.535,0.53,0.535,0.535,336323
2025-09-18,0.535,0.535,0.53,0.535,0.535,128437
2025-09-19,0.535,0.535,0.525,0.535,0.535,125895
2025-09-22,0.53,0.535,0.525,0.53,0.53,1265524
2025-09-23,0.53,0.535,0.525,0.535,0.535,701241
2025-09-24,0.535,0.535,0.525,0.525,0.525,94107
2025-09-25,0.525,0.53,0.525,0.525,0.525,206437
2025-09-26,0.525,0.53,0.52,0.52,0.52,291035
2025-09-29,0.525,0.5275,0.52,0.52,0.52,188720
2025-09-30,0.525,0.525,0.52,0.52,0.52,300215
2025-10-01,0.525,0.525,0.52,0.52,0.52,512396
2025-10-02,0.52,0.53,0.515,0.53,0.53,944401
2025-10-03,0.53,0.53,0.52,0.52,0.52,324624
2025-10-06,0.52,0.53,0.52,0.525,0.525,34147
2025-10-07,0.525,0.53,0.525,0.53,0.53,105248
2025-10-08,0.525,0.53,0.525,0.53,0.53,698948
2025-10-09,0.53,0.53,0.525,0.525,0.525,121402
2025-10-10,0.525,0.53,0.52,0.52,0.52,493967
2025-10-13,0.52,0.525,0.52,0.525,0.525,180958
2025-10-14,0.525,0.525,0.5175,0.525,0.525,352704
2025-10-15,0.525,0.525,0.515,0.52,0.52,398024
2025-10-16,0.52,0.53,0.52,0.525,0.525,698807
2025-10-17,0.52,0.53,0.52,0.53,0.53,846050
2025-10-20,0.53,0.53,0.52,0.525,0.525,130019
