Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,67.2,67.81,67.05,67.4,66.1727,2649181
2025-07-23,66.93,67.83,66.72,67.5,66.2708,1217252
2025-07-24,68.31,68.62,67.45,67.45,66.2218,1054860
2025-07-25,67.38,67.525,67.01,67.19,65.9665,754245
2025-07-28,67.3,68.25,67.11,68.03,66.7912,878788
2025-07-29,67.3,68.68,67.3,68.35,67.1054,999229
2025-07-30,68.98,69.46,68.02,68.43,67.1839,871288
2025-07-31,68.49,70.48,68.49,70.04,68.7646,1856332
2025-08-01,69.52,70.55,68.92,69.21,67.9497,1435722
2025-08-04,68.75,69,68.22,68.72,67.4686,565569
2025-08-05,69.25,69.99,68.65,69.03,67.773,955925
2025-08-06,68.82,70.33,68.44,70.33,69.0493,926349
2025-08-07,71.21,71.51,70.075,71.38,70.0802,934828
2025-08-08,70.73,71.03,69.96,70.11,68.8333,747665
2025-08-11,70.57,70.57,69,69.34,68.0773,1117128
2025-08-12,68.82,70.33,68.82,70.17,68.8922,1040364
2025-08-13,70.54,70.59,69.58,69.7,68.4308,1631749
2025-08-14,69.8,70.6,69.385,70.05,68.7744,1332068
2025-08-15,70.12,70.81,69.66,70.68,69.3929,871216
2025-08-18,70.41,71.225,70.33,70.57,69.2849,523760
2025-08-19,70.98,71.35,70.14,70.97,69.6777,780414
2025-08-20,71.72,72.38,70.735,71.18,69.8838,1335493
2025-08-21,71.83,72.12,70.98,72.07,70.7576,1134467
2025-08-22,71.37,72.07,70.47,70.85,69.5598,1603188
2025-08-25,71.97,71.97,71.12,71.58,70.2765,1102066
2025-08-26,71.13,71.88,71.01,71.86,70.5515,1873136
2025-08-27,72.1,72.94,71.36,72.5,71.1798,677679
2025-08-28,72.92,73.11,72.3,72.88,71.5529,575260
2025-08-29,73.1,73.29,72.15,72.71,71.386,990950
2025-09-01,72.62,72.95,70.38,70.38,69.0984,670886
2025-09-02,70.69,71.15,69.61,69.89,68.6173,748191
2025-09-03,69.85,70.32,69.04,69.04,67.7828,1227783
2025-09-04,69.92,69.99,69,69.3,68.0381,939086
2025-09-05,69.3,70.44,69.29,69.69,68.421,662905
2025-09-08,68.69,69.88,68.57,69.88,68.6075,1249094
2025-09-09,70.05,70.36,69.53,69.82,68.5486,994597
2025-09-10,69.83,70.21,69.19,69.97,68.6959,1117389
2025-09-11,69.45,70.28,68.79,70.26,68.9806,768163
2025-09-12,70.29,70.59,67.09,67.47,66.2414,1376555
2025-09-15,68.1,68.95,67.43,68.95,67.6944,834185
2025-09-16,69.11,69.15,68.49,68.68,67.4294,1401746
2025-09-17,68.6,68.85,68.04,68.85,67.5963,893831
2025-09-18,69.1,69.39,68.23,68.42,67.1741,958162
2025-09-19,68.65,69.31,68.44,68.62,67.3705,3239391
2025-09-22,69.39,69.74,68.74,68.74,67.4883,1037176
2025-09-23,68.74,69,67.95,68.47,67.2232,749052
2025-09-24,68.08,68.59,67.56,68.4,67.1545,1139228
2025-09-25,68.85,69.88,67.68,68.29,67.0465,1011682
2025-09-26,67.83,68.7,67.12,68.7,67.449,1132465
2025-09-29,69,70.35,68.99,70.1,68.8235,898507
2025-09-30,70,70.89,69.82,69.98,68.7057,1523201
2025-10-01,69.67,70.35,68.98,69.56,68.2933,1092608
2025-10-02,69.77,69.885,68.78,69.74,68.4701,1394578
2025-10-03,69.74,70.79,69.5,70.76,69.4715,1092955
2025-10-06,70.7,70.7,69.32,69.87,68.5977,585602
2025-10-07,70.24,70.34,68.75,68.95,67.6944,1238015
2025-10-08,68.93,69.46,67.68,68.06,66.8206,992680
2025-10-09,68.5,69.07,67.895,68.05,66.8108,1318394
2025-10-10,68.45,68.67,67.84,68.12,66.8796,1019733
2025-10-13,67.7,68.05,66.15,66.4,65.1909,1407255
2025-10-14,66.15,66.36,64.52,65.6,64.4054,1117502
2025-10-15,65,65.66,64.38,65.66,64.4644,1607457
2025-10-16,65.94,66.08,64.76,65.61,64.4153,1448860
2025-10-17,64.96,65.84,64.39,64.72,63.5415,1205925
2025-10-20,65.25,65.6,64.16,64.16,62.9917,1354036
2025-10-21,63.63,64.44,63.33,64.03,62.864,1197472
2025-10-22,64.25,64.9,64.06,64.26,63.0898,1167491
2025-10-23,63.61,64.75,63.61,64.75,63.5709,942655
2025-10-24,64.52,65.1,64.38,64.68,63.5022,662752
2025-10-27,64.85,65.87,64.705,65.87,64.6705,1113886
2025-10-28,67,67.43,65.875,66.28,65.0731,1058805
2025-10-29,66.1,66.73,65.06,65.23,64.0422,893201
2025-10-30,64.56,65.2,63.8,63.83,62.6677,908266
2025-10-31,64.19,64.47,63.35,63.35,62.1964,1192916
2025-11-03,63.17,64.07,63.1,64.07,62.9033,1308240
2025-11-04,64.29,64.59,63.03,63.05,61.9019,608917
2025-11-05,63.36,64.22,62.54,63.08,61.9313,1175551
2025-11-06,63.54,64.53,63.45,63.9,62.7364,991816
2025-11-07,62.98,63.79,62.32,62.62,61.4797,904889
2025-11-10,63.2,63.57,62.56,63.17,62.0197,1285243
2025-11-11,63.5,64.4,63.26,64.25,63.08,1288875
2025-11-12,64.34,64.86,59.28,59.42,58.338,2723896
2025-11-13,59.3,59.81,57.81,59.63,58.5442,2493832
2025-11-14,58.02,58.59,57.03,57.4,56.3548,1705850
2025-11-17,56.71,57.19,56.04,57.19,56.1486,1724961
2025-11-18,56.21,56.48,55.79,56.48,55.4515,2172739
2025-11-19,56.2,57.55,56.18,56.93,55.8933,1226264
2025-11-20,57.5,58.56,57.415,58.24,57.1795,1221607
2025-11-21,57.44,59.36,57.285,58.21,57.15,1743184
2025-11-24,59,59.41,58.4,58.5,57.4347,4288917
2025-11-25,58.31,58.84,57.24,57.62,57.0486,1102861
2025-11-26,57.77,58.53,57,58.51,57.9298,1592547
2025-11-27,58.01,59.205,57.74,58.74,58.1575,1019027
2025-11-28,58.38,58.84,58.11,58.34,57.7615,810672
2025-12-01,57.62,58.83,57.62,58.4,57.8209,647003
2025-12-02,58,58.39,57.83,58.06,57.4842,972029
2025-12-03,60.96,61,58.54,58.62,58.0387,1237209
2025-12-04,58.74,58.82,57.58,58.19,57.6129,1357131
2025-12-05,58.18,58.29,57.17,57.4,56.8308,1213026
2025-12-08,57.3,57.91,56.78,57.75,57.1773,1171318
2025-12-09,57.77,58.31,57.24,58.17,57.5931,1049350
2025-12-10,58.42,58.47,57.78,57.85,57.2763,1763839
2025-12-11,58.42,58.42,56.68,56.89,56.3258,1198056
2025-12-12,57.19,57.49,56.625,56.71,56.1476,1090015
2025-12-15,56.6,56.98,56.18,56.82,56.2565,2329588
2025-12-16,57.42,57.7,56.97,57.15,56.5833,2479510
2025-12-17,57.39,57.68,56.52,56.83,56.2664,1606245
2025-12-18,56.44,56.87,55.89,56.85,56.2862,1694638
2025-12-19,57.21,57.61,56.79,57.54,56.9694,2798340
2025-12-22,57.89,58.56,57.23,57.6,57.0288,792457
2025-12-23,57.18,58.52,57.12,58.26,57.6823,843043
2025-12-24,57.5,58.06,57.17,57.55,56.9793,412530
2025-12-29,57.55,57.79,57.32,57.46,56.8902,700217
2025-12-30,57.51,58.2,57.5,57.73,57.1575,591696
2025-12-31,57.5,58.18,57.4,58.18,57.603,663206
2026-01-02,57.75,58.1,57.03,57.22,56.6526,486937
2026-01-05,56.61,56.99,54.54,54.61,54.0684,1323840
2026-01-06,54.9,55.51,54.2,55.13,54.5833,2734318
