Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.17,5.17,5.11,5.12,4.7081,1608649
2025-07-23,5.14,5.2,5.135,5.16,4.7449,1838977
2025-07-24,5.17,5.18,5.12,5.13,4.7173,1060782
2025-07-25,5.12,5.2,5.09,5.17,4.7541,1288371
2025-07-28,5.2,5.25,5.17,5.18,4.7633,951782
2025-07-29,5.19,5.19,5.14,5.19,4.7725,1193799
2025-07-30,5.2,5.26,5.14,5.22,4.8,1800695
2025-07-31,5.2,5.22,5.16,5.16,4.7449,2914292
2025-08-01,5.15,5.22,5.13,5.2,4.7817,1292979
2025-08-04,5.17,5.24,5.17,5.21,4.7909,756275
2025-08-05,5.27,5.32,5.23,5.28,4.8552,1527394
2025-08-06,5.3,5.33,5.265,5.28,4.8552,1448011
2025-08-07,5.3,5.32,5.255,5.3,4.8736,867255
2025-08-08,5.31,5.33,5.28,5.32,4.892,981321
2025-08-11,5.32,5.33,5.29,5.31,4.8828,1082922
2025-08-12,5.33,5.33,5.24,5.24,4.8184,2054309
2025-08-13,5.28,5.305,5.255,5.28,4.8552,1295561
2025-08-14,5.32,5.33,5.27,5.3,4.8736,1490535
2025-08-15,5.3,5.3,5.23,5.27,4.846,1716940
2025-08-18,5.25,5.26,5.2,5.23,4.8092,2127525
2025-08-19,5.24,5.25,5.2,5.23,4.8092,1482432
2025-08-20,5.27,5.38,5.255,5.38,4.9472,2138163
2025-08-21,5.38,5.5,5.35,5.5,5.0575,2428416
2025-08-22,5.5,5.5,5.45,5.46,5.0207,1969950
2025-08-25,5.49,5.54,5.44,5.46,5.0207,1214352
2025-08-26,5.47,5.48,5.33,5.39,4.9564,3410320
2025-08-27,5.36,5.39,5.33,5.38,4.9472,2516928
2025-08-28,5.39,5.39,5.16,5.26,4.8368,1952410
2025-08-29,5.34,5.34,5.205,5.33,4.9012,2241389
2025-09-01,5.3,5.37,5.27,5.3,4.8736,1200618
2025-09-02,5.32,5.32,5.24,5.27,4.846,1035237
2025-09-03,5.29,5.31,5.2,5.23,4.8092,1984010
2025-09-04,5.22,5.235,5.19,5.2,4.7817,1660130
2025-09-05,5.23,5.26,5.19,5.22,4.8,1844206
2025-09-08,5.27,5.27,5.2,5.2,4.7817,1777333
2025-09-09,5.2,5.205,5.16,5.19,4.7725,1860849
2025-09-10,5.19,5.23,5.17,5.22,4.8,1743822
2025-09-11,5.25,5.275,5.19,5.22,4.8,2107513
2025-09-12,5.27,5.28,5.23,5.27,4.846,1354522
