Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.066,0.068,0.065,0.066,0.66,441327
2025-04-28,0.065,0.068,0.064,0.064,0.64,300326
2025-04-29,0.064,0.067,0.063,0.067,0.67,137757
2025-04-30,0.067,0.067,0.062,0.062,0.62,84591
2025-05-01,0.071,0.08,0.07,0.075,0.75,5929681
2025-05-02,0.075,0.077,0.073,0.075,0.75,615759
2025-05-05,0.078,0.078,0.074,0.075,0.75,272175
2025-05-06,0.075,0.076,0.074,0.075,0.75,138719
2025-05-07,0.076,0.079,0.075,0.078,0.78,718705
2025-05-08,0.078,0.079,0.077,0.079,0.79,222220
2025-05-09,0.079,0.079,0.077,0.079,0.79,274959
2025-05-12,0.077,0.08,0.077,0.08,0.8,350418
2025-05-13,0.08,0.08,0.078,0.078,0.78,160753
2025-05-14,0.079,0.082,0.078,0.082,0.82,498594
2025-05-15,0.082,0.082,0.079,0.082,0.82,74797
2025-05-16,0.082,0.083,0.081,0.083,0.83,153815
2025-05-19,0.083,0.088,0.083,0.088,0.88,520099
2025-05-20,0.088,0.089,0.086,0.089,0.89,526431
2025-05-21,0.09,0.09,0.084,0.085,0.85,193873
2025-05-22,0.085,0.088,0.084,0.088,0.88,330948
2025-05-23,0.087,0.087,0.082,0.085,0.85,220828
2025-05-26,0.086,0.089,0.084,0.089,0.89,8415184
2025-05-27,0.088,0.097,0.088,0.096,0.96,1373111
2025-05-28,0.095,0.098,0.093,0.098,0.98,846752
2025-05-29,0.097,0.1,0.095,0.098,0.98,1260704
2025-05-30,0.097,0.1,0.096,0.1,1,658220
2025-06-02,0.1,0.105,0.097,0.098,0.98,974701
2025-06-03,0.1,0.105,0.099,0.1,1,341961
2025-06-04,0.1,0.105,0.1,0.105,1.05,511741
2025-06-05,0.105,0.105,0.097,0.105,1.05,895851
2025-06-06,0.1,0.105,0.1,0.105,1.05,83457
2025-06-10,0.1,0.105,0.1,0.105,1.05,676337
2025-06-11,0.105,0.1075,0.095,0.096,0.96,1528262
2025-06-12,0.097,0.098,0.092,0.094,0.94,477799
2025-06-13,0.092,0.094,0.086,0.093,0.93,530305
2025-06-16,0.088,0.1,0.088,0.098,0.98,1203918
2025-06-17,0.097,0.099,0.092,0.092,0.92,190933
2025-06-18,0.093,0.096,0.093,0.094,0.94,1130009
2025-06-19,0.096,0.096,0.089,0.091,0.91,1528158
2025-06-20,0.09,0.094,0.09,0.094,0.94,44776
2025-06-23,0.095,0.095,0.09,0.092,0.92,334533
2025-06-24,0.092,0.105,0.092,0.105,1.05,792319
2025-06-25,0.1,0.11,0.098,0.11,1.1,1395201
2025-06-26,0.11,0.11,0.1,0.105,1.05,515257
2025-06-27,0.105,0.11,0.1,0.105,1.05,351811
2025-06-30,0.1,0.105,0.1,0.105,1.05,55711
2025-07-01,0.105,0.105,0.1,0.1,1,132586
2025-07-02,0.1,0.105,0.098,0.098,0.98,50941
2025-07-03,0.097,0.1,0.094,0.095,0.95,385835
2025-07-04,0.095,0.1,0.095,0.099,0.99,279851
2025-07-07,0.1,0.1,0.097,0.099,0.99,57309
2025-07-08,0.098,0.1,0.095,0.096,0.96,716800
2025-07-09,0.099,0.1,0.0945,0.099,0.99,199827
2025-07-10,0.1,0.1,0.096,0.098,0.98,175784
2025-07-11,0.098,0.098,0.094,0.095,0.95,404897
2025-07-14,0.095,0.096,0.092,0.095,0.95,497420
2025-07-15,0.095,0.095,0.092,0.095,0.95,154033
2025-07-16,0.095,0.095,0.092,0.094,0.94,98327
2025-07-17,0.095,0.095,0.09,0.092,0.92,733787
2025-07-18,0.09,0.0915,0.0875,0.088,0.88,515193
2025-07-21,0.087,0.089,0.085,0.087,0.87,529249
2025-07-22,0.086,0.088,0.085,0.087,0.87,253439
2025-07-23,0.087,0.09,0.086,0.089,0.89,216187
2025-07-24,0.089,0.094,0.089,0.093,0.93,359234
2025-07-25,0.094,0.094,0.087,0.089,0.89,311328
2025-07-28,0.089,0.093,0.089,0.092,0.92,268735
2025-07-29,0.091,0.093,0.09,0.092,0.92,9111488
2025-07-30,0.092,0.092,0.0885,0.09,0.9,247531
2025-07-31,0.092,0.093,0.09,0.092,0.92,84230
2025-08-01,0.092,0.0935,0.09,0.091,0.91,145454
2025-08-04,0.092,0.094,0.092,0.094,0.94,265997
2025-08-05,0.094,0.095,0.091,0.094,0.94,335385
2025-08-06,0.094,0.0945,0.092,0.094,0.94,305280
2025-08-07,0.094,0.096,0.0915,0.093,0.93,321171
