Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,14.55,14.58,14.47,14.56,68.5097,526879
2025-07-23,14.76,14.93,14.76,14.93,70.2507,752069
2025-07-24,14.92,14.93,14.835,14.87,69.9683,940013
2025-07-25,14.84,14.915,14.775,14.86,69.9213,447827
2025-07-28,14.85,14.91,14.85,14.9,70.1095,242912
2025-07-29,14.85,14.85,14.71,14.74,69.3566,528517
2025-07-30,14.84,14.93,14.77,14.91,70.1566,459505
2025-07-31,14.85,14.86,14.71,14.75,69.4037,437324
2025-08-01,14.56,14.65,14.48,14.64,68.8861,652310
2025-08-04,14.49,14.55,14.41,14.45,67.9921,596832
2025-08-05,14.63,14.66,14.52,14.54,68.4156,380877
2025-08-06,14.57,14.57,14.45,14.55,68.4626,433146
2025-08-07,14.5,14.5,14.39,14.45,67.9921,569890
2025-08-08,14.64,14.81,14.64,14.74,69.3566,635067
2025-08-11,14.8,14.91,14.77,14.89,70.0624,404614
2025-08-12,14.82,14.85,14.77,14.84,69.8272,917044
2025-08-13,14.91,15.01,14.91,14.91,70.1566,593084
2025-08-14,15.15,15.28,15.06,15.06,70.8624,1924497
2025-08-15,13.67,13.68,13.21,13.6,63.9926,3734684
2025-08-18,13.51,13.585,13.16,13.19,62.0634,1919955
2025-08-19,13.15,13.17,13.05,13.06,61.4517,1212895
2025-08-20,13.25,13.38,13.18,13.33,62.7221,1829442
2025-08-21,13.39,13.44,13.26,13.26,62.3927,978817
2025-08-22,13.45,13.49,13.33,13.33,62.7221,1851891
2025-08-25,13.34,13.37,13.2,13.27,62.4398,1730862
2025-08-26,13.2,13.23,13.04,13.04,61.3576,1130508
2025-08-27,13.04,13.07,12.99,13.05,61.4046,734313
2025-08-28,13.09,13.12,13.06,13.06,61.4517,451451
2025-08-29,13.1,13.15,13.05,13.14,61.8281,696208
2025-09-01,13.2,13.22,13.07,13.11,61.6869,567843
2025-09-02,13.12,13.23,13.12,13.16,61.9222,814220
2025-09-03,13.05,13.05,12.78,12.78,60.1342,1151286
2025-09-04,12.6,12.63,12.5,12.58,60.1146,1150977
2025-09-05,12.63,12.65,12.55,12.55,59.9712,738110
2025-09-08,12.64,12.64,12.59,12.6,60.2102,1196701
2025-09-09,12.49,12.51,12.36,12.4,59.2545,1549784
2025-09-10,12.48,12.51,12.38,12.41,59.3022,436667
2025-09-11,12.44,12.49,12.4,12.46,59.5412,412821
2025-09-12,12.49,12.58,12.465,12.53,59.8757,381704
2025-09-15,12.5,12.52,12.45,12.5,59.7323,337988
2025-09-16,12.46,12.49,12.43,12.48,59.6367,747221
2025-09-17,12.5,12.52,12.45,12.5,59.7323,771666
2025-09-18,12.44,12.48,12.38,12.46,59.5412,713796
2025-09-19,12.57,12.67,12.57,12.62,60.3057,940059
2025-09-22,12.52,12.61,12.52,12.58,60.1146,314710
2025-09-23,12.55,12.59,12.5,12.5,59.7323,746959
2025-09-24,12.29,12.29,12.14,12.14,58.012,1423651
