Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.295,0.305,0.2875,0.3,0.3,6025465
2025-04-28,0.3,0.305,0.295,0.3,0.3,7894167
2025-04-29,0.3,0.3,0.29,0.3,0.3,3982179
2025-04-30,0.295,0.295,0.285,0.295,0.295,5013338
2025-05-01,0.295,0.295,0.28,0.29,0.29,3798611
2025-05-02,0.285,0.2925,0.2775,0.285,0.285,3426616
2025-05-05,0.285,0.3025,0.285,0.29,0.29,4406997
2025-05-06,0.295,0.3,0.285,0.29,0.29,3188736
2025-05-07,0.3,0.31,0.295,0.305,0.305,7986453
2025-05-08,0.305,0.33,0.305,0.315,0.315,13859290
2025-05-09,0.315,0.32,0.3075,0.32,0.32,5783917
2025-05-12,0.315,0.32,0.305,0.305,0.305,4581059
2025-05-13,0.295,0.315,0.295,0.315,0.315,4432526
2025-05-14,0.315,0.32,0.305,0.31,0.31,3705289
2025-05-15,0.305,0.31,0.29,0.29,0.29,7776420
2025-05-16,0.295,0.32,0.295,0.315,0.315,8099952
2025-05-19,0.315,0.315,0.2925,0.295,0.295,6147208
2025-05-20,0.3,0.305,0.295,0.305,0.305,1642558
2025-05-21,0.305,0.315,0.29,0.3,0.3,4268590
2025-05-22,0.295,0.31,0.29,0.31,0.31,3002000
2025-05-23,0.31,0.31,0.295,0.295,0.295,2073741
2025-05-26,0.3,0.305,0.2825,0.29,0.29,4444339
2025-05-27,0.295,0.31,0.29,0.3,0.3,7292890
2025-05-28,0.3,0.305,0.295,0.3,0.3,8926085
2025-05-29,0.3,0.305,0.2975,0.3,0.3,4802479
2025-05-30,0.3,0.3075,0.295,0.3,0.3,8645120
2025-06-02,0.305,0.32,0.3,0.305,0.305,6167606
2025-06-03,0.315,0.33,0.3075,0.315,0.315,10069861
2025-06-04,0.32,0.34,0.3175,0.34,0.34,10585938
2025-06-05,0.34,0.345,0.325,0.345,0.345,8160117
2025-06-06,0.34,0.34,0.32,0.32,0.32,2755387
2025-06-10,0.33,0.33,0.31,0.315,0.315,4681875
2025-06-11,0.32,0.32,0.305,0.31,0.31,2850247
2025-06-12,0.31,0.32,0.305,0.31,0.31,4890792
2025-06-13,0.32,0.325,0.31,0.31,0.31,6297849
2025-06-16,0.315,0.325,0.31,0.31,0.31,3305570
2025-06-17,0.31,0.315,0.295,0.31,0.31,6298041
2025-06-18,0.31,0.31,0.29,0.305,0.305,3333821
2025-06-19,0.265,0.27,0.195,0.215,0.215,68831976
2025-06-20,0.215,0.2175,0.2025,0.205,0.205,35000638
2025-06-23,0.205,0.215,0.195,0.205,0.205,21963132
2025-06-24,0.2,0.21,0.195,0.2,0.2,6477010
2025-06-25,0.205,0.205,0.185,0.195,0.195,16663118
2025-06-26,0.195,0.2,0.19,0.195,0.195,11164761
2025-06-27,0.195,0.205,0.19,0.195,0.195,12770685
2025-06-30,0.195,0.2,0.1875,0.19,0.19,13887551
2025-07-01,0.19,0.1975,0.185,0.185,0.185,8602685
2025-07-02,0.19,0.195,0.18,0.19,0.19,12463425
2025-07-03,0.19,0.1975,0.185,0.195,0.195,6297556
2025-07-04,0.19,0.195,0.185,0.185,0.185,6336786
2025-07-07,0.185,0.19,0.185,0.19,0.19,4597563
2025-07-08,0.19,0.1975,0.1875,0.19,0.19,6543378
2025-07-09,0.195,0.2025,0.19,0.2,0.2,8552989
2025-07-10,0.195,0.21,0.195,0.2,0.2,7333334
2025-07-11,0.2,0.2,0.19,0.195,0.195,5615294
2025-07-14,0.195,0.2,0.19,0.195,0.195,4597451
2025-07-15,0.195,0.2025,0.1925,0.2,0.2,3084392
2025-07-16,0.2,0.2025,0.195,0.2,0.2,2037120
2025-07-17,0.2,0.2,0.19,0.195,0.195,3693260
