Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.655,1.69,1.605,1.685,1.62,12385766
2025-07-23,1.69,1.6925,1.64,1.655,1.5912,9605622
2025-07-24,1.67,1.675,1.655,1.67,1.6056,7762806
2025-07-25,1.67,1.67,1.565,1.59,1.5287,15750133
2025-07-28,1.59,1.615,1.585,1.595,1.5335,6565474
2025-07-29,1.595,1.62,1.585,1.61,1.5479,5224099
2025-07-30,1.6,1.615,1.59,1.61,1.5479,6888402
2025-07-31,1.61,1.61,1.5825,1.6,1.5383,9779339
2025-08-01,1.58,1.6325,1.575,1.63,1.5672,11128903
2025-08-04,1.6,1.62,1.595,1.6,1.5383,5808405
2025-08-05,1.62,1.645,1.6175,1.64,1.5768,7581648
2025-08-06,1.635,1.675,1.635,1.67,1.6056,10354028
2025-08-07,1.6,1.78,1.6,1.75,1.6825,23639039
2025-08-08,1.79,1.885,1.775,1.875,1.8027,31298745
2025-08-11,1.845,1.855,1.74,1.74,1.6729,15385519
2025-08-12,1.735,1.765,1.7075,1.71,1.6441,8962646
2025-08-13,1.73,1.7625,1.7125,1.735,1.6681,7990283
2025-08-14,1.74,1.79,1.74,1.775,1.7066,6822386
2025-08-15,1.78,1.8275,1.775,1.825,1.7546,14241359
2025-08-18,1.815,1.825,1.77,1.77,1.7018,5043523
2025-08-19,1.765,1.77,1.7475,1.77,1.7018,3203783
2025-08-20,1.78,1.79,1.755,1.77,1.7018,5286258
2025-08-21,1.76,1.77,1.7425,1.75,1.7018,6697104
2025-08-22,1.75,1.755,1.73,1.735,1.6872,6221820
2025-08-25,1.75,1.7975,1.75,1.76,1.7115,8113300
2025-08-26,1.75,1.765,1.7125,1.72,1.6726,9721101
2025-08-27,1.73,1.73,1.695,1.72,1.6726,4526852
2025-08-28,1.73,1.73,1.695,1.695,1.6483,2008647
2025-08-29,1.685,1.72,1.68,1.71,1.6629,3440237
2025-09-01,1.695,1.705,1.675,1.675,1.6288,2596769
2025-09-02,1.675,1.675,1.6475,1.665,1.6191,5385734
2025-09-03,1.655,1.67,1.625,1.63,1.5851,6308478
2025-09-04,1.64,1.68,1.64,1.67,1.624,6654458
2025-09-05,1.685,1.695,1.665,1.685,1.6386,4747946
2025-09-08,1.655,1.715,1.65,1.695,1.6483,6835752
2025-09-09,1.695,1.705,1.6675,1.675,1.6288,5296090
2025-09-10,1.67,1.71,1.67,1.69,1.6434,5693776
2025-09-11,1.69,1.705,1.6725,1.695,1.6483,4377914
2025-09-12,1.705,1.73,1.69,1.69,1.6434,3467975
2025-09-15,1.69,1.81,1.675,1.8,1.7504,8070660
2025-09-16,1.775,1.805,1.775,1.8,1.7504,7551642
2025-09-17,1.79,1.815,1.785,1.79,1.7407,7298340
2025-09-18,1.79,1.8,1.73,1.74,1.692,6683520
2025-09-19,1.76,1.765,1.705,1.705,1.658,18857551
2025-09-22,1.705,1.725,1.695,1.705,1.658,3656575
2025-09-23,1.675,1.69,1.66,1.68,1.6337,4892215
2025-09-24,1.67,1.67,1.645,1.66,1.6142,5509782
2025-09-25,1.645,1.665,1.6275,1.66,1.6142,5252199
2025-09-26,1.66,1.665,1.635,1.655,1.6094,4780200
2025-09-29,1.655,1.6925,1.64,1.68,1.6337,4400441
2025-09-30,1.665,1.68,1.645,1.66,1.6142,13198599
2025-10-01,1.64,1.675,1.64,1.66,1.6142,3569379
2025-10-02,1.665,1.69,1.66,1.68,1.6337,3378906
2025-10-03,1.67,1.7075,1.67,1.69,1.6434,6324955
2025-10-06,1.69,1.695,1.655,1.665,1.6191,2536227
2025-10-07,1.655,1.665,1.615,1.635,1.5899,5287296
2025-10-08,1.62,1.675,1.59,1.65,1.6045,6540195
2025-10-09,1.66,1.685,1.655,1.67,1.624,4909153
2025-10-10,1.66,1.6925,1.66,1.675,1.6288,3979039
2025-10-13,1.66,1.7,1.655,1.69,1.6434,5602288
2025-10-14,1.685,1.73,1.685,1.73,1.6823,6676075
2025-10-15,1.74,1.77,1.7325,1.76,1.7115,8022759
2025-10-16,1.85,2.01,1.85,1.91,1.8573,33013495
2025-10-17,1.855,1.87,1.77,1.79,1.7407,16542064
2025-10-20,1.78,1.825,1.77,1.8,1.7504,6271956
2025-10-21,1.815,1.865,1.7925,1.845,1.7941,8589659
2025-10-22,1.83,1.85,1.805,1.815,1.765,6246769
2025-10-23,1.815,1.8275,1.795,1.81,1.7601,4016327
2025-10-24,1.8,1.8025,1.7675,1.79,1.7407,5786887
2025-10-27,1.8,1.815,1.79,1.79,1.7407,3355981
2025-10-28,1.78,1.795,1.7425,1.765,1.7163,9801329
2025-10-29,1.74,1.785,1.74,1.765,1.7163,3643396
2025-10-30,1.74,1.765,1.73,1.73,1.6823,4302859
2025-10-31,1.735,1.795,1.735,1.785,1.7358,5897915
2025-11-03,1.78,1.795,1.75,1.76,1.7115,5634935
2025-11-04,1.75,1.77,1.74,1.75,1.7018,4077704
2025-11-05,1.75,1.765,1.72,1.725,1.6774,4013073
2025-11-06,1.725,1.76,1.7125,1.755,1.7066,6010611
2025-11-07,1.73,1.7525,1.69,1.705,1.658,5834200
2025-11-10,1.7175,1.725,1.705,1.715,1.6677,3532616
2025-11-11,1.72,1.72,1.675,1.695,1.6483,4075776
2025-11-12,1.695,1.72,1.675,1.69,1.6434,4338397
2025-11-13,1.69,1.69,1.65,1.665,1.6191,4224186
2025-11-14,1.64,1.6675,1.635,1.65,1.6045,5067267
2025-11-17,1.63,1.66,1.625,1.66,1.6142,2675774
2025-11-18,1.64,1.645,1.61,1.635,1.5899,5239878
2025-11-19,1.63,1.64,1.595,1.615,1.5705,4280443
2025-11-20,1.61,1.655,1.61,1.65,1.6045,4502770
2025-11-21,1.615,1.6525,1.605,1.635,1.5899,4448071
2025-11-24,1.65,1.665,1.645,1.645,1.5997,4096629
2025-11-25,1.63,1.665,1.63,1.655,1.6094,2887919
2025-11-26,1.665,1.715,1.66,1.695,1.6483,7325618
2025-11-27,1.69,1.71,1.68,1.71,1.6629,7767784
2025-11-28,1.695,1.74,1.695,1.735,1.6872,5143032
2025-12-01,1.72,1.745,1.705,1.71,1.6629,3694502
2025-12-02,1.705,1.715,1.695,1.715,1.6677,3648013
2025-12-03,1.69,1.71,1.6875,1.71,1.6629,3693839
2025-12-04,1.71,1.75,1.705,1.75,1.7018,7914676
2025-12-05,1.75,1.8,1.74,1.78,1.7309,6810687
2025-12-08,1.74,1.79,1.735,1.78,1.7309,3438356
2025-12-09,1.77,1.785,1.7625,1.77,1.7212,2561429
2025-12-10,1.76,1.8,1.76,1.8,1.7504,4349741
2025-12-11,1.825,1.835,1.81,1.82,1.7698,4061925
2025-12-12,1.835,1.86,1.815,1.845,1.7941,12726020
2025-12-15,1.83,1.8425,1.795,1.81,1.7601,5004681
2025-12-16,1.805,1.8425,1.805,1.835,1.7844,4441093
2025-12-17,1.83,1.84,1.8125,1.815,1.765,4084603
2025-12-18,1.8,1.84,1.8,1.815,1.765,8206211
2025-12-19,1.835,1.875,1.8325,1.84,1.7893,14771174
2025-12-22,1.825,1.845,1.8175,1.825,1.7747,3557177
2025-12-23,1.82,1.845,1.81,1.835,1.7844,2413391
2025-12-24,1.83,1.835,1.815,1.82,1.7698,1666748
2025-12-29,1.82,1.835,1.82,1.83,1.7796,1838762
2025-12-30,1.83,1.84,1.825,1.825,1.7747,1476852
2025-12-31,1.815,1.83,1.815,1.82,1.7698,2690076
2026-01-02,1.815,1.835,1.81,1.83,1.7796,1584876
2026-01-05,1.825,1.835,1.82,1.83,1.7796,1992579
2026-01-06,1.825,1.825,1.79,1.79,1.7407,5675729
2026-01-07,1.79,1.82,1.79,1.81,1.7601,3219687
2026-01-08,1.81,1.82,1.805,1.815,1.765,3232482
2026-01-09,1.825,1.85,1.775,1.78,1.7309,6418716
2026-01-12,1.82,1.86,1.81,1.845,1.7941,8649257
2026-01-13,1.845,1.875,1.795,1.8,1.7504,5114849
2026-01-14,1.795,1.825,1.785,1.815,1.765,6278413
2026-01-15,1.815,1.82,1.77,1.79,1.7407,3575095
2026-01-16,1.79,1.83,1.79,1.82,1.7698,3089795
2026-01-19,1.805,1.8325,1.805,1.815,1.765,1544876
2026-01-20,1.79,1.815,1.77,1.8,1.7504,10601549
2026-01-21,1.785,1.795,1.72,1.725,1.6774,10572256
2026-01-22,1.74,1.755,1.71,1.725,1.6774,4964379
2026-01-23,1.72,1.735,1.7075,1.73,1.6823,2701292
2026-01-27,1.72,1.76,1.72,1.75,1.7018,3969101
2026-01-28,1.745,1.765,1.715,1.725,1.6774,3237568
2026-01-29,1.71,1.7125,1.625,1.645,1.5997,9904591
2026-01-30,1.67,1.71,1.635,1.695,1.6483,8234464
2026-02-02,1.68,1.72,1.66,1.67,1.624,3924123
2026-02-03,1.69,1.725,1.66,1.715,1.6677,5711440
2026-02-04,1.69,1.695,1.67,1.675,1.6288,4235426
2026-02-05,1.68,1.6975,1.665,1.69,1.6434,4282736
2026-02-06,1.675,1.675,1.625,1.65,1.6045,5992044
2026-02-09,1.66,1.71,1.66,1.675,1.6288,6933345
2026-02-10,1.69,1.73,1.685,1.715,1.6677,7981615
2026-02-11,1.68,1.755,1.68,1.745,1.6969,7832209
2026-02-12,1.44,1.45,1.2,1.28,1.2447,97327105
2026-02-13,1.345,1.4,1.33,1.395,1.3565,40707147
2026-02-16,1.375,1.405,1.345,1.385,1.3468,16874225
2026-02-17,1.38,1.43,1.36,1.395,1.3565,14182029
2026-02-18,1.41,1.42,1.385,1.395,1.3565,12100817
2026-02-19,1.39,1.405,1.355,1.37,1.3322,16971570
2026-02-20,1.36,1.37,1.34,1.36,1.3225,12443558
2026-02-23,1.355,1.3675,1.31,1.32,1.2836,14844786
2026-02-24,1.31,1.315,1.245,1.25,1.2155,20838911
2026-02-25,1.25,1.27,1.23,1.27,1.235,18723134
2026-02-26,1.29,1.33,1.265,1.32,1.2836,32122998
2026-02-27,1.32,1.32,1.28,1.3,1.2836,11899489
2026-03-02,1.27,1.29,1.255,1.275,1.2589,7677327
2026-03-03,1.27,1.275,1.22,1.22,1.2046,16007651
2026-03-04,1.22,1.2325,1.1925,1.23,1.2145,18764867
2026-03-05,1.235,1.255,1.2175,1.235,1.2194,13163192
2026-03-06,1.22,1.25,1.21,1.235,1.2194,6319639
2026-03-09,1.2,1.205,1.175,1.2,1.1849,9990045
2026-03-10,1.21,1.215,1.195,1.2,1.1849,9875062
2026-03-11,1.195,1.205,1.1725,1.18,1.1651,14314978
2026-03-12,1.165,1.18,1.14,1.16,1.1454,18034887
2026-03-13,1.16,1.185,1.145,1.17,1.1553,11099662
2026-03-16,1.18,1.22,1.18,1.22,1.2046,18789279
2026-03-17,1.22,1.235,1.205,1.22,1.2046,7175881
2026-03-18,1.205,1.25,1.205,1.25,1.2342,9614559
2026-03-19,1.22,1.235,1.21,1.22,1.2046,12674280
2026-03-20,1.225,1.265,1.22,1.23,1.2145,21974610
2026-03-23,1.22,1.27,1.21,1.26,1.2441,9864966
2026-03-24,1.285,1.285,1.24,1.255,1.2392,8771017
2026-03-25,1.26,1.295,1.26,1.275,1.2589,8502473
2026-03-26,1.285,1.295,1.2675,1.27,1.254,5811864
2026-03-27,1.25,1.265,1.235,1.25,1.2342,7200874
2026-03-30,1.26,1.315,1.255,1.29,1.2737,13479647
2026-03-31,1.275,1.32,1.265,1.31,1.2935,14628382
2026-04-01,1.32,1.3275,1.3025,1.315,1.2984,4979957
2026-04-02,1.32,1.325,1.2725,1.285,1.2688,7368961
2026-04-07,1.28,1.2975,1.255,1.265,1.2491,7269264
2026-04-08,1.29,1.31,1.275,1.31,1.2935,8867372
2026-04-09,1.31,1.3275,1.3,1.31,1.2935,9188017
2026-04-10,1.3,1.3675,1.2975,1.365,1.3478,10604176
2026-04-13,1.35,1.41,1.34,1.39,1.3725,7947827
2026-04-14,1.405,1.41,1.385,1.39,1.3725,5050055
2026-04-15,1.395,1.415,1.39,1.395,1.3774,8600076
2026-04-16,1.45,1.4825,1.425,1.445,1.4268,9753485
2026-04-17,1.45,1.465,1.415,1.425,1.407,12734065
2026-04-20,1.415,1.445,1.415,1.43,1.412,6567765
2026-04-21,1.445,1.48,1.445,1.47,1.4515,11353216
2026-04-22,1.47,1.4775,1.44,1.44,1.4218,9732917
2026-04-23,1.445,1.4475,1.415,1.435,1.4169,7098120
2026-04-24,1.44,1.455,1.43,1.44,1.4218,10913848
2026-04-27,1.44,1.45,1.43,1.44,1.4218,6003445
2026-04-28,1.43,1.45,1.4125,1.43,1.412,11984444
2026-04-29,1.41,1.43,1.41,1.425,1.407,4296005
2026-04-30,1.42,1.465,1.415,1.46,1.4416,12746217
2026-05-01,1.47,1.475,1.455,1.465,1.4465,5570849
2026-05-04,1.46,1.47,1.455,1.47,1.4515,4885816
2026-05-05,1.46,1.475,1.45,1.475,1.4564,7746942
2026-05-06,1.475,1.54,1.475,1.525,1.5058,28995851
2026-05-07,1.52,1.525,1.505,1.525,1.5058,6569187
2026-05-08,1.51,1.54,1.5,1.52,1.5008,8993952
2026-05-11,1.505,1.52,1.48,1.52,1.5008,9631846
2026-05-12,1.53,1.53,1.48,1.5,1.4811,7408672
2026-05-13,1.505,1.545,1.5,1.525,1.5058,8828217
2026-05-14,1.53,1.545,1.52,1.545,1.5255,6035377
2026-05-15,1.565,1.58,1.5525,1.565,1.5453,8170030
2026-05-18,1.54,1.57,1.54,1.55,1.5305,8273387
2026-05-19,1.56,1.6,1.56,1.595,1.5749,6205117
2026-05-20,1.595,1.6,1.5675,1.57,1.5502,8046525
2026-05-21,1.6,1.61,1.5825,1.595,1.5749,4719067
2026-05-22,1.595,1.605,1.59,1.6,1.5798,9130883
2026-05-25,1.595,1.61,1.585,1.595,1.5749,5405710
2026-05-26,1.595,1.605,1.575,1.59,1.57,4749047
2026-05-27,1.59,1.61,1.575,1.6,1.5798,5575190
2026-05-28,1.585,1.595,1.56,1.57,1.5502,6712305
