Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,30.7,30.82,30.27,30.37,29.6548,130771
2025-07-23,30.39,30.82,30.39,30.71,29.9868,137920
2025-07-24,30.85,31.18,30.59,31.05,30.3188,391361
2025-07-25,31.05,31.145,30.92,30.93,30.2016,123547
2025-07-28,31,31.38,30.67,30.88,30.1528,197173
2025-07-29,30.88,31.05,30.21,30.39,29.6743,296961
2025-07-30,30.3,30.43,30.13,30.27,29.5572,290297
2025-07-31,30.11,30.325,29.93,29.95,29.2447,249265
2025-08-01,29.82,30.37,29.615,30.01,29.3033,344520
2025-08-04,29.85,30.26,29.84,30.12,29.4107,153833
2025-08-05,30.23,30.7,30.02,30.58,29.8599,401265
2025-08-06,30.62,30.91,30.44,30.89,30.1626,189343
2025-08-07,30.89,31.31,30.8,31.05,30.3188,252155
2025-08-08,31.02,31.25,30.865,31.24,30.5043,330931
2025-08-11,31.2,31.28,31.03,31.18,30.4457,151322
2025-08-12,31.16,31.18,30.875,31.11,30.3774,226218
2025-08-13,31.34,31.64,31.12,31.53,30.7875,167154
2025-08-14,31.75,31.89,31.515,31.63,30.8851,180188
2025-08-15,31.6,31.89,31.52,31.83,31.0804,192951
2025-08-18,31.67,32.09,31.36,32.04,31.2855,225398
2025-08-19,31.87,31.89,31.44,31.57,30.8265,282047
2025-08-20,31.77,32.21,31.36,31.41,30.6703,331786
2025-08-21,31.69,31.76,31.42,31.47,30.7289,282995
2025-08-22,31.43,31.53,31.14,31.3,30.5629,350904
2025-08-25,34.78,36.37,33.82,34.53,33.7168,1476188
2025-08-26,33.52,34.61,33.45,34.59,33.7754,571333
2025-08-27,34.09,34.46,33.86,34.46,33.6485,655569
2025-08-28,33.5,34.68,33.5,34.59,33.7754,414709
2025-08-29,33.98,34.11,33.67,33.94,33.5558,597539
2025-09-01,33.91,34.68,33.68,34.6,34.2084,439014
2025-09-02,34.68,34.93,34.435,34.53,34.1392,476188
2025-09-03,34.85,34.99,34.53,34.53,34.1392,553261
2025-09-04,34.78,34.93,34.19,34.48,34.0897,1207111
2025-09-05,34.61,34.71,34.2,34.57,34.1787,261937
2025-09-08,34.77,34.77,34.15,34.3,33.9118,303327
2025-09-09,34.4,34.45,34.08,34.18,33.7931,413296
2025-09-10,34.32,34.53,33.95,33.97,33.5855,270534
2025-09-11,33.77,33.79,33.22,33.43,33.0516,362018
2025-09-12,33.58,33.97,33.51,33.83,33.4471,214385
2025-09-15,33.84,33.89,33.49,33.78,33.3977,262185
2025-09-16,33.8,33.91,33.66,33.8,33.4174,167694
2025-09-17,33.8,34,33.48,33.48,33.101,329527
2025-09-18,33.6,33.62,33.21,33.24,32.8638,261213
2025-09-19,33.57,34.23,33.565,33.94,33.5558,727972
2025-09-22,33.82,34.17,33.75,33.91,33.5262,309278
2025-09-23,33.88,33.98,33.59,33.79,33.4075,249414
2025-09-24,33.38,33.4,32.82,32.98,32.6067,388216
2025-09-25,32.85,33.15,31.86,32.03,31.6675,719653
2025-09-26,31.99,32.35,31.61,31.73,31.3709,360507
2025-09-29,31.99,32.12,31.595,31.78,31.4203,292151
2025-09-30,31.45,32.09,31.33,31.86,31.4994,552239
2025-10-01,31.81,32.12,31.7,31.86,31.4994,705938
2025-10-02,32.14,32.7,32.05,32.59,32.2211,270369
2025-10-03,32.34,32.81,32.34,32.53,32.1618,196282
2025-10-06,32.79,32.94,32.31,32.31,31.9443,149108
2025-10-07,32.48,32.77,32.35,32.68,32.3101,428194
2025-10-08,32.74,32.86,32.35,32.52,32.1519,186929
2025-10-09,32.44,33.15,32.44,32.86,32.4881,265975
2025-10-10,32.85,33.1,32.7,32.93,32.5573,232781
2025-10-13,32.9,32.92,32.3,32.48,32.1124,852348
2025-10-14,32.25,32.9,32.14,32.44,32.0728,307915
2025-10-15,33.3,34.08,33.28,33.91,33.5262,476763
2025-10-16,33.97,34.125,33.58,33.86,33.4767,260415
2025-10-17,33.76,33.92,33.58,33.66,33.279,250347
2025-10-20,33.72,34.31,33.7,34.15,33.7635,311701
2025-10-21,33.86,34,33.5,33.58,33.1999,257254
2025-10-22,33.76,33.99,33.57,33.62,33.2395,318323
2025-10-23,33.5,33.83,33.44,33.77,33.3878,274561
2025-10-24,33.9,33.9,33.57,33.79,33.4075,143048
2025-10-27,33.81,33.88,33.62,33.79,33.4075,232201
2025-10-28,33.82,34.35,33.73,34.28,33.892,262145
2025-10-29,35.6,36.78,35.51,36.31,35.899,583299
2025-10-30,36,36.63,35.96,36.07,35.6617,499836
2025-10-31,36.31,36.73,36.28,36.51,36.0968,378513
2025-11-03,36.44,36.44,36.11,36.27,35.8595,192297
2025-11-04,36.5,36.5,35.84,36,35.5925,199581
2025-11-05,36,36.27,35.69,35.93,35.5233,249206
2025-11-06,36,36.46,35.89,36.17,35.7606,465081
2025-11-07,36.32,36.84,36.09,36.15,35.7408,417442
2025-11-10,36.215,36.22,35.83,36.16,35.7507,238731
2025-11-11,36.5,36.61,36.255,36.46,36.0473,147676
2025-11-12,36.69,36.79,36.2,36.57,36.1561,213503
2025-11-13,36.68,37.04,36.565,36.85,36.4329,263899
2025-11-14,36.81,36.91,36.48,36.56,36.1462,379697
2025-11-17,36.47,36.59,36.02,36.18,35.7705,250489
2025-11-18,36.32,36.405,35.48,35.55,35.1476,290160
2025-11-19,35.21,35.87,35.21,35.48,35.0784,210596
2025-11-20,35.68,35.76,35.28,35.76,35.3552,233818
2025-11-21,35.8,35.92,35.39,35.84,35.4343,292605
2025-11-24,36.2,36.48,35.93,36.37,35.9583,272682
2025-11-25,36.07,36.775,36.07,36.56,36.1462,207000
2025-11-26,36.71,37.43,36.71,37.02,36.601,224003
2025-11-27,37.23,37.48,37.07,37.48,37.0558,301589
2025-11-28,37.26,37.54,37.09,37.49,37.0657,346584
2025-12-01,37.26,37.33,36.12,36.37,35.9583,312942
2025-12-02,35.8,36.62,35.8,36.35,35.9386,285287
2025-12-03,36.01,36.69,36.01,36.4,35.988,343420
2025-12-04,36.02,36.61,36.02,36.36,35.9485,260991
2025-12-05,36.19,36.48,35.81,36.01,35.6024,203273
2025-12-08,35.73,36.3,35.725,36.12,35.7112,168934
2025-12-09,36.01,36.24,35.92,35.98,35.5728,240809
2025-12-10,35.85,36.26,35.48,35.67,35.2663,236057
2025-12-11,36.19,36.235,35.57,35.66,35.2564,218313
2025-12-12,36.19,36.19,35.545,35.88,35.4739,182856
2025-12-15,35.5,35.99,35.5,35.99,35.5826,179632
2025-12-16,35.9,36.225,35.59,35.91,35.5035,204060
2025-12-17,36,36.1,35.14,35.23,34.8312,311453
2025-12-18,35.14,35.14,34.55,34.87,34.4753,345307
2025-12-19,34.84,35.48,34.83,35.48,35.0784,557910
2025-12-22,35.84,36.16,35.78,35.84,35.4343,233736
2025-12-23,35.61,36.15,35.21,35.57,35.1674,213066
2025-12-24,35.42,35.49,35.14,35.39,34.9894,71419
2025-12-29,35.13,35.41,35.025,35.1,34.7027,92493
2025-12-30,35.46,35.46,34.855,35.11,34.7126,104839
2025-12-31,34.9,35.42,34.61,35.01,34.6137,91827
2026-01-02,35.19,35.2,34.88,35.2,34.8016,71601
2026-01-05,35.08,35.81,34.92,35.6,35.1971,197938
2026-01-06,35.34,35.575,35.12,35.24,34.8411,180415
2026-01-07,35.07,35.75,35.07,35.58,35.1773,114585
2026-01-08,35.14,35.16,32.96,33.36,32.9824,445834
2026-01-09,33.41,33.79,33.35,33.49,33.1109,345260
2026-01-12,33.75,34.255,33.74,33.99,33.6053,215453
2026-01-13,34.23,34.25,33.75,33.84,33.457,163128
2026-01-14,33.71,33.88,33.31,33.85,33.4669,911663
2026-01-15,34.02,34.1,33.77,33.96,33.5756,182372
2026-01-16,33.98,34.1,33.8,34.03,33.6448,202379
2026-01-19,34.03,34.05,33.85,34.04,33.6547,134180
2026-01-20,33.35,33.93,33.16,33.93,33.546,281347
2026-01-21,33.86,34,33.49,33.81,33.4273,267609
2026-01-22,33.81,34.38,33.76,34.1,33.714,189260
2026-01-23,33.2,34.195,33.2,33.82,33.4372,433894
2026-01-27,34.02,34.25,33.6,33.79,33.4075,335805
2026-01-28,33.64,33.91,33.19,33.32,32.9429,189766
2026-01-29,33.45,33.49,32.88,33.38,33.0022,229329
2026-01-30,33.13,33.4,32.51,32.64,32.2706,823812
2026-02-02,32.34,32.81,32.335,32.46,32.0926,336280
2026-02-03,32.66,32.875,32.34,32.76,32.3892,371342
2026-02-04,32.7,32.94,32.33,32.5,32.1321,494340
2026-02-05,32.73,32.73,32.11,32.37,32.0036,463284
2026-02-06,32.08,32.2,31.36,31.57,31.2127,249226
2026-02-09,31.56,32.19,31.47,32.19,31.8257,180176
2026-02-10,31.97,33.04,31.87,32.91,32.5375,269101
2026-02-11,32.91,33.31,32.47,33.3,32.9231,296775
2026-02-12,32.86,32.9,32.2,32.35,31.9838,370042
2026-02-13,32.3,32.3,30.96,31.28,30.926,436901
2026-02-16,30.89,32.88,29.76,32.48,32.1124,818215
2026-02-17,32.5,33.29,32.06,32.13,31.7663,546479
2026-02-18,32.4,33,32.145,32.95,32.577,727804
2026-02-19,33,33.71,32.84,33.51,33.1307,951214
2026-02-20,33.05,33.74,32.76,33.29,32.9132,388731
2026-02-23,33.03,33.07,32.05,32.29,32.29,351976
