Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,30.05,30.16,29.635,29.82,28.5245,3714839
2025-07-23,30,30.58,29.81,30.57,29.242,4975099
2025-07-24,30.69,30.7,30.3,30.44,29.1176,5811560
2025-07-25,30.45,30.54,30.07,30.22,28.9072,4753571
2025-07-28,30.22,30.405,30.11,30.31,28.9933,2592420
2025-07-29,30.05,30.32,29.85,30.32,29.0028,7285066
2025-07-30,30.17,30.73,30.03,30.7,29.3663,6460246
2025-07-31,30.67,30.84,30.55,30.72,29.3854,4077320
2025-08-01,30.53,30.95,30.36,30.87,29.5289,4903740
2025-08-04,30.58,30.92,30.39,30.39,29.0698,4974105
2025-08-05,30.7,30.87,30.56,30.83,29.4907,4695787
2025-08-06,30.85,31.045,30.74,30.87,29.5289,3574931
2025-08-07,30.72,31.13,30.7,30.96,29.615,4287947
2025-08-08,30.9,31.15,30.75,30.88,29.5385,4599809
2025-08-11,30.95,31.38,30.86,31.24,29.8828,3963350
2025-08-12,31.24,32.09,31.22,31.93,30.5429,8504178
2025-08-13,32.29,32.33,31.61,31.87,30.4855,7228661
2025-08-14,32.2,32.75,32.02,32.5,31.0881,10036310
2025-08-15,32.51,33.08,32.5,33.08,31.6429,8785095
2025-08-18,32.77,32.85,32.48,32.57,31.1551,5145563
2025-08-19,32.54,32.78,32.39,32.77,31.3464,4078780
2025-08-20,32.98,33.97,32.87,33.41,31.9586,7989619
2025-08-21,33.89,33.955,33.42,33.92,32.4464,7527741
2025-08-22,33.8,33.9,33.55,33.87,32.3986,7132823
2025-08-25,33.96,34.09,33.26,33.4,31.949,6394681
2025-08-26,33.43,33.59,33.1,33.15,31.7099,5771485
2025-08-27,33.44,33.44,33.22,33.38,31.9299,2065346
2025-08-28,33.48,33.92,33.41,33.69,32.2264,3117524
2025-08-29,33.75,33.855,33.55,33.67,32.2073,4420646
2025-09-01,33.74,33.855,33.54,33.57,32.1116,2480310
2025-09-02,33.57,33.82,33.44,33.48,32.0255,3321017
2025-09-03,33.2,33.38,32.61,32.76,31.3368,5188026
2025-09-04,32.85,33.37,32.84,33.2,31.7577,5137130
2025-09-05,33.51,33.56,33.29,33.29,31.8438,4087540
2025-09-08,33.06,33.1,32.8,32.95,31.5186,5558528
2025-09-09,33.28,33.28,32.65,32.88,31.4516,5204803
2025-09-10,33.04,33.52,33,33.37,31.9203,5932888
2025-09-11,33.2,33.24,32.69,32.84,31.4133,4510478
2025-09-12,33.1,33.29,32.8,33.19,31.7481,9856648
2025-09-15,32.98,33.21,32.86,32.99,31.5568,3564283
2025-09-16,32.88,32.955,32.59,32.78,31.3559,6112004
2025-09-17,32.66,32.91,32.59,32.89,31.4612,4957986
2025-09-18,33.06,33.1,32.785,32.86,31.4325,5249844
2025-09-19,32.71,33.08,32.68,33.05,31.6142,13659560
2025-09-22,33.05,33.13,32.805,33.02,31.5855,4246300
2025-09-23,33.01,33.46,32.88,33.27,31.8247,4379724
2025-09-24,33.2,33.25,32.46,32.67,31.2507,5686706
2025-09-25,32.62,32.865,32.505,32.78,31.3559,4428293
2025-09-26,32.72,33.11,32.59,32.83,31.4038,4287005
2025-09-29,33.09,33.41,32.97,33.39,31.9394,6114048
2025-09-30,33.39,33.39,33,33.21,31.7673,5133057
2025-10-01,33.05,33.28,32.88,33.28,31.8342,3586190
2025-10-02,33.48,34.1,33.39,33.93,32.456,5110273
2025-10-03,33.93,34.25,33.76,34.2,32.7143,4435375
2025-10-06,34.28,34.41,33.92,34.02,32.5421,2519100
2025-10-07,33.84,34.34,33.67,34.19,32.7047,3819904
2025-10-08,34.29,34.38,34.01,34.37,32.8769,3991073
2025-10-09,34.51,34.8,34.395,34.8,33.2882,7613042
2025-10-10,34.7,35.135,34.635,34.86,33.3456,6571837
2025-10-13,34.85,36.02,34.64,36.01,34.4456,9520513
2025-10-14,36.02,36.94,35.72,35.91,34.35,8425777
2025-10-15,36.2,36.54,36.08,36.1,34.5317,5388194
2025-10-16,36.52,37.075,36.09,36.79,35.1917,5913747
2025-10-17,36.8,36.89,36.35,36.61,35.0196,8025738
2025-10-20,36.73,36.97,36.48,36.77,35.1726,3710738
2025-10-21,37,37.31,36.79,37.01,35.4022,6102079
2025-10-22,37.15,37.31,37.04,37.12,35.5074,4780775
2025-10-23,37,37.26,36.9,36.99,35.3831,2492211
2025-10-24,37.06,37.215,36.55,36.64,35.0483,4626465
2025-10-27,36.9,37.03,36.72,36.85,35.2491,3439022
2025-10-28,37.2,37.63,37.1,37.1,35.4883,3475660
2025-10-29,37.23,37.33,36.74,36.95,35.3448,3023509
2025-10-30,36.76,37.225,36.69,36.86,35.2587,3831597
2025-10-31,36.9,37.125,36.33,36.65,35.0578,4513531
2025-11-03,36.5,37.09,36.38,36.96,35.3544,4810670
2025-11-04,37,37.18,36.73,36.83,35.23,2513665
2025-11-05,37.15,37.44,36.62,36.84,35.2396,4478055
2025-11-06,37.03,37.17,36.85,37,35.3926,6301916
2025-11-07,37.1,37.33,36.66,36.8,35.2013,6214717
2025-11-10,36.55,37.98,35.94,37.98,36.33,8103238
2025-11-11,38,38.68,37.87,38.16,36.5022,8367720
2025-11-12,38.16,38.93,38.16,38.85,37.1623,6831103
2025-11-13,37.75,38.07,36.66,36.94,36.1066,9240999
2025-11-14,36.54,36.57,35.92,35.99,35.178,5673330
2025-11-17,36.01,36.32,35.905,36.18,35.3638,4364046
2025-11-18,36,36.28,35.65,35.85,35.0412,5910527
2025-11-19,35.7,35.7,35.05,35.12,34.3277,5915449
2025-11-20,35.01,35.57,34.88,35.44,34.6405,5878758
2025-11-21,34.98,35.21,34.67,34.9,34.1126,7937572
