Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.25,8.29,8.2,8.29,7.8188,2301219
2025-07-23,8.29,8.3,8.2,8.3,7.8283,2709925
2025-07-24,8.3,8.32,8.23,8.32,7.8471,3535884
2025-07-25,8.32,8.4,8.27,8.35,7.8754,3548477
2025-07-28,8.34,8.37,8.255,8.33,7.8565,1924289
2025-07-29,8.26,8.3,8.22,8.29,7.8188,1744450
2025-07-30,8.28,8.4,8.27,8.39,7.9131,1942527
2025-07-31,8.37,8.42,8.35,8.39,7.9131,4050795
2025-08-01,8.41,8.5,8.38,8.45,7.9697,2558576
2025-08-04,8.42,8.47,8.41,8.47,7.9886,2006545
2025-08-05,8.49,8.55,8.47,8.53,8.0452,2437655
2025-08-06,8.52,8.59,8.49,8.58,8.0923,2093753
2025-08-07,8.58,8.6,8.51,8.54,8.0546,1611075
2025-08-08,8.54,8.62,8.54,8.6,8.1112,1259400
2025-08-11,8.55,8.6,8.51,8.59,8.1018,1475263
2025-08-12,8.6,8.63,8.55,8.63,8.1395,2132647
2025-08-13,8.63,8.68,8.54,8.68,8.1867,2669946
2025-08-14,8.6,8.66,8.5,8.6,8.1112,4815980
2025-08-15,8.63,8.65,8.495,8.57,8.0829,2990518
2025-08-18,8.53,8.65,8.53,8.58,8.0923,1803678
2025-08-19,8.57,8.59,8.41,8.47,7.9886,2216126
2025-08-20,8.63,8.815,8.61,8.76,8.2621,4511664
2025-08-21,8.82,8.89,8.62,8.85,8.347,3082319
2025-08-22,8.84,8.85,8.73,8.77,8.2715,2427579
2025-08-25,8.73,8.8,8.68,8.79,8.2904,2625408
2025-08-26,8.74,8.76,8.64,8.71,8.2149,3686997
2025-08-27,8.72,8.83,8.72,8.78,8.281,2551035
2025-08-28,8.81,8.86,8.77,8.81,8.3093,1788406
2025-08-29,8.81,8.85,8.77,8.81,8.3093,2296759
2025-09-01,8.82,8.98,8.82,8.89,8.3847,1829136
2025-09-02,8.9,8.9,8.745,8.8,8.2998,1942360
2025-09-03,8.83,8.84,8.73,8.75,8.2527,2558490
2025-09-04,8.76,8.86,8.75,8.85,8.347,3668798
2025-09-05,8.88,8.9,8.81,8.88,8.3753,1693357
2025-09-08,8.85,8.86,8.77,8.86,8.3564,1577696
2025-09-09,8.8,8.87,8.78,8.82,8.3187,2423237
2025-09-10,8.85,8.9,8.82,8.85,8.347,3049669
2025-09-11,8.83,8.97,8.82,8.93,8.4224,2211013
2025-09-12,8.95,9.02,8.9,8.96,8.4507,1942686
2025-09-15,8.93,8.97,8.87,8.88,8.3753,1961619
2025-09-16,8.88,8.91,8.83,8.87,8.3659,2295480
2025-09-17,8.89,8.96,8.88,8.89,8.3847,2403009
2025-09-18,8.85,8.95,8.8,8.88,8.3753,3446432
2025-09-19,8.95,8.995,8.84,8.84,8.3376,9719313
2025-09-22,8.83,8.96,8.83,8.9,8.3941,1756093
2025-09-23,8.84,8.92,8.82,8.87,8.3659,2164184
2025-09-24,8.82,8.95,8.77,8.9,8.3941,2764027
2025-09-25,8.81,8.92,8.81,8.85,8.347,2650340
2025-09-26,8.8,8.945,8.8,8.83,8.3281,1894302
2025-09-29,8.85,8.94,8.84,8.89,8.3847,1516457
2025-09-30,8.81,8.92,8.81,8.88,8.3753,2649685
2025-10-01,8.86,9.015,8.84,8.97,8.4602,2499936
2025-10-02,9.05,9.09,8.93,8.98,8.4696,2484344
2025-10-03,8.94,9.045,8.91,8.97,8.4602,2159366
2025-10-06,8.91,9.01,8.9,9,8.4885,1275178
2025-10-07,9.03,9.03,8.89,8.94,8.4319,4067107
2025-10-08,9,9.02,8.94,9.02,8.5073,1749905
2025-10-09,8.97,9.04,8.955,9.01,8.4979,1848247
2025-10-10,8.93,9.09,8.93,9.05,8.5356,1860451
2025-10-13,9.05,9.18,9.04,9.06,8.5451,2516541
2025-10-14,9.02,9.16,9,9.04,8.5262,3152205
2025-10-15,8.99,9.12,8.97,9.03,8.5168,3263624
2025-10-16,9.11,9.125,9,9.08,8.5639,3113226
2025-10-17,9.03,9.09,9,9.09,8.5733,3239308
2025-10-20,9.05,9.1,9.01,9.09,8.5733,2943514
2025-10-21,9.09,9.1,9.01,9.06,8.5451,3082287
2025-10-22,8.97,9.05,8.9,9.02,8.5073,8224529
2025-10-23,9,9.15,8.97,9.1,8.5828,8864728
2025-10-24,9.03,9.2,9.03,9.12,8.6016,2427240
2025-10-27,9.15,9.18,9.09,9.16,8.6394,1770285
2025-10-28,9.16,9.245,9.145,9.2,8.6771,2303023
2025-10-29,9.25,9.26,9.15,9.22,8.696,2450365
2025-10-30,9.18,9.23,9.1,9.11,8.5922,2886958
2025-10-31,9.08,9.21,9.08,9.18,8.6582,2887673
2025-11-03,9.13,9.245,9.08,9.17,8.6488,2100885
2025-11-04,9.17,9.21,9.06,9.12,8.6016,1984837
2025-11-05,9.14,9.27,9.14,9.21,8.6865,2211960
2025-11-06,9.23,9.295,9.22,9.27,8.7431,2482839
2025-11-07,9.28,9.36,9.26,9.35,8.8186,2103136
2025-11-10,9.335,9.35,9.29,9.35,8.8186,2082045
2025-11-11,9.36,9.43,9.355,9.42,8.8846,2275144
2025-11-12,9.41,9.45,9.34,9.43,8.894,3098841
2025-11-13,9.45,9.47,9.25,9.35,8.8186,4382798
2025-11-14,9.25,9.42,9.18,9.37,8.8374,2255039
2025-11-17,9.3,9.38,9.21,9.27,8.7431,2434295
2025-11-18,9.3,9.385,9.26,9.3,8.7714,2985252
2025-11-19,9.37,9.4,9.25,9.35,8.8186,2719830
2025-11-20,9.27,9.35,9.195,9.28,8.7526,2976321
2025-11-21,9.23,9.27,9.15,9.24,8.7148,2467283
2025-11-24,9.25,9.49,9.25,9.47,8.9318,8076130
2025-11-25,9.41,9.46,9.26,9.32,8.7903,2586435
2025-11-26,9.28,9.3,9.17,9.23,8.7054,4058046
2025-11-27,9.2,9.26,9.16,9.22,8.696,1817025
2025-11-28,9.18,9.26,9.17,9.26,8.7337,2404452
2025-12-01,9.27,9.28,9.16,9.22,8.696,1890354
2025-12-02,9.3,9.3,9.17,9.18,8.6582,4739081
2025-12-03,9.17,9.29,9.17,9.29,8.762,5917431
2025-12-04,9.3,9.365,9.26,9.34,8.8091,2853308
2025-12-05,9.28,9.32,9.24,9.32,8.7903,2020862
2025-12-08,9.25,9.27,9.17,9.25,8.7243,1955296
2025-12-09,9.18,9.2,9.06,9.11,8.5922,3369992
2025-12-10,9.09,9.18,9.07,9.1,8.5828,3330254
2025-12-11,9.09,9.16,9.03,9.09,8.5733,2659378
2025-12-12,9.06,9.19,9.06,9.12,8.6016,2982439
2025-12-15,9.09,9.14,9.02,9.07,8.5545,2920039
2025-12-16,9.08,9.14,9.02,9.12,8.6016,2583124
2025-12-17,9.05,9.14,9.05,9.14,8.6205,2790008
2025-12-18,9.23,9.41,9.15,9.25,8.7243,4466883
2025-12-19,9.37,9.405,9.285,9.31,8.7808,7532571
2025-12-22,9.26,9.3,9.19,9.28,8.7526,2070154
2025-12-23,9.27,9.35,9.12,9.35,8.8186,1811227
2025-12-24,9.29,9.36,9.29,9.34,8.8091,768315
2025-12-29,9.36,9.43,9.33,9.37,8.8374,3694721
2025-12-30,9.22,9.22,9.04,9.06,8.8034,1967442
2025-12-31,9.05,9.09,8.97,8.97,8.716,1984503
2026-01-02,9,9.12,9,9.04,8.784,1141408
2026-01-05,9,9.14,8.99,9.03,8.7743,2021995
2026-01-06,9.1,9.1,8.69,8.77,8.5216,4209402
2026-01-07,8.79,8.87,8.76,8.82,8.5702,2427255
2026-01-08,8.89,8.9,8.75,8.83,8.5799,2365521
2026-01-09,8.83,8.86,8.75,8.78,8.5314,1848953
2026-01-12,8.76,8.78,8.58,8.58,8.337,3210907
2026-01-13,8.54,8.665,8.445,8.6,8.3565,2789443
2026-01-14,8.65,8.72,8.62,8.71,8.4633,3784027
2026-01-15,8.71,8.71,8.62,8.67,8.4245,2387454
2026-01-16,8.64,8.72,8.6,8.71,8.4633,2864174
2026-01-19,8.72,8.84,8.7,8.8,8.5508,2541306
2026-01-20,8.72,8.84,8.72,8.84,8.5897,5639569
2026-01-21,8.78,8.93,8.73,8.93,8.6771,2779327
2026-01-22,8.93,9.1,8.93,9,8.7451,3984730
2026-01-23,8.97,9.09,8.94,8.99,8.7354,2334230
2026-01-27,9.08,9.2,8.975,8.99,8.7354,4061184
2026-01-28,8.99,9.03,8.865,8.92,8.6674,3407806
2026-01-29,8.99,8.99,8.84,8.92,8.6674,2699394
2026-01-30,8.83,8.98,8.81,8.86,8.6091,6342264
2026-02-02,8.83,9.03,8.8,8.96,8.7063,2537131
2026-02-03,8.92,9.03,8.83,8.87,8.6188,3123796
2026-02-04,8.85,8.87,8.74,8.87,8.6188,2547113
2026-02-05,8.91,8.95,8.82,8.89,8.6382,2391731
2026-02-06,8.8,8.82,8.63,8.73,8.4828,3035171
2026-02-09,8.73,8.805,8.66,8.8,8.5508,1746687
2026-02-10,8.82,8.87,8.74,8.78,8.5314,2606150
2026-02-11,8.75,8.905,8.7,8.86,8.6091,1927926
2026-02-12,9.07,9.15,8.98,8.98,8.7257,3597623
2026-02-13,8.99,9.14,8.99,9.07,8.8131,2261854
2026-02-16,9.08,9.19,9.08,9.1,8.8423,2108276
2026-02-17,9.07,9.17,9.07,9.13,8.8714,1914156
2026-02-18,9.13,9.27,9.08,9.23,8.9686,5878854
2026-02-19,9.27,9.28,8.8,9.01,8.7548,4679129
2026-02-20,8.95,9.2,8.86,9.14,8.8812,3069984
2026-02-23,9.15,9.28,9.09,9.12,8.8617,2432641
2026-02-24,9.15,9.19,9.1,9.15,8.8909,1801721
2026-02-25,9.1,9.2,9,9.06,8.8034,2179193
2026-02-26,9.17,9.2,9,9.06,8.8034,1878481
2026-02-27,8.95,9.2,8.95,9.2,8.9395,5380917
2026-03-02,9.24,9.39,9.18,9.37,9.1046,2770702
2026-03-03,9.33,9.34,9.18,9.29,9.0269,2887359
2026-03-04,9.29,9.33,9.095,9.25,8.988,2386783
2026-03-05,9.23,9.27,9.13,9.23,8.9686,2642788
2026-03-06,9.13,9.3,9.1,9.23,8.9686,2316553
2026-03-09,9.1,9.16,9.05,9.16,8.9006,3023722
2026-03-10,9.24,9.24,9.07,9.14,8.8812,2585165
2026-03-11,9.14,9.17,9.07,9.12,8.8617,1900364
2026-03-12,9.08,9.13,9.02,9.13,8.8714,2161299
2026-03-13,9.14,9.24,9.13,9.18,8.92,1777432
2026-03-16,9.25,9.3,9.17,9.22,8.9589,1974329
2026-03-17,9.15,9.33,9.15,9.33,9.0658,2874602
2026-03-18,9.33,9.5,9.29,9.47,9.2018,3591396
2026-03-19,9.52,9.57,9.42,9.57,9.299,4632749
2026-03-20,9.55,9.6,9.42,9.47,9.2018,6048252
2026-03-23,9.4,9.58,9.38,9.57,9.299,4146949
2026-03-24,9.6,9.6,9.38,9.54,9.2698,6139213
2026-03-25,9.6,9.71,9.59,9.64,9.367,3789614
2026-03-26,9.63,9.72,9.57,9.65,9.3767,5286235
2026-03-27,9.64,9.68,9.58,9.61,9.3379,2167957
2026-03-30,9.57,9.87,9.55,9.83,9.5516,3473481
2026-03-31,9.75,9.95,9.64,9.95,9.6682,7062967
2026-04-01,9.92,9.93,9.67,9.8,9.5225,5962366
2026-04-02,9.84,9.89,9.8,9.86,9.5808,5809149
2026-04-07,9.91,10.02,9.9,10,9.7168,4213623
2026-04-08,10,10.01,9.68,9.77,9.4933,6492736
2026-04-09,9.84,9.97,9.77,9.92,9.6391,3099564
2026-04-10,9.9,10.05,9.89,9.99,9.7071,2424996
2026-04-13,10.01,10.1,10,10.04,9.7557,2338002
2026-04-14,10.09,10.16,9.91,9.96,9.6779,2972216
2026-04-15,9.81,9.9,9.73,9.77,9.4933,2813857
2026-04-16,9.77,9.81,9.66,9.74,9.4642,2324463
2026-04-17,9.74,9.94,9.74,9.94,9.6585,2868575
2026-04-20,10.01,10.02,9.85,9.94,9.6585,1368873
2026-04-21,10,10,9.87,9.91,9.6294,5797381
2026-04-22,9.95,10.035,9.905,9.96,9.6779,1846694
2026-04-23,9.88,10,9.83,10,9.7168,2213194
2026-04-24,10,10.12,9.91,10.12,9.8334,2723890
2026-04-27,10.16,10.18,10.09,10.14,9.8528,1482345
2026-04-28,10.04,10.14,10.03,10.13,9.8431,2165118
2026-04-29,10.08,10.21,10.06,10.19,9.9014,2372631
2026-04-30,10.2,10.34,10.18,10.34,10.0472,4004426
2026-05-01,10.4,10.5,10.38,10.5,10.2026,2432923
2026-05-04,10.45,10.53,10.39,10.42,10.1249,1474581
2026-05-05,10.5,10.51,10.32,10.46,10.1638,1566181
2026-05-06,10.49,10.6,10.45,10.47,10.1735,2171805
2026-05-07,10.6,10.6,10.445,10.53,10.2318,2725160
2026-05-08,10.45,10.5,10.31,10.32,10.0277,2729828
2026-05-11,10.32,10.4,10.29,10.36,10.0666,2275142
2026-05-12,10.4,10.51,10.32,10.5,10.2026,2851597
2026-05-13,10.55,10.69,10.51,10.52,10.2221,2579998
2026-05-14,10.48,10.68,10.3,10.66,10.3581,2807019
2026-05-15,10.7,10.75,10.54,10.56,10.2609,3274031
2026-05-18,10.56,10.63,10.23,10.28,9.9889,2491715
2026-05-19,10.4,10.47,10.32,10.35,10.0569,4218120
2026-05-20,10.34,10.4,10.25,10.35,10.0569,2330580
2026-05-21,10.44,10.44,10.28,10.33,10.0375,2557266
2026-05-22,10.43,10.43,10.17,10.3,10.0083,2961951
2026-05-25,10.3,10.33,10.2,10.3,10.0083,2198023
2026-05-26,10.3,10.3,10.12,10.12,9.8334,2247367
2026-05-27,10.1,10.14,9.97,10.14,9.8528,2437211
2026-05-28,10.21,10.22,10.04,10.1,9.814,2749292
2026-05-29,10.08,10.12,9.95,10.08,9.7945,11240187
2026-06-01,10.1,10.13,9.985,10.09,9.8043,1851900
2026-06-02,10.03,10.13,9.87,10.13,9.8431,3443704
2026-06-03,10.25,10.25,10.07,10.13,9.8431,3230237
2026-06-04,10.28,10.33,10.215,10.33,10.0375,2281160
2026-06-05,10.39,10.4,10.28,10.39,10.0958,2116728
2026-06-09,10.45,10.45,10.26,10.34,10.0472,3576912
2026-06-10,10.43,10.55,10.34,10.55,10.2512,2973058
2026-06-11,10.66,10.81,10.6,10.81,10.5039,3298995
2026-06-12,11.1,11.1,10.75,10.87,10.5622,2408808
2026-06-15,10.84,10.86,10.65,10.82,10.5136,2789114
2026-06-16,10.8,10.81,10.61,10.74,10.4358,1791947
2026-06-17,10.68,10.69,10.39,10.42,10.1249,2503079
2026-06-18,10.71,10.71,10.31,10.42,10.1249,5272286
2026-06-19,10.45,10.45,10.12,10.29,9.9986,11343447
2026-06-22,10.35,10.43,10.29,10.31,10.018,1505421
2026-06-23,10.4,10.42,10.31,10.36,10.0666,1505526
2026-06-24,10.55,10.61,10.44,10.44,10.1443,4662004
2026-06-25,10.57,10.7,10.54,10.63,10.329,3790574
2026-06-26,10.74,10.82,10.63,10.77,10.465,3418262
2026-06-29,10.43,10.48,10.19,10.21,10.21,2898950
2026-06-30,10.21,10.37,10.14,10.14,10.14,3614656
2026-07-01,10.01,10.185,9.93,10.14,10.14,2915523
2026-07-02,10.04,10.06,9.83,9.95,9.95,3572312
2026-07-03,9.95,9.99,9.85,9.93,9.93,2174730
2026-07-06,9.92,9.92,9.81,9.87,9.87,2025567
2026-07-07,9.9,9.95,9.78,9.84,9.84,2826605
2026-07-08,9.8,9.98,9.79,9.9,9.9,2644047
2026-07-09,9.9,9.96,9.79,9.94,9.94,2117876
2026-07-10,9.87,9.95,9.775,9.95,9.95,2023897
2026-07-13,9.92,9.955,9.78,9.93,9.93,1857450
2026-07-14,9.94,10.1,9.93,9.99,9.99,2848644
2026-07-15,9.98,10.01,9.89,9.98,9.98,2130868
2026-07-16,9.96,10.095,9.94,10.06,10.06,3414851
2026-07-17,10.08,10.33,10.06,10.29,10.29,3664044
2026-07-20,10.31,10.34,10.1,10.18,10.18,2228467
2026-07-21,10.21,10.23,10.12,10.13,10.13,2357069
2026-07-22,10.09,10.2,10.05,10.16,10.16,2418973
2026-07-23,10.19,10.29,10.16,10.22,10.22,1880188
2026-07-24,10.25,10.36,10.22,10.28,10.28,2461978
2026-07-27,10.27,10.32,10.18,10.32,10.32,2041411
2026-07-28,10.17,10.335,10.16,10.28,10.28,1913720
2026-07-29,10.18,10.41,10.18,10.36,10.36,2746605
2026-07-30,10.3,10.32,10.11,10.18,10.18,2513580
2026-07-31,10.16,10.26,10.15,10.19,10.19,2686069
2026-08-03,10.19,10.3,10.175,10.3,10.3,1792325
2026-08-04,10.3,10.38,10.23,10.3,10.3,2196406
2026-08-05,10.2,10.27,9.97,10.18,10.18,2255030
2026-08-06,10.18,10.3,10,10,10,2367238
2026-08-07,9.99,10.04,9.86,9.91,9.91,1991640
2026-08-10,9.85,9.89,9.76,9.89,9.89,1905647
2026-08-11,9.89,10.02,9.82,9.96,9.96,1620273
2026-08-12,9.95,10.085,9.95,10.06,10.06,1898851
2026-08-13,10.12,10.23,10.04,10.08,10.08,1814057
2026-08-14,10.05,10.07,10,10.06,10.06,1268033
2026-08-17,10.11,10.2,9.96,9.98,9.98,1505213
2026-08-18,9.85,10.01,9.81,10.01,10.01,1873459
2026-08-19,10.05,10.1,9.97,10.1,10.1,1690232
2026-08-20,10.14,10.23,10.04,10.19,10.19,2395888
2026-08-21,10.25,10.65,10.2,10.52,10.52,2867380
