Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,18.9,18.9,18.39,18.66,18.0717,338087
2025-07-23,18.66,18.78,18.465,18.74,18.1491,323908
2025-07-24,18.72,18.76,18.47,18.75,18.1588,264824
2025-07-25,18.78,18.96,18.56,18.81,18.2169,228070
2025-07-28,18.95,19,18.78,18.92,18.3235,234691
2025-07-29,18.95,19.2,18.59,19.03,18.43,248718
2025-07-30,19.03,19.2,18.98,19.15,18.5462,256504
2025-07-31,19.3,19.92,19.05,19.62,19.0014,373170
2025-08-01,19.45,20.065,19.26,19.97,19.3403,351650
2025-08-04,19.83,20.04,19.7,19.91,19.2822,205557
2025-08-05,20.08,20.18,19.9,20.08,19.4469,326655
2025-08-06,20.1,20.18,19.88,20.15,19.5147,183347
2025-08-07,20.1,20.6,19.93,20.6,19.9505,263750
2025-08-08,20.54,20.72,20.54,20.65,19.9989,245482
2025-08-11,20.6,20.81,20.29,20.46,19.8149,187674
2025-08-12,20.46,20.74,20.46,20.71,20.057,322532
2025-08-13,20.71,21.5,20.71,21.35,20.6768,295117
2025-08-14,21.35,21.51,21.16,21.24,20.5703,364779
2025-08-15,21.22,21.33,20.99,21.22,20.5509,306067
2025-08-18,21,21.45,21,21.41,20.7349,166841
2025-08-19,21.4,21.58,21.2,21.55,20.8705,243432
2025-08-20,21.82,22.12,21.565,21.97,21.2773,275765
2025-08-21,22,22.67,21.78,22.58,21.8681,310796
2025-08-22,22.5,22.6,21.8,21.99,21.2967,448851
2025-08-25,21.99,22.245,21.81,22.16,21.4613,311080
2025-08-26,22,22.03,21.64,22.01,21.316,448244
2025-08-27,22.04,22.77,21.73,22.55,21.839,649212
2025-08-28,25,27.44,24.87,25.26,24.4636,1275739
2025-08-29,24.89,27.695,24.89,27.65,26.7782,1118183
2025-09-01,27.5,28.545,27.49,28.16,27.2721,887487
2025-09-02,28.01,28.31,27.28,27.44,26.5748,535088
2025-09-03,27.91,27.95,26.58,26.8,25.955,881521
2025-09-04,26.82,27.12,26.39,27.12,26.2649,905026
2025-09-05,27,27.62,26.94,27.02,26.3966,530463
2025-09-08,26,27.57,25.02,27.25,26.6213,633673
2025-09-09,27.29,27.405,26.64,26.72,26.1035,411180
2025-09-10,26.85,27.29,26.82,27.06,26.4356,419648
2025-09-11,27.34,27.38,26.31,26.41,25.8006,480869
2025-09-12,26.61,26.795,26.29,26.33,25.7225,304466
2025-09-15,26.13,26.44,26.01,26.38,25.7713,364318
2025-09-16,26.49,26.8,26.16,26.65,26.0351,325475
2025-09-17,26.78,27.39,26.64,26.81,26.1914,471002
2025-09-18,26.87,27.24,26.64,26.95,26.3282,301887
2025-09-19,27,28.29,26.625,28.29,27.6373,2689770
2025-09-22,27.93,28.5,27.93,28.14,27.4907,476148
2025-09-23,27.98,28.38,27.83,28.38,27.7252,363651
2025-09-24,27.5747,27.604,27.2519,27.604,26.9671,309119
2025-09-25,27.2519,27.7899,27.1443,27.5355,26.9002,389677
2025-09-26,27.5844,28.3083,27.1345,28.3083,27.6551,473607
2025-09-29,28.3083,28.6996,27.741,28.1518,27.5022,344450
2025-09-30,28.0931,28.7387,28.0051,28.68,28.0183,416910
2025-10-01,28.68,28.68,28.68,28.68,28.0183,0
2025-10-02,28.68,28.68,28.68,28.68,28.0183,0
2025-10-03,28.99,33.8,28.59,33.8,33.0201,1584721
2025-10-06,33.5,34.55,32.35,33.7,32.9224,846102
2025-10-07,34.54,35.64,33.85,34.65,33.8505,1090435
2025-10-08,34.99,35.11,33.53,33.95,33.1667,886984
2025-10-09,34.38,34.87,33.545,34.14,33.3523,752355
2025-10-10,34,34.78,33.74,34.15,33.362,769738
2025-10-13,34.58,34.99,33.55,34.73,33.9287,742677
2025-10-14,34.65,34.88,33.93,34.11,33.323,1067531
2025-10-15,34.3,34.6,33.66,33.73,32.9517,733342
2025-10-16,34.01,34.55,31.91,32.07,31.33,1359005
2025-10-17,31.83,32.06,31.24,31.58,30.8513,1092742
2025-10-20,31.4,31.78,30.74,31.03,30.314,1012571
2025-10-21,31.5,32.23,31.2,31.73,30.9979,973285
2025-10-22,31.73,31.73,30.5,31.13,30.4117,810893
2025-10-23,31.13,31.22,30.41,30.54,29.8353,368102
2025-10-24,30.69,30.93,30.09,30.57,29.8646,749283
2025-10-27,30.6,31.27,30.13,31.1,30.3824,443199
2025-10-28,31.5,33.06,31.4,33.06,32.2972,582629
2025-10-29,32.86,33.84,32.69,33.43,32.6587,704261
2025-10-30,32.69,33.48,32.67,33.4,32.6293,504818
2025-10-31,33.34,34.25,32.99,34.06,33.2741,597010
2025-11-03,34.15,35.01,34.14,34.42,33.6258,796632
2025-11-04,33.85,34,32.05,32.55,31.799,878260
2025-11-05,33.69,34,32.33,32.84,32.0823,830490
2025-11-06,33.08,33.32,32.145,32.78,32.0237,892273
2025-11-07,32.82,32.89,31.4,31.43,30.7048,584504
2025-11-10,31.85,31.95,31.44,31.83,31.0956,689953
2025-11-11,31.84,31.86,31.01,31.59,30.8611,754452
2025-11-12,31.5,31.78,30.87,31.03,30.314,617441
2025-11-13,30.92,31.2,30.46,30.64,29.933,537631
2025-11-14,29.72,30.42,29.69,30.32,29.6204,506587
2025-11-17,29.8,30.92,28.7,30.79,30.0796,484367
2025-11-18,30.9,31.21,29.95,30.15,29.4543,644332
2025-11-19,30.66,30.73,29.3,29.69,29.005,453870
2025-11-20,29.8,30.44,29.6,29.63,28.9463,548017
2025-11-21,29.03,29.47,28.5,28.5,27.8424,887739
2025-11-24,28.82,29.22,28.42,29.21,28.536,2005274
2025-11-25,29.24,30.09,29.05,30.09,29.3957,486072
2025-11-26,30.24,30.89,30.15,30.51,29.806,413677
2025-11-27,30.47,30.53,29.12,29.58,28.8975,416767
2025-11-28,29.36,29.41,28.09,28.48,27.8229,818638
2025-12-01,28.23,28.3,26.58,27.87,27.2269,1343360
2025-12-02,27.03,28.32,27.03,28.3,27.647,720149
2025-12-03,28,28.59,27.71,28.19,27.5396,881216
2025-12-04,28.08,28.28,27.67,27.84,27.1976,455186
2025-12-05,27.69,27.995,26.62,26.84,26.2207,1173520
2025-12-08,26.52,27.27,26.29,26.9,26.2793,1616057
2025-12-09,26.84,26.89,26.17,26.32,25.7127,637890
2025-12-10,26.45,27.06,25.53,25.71,25.1168,884478
2025-12-11,25.8,25.895,24.62,24.7,24.1301,2433065
2025-12-12,24.86,24.86,23.9,24.52,23.9542,1181267
2025-12-15,24.5,24.95,24.3,24.76,24.1887,873108
2025-12-16,24.51,25.12,24.35,24.64,24.0715,1011163
2025-12-17,24.35,24.72,24.07,24.17,23.6123,876827
2025-12-18,23.9,24.08,23.31,23.83,23.2802,1258121
2025-12-19,24.08,24.45,23.56,23.99,23.4365,4613845
2025-12-22,24.28,25.54,24.25,25.5,24.9116,798617
2025-12-23,24.8,25.61,24.78,24.8,24.2278,632168
2025-12-24,24.65,24.79,24.24,24.6,24.0324,323037
2025-12-29,25.49,25.49,24.425,24.57,24.0031,315587
2025-12-30,24.74,24.93,24.55,24.88,24.3059,265222
2025-12-31,24.88,25.01,24.28,24.64,24.0715,280131
2026-01-02,24.45,24.95,24.45,24.65,24.0812,172637
2026-01-05,24.71,24.825,24.39,24.75,24.1789,327853
2026-01-06,24.79,25.32,24.59,24.7,24.1301,353190
2026-01-07,24.71,24.95,24.38,24.94,24.3646,266347
2026-01-08,24.82,25.5,24.82,25.43,24.8432,492362
2026-01-09,26.46,27.27,26.46,26.64,26.0253,771515
2026-01-12,26.67,27.3,26.63,27.18,26.5529,551885
2026-01-13,27.49,27.49,26.41,26.41,25.8006,568003
2026-01-14,26.41,26.97,26.27,26.69,26.0742,398972
2026-01-15,26.01,26.87,26.01,26.87,26.25,382188
2026-01-16,26.78,27.605,26.58,27.45,26.8166,402251
2026-01-19,27.35,27.84,27.2,27.32,26.6896,511347
2026-01-20,27.1,27.89,27.02,27.78,27.139,431430
2026-01-21,27.69,27.77,27.31,27.69,27.0511,762564
2026-01-22,27.73,29.1,27.725,29.1,28.4286,882533
2026-01-23,29,29.26,27.77,27.97,27.3246,618532
2026-01-27,28.18,28.42,27.73,28.33,27.6763,413137
2026-01-28,28.28,28.44,27.69,27.86,27.2172,446415
2026-01-29,27.86,28,27.49,28,27.3539,507294
2026-01-30,27.9,28.11,26.78,26.83,26.2109,836429
2026-02-02,26.57,26.76,26.005,26.24,25.6346,476583
2026-02-03,26.67,26.99,25.91,26.07,25.4685,572158
2026-02-04,26.07,26.17,24.81,25.35,24.7651,559640
2026-02-05,25.6,25.69,24.72,25.37,24.7846,521331
2026-02-06,24.67,25.24,24.57,25.17,24.5892,480441
2026-02-09,25.2,25.75,25.17,25.75,25.1559,552230
2026-02-10,25.76,25.94,25.49,25.93,25.3317,353728
2026-02-11,25.79,26.5,25.67,26.5,25.8886,386948
2026-02-12,26.02,26.3,25.45,25.75,25.1559,617757
2026-02-13,25.7,25.75,24.5,24.67,24.1008,535096
2026-02-16,24.89,25.24,24.555,25.23,24.6479,455444
2026-02-17,25.25,25.54,24.92,25.06,24.4818,430071
2026-02-18,25.3,25.79,25.04,25.6,25.0093,385305
2026-02-19,25.96,26.7,24.2,26.33,25.7225,1033051
2026-02-20,25.9,26.2,24.15,25.57,24.98,1692023
2026-02-23,25.5,25.91,24.78,25.19,24.6088,559202
2026-02-24,24.98,25.23,24.38,24.71,24.1399,716523
2026-02-25,24.62,25.07,23.86,24.13,23.5732,694231
2026-02-26,24.24,24.35,23.85,24.22,23.6612,434178
2026-02-27,24.39,24.39,23.44,24,23.4462,689789
2026-03-02,23.5,23.82,23.17,23.4,22.8601,455179
2026-03-03,23.3,23.3,21.98,22.08,21.5705,738266
2026-03-04,21.8,21.8,21.42,21.67,21.17,778567
2026-03-05,21.38,21.79,20.86,21.59,21.59,629126
2026-03-06,20.97,22.08,20.97,21.75,21.75,649383
2026-03-09,20.36,20.97,20.23,20.75,20.75,656719
2026-03-10,21.18,21.2,20.6,21.11,21.11,561629
2026-03-11,21.11,21.8,20.91,21.16,21.16,555664
2026-03-12,21,21.38,20.68,21,21,693630
2026-03-13,21.34,21.34,20.69,21,21,461742
2026-03-16,20.82,21.26,20.72,20.95,20.95,518960
2026-03-17,20.91,21.21,20.61,21.02,21.02,430691
2026-03-18,21.1,21.1,20.6,20.78,20.78,403642
2026-03-19,20.45,20.68,20.01,20.09,20.09,588750
2026-03-20,20.2,20.43,20.06,20.19,20.19,2252165
2026-03-23,20.01,21.52,19.8,21.42,21.42,623397
2026-03-24,21.78,22.16,21.18,21.63,21.63,574440
2026-03-25,22.1,23.14,21.94,22.83,22.83,920001
2026-03-26,22.76,22.97,22.35,22.35,22.35,589158
2026-03-27,22,22.54,22,22.18,22.18,420868
2026-03-30,21.66,21.855,21.48,21.73,21.73,341449
2026-03-31,21.75,22.82,21.64,22.5,22.5,598420
2026-04-01,23.4,24.88,23.01,24.63,24.63,1210736
2026-04-02,24.9,25.22,23.48,23.69,23.69,869506
2026-04-07,24.86,24.96,23.55,23.73,23.73,1099594
2026-04-08,24.35,24.68,23.59,24,24,1074460
2026-04-09,23.38,23.75,22.945,23.52,23.52,628210
2026-04-10,23.42,23.74,23.15,23.44,23.44,394335
2026-04-13,23.2,23.51,22.91,23.18,23.18,581711
2026-04-14,23.5,23.58,23.135,23.5,23.5,479426
2026-04-15,23.82,23.96,23.22,23.22,23.22,372395
2026-04-16,23.6,23.96,23.25,23.69,23.69,400779
2026-04-17,23.4,24.27,23.4,23.65,23.65,924481
