Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.86,0.92,0.84,0.89,0.89,8436034
2025-04-28,0.92,0.935,0.86,0.86,0.86,7384089
2025-04-29,0.86,0.895,0.855,0.885,0.885,9967446
2025-04-30,0.94,0.95,0.8,0.8,0.8,19827868
2025-05-01,0.81,0.82,0.7725,0.79,0.79,7677121
2025-05-02,0.79,0.81,0.77,0.77,0.77,12565493
2025-05-05,0.77,0.8775,0.77,0.84,0.84,12129594
2025-05-06,0.835,0.84,0.795,0.8,0.8,8064576
2025-05-07,0.8,0.86,0.78,0.855,0.855,8970600
2025-05-08,0.855,0.895,0.835,0.88,0.88,8105334
2025-05-09,0.885,0.9575,0.87,0.915,0.915,13262189
2025-05-12,0.925,0.95,0.8925,0.945,0.945,7137354
2025-05-13,0.98,1.18,0.975,1.11,1.11,23276381
2025-05-14,1.16,1.185,1.09,1.175,1.175,15334242
2025-05-15,1.18,1.29,1.175,1.23,1.23,20269411
2025-05-16,1.335,1.545,1.305,1.46,1.46,30392658
2025-05-19,1.46,1.48,1.23,1.23,1.23,15933152
2025-05-20,1.275,1.32,1.235,1.25,1.25,11525252
2025-05-21,1.23,1.24,1.12,1.125,1.125,10803996
2025-05-22,1.1,1.17,1.095,1.15,1.15,10669796
2025-05-23,1.16,1.19,1.125,1.145,1.145,6750424
2025-05-26,1.13,1.27,1.125,1.265,1.265,8895043
2025-05-27,1.25,1.275,1.21,1.255,1.255,6810013
2025-05-28,1.3,1.335,1.22,1.23,1.23,9261959
2025-05-29,1.26,1.3075,1.235,1.28,1.28,8324092
2025-05-30,1.255,1.255,1.195,1.2,1.2,8500528
2025-06-02,1.18,1.18,1.095,1.095,1.095,7371597
2025-06-03,1.105,1.145,1.09,1.09,1.09,5438937
2025-06-04,1.115,1.195,1.105,1.175,1.175,6930644
2025-06-05,1.185,1.215,1.145,1.16,1.16,6217774
2025-06-06,1.135,1.155,1.12,1.145,1.145,4093641
2025-06-10,1.15,1.175,1.09,1.09,1.09,7753348
2025-06-11,1.085,1.125,1.04,1.05,1.05,9839226
2025-06-12,1.05,1.1,1,1.055,1.055,11267583
2025-06-13,1.065,1.07,0.995,1.02,1.02,7814487
2025-06-16,0.99,1.025,0.97,0.995,0.995,7950969
2025-06-17,1.025,1.035,0.995,1,1,8891629
2025-06-18,0.99,1,0.945,0.985,0.985,10553336
2025-06-19,1,1.07,0.99,1.04,1.04,8956898
2025-06-20,1.035,1.1,1.03,1.03,1.03,9489425
2025-06-23,1.02,1.035,0.955,0.97,0.97,9100170
2025-06-24,1.015,1.08,1.01,1.07,1.07,8909837
2025-06-25,1.09,1.165,1.09,1.13,1.13,9590112
2025-06-26,1.13,1.185,1.115,1.15,1.15,8819937
2025-06-27,1.175,1.2125,1.15,1.15,1.15,9683122
2025-06-30,1.15,1.16,1.11,1.12,1.12,5588339
2025-07-01,1.135,1.19,1.12,1.16,1.16,7572265
2025-07-02,1.145,1.17,1.12,1.13,1.13,4621314
2025-07-03,1.13,1.17,1.12,1.13,1.13,5955655
2025-07-04,1.15,1.22,1.145,1.17,1.17,12797413
2025-07-07,1.18,1.18,1.1325,1.135,1.135,6270007
2025-07-08,1.125,1.175,1.11,1.14,1.14,6751645
2025-07-09,1.135,1.14,1.105,1.125,1.125,5168087
2025-07-10,1.135,1.155,1.095,1.11,1.11,6718066
2025-07-11,1.13,1.16,1.105,1.11,1.11,6450943
2025-07-14,1.105,1.105,1.04,1.075,1.075,6845264
2025-07-15,1.09,1.165,1.075,1.15,1.15,9819460
2025-07-16,1.13,1.21,1.13,1.2,1.2,8559522
2025-07-17,1.21,1.24,1.1475,1.16,1.16,8714932
2025-07-18,1.18,1.2,1.165,1.175,1.175,5405365
2025-07-21,1.18,1.21,1.155,1.18,1.18,6115544
2025-07-22,1.185,1.1875,1.13,1.145,1.145,6959612
2025-07-23,1.145,1.2,1.135,1.18,1.18,5987286
2025-07-24,1.19,1.245,1.175,1.245,1.245,10595889
2025-07-25,1.24,1.275,1.21,1.22,1.22,8840328
2025-07-28,1.23,1.235,1.1575,1.16,1.16,6772899
2025-07-29,1.145,1.145,1.09,1.095,1.095,8660076
2025-07-30,0.995,1.015,0.93,0.955,0.955,20908148
2025-07-31,0.95,0.955,0.89,0.9,0.9,10373296
2025-08-01,0.885,0.92,0.875,0.915,0.915,5970357
2025-08-04,0.915,0.93,0.895,0.925,0.925,4154759
2025-08-05,0.935,0.9525,0.92,0.925,0.925,3213937
2025-08-06,0.925,0.945,0.92,0.925,0.925,3716229
2025-08-07,0.92,0.925,0.9,0.9,0.9,3828840
2025-08-08,0.9,0.915,0.89,0.89,0.89,3263095
