Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.88,3.905,3.86,3.88,3.8162,379266
2025-07-23,3.9,3.9,3.79,3.84,3.7769,404024
2025-07-24,3.84,3.88,3.78,3.85,3.7867,464504
2025-07-25,3.84,3.89,3.82,3.85,3.7867,624170
2025-07-28,3.85,3.9,3.81,3.9,3.8359,260350
2025-07-29,3.85,3.92,3.82,3.84,3.7769,1075470
2025-07-30,3.86,3.97,3.86,3.92,3.8556,536279
2025-07-31,3.92,3.98,3.88,3.95,3.8851,314196
2025-08-01,3.97,4.05,3.93,4.01,3.9441,509769
2025-08-04,4.05,4.08,3.97,4.05,3.9834,303475
2025-08-05,4.09,4.16,4.04,4.12,4.0523,335545
2025-08-06,4.12,4.12,4.07,4.07,4.0031,1248991
2025-08-07,4.1,4.13,4.06,4.09,4.0228,303339
2025-08-08,4.09,4.09,4,4.02,3.9539,290107
2025-08-11,4.04,4.04,3.92,3.94,3.8752,222125
2025-08-12,3.94,3.95,3.88,3.92,3.8556,347003
2025-08-13,3.92,3.99,3.83,3.87,3.8064,339461
2025-08-14,3.86,3.98,3.82,3.93,3.8654,518216
2025-08-15,3.9,3.94,3.88,3.9,3.8359,333728
2025-08-18,3.89,3.96,3.82,3.93,3.8654,379928
2025-08-19,3.9,4,3.88,3.95,3.8851,470856
2025-08-20,3.9,4.01,3.9,4.01,3.9441,341504
2025-08-21,4.04,4.32,4.04,4.32,4.249,5001645
2025-08-22,4.28,4.3,4.11,4.17,4.1015,776974
2025-08-25,4.19,4.295,4.19,4.22,4.1506,451297
2025-08-26,4.25,4.37,4.22,4.3,4.2293,263733
2025-08-27,4.35,4.35,4.22,4.3,4.2293,516957
2025-08-28,4.32,4.46,4.29,4.32,4.249,410692
2025-08-29,4.33,4.45,4.28,4.34,4.2687,442491
2025-09-01,4.34,4.36,4.28,4.3,4.2293,261319
2025-09-02,4.25,4.3,4.21,4.25,4.1801,293958
2025-09-03,4.21,4.36,4.21,4.3,4.2293,335287
2025-09-04,4.3,4.37,4.28,4.3,4.2293,109759
2025-09-05,4.3,4.36,4.27,4.28,4.2096,340268
2025-09-08,4.36,4.47,4.3,4.4,4.3277,804123
2025-09-09,4.4,4.45,4.36,4.37,4.2982,615596
2025-09-10,4.38,4.4,4.31,4.33,4.2588,320269
2025-09-11,4.34,4.37,4.3,4.34,4.2687,419304
2025-09-12,4.36,4.38,4.3,4.35,4.2785,251691
2025-09-15,4.35,4.355,4.21,4.31,4.2392,386451
2025-09-16,4.33,4.37,4.28,4.34,4.2687,585155
2025-09-17,4.3,4.33,4.2,4.21,4.1408,242939
2025-09-18,4.22,4.3,4.11,4.27,4.1998,366184
2025-09-19,4.36,4.36,4.14,4.34,4.2687,16477391
2025-09-22,4.3,4.36,4.22,4.22,4.1506,270962
2025-09-23,4.2,4.37,4.175,4.32,4.249,730862
2025-09-24,4.3,4.45,4.27,4.45,4.3769,552949
2025-09-25,4.4,4.52,4.34,4.48,4.4064,554071
2025-09-26,4.52,4.75,4.51,4.7,4.6227,943218
2025-09-29,4.7,4.72,4.635,4.69,4.6129,348046
2025-09-30,4.71,4.72,4.65,4.68,4.6031,134738
2025-10-01,4.6,4.69,4.6,4.65,4.5736,261571
2025-10-02,4.65,4.71,4.62,4.65,4.5736,149113
2025-10-03,4.69,4.83,4.68,4.78,4.7014,350510
2025-10-06,4.81,4.86,4.73,4.76,4.6818,90567
2025-10-07,4.77,4.81,4.68,4.75,4.6719,159183
2025-10-08,4.72,4.73,4.64,4.64,4.5637,110016
2025-10-09,4.64,4.7,4.55,4.62,4.5441,148937
2025-10-10,4.63,4.63,4.53,4.6,4.5244,890317
2025-10-13,4.51,4.6,4.44,4.6,4.5244,197316
2025-10-14,4.59,4.62,4.54,4.56,4.485,334613
2025-10-15,4.59,4.615,4.53,4.56,4.485,221186
2025-10-16,4.55,5.08,4.515,4.98,4.8981,1241707
2025-10-17,4.8,5.1,4.76,5.05,4.967,158935
2025-10-20,5.05,5.11,5,5.06,4.9768,300069
2025-10-21,5.07,5.17,5.03,5.13,5.0457,316509
2025-10-22,5.2,5.24,5.02,5.16,5.0752,457464
2025-10-23,5.12,5.315,5.08,5.25,5.1637,2263306
2025-10-24,5.29,5.41,5.255,5.4,5.3112,386452
2025-10-27,5.4,5.52,5.36,5.39,5.3014,379157
2025-10-28,5.41,5.41,5.2,5.21,5.1244,185648
2025-10-29,5.15,5.39,5.14,5.19,5.1047,176473
2025-10-30,5.09,5.25,5.06,5.09,5.0063,286338
2025-10-31,5.12,5.4,5.12,5.28,5.1932,583190
2025-11-03,5.19,5.34,5.17,5.25,5.1637,125597
2025-11-04,5.24,5.28,5.2,5.25,5.1637,193193
2025-11-05,5.25,5.26,5.14,5.18,5.0949,278068
2025-11-06,5.15,5.32,5.13,5.26,5.1735,225006
2025-11-07,5.23,5.26,5.04,5.05,4.967,387235
2025-11-10,5.09,5.17,5.04,5.09,5.0063,332271
2025-11-11,5.08,5.25,4.97,5.25,5.1637,755152
2025-11-12,5.25,5.28,5.17,5.2,5.1145,124896
2025-11-13,5.28,5.39,5.1,5.39,5.3014,243133
2025-11-14,5.05,5.31,5.05,5.15,5.0653,1564050
2025-11-17,5.15,5.31,5.06,5.22,5.1342,789721
2025-11-18,5.3,5.3,5.05,5.15,5.0653,108990
2025-11-19,5.15,5.18,5.06,5.09,5.0063,93931
2025-11-20,5.04,5.27,5.04,5.25,5.1637,274494
2025-11-21,5.2,5.29,5.02,5.22,5.1342,312754
2025-11-24,5.26,5.54,5.26,5.4,5.3112,656556
2025-11-25,5.47,5.48,5.34,5.37,5.2817,266174
2025-11-26,5.36,5.42,5.31,5.39,5.3014,177058
2025-11-27,5.41,5.46,5.33,5.37,5.2817,124018
2025-11-28,5.37,5.39,5.29,5.38,5.2916,162428
2025-12-01,5.42,5.42,5.23,5.23,5.144,260931
2025-12-02,5.1,5.25,5.05,5.19,5.1047,212517
2025-12-03,5.19,5.265,5.19,5.24,5.1539,447302
2025-12-04,5.24,5.58,5.01,5.43,5.3407,730610
2025-12-05,5.2,5.6,5.2,5.42,5.3309,538678
2025-12-08,5.45,5.45,5.33,5.4,5.3112,679824
2025-12-09,5.4,5.43,5.26,5.4,5.3112,384554
2025-12-10,5.3,5.39,5.21,5.33,5.2424,509048
2025-12-11,5.44,5.64,5.34,5.35,5.2621,674505
2025-12-12,5.4,5.66,5.37,5.45,5.3604,972202
2025-12-15,5.49,5.53,5.42,5.49,5.3998,899189
2025-12-16,5.64,5.64,5.43,5.46,5.3703,1544368
2025-12-17,5.38,5.67,5.38,5.46,5.3703,5596427
2025-12-18,5.35,5.67,5.35,5.49,5.3998,856402
2025-12-19,5.58,5.6,5.45,5.5,5.4096,6172511
2025-12-22,5.62,5.62,5.38,5.41,5.3211,207587
2025-12-23,5.45,5.52,5.39,5.44,5.3506,694928
2025-12-24,5.5,5.64,5.42,5.57,5.4784,366408
2025-12-29,5.63,5.67,5.46,5.57,5.4784,225748
2025-12-30,5.52,5.56,5.49,5.55,5.5132,255433
2025-12-31,5.55,5.79,5.53,5.79,5.7516,641217
2026-01-02,5.71,5.72,5.45,5.48,5.4437,185799
2026-01-05,5.5,5.555,5.41,5.55,5.5132,212485
2026-01-06,5.4,5.55,5.38,5.51,5.4735,269712
2026-01-07,5.55,5.65,5.52,5.63,5.5927,623381
2026-01-08,5.6,5.7,5.52,5.7,5.6622,254097
