Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,34.03,34.31,33.71,33.71,32.4558,92983
2025-07-23,33.79,34.57,33.7,34.54,33.255,133236
2025-07-24,34.4,35.515,34.4,34.93,33.6305,177645
2025-07-25,34.99,35.08,34.47,34.79,33.4957,71927
2025-07-28,34.79,35.39,34.75,35.13,33.823,134256
2025-07-29,34.95,35.27,34.59,35.03,33.7267,96817
2025-07-30,35.17,35.265,34.71,34.9,33.6016,101213
2025-07-31,34.25,34.6,33.64,33.64,32.3885,270524
2025-08-01,33.52,33.63,33.08,33.23,31.9937,116782
2025-08-04,33,33.975,32.97,33.76,32.504,107988
2025-08-05,33.99,33.99,33.46,33.75,32.4944,122965
2025-08-06,33.7,34.83,33.51,34.45,33.1683,123777
2025-08-07,34.39,34.72,33.8,34.45,33.1683,153188
2025-08-08,34.74,35.06,34.4,34.5,33.2165,163427
2025-08-11,34.52,35.45,34.52,35.02,33.7171,132664
2025-08-12,34.79,35.12,34.4,35.12,33.8134,145593
2025-08-13,35.86,36.255,35.43,35.53,34.2081,213282
2025-08-14,36.11,36.3,35.4,35.53,34.2081,147043
2025-08-15,35.43,35.85,35.36,35.7,34.3718,139160
2025-08-18,35.57,36.6,35.4,36.38,35.0265,169393
2025-08-19,37.38,39.49,35.6,39.49,38.0208,634534
2025-08-20,40.4,40.76,39.06,39.86,38.377,319405
2025-08-21,40.01,41.13,39.41,40.57,39.0606,256082
2025-08-22,40.35,40.6,39.35,40.24,39.2263,355057
2025-08-25,40.72,40.9,39.69,40.73,39.704,192484
2025-08-26,40.89,41.34,40.44,40.82,39.7917,234863
2025-08-27,40.9,41,39.82,40.47,39.4506,130021
2025-08-28,40.46,40.76,40.12,40.44,39.4213,134325
2025-08-29,40.98,40.98,39.96,40,38.9924,310437
2025-09-01,39.9,40.2,39.02,39.1,38.1151,239932
2025-09-02,38.81,39.05,38.33,38.94,37.9591,334418
2025-09-03,38.38,39.41,38.38,38.87,37.8909,564887
2025-09-04,39.37,39.8,38.89,39.59,38.5927,200469
2025-09-05,39.8,39.86,39.35,39.54,38.544,102323
2025-09-08,39.29,39.66,38.98,39.25,38.2613,89667
2025-09-09,39.29,39.69,38.91,39.58,38.583,155094
2025-09-10,38.69,39.5,38.69,39.09,38.1053,135504
2025-09-11,39.09,39.69,38.84,39.37,38.3783,150498
2025-09-12,38.96,39.72,38.96,39.58,38.583,124028
2025-09-15,38.98,39.545,38.755,39.2,38.2125,117912
2025-09-16,39.73,40.03,38.98,40.03,39.0216,105539
2025-09-17,40.37,40.7,39.73,39.83,38.8267,152262
2025-09-18,39.79,40.195,39.15,39.54,38.544,270657
2025-09-19,39.97,40.22,39.4,40.01,39.0021,303790
