Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,3.57,3.64,3.51,3.63,3.4435,558649
2025-04-28,3.63,3.67,3.62,3.64,3.453,733094
2025-04-29,3.66,3.74,3.63,3.73,3.5383,663601
2025-04-30,3.74,3.77,3.69,3.72,3.5288,790347
2025-05-01,3.79,3.83,3.7,3.81,3.6142,737369
2025-05-02,3.72,3.87,3.68,3.8,3.6047,416215
2025-05-05,3.79,3.85,3.79,3.81,3.6142,616264
2025-05-06,3.82,3.88,3.77,3.87,3.6711,369566
2025-05-07,3.88,3.9,3.83,3.89,3.6901,833294
2025-05-08,3.94,3.96,3.88,3.93,3.7281,732544
2025-05-09,3.93,3.93,3.86,3.88,3.6806,297117
2025-05-12,3.91,3.92,3.85,3.87,3.6711,678997
2025-05-13,3.89,3.89,3.81,3.87,3.6711,711740
2025-05-14,3.85,3.87,3.8,3.81,3.6142,577809
2025-05-15,3.82,3.82,3.74,3.76,3.5668,433289
2025-05-16,3.77,3.83,3.76,3.81,3.6142,430560
2025-05-19,3.86,3.86,3.79,3.82,3.6237,470088
2025-05-20,3.83,3.85,3.8,3.84,3.6427,314350
2025-05-21,3.86,3.87,3.83,3.86,3.6616,420341
2025-05-22,3.83,3.89,3.81,3.85,3.6522,624435
2025-05-23,3.86,3.885,3.82,3.84,3.6427,1158173
2025-05-26,3.83,3.85,3.795,3.82,3.6237,799978
2025-05-27,3.8,3.83,3.785,3.8,3.6047,711615
2025-05-28,3.8,3.815,3.77,3.8,3.6047,573166
2025-05-29,3.81,3.81,3.75,3.76,3.5668,527670
2025-05-30,3.75,3.79,3.73,3.75,3.5573,821296
2025-06-02,3.75,3.795,3.73,3.77,3.5763,601987
2025-06-03,3.78,3.82,3.775,3.78,3.5858,391323
2025-06-04,3.82,3.85,3.81,3.82,3.6237,620818
2025-06-05,3.84,3.84,3.8,3.81,3.6142,544721
2025-06-06,3.82,3.85,3.81,3.84,3.6427,635539
2025-06-10,3.89,3.92,3.86,3.88,3.6806,473219
2025-06-11,3.86,3.97,3.85,3.97,3.766,832638
2025-06-12,3.98,4.02,3.94,3.97,3.766,768286
2025-06-13,3.97,3.99,3.93,3.96,3.7565,460501
2025-06-16,3.96,3.99,3.92,3.94,3.7375,463345
2025-06-17,3.93,3.93,3.88,3.92,3.7186,533371
2025-06-18,3.94,3.95,3.84,3.84,3.6427,1009865
2025-06-19,3.77,3.89,3.75,3.85,3.6522,914137
2025-06-20,3.85,3.88,3.84,3.84,3.6427,790234
2025-06-23,3.9,3.9,3.84,3.88,3.6806,355474
2025-06-24,3.92,3.93,3.85,3.85,3.6522,294846
2025-06-25,3.88,3.88,3.8,3.81,3.6142,438849
2025-06-26,3.8,3.825,3.78,3.8,3.6047,668860
2025-06-27,3.83,3.84,3.73,3.75,3.6005,960674
2025-06-30,3.77,3.77,3.705,3.71,3.5621,926296
2025-07-01,3.7,3.79,3.66,3.75,3.6005,674027
2025-07-02,3.77,3.81,3.75,3.76,3.6101,650131
2025-07-03,3.78,3.78,3.69,3.74,3.5909,622933
2025-07-04,3.74,3.755,3.7,3.73,3.5813,1249424
2025-07-07,3.73,3.75,3.68,3.69,3.5429,962524
2025-07-08,3.7,3.73,3.64,3.67,3.5237,1002248
2025-07-09,3.65,3.66,3.6,3.61,3.4661,1085117
2025-07-10,3.63,3.65,3.6,3.65,3.5045,1067151
2025-07-11,3.65,3.65,3.58,3.6,3.4565,442137
2025-07-14,3.62,3.66,3.61,3.65,3.5045,774015
2025-07-15,3.67,3.67,3.615,3.64,3.4949,402685
