Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,9.22,9.23,9.195,9.2,8.6365,225414
2025-07-23,9.2,9.25,9.2,9.24,8.674,451718
2025-07-24,9.25,9.25,9.2,9.23,8.6646,305478
2025-07-25,9.21,9.22,9.16,9.17,8.6083,289277
2025-07-28,9.17,9.22,9.17,9.2,8.6365,308616
2025-07-29,9.19,9.21,9.17,9.2,8.6365,273671
2025-07-30,9.18,9.3,9.17,9.27,8.7022,325005
2025-07-31,9.27,9.36,9.22,9.36,8.7867,255536
2025-08-01,9.3,9.32,9.24,9.3,8.7303,260392
2025-08-04,9.22,9.31,9.19,9.29,8.7209,353809
2025-08-05,9.34,9.45,9.34,9.44,8.8618,289875
2025-08-06,9.44,9.48,9.41,9.45,8.8711,243555
2025-08-07,9.44,9.45,9.37,9.42,8.843,413625
2025-08-08,9.21,9.22,9.11,9.15,8.7758,311718
2025-08-11,9.17,9.28,9.17,9.22,8.843,345257
2025-08-12,9.23,9.33,9.21,9.32,8.9389,301005
2025-08-13,9.33,9.41,9.33,9.37,8.9869,345789
2025-08-14,9.39,9.42,9.37,9.38,8.9964,319353
2025-08-15,9.38,9.47,9.38,9.44,9.054,344587
2025-08-18,9.37,9.45,9.36,9.44,9.054,314726
2025-08-19,9.44,9.47,9.44,9.47,9.0828,245789
2025-08-20,9.48,9.49,9.445,9.47,9.0828,309184
2025-08-21,9.48,9.49,9.42,9.43,9.0444,478351
2025-08-22,9.43,9.43,9.36,9.36,8.9773,318717
2025-08-25,9.4,9.42,9.36,9.36,8.9773,478770
2025-08-26,9.38,9.38,9.32,9.37,8.9869,261988
2025-08-27,9.35,9.43,9.34,9.4,9.0156,311203
2025-08-28,9.47,9.5,9.43,9.5,9.1115,315946
2025-08-29,9.47,9.59,9.45,9.59,9.1979,285676
2025-09-01,9.55,9.58,9.49,9.55,9.1595,254390
2025-09-02,9.53,9.55,9.48,9.53,9.1403,276218
2025-09-03,9.5,9.5,9.37,9.4,9.0156,349121
2025-09-04,9.42,9.49,9.4,9.47,9.0828,376122
2025-09-05,9.47,9.51,9.47,9.5,9.1115,223752
2025-09-08,9.5,9.5,9.33,9.43,9.0444,343337
2025-09-09,9.44,9.44,9.35,9.36,8.9773,209037
2025-09-10,9.37,9.4,9.31,9.33,8.9485,234297
2025-09-11,9.33,9.34,9.29,9.3,8.9197,262295
2025-09-12,9.36,9.36,9.25,9.27,8.8909,259539
2025-09-15,9.28,9.35,9.28,9.33,8.9485,337927
2025-09-16,9.35,9.37,9.32,9.33,8.9485,242738
2025-09-17,9.31,9.35,9.285,9.29,8.9101,236613
2025-09-18,9.29,9.32,9.27,9.3,8.9197,176689
2025-09-19,9.3,9.33,9.21,9.21,8.8334,396348
2025-09-22,9.23,9.23,9.16,9.17,8.795,315349
2025-09-23,9.2,9.25,9.18,9.23,8.8526,409699
2025-09-24,9.25,9.26,9.22,9.24,8.8622,218386
2025-09-25,9.21,9.25,9.2,9.2,8.8238,178318
2025-09-26,9.21,9.235,9.2,9.21,8.8334,122756
2025-09-29,9.22,9.26,9.21,9.22,8.843,136561
2025-09-30,9.25,9.32,9.25,9.31,8.9293,272515
2025-10-01,9.31,9.31,9.26,9.26,8.8813,153350
2025-10-02,9.27,9.3,9.26,9.26,8.8813,267517
2025-10-03,9.27,9.33,9.26,9.33,8.9485,339037
2025-10-06,9.33,9.35,9.28,9.33,8.9485,240135
2025-10-07,9.33,9.36,9.24,9.27,8.8909,557696
2025-10-08,9.27,9.29,9.25,9.25,8.8718,473984
2025-10-09,9.28,9.32,9.26,9.27,8.8909,331936
2025-10-10,9.29,9.3,9.26,9.29,8.9101,175202
2025-10-13,9.29,9.29,9.23,9.28,8.9005,252360
2025-10-14,9.28,9.32,9.27,9.31,8.9293,227704
2025-10-15,9.3,9.34,9.3,9.3,8.9197,217386
2025-10-16,9.3,9.345,9.26,9.29,8.9101,369965
2025-10-17,9.31,9.31,9.24,9.24,8.8622,274003
2025-10-20,9.24,9.26,9.21,9.23,8.8526,399815
2025-10-21,9.24,9.28,9.23,9.25,8.8718,304916
2025-10-22,9.25,9.25,9.21,9.21,8.8334,166532
2025-10-23,9.21,9.21,9.16,9.17,8.795,229315
2025-10-24,9.21,9.23,9.18,9.2,8.8238,304694
2025-10-27,9.21,9.22,9.17,9.17,8.795,304422
2025-10-28,9.19,9.2,9.17,9.17,8.795,221308
2025-10-29,9.18,9.19,9.15,9.17,8.795,443056
2025-10-30,9.14,9.19,9.09,9.16,8.7854,331081
2025-10-31,9.15,9.18,9.12,9.18,8.8046,254628
2025-11-03,9.15,9.18,9.12,9.15,8.7758,240315
2025-11-04,9.15,9.18,9.14,9.14,8.7663,162887
2025-11-05,9.14,9.19,9.1,9.18,8.8046,295485
2025-11-06,9.17,9.26,9.17,9.26,8.8813,240790
2025-11-07,9.25,9.25,9.17,9.2,8.8238,216301
2025-11-10,9.22,9.24,9.2,9.21,8.8334,245864
2025-11-11,9.21,9.27,9.21,9.22,8.843,309317
2025-11-12,9.22,9.25,9.2,9.2,8.8238,199274
2025-11-13,9.2,9.22,9.1,9.11,8.7375,217710
2025-11-14,9.11,9.11,9.02,9.05,8.6799,259023
2025-11-17,9.04,9.05,9,9.05,8.6799,329914
2025-11-18,9.03,9.05,8.91,8.97,8.6032,350056
2025-11-19,8.97,9.03,8.91,8.97,8.6032,291748
2025-11-20,9,9.08,8.99,9.08,8.7087,365306
2025-11-21,9,9,8.93,8.98,8.6128,391137
2025-11-24,9,9.06,8.97,9.05,8.6799,394791
2025-11-25,9.05,9.1,8.96,8.97,8.6032,400690
2025-11-26,9.02,9.09,8.99,9.05,8.6799,402981
2025-11-27,9.08,9.1,9.02,9.02,8.6512,369346
2025-11-28,9.06,9.07,9,9.03,8.6608,323768
2025-12-01,9.02,9.07,9.01,9.04,8.6703,246721
2025-12-02,9.03,9.04,9,9.02,8.6512,266552
2025-12-03,9.02,9.04,9,9.04,8.6703,338432
2025-12-04,9.03,9.07,9.02,9.07,8.6991,324516
2025-12-05,9.07,9.09,9.02,9.09,8.7183,282723
2025-12-08,9.06,9.1,9.03,9.09,8.7183,241553
2025-12-09,9.09,9.09,9.02,9.04,8.6703,242056
2025-12-10,9.05,9.05,8.99,9.05,8.6799,320513
2025-12-11,9.06,9.08,9.02,9.04,8.6703,389547
2025-12-12,9.04,9.17,9.04,9.11,8.7375,309198
2025-12-15,9.09,9.12,9.03,9.07,8.6991,282748
2025-12-16,9.09,9.12,9.05,9.07,8.6991,277643
2025-12-17,9.07,9.08,9.03,9.07,8.6991,246204
2025-12-18,9.07,9.07,9.03,9.05,8.6799,66615
