Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,6.16,6.2,6.1,6.16,6.16,518745
2025-07-23,6.17,6.29,6.13,6.17,6.17,1025687
2025-07-24,6.2,6.22,6.11,6.12,6.12,715634
2025-07-25,6.12,6.19,5.99,6.04,6.04,475510
2025-07-28,6.05,6.19,6.05,6.08,6.08,479661
2025-07-29,6.05,6.3,6.02,6.3,6.3,688308
2025-07-30,6.3,6.48,6.26,6.47,6.47,1064812
2025-07-31,6.53,6.63,6.48,6.56,6.56,826236
2025-08-01,6.5,6.515,6.355,6.43,6.43,597436
2025-08-04,6.4,6.44,6.2,6.42,6.42,533457
2025-08-05,6.74,6.93,6.585,6.93,6.93,2300691
2025-08-06,7.1,7.39,7.01,7.37,7.37,2300223
2025-08-07,7.39,7.52,7.05,7.2,7.2,1846614
2025-08-08,7.24,7.28,6.85,6.94,6.94,1848008
2025-08-11,6.96,7.1,6.8,6.86,6.86,550129
2025-08-12,6.8,6.84,6.73,6.76,6.76,674930
2025-08-13,6.82,6.88,6.74,6.83,6.83,628823
2025-08-14,6.84,6.9,6.725,6.75,6.75,626801
2025-08-15,6.67,6.81,6.55,6.76,6.76,688527
2025-08-18,6.65,6.88,6.64,6.83,6.83,507222
2025-08-19,6.83,6.87,6.6,6.64,6.64,453108
2025-08-20,6.72,6.72,6.38,6.49,6.49,724967
2025-08-21,6.57,6.85,6.55,6.68,6.68,759652
2025-08-22,6.6,6.82,6.51,6.81,6.81,570901
2025-08-25,6.87,6.99,6.8,6.95,6.95,780782
2025-08-26,6.98,6.99,6.77,6.97,6.97,1925386
2025-08-27,7,7.12,6.96,7.12,7.12,498281
2025-08-28,7.15,7.21,6.73,6.75,6.75,1171904
2025-08-29,7.5,8.07,7.49,7.77,7.77,3095315
2025-09-01,7.84,7.95,7.43,7.68,7.68,1790296
2025-09-02,7.8,7.86,7.53,7.58,7.58,1091633
2025-09-03,7.6,7.765,7.58,7.7,7.7,1207135
2025-09-04,7.7,8.06,7.65,8.03,8.03,1245244
2025-09-05,8.21,8.29,8.11,8.18,8.18,890974
2025-09-08,8.2,8.44,8.1,8.4,8.4,1021831
2025-09-09,8.54,8.57,8.2,8.25,8.25,1195238
2025-09-10,8.19,8.44,8.14,8.37,8.37,990992
2025-09-11,8.3,8.345,8.15,8.18,8.18,928694
2025-09-12,7.9,8.11,7.85,8.11,8.11,1130341
2025-09-15,8.26,8.31,7.95,8.02,8.02,902704
2025-09-16,7.9,7.98,7.85,7.89,7.89,1023021
2025-09-17,7.75,7.95,7.7,7.8,7.8,1023462
2025-09-18,7.72,7.73,7.45,7.45,7.45,1525412
2025-09-19,7.6,7.6,7.17,7.31,7.31,21193638
2025-09-22,7.44,7.49,7.33,7.36,7.36,740102
2025-09-23,7.36,7.6,7.36,7.47,7.47,706081
2025-09-24,7.23,7.44,7.2,7.44,7.44,963841
2025-09-25,7.44,7.54,7.22,7.24,7.24,970357
2025-09-26,7.21,7.33,7.18,7.25,7.25,1269239
2025-09-29,7.3,7.62,7.25,7.58,7.58,1436029
