Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.54,1.56,1.54,1.55,1.4846,179199
2025-07-23,1.56,1.56,1.545,1.55,1.4846,315683
2025-07-24,1.545,1.56,1.54,1.555,1.4893,498080
2025-07-25,1.545,1.555,1.54,1.545,1.4798,578676
2025-07-28,1.54,1.555,1.535,1.54,1.475,624153
2025-07-29,1.53,1.55,1.525,1.55,1.4846,534104
2025-07-30,1.53,1.6,1.53,1.6,1.5324,1583098
2025-07-31,1.6,1.615,1.585,1.6,1.5324,359127
2025-08-01,1.615,1.615,1.565,1.58,1.5133,410130
2025-08-04,1.59,1.59,1.56,1.59,1.5229,323660
2025-08-05,1.56,1.595,1.5575,1.57,1.5037,860849
2025-08-06,1.61,1.61,1.575,1.585,1.5181,540356
2025-08-07,1.59,1.595,1.57,1.58,1.5133,388034
2025-08-08,1.565,1.58,1.565,1.57,1.5037,211528
2025-08-11,1.57,1.61,1.57,1.61,1.542,583846
2025-08-12,1.59,1.6,1.575,1.575,1.5085,113620
2025-08-13,1.575,1.595,1.575,1.595,1.5277,336442
2025-08-14,1.59,1.6075,1.585,1.585,1.5181,483534
2025-08-15,1.58,1.585,1.56,1.565,1.4989,749668
2025-08-18,1.555,1.565,1.525,1.54,1.475,1541752
2025-08-19,1.56,1.56,1.535,1.545,1.4798,1539740
2025-08-20,1.55,1.565,1.5275,1.535,1.4702,3858218
2025-08-21,1.535,1.5525,1.53,1.54,1.475,2082227
2025-08-22,1.545,1.55,1.5375,1.54,1.475,670138
2025-08-25,1.56,1.56,1.54,1.545,1.4798,593907
2025-08-26,1.37,1.45,1.36,1.45,1.3888,6881813
2025-08-27,1.425,1.44,1.395,1.405,1.3457,1292026
2025-08-28,1.41,1.465,1.405,1.43,1.3696,2394065
2025-08-29,1.43,1.44,1.41,1.42,1.36,1138301
2025-09-01,1.42,1.425,1.41,1.42,1.36,640203
2025-09-02,1.42,1.435,1.415,1.425,1.3648,890258
