Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,33.99,34.06,33.53,33.61,32.611,213158
2025-07-23,33.62,33.67,33.25,33.44,32.446,333368
2025-07-24,33.5,33.89,33.38,33.43,32.4363,265639
2025-07-25,33.45,33.74,33.37,33.48,32.4848,206819
2025-07-28,33.55,33.9,33.54,33.77,32.7662,125799
2025-07-29,33.74,33.95,33.45,33.63,32.6304,144071
2025-07-30,33.63,33.65,33.125,33.41,32.4169,245390
2025-07-31,33.74,34.37,33.45,33.93,32.9215,549097
2025-08-01,33.81,34.135,33.48,33.99,32.9797,191948
2025-08-04,33.39,33.77,33.39,33.66,32.6595,245086
2025-08-05,33.87,34.2,33.79,34.1,33.0864,182329
2025-08-06,34.16,34.48,33.98,34.24,33.2222,198636
2025-08-07,34.38,34.5,34.15,34.24,33.2222,137690
2025-08-08,34.24,34.24,33.35,33.5,32.5042,210934
2025-08-11,33.52,33.78,32.55,32.65,31.6795,522177
2025-08-12,32.55,33.26,32.445,33.26,32.2714,317632
2025-08-13,33.46,33.595,32.95,32.99,32.0094,273555
2025-08-14,32.92,32.94,32.21,32.79,31.8153,471049
2025-08-15,32.93,33.31,32.62,33.29,32.3005,340053
2025-08-18,33.29,33.73,33.27,33.44,32.446,290457
2025-08-19,33.44,33.49,32.79,32.9,31.9221,251447
2025-08-20,32.9,33.93,32.9,33.8,32.7953,263262
2025-08-21,33.85,33.9,32.93,33.18,32.1938,272926
2025-08-22,33.14,33.29,32.75,33.22,32.2326,169272
2025-08-25,33.22,33.39,32.67,32.9,31.9221,214341
2025-08-26,33.61,34.9,32.48,33.48,32.4848,716532
2025-08-27,34.54,34.91,34,34.2,33.1834,470581
2025-08-28,34.24,34.29,33.32,33.4,32.4072,230842
2025-08-29,33.4,33.78,33.15,33.53,32.5333,318954
2025-09-01,33.7,35.04,33.68,34.95,33.9111,416588
2025-09-02,34.9,35.12,34.425,34.97,33.9305,395058
2025-09-03,34.92,35.39,34.505,35.06,34.0179,601439
2025-09-04,35.03,35.64,34.83,35.52,34.4642,430950
2025-09-05,35.68,35.78,35.11,35.43,34.3769,341350
2025-09-08,34.84,34.97,33.86,34.17,33.7837,237211
2025-09-09,34.1,34.41,33.83,33.98,33.5958,164261
2025-09-10,34.46,34.46,33.36,33.36,32.9828,312189
2025-09-11,33.54,33.87,33.38,33.65,33.2695,410965
2025-09-12,33.88,34.51,33.8,33.98,33.5958,285138
2025-09-15,33.88,34.18,33.65,33.77,33.3882,162227
2025-09-16,34.23,34.48,33.81,34.44,34.0506,305098
2025-09-17,33.61,33.82,33.15,33.53,33.1509,501488
2025-09-18,33.49,33.6,32.84,32.87,32.4984,286205
2025-09-19,33.08,33.42,32.63,32.85,32.4786,909492
2025-09-22,32.74,33.01,32.61,32.9,32.528,176456
2025-09-23,32.38,33.1,32.22,32.88,32.5082,255739
2025-09-24,32.71,32.98,32.62,32.9,32.528,214803
2025-09-25,32.75,33.19,32.59,32.6,32.2314,364770
2025-09-26,32.4,32.71,32.055,32.48,32.1128,189774
2025-09-29,32.49,32.81,32.28,32.81,32.439,272276
2025-09-30,32.78,32.995,32.59,32.73,32.3599,329982
2025-10-01,32.68,33.105,32.52,32.91,32.5379,241710
2025-10-02,32.98,33.14,32.52,32.69,32.3204,273946
2025-10-03,32.69,32.83,32.34,32.7,32.3303,281167
2025-10-06,32.81,32.98,32.39,32.51,32.1424,235605
2025-10-07,32.63,33.01,32.49,32.77,32.3995,329001
2025-10-08,33.07,33.36,32.45,32.57,32.2017,216241
2025-10-09,32.71,32.94,32.46,32.51,32.1424,139648
2025-10-10,32.4,32.59,32.33,32.59,32.2215,122128
2025-10-13,32.59,32.9,32.11,32.62,32.2512,161500
2025-10-14,32.62,33.03,32.06,32.23,31.8656,154934
2025-10-15,32.63,32.94,32.44,32.75,32.3797,184480
2025-10-16,32.79,32.86,32.22,32.71,32.3402,170937
2025-10-17,32.42,32.51,31.69,31.84,31.48,365851
2025-10-20,31.85,32.15,31.58,31.92,31.5591,273485
2025-10-21,32.04,32.29,31.65,32.29,31.9249,167987
2025-10-22,32.12,32.37,31.7,32,31.6382,186108
2025-10-23,31.75,32.4,31.75,32.28,31.915,173338
2025-10-24,32.28,32.32,31.985,32.1,31.7371,201186
2025-10-27,32.39,36.07,32.24,35.98,35.5732,447733
2025-10-28,39.95,39.95,38.1,38.1,37.6692,1398108
2025-10-29,38.86,38.86,37.35,37.35,36.9277,919845
2025-10-30,37.24,37.98,37.24,37.29,36.8684,701729
2025-10-31,37.46,37.58,36.91,36.94,36.5223,382683
2025-11-03,37.35,37.43,36.42,36.43,36.0181,633408
2025-11-04,36.75,36.75,35.62,35.93,35.5238,548858
2025-11-05,36.65,37.33,36.04,36.04,35.6325,319217
2025-11-06,36.37,36.62,36.06,36.59,36.1763,456486
2025-11-07,39.55,40.28,38.36,38.89,38.4503,927715
2025-11-10,39.55,39.69,38.73,38.82,38.3811,430837
2025-11-11,39.49,39.49,38.93,39.27,38.826,335239
2025-11-12,39.56,39.56,38.73,38.73,38.2921,258945
2025-11-13,39.2,39.43,38.33,38.6,38.1636,427473
2025-11-14,38.61,38.88,37.45,37.59,37.165,421030
2025-11-17,37.47,37.99,37.4,37.83,37.4023,193796
2025-11-18,37.11,37.58,36.75,37.28,36.8585,263591
2025-11-19,37.14,38.29,37.14,37.64,37.2144,177496
2025-11-20,37.95,38.4,37.82,37.88,37.4517,278094
2025-11-21,37.88,37.96,37.5,37.78,37.3528,215431
2025-11-24,37.95,38.35,37.7,37.76,37.3331,445468
2025-11-25,37.5,37.93,37.22,37.55,37.1254,569489
2025-11-26,37.3,37.88,37.17,37.62,37.1946,319049
2025-11-27,37.59,37.92,37.06,37.13,36.7102,432642
2025-11-28,37.08,37.42,36.9,37.25,36.8288,327311
2025-12-01,31.99,31.99,30.49,30.63,30.2837,3418213
2025-12-02,30.7,31.56,30.26,31.55,31.1933,1874987
2025-12-03,31.09,31.67,30.95,31.53,31.1735,711967
2025-12-04,31.54,32.13,31.52,31.97,31.6085,625563
2025-12-05,31.7,32.16,31.53,31.73,31.3712,400419
2025-12-08,32,32.08,31.37,31.4,31.045,646720
2025-12-09,31.4,31.59,31.02,31.42,31.0647,382009
2025-12-10,31.6,31.8,30.82,31.1,30.7484,572391
2025-12-11,31.04,31.33,30.9,31.01,30.6594,456653
2025-12-12,30.9,30.93,30.45,30.8,30.4518,291998
2025-12-15,30.6,31.05,30.34,30.59,30.2441,143050
2025-12-16,30.6,30.62,30.32,30.53,30.1848,258997
2025-12-17,30.62,30.76,30.34,30.4,30.0563,253951
2025-12-18,30.25,30.44,30.03,30.32,29.9772,240451
2025-12-19,30.49,31.02,30.43,30.77,30.4221,489490
2025-12-22,30.4,31.07,30.39,30.61,30.2639,263396
2025-12-23,30.51,30.9,30.34,30.84,30.4913,168254
2025-12-24,30.51,30.99,30.34,30.55,30.2046,103116
2025-12-29,30.6,31.03,30.38,30.58,30.2342,132137
2025-12-30,30.89,31.09,30.78,30.98,30.6297,173877
2025-12-31,31.17,31.17,30.64,30.8,30.4518,100102
2026-01-02,30.55,30.95,30.55,30.57,30.2244,77856
2026-01-05,30.45,30.45,29.91,30.17,29.8289,177825
2026-01-06,30.16,30.58,30,30,29.6608,139197
2026-01-07,29.93,30.64,29.93,30.63,30.2837,247655
2026-01-08,30.8,31.29,30.76,30.96,30.6099,339362
2026-01-09,31.04,31.43,30.88,31.09,30.7385,253862
2026-01-12,31.03,31.65,30.955,31.15,30.7978,141954
2026-01-13,31.13,31.29,30.85,30.87,30.521,227187
2026-01-14,30.67,30.74,30.21,30.53,30.1848,248249
2026-01-15,30.33,30.76,30.33,30.76,30.4122,184178
2026-01-16,30.8,31.87,30.8,31.76,31.4009,250505
2026-01-19,31.6,31.87,31.33,31.35,30.9955,163064
2026-01-20,31.05,31.53,31,31.45,31.0944,118259
2026-01-21,32.4,32.72,31.235,31.55,31.1933,269442
2026-01-22,31.81,32.07,31.5,31.69,31.3317,159911
2026-01-23,31.69,32.3,31.63,31.91,31.5492,313023
2026-01-27,31.91,31.91,31.91,31.91,31.5492,0
2026-01-28,30.78,30.78,29.36,30.4,30.0563,877515
2026-01-29,30.45,30.46,29.91,30.3,29.9574,506108
2026-01-30,30.47,31.3,30.05,30.21,29.8684,1293939
2026-02-02,29.99,30.29,29.43,29.5,29.1665,661446
