Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,11.23,11.23,11.16,11.2,10.7695,71910
2025-07-23,11.3,11.3,11.245,11.28,10.8464,10829
2025-07-24,11.32,11.32,11.25,11.25,10.8175,2367
2025-07-25,11.25,11.26,11.19,11.19,10.7598,4105
2025-07-28,11.2,11.26,11.2,11.2,10.7695,20468
2025-07-29,11.25,11.28,11.2,11.23,10.7983,24435
2025-07-30,11.27,11.44,11.26,11.44,11.0002,18992
2025-07-31,11.44,11.44,11.26,11.29,10.856,21506
2025-08-01,11.29,11.31,11.29,11.29,10.856,7511
2025-08-04,11.35,11.37,11.21,11.33,10.8945,18277
2025-08-05,11.39,11.42,11.36,11.42,10.981,5524
2025-08-06,11.4,11.44,11.4,11.44,11.0002,21571
2025-08-07,11.44,11.45,11.43,11.43,10.9906,6983
2025-08-08,11.48,11.48,11.45,11.48,11.0387,14253
2025-08-11,11.5,11.53,11.4,11.53,11.0868,10365
2025-08-12,11.54,11.54,11.43,11.43,10.9906,17028
2025-08-13,11.44,11.53,11.44,11.53,11.0868,8832
2025-08-14,11.5,11.53,11.49,11.49,11.0483,34968
2025-08-15,11.53,11.53,11.53,11.53,11.0868,87
2025-08-18,11.5,11.53,11.46,11.48,11.0387,15845
2025-08-19,11.49,11.54,11.49,11.5,11.0579,7950
2025-08-20,11.49,11.56,11.45,11.5,11.0579,15106
2025-08-21,11.55,11.63,11.49,11.63,11.1829,8743
2025-08-22,11.66,11.76,11.66,11.71,11.2599,58582
2025-08-25,11.72,11.73,11.7,11.7,11.2502,55642
2025-08-26,11.7,11.72,11.63,11.7,11.2502,30966
2025-08-27,11.7,11.71,11.67,11.71,11.2599,13330
2025-08-28,11.47,11.5,11.42,11.48,11.3091,14606
2025-08-29,11.55,11.55,11.38,11.39,11.2204,85703
2025-09-01,11.4,11.4,11.24,11.24,11.0727,35105
2025-09-02,11.27,11.27,11.19,11.25,11.0825,25532
2025-09-03,11.25,11.27,11.21,11.21,11.0431,20240
2025-09-04,11.21,11.24,11.2,11.23,11.0628,18277
2025-09-05,11.23,11.29,11.23,11.26,11.0924,8816
2025-09-08,11.26,11.3,11.26,11.29,11.1219,7932
2025-09-09,11.25,11.29,11.25,11.29,11.1219,9325
2025-09-10,11.3,11.3,11.29,11.3,11.1318,1066
2025-09-11,11.25,11.3,11.2,11.21,11.0431,32120
2025-09-12,11.25,11.28,11.23,11.28,11.1121,20398
2025-09-15,11.3,11.3,11.26,11.3,11.1318,4314
2025-09-16,11.3,11.3,11.21,11.27,11.1022,23884
2025-09-17,11.26,11.29,11.24,11.24,11.0727,12693
2025-09-18,11.25,11.25,11.2,11.25,11.0825,10786
2025-09-19,11.25,11.26,11.18,11.22,11.053,14377
2025-09-22,11.25,11.29,11.21,11.29,11.1219,18407
2025-09-23,11.25,11.29,11.25,11.29,11.1219,10362
