Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,3.02,3.09,3.01,3.02,3.02,134796
2025-04-28,3.09,3.1,3.03,3.03,3.03,226077
2025-04-29,3.15,3.18,3.11,3.12,3.12,192567
2025-04-30,3.08,3.1,3.05,3.1,3.1,79587
2025-05-01,3.07,3.08,3.03,3.03,3.03,70734
2025-05-02,2.99,3.02,2.94,2.98,2.98,103226
2025-05-05,2.94,2.96,2.85,2.88,2.88,149070
2025-05-06,2.88,2.89,2.82,2.83,2.83,50885
2025-05-07,2.83,2.88,2.77,2.88,2.88,127755
2025-05-08,2.89,2.99,2.86,2.99,2.99,123831
2025-05-09,2.45,2.57,2.37,2.5,2.5,2143739
2025-05-12,2.4,2.44,2.28,2.3,2.3,1561938
2025-05-13,2.33,2.34,2.285,2.31,2.31,342461
2025-05-14,2.25,2.25,2.2,2.21,2.21,493282
2025-05-15,2.15,2.15,2.09,2.11,2.11,395950
2025-05-16,2.05,2.05,2,2.01,2.01,698617
2025-05-19,2.03,2.16,2.03,2.05,2.05,446670
2025-05-20,2.09,2.18,2.09,2.12,2.12,272060
2025-05-21,2.14,2.15,2.11,2.12,2.12,212594
2025-05-22,2.12,2.12,2.05,2.05,2.05,223430
2025-05-23,2.05,2.07,2.01,2.04,2.04,235664
2025-05-26,2.01,2.03,1.955,1.96,1.96,306758
2025-05-27,1.965,2.02,1.94,1.95,1.95,369858
2025-05-28,1.94,1.995,1.88,1.91,1.91,568041
2025-05-29,1.94,2.08,1.935,2,2,265337
2025-05-30,1.84,1.875,1.82,1.86,1.86,558230
2025-06-02,1.8,1.83,1.75,1.8,1.8,405170
2025-06-03,1.855,1.915,1.855,1.87,1.87,325202
2025-06-04,1.86,2,1.83,1.9,1.9,566987
2025-06-05,1.86,1.885,1.81,1.83,1.83,211135
2025-06-06,1.84,1.84,1.8,1.805,1.805,290065
2025-06-10,1.865,1.9,1.855,1.89,1.89,284894
2025-06-11,1.88,1.88,1.81,1.815,1.815,367249
2025-06-12,1.84,1.865,1.82,1.84,1.84,264086
2025-06-13,1.83,1.83,1.78,1.795,1.795,247967
2025-06-16,1.78,1.78,1.7,1.7,1.7,434124
2025-06-17,1.7,1.71,1.66,1.67,1.67,328357
2025-06-18,1.64,1.64,1.58,1.59,1.59,444573
2025-06-19,1.58,1.61,1.56,1.575,1.575,349121
2025-06-20,1.575,1.6,1.565,1.59,1.59,266042
2025-06-23,1.59,1.59,1.56,1.585,1.585,210897
2025-06-24,1.585,1.59,1.56,1.565,1.565,194417
2025-06-25,1.55,1.55,1.51,1.54,1.54,634232
2025-06-26,1.525,1.525,1.48,1.485,1.485,548305
2025-06-27,1.555,1.665,1.54,1.65,1.65,796097
2025-06-30,1.68,1.74,1.645,1.715,1.715,386138
2025-07-01,1.635,1.6525,1.6,1.63,1.63,350407
2025-07-02,1.635,1.695,1.635,1.675,1.675,116044
2025-07-03,1.61,1.69,1.605,1.645,1.645,482151
2025-07-04,1.7,1.73,1.665,1.69,1.69,270616
2025-07-07,1.705,1.73,1.665,1.67,1.67,270438
2025-07-08,1.67,1.7,1.64,1.645,1.645,323105
2025-07-09,1.695,1.8,1.69,1.775,1.775,433994
2025-07-10,1.79,1.805,1.75,1.775,1.775,322367
2025-07-11,1.82,1.865,1.795,1.805,1.805,167959
2025-07-14,1.8,1.805,1.77,1.77,1.77,153452
2025-07-15,1.79,1.825,1.77,1.81,1.81,92249
2025-07-16,1.71,1.74,1.67,1.7,1.7,569524
2025-07-17,1.68,1.705,1.64,1.68,1.68,247892
2025-07-18,1.705,1.735,1.695,1.725,1.725,379675
2025-07-21,1.65,1.68,1.61,1.645,1.645,703866
2025-07-22,1.65,1.69,1.635,1.68,1.68,304698
2025-07-23,1.775,1.86,1.77,1.85,1.85,656109
2025-07-24,1.9,1.96,1.895,1.93,1.93,778566
2025-07-25,1.87,1.87,1.77,1.79,1.79,483442
2025-07-28,1.76,1.79,1.74,1.77,1.77,333940
2025-07-29,1.77,1.845,1.77,1.845,1.845,317263
2025-07-30,1.79,1.79,1.75,1.755,1.755,336962
2025-07-31,1.72,1.72,1.67,1.67,1.67,455576
2025-08-01,1.66,1.715,1.64,1.7,1.7,234480
2025-08-04,1.64,1.715,1.62,1.685,1.685,347258
2025-08-05,1.7,1.7,1.665,1.685,1.685,166928
2025-08-06,1.695,1.72,1.665,1.69,1.69,235571
2025-08-07,1.695,1.75,1.6725,1.725,1.725,258504
2025-08-08,1.38,1.545,1.33,1.49,1.49,2931774
2025-08-11,1.37,1.43,1.365,1.395,1.395,1343506
2025-08-12,1.47,1.5275,1.45,1.485,1.485,662177
2025-08-13,1.63,1.69,1.625,1.69,1.69,1229228
2025-08-14,1.73,1.755,1.695,1.725,1.725,590475
2025-08-15,1.73,1.78,1.73,1.75,1.75,617318
2025-08-18,1.71,1.71,1.565,1.595,1.595,2984478
2025-08-19,1.62,1.65,1.595,1.62,1.62,1927224
2025-08-20,1.51,1.53,1.48,1.49,1.49,2910703
2025-08-21,1.51,1.51,1.445,1.465,1.465,697111
2025-08-22,1.475,1.48,1.445,1.45,1.45,649016
2025-08-25,1.47,1.495,1.47,1.48,1.48,450585
2025-08-26,1.46,1.46,1.415,1.42,1.42,598776
2025-08-27,1.45,1.45,1.39,1.4,1.4,509962
2025-08-28,1.4,1.41,1.38,1.39,1.39,415781
2025-08-29,1.37,1.385,1.345,1.345,1.345,836867
2025-09-01,1.355,1.355,1.33,1.335,1.335,322055
2025-09-02,1.345,1.355,1.335,1.34,1.34,353345
2025-09-03,1.34,1.35,1.325,1.35,1.35,343698
2025-09-04,1.35,1.35,1.325,1.33,1.33,545916
2025-09-05,1.34,1.37,1.34,1.34,1.34,655859
2025-09-08,1.36,1.36,1.335,1.335,1.335,302674
2025-09-09,1.34,1.34,1.3,1.305,1.305,614400
2025-09-10,1.31,1.31,1.28,1.285,1.285,474941
2025-09-11,1.285,1.295,1.27,1.275,1.275,439617
2025-09-12,1.3,1.345,1.29,1.34,1.34,367494
2025-09-15,1.45,1.49,1.405,1.475,1.475,1268799
2025-09-16,1.92,1.98,1.81,1.895,1.895,4231257
2025-09-17,1.86,1.875,1.8,1.805,1.805,1017170
2025-09-18,1.78,1.785,1.645,1.7,1.7,1150786
2025-09-19,1.69,1.735,1.6575,1.68,1.68,434920
2025-09-22,1.64,1.67,1.605,1.635,1.635,598779
2025-09-23,1.75,1.755,1.69,1.745,1.745,724488
2025-09-24,1.65,1.65,1.62,1.625,1.625,549093
2025-09-25,1.61,1.645,1.585,1.61,1.61,205756
2025-09-26,1.64,1.64,1.6,1.62,1.62,134599
2025-09-29,1.62,1.62,1.59,1.59,1.59,229351
2025-09-30,1.615,1.665,1.605,1.62,1.62,410144
2025-10-01,1.58,1.58,1.53,1.565,1.565,366238
2025-10-02,1.6,1.705,1.6,1.655,1.655,1029487
2025-10-03,1.68,1.68,1.625,1.655,1.655,685838
2025-10-06,1.66,1.675,1.65,1.66,1.66,244872
2025-10-07,1.64,1.655,1.6,1.63,1.63,324177
2025-10-08,1.62,1.635,1.605,1.62,1.62,189945
2025-10-09,1.64,1.65,1.625,1.65,1.65,261921
2025-10-10,1.64,1.675,1.635,1.64,1.64,334531
2025-10-13,1.6,1.6,1.55,1.595,1.595,467416
2025-10-14,1.58,1.655,1.58,1.59,1.59,212480
2025-10-15,1.595,1.63,1.59,1.625,1.625,249864
2025-10-16,1.62,1.635,1.6,1.63,1.63,156213
2025-10-17,1.42,1.425,1.26,1.37,1.37,3993368
2025-10-20,1.265,1.32,1.26,1.27,1.27,1493051
2025-10-21,1.28,1.31,1.27,1.28,1.28,644480
2025-10-22,1.3,1.3,1.26,1.265,1.265,272943
2025-10-23,1.265,1.275,1.255,1.255,1.255,315917
2025-10-24,1.26,1.28,1.255,1.27,1.27,434731
2025-10-27,1.27,1.27,1.195,1.21,1.21,1553061
2025-10-28,1.19,1.2,1.145,1.155,1.155,997534
2025-10-29,1.18,1.225,1.15,1.16,1.16,499934
2025-10-30,1.15,1.17,1.14,1.155,1.155,357331
2025-10-31,1.15,1.17,1.15,1.15,1.15,411923
2025-11-03,1.18,1.21,1.175,1.2,1.2,252960
2025-11-04,1.22,1.22,1.16,1.16,1.16,308383
2025-11-05,1.15,1.16,1.125,1.135,1.135,374536
2025-11-06,1.13,1.145,1.105,1.115,1.115,480451
2025-11-07,1.1,1.14,1.06,1.06,1.06,617432
2025-11-10,1.13,1.19,1.13,1.18,1.18,783812
2025-11-11,1.185,1.205,1.16,1.165,1.165,385125
2025-11-12,1.175,1.195,1.14,1.16,1.16,659755
2025-11-13,1.175,1.175,1.08,1.12,1.12,830538
2025-11-14,1.13,1.14,1.075,1.105,1.105,1011217
2025-11-17,1.11,1.135,1.09,1.12,1.12,727235
2025-11-18,1.175,1.19,1.13,1.13,1.13,688584
2025-11-19,1.185,1.195,1.165,1.19,1.19,688386
2025-11-20,1.19,1.205,1.18,1.19,1.19,410767
2025-11-21,1.18,1.18,1.14,1.15,1.15,418004
2025-11-24,1.17,1.18,1.14,1.145,1.145,270612
2025-11-25,1.15,1.19,1.135,1.145,1.145,432525
2025-11-26,1.15,1.165,1.14,1.14,1.14,139860
2025-11-27,1.15,1.19,1.15,1.18,1.18,261682
2025-11-28,1.17,1.2,1.15,1.185,1.185,324522
2025-12-01,1.185,1.185,1.15,1.15,1.15,291084
2025-12-02,1.15,1.15,1.1,1.1,1.1,553124
2025-12-03,1.105,1.11,1.08,1.085,1.085,411655
2025-12-04,1.09,1.09,1.045,1.06,1.06,557006
2025-12-05,1.06,1.095,1.06,1.065,1.065,241290
2025-12-08,1.07,1.105,1.04,1.065,1.065,432190
2025-12-09,1.055,1.06,1.045,1.05,1.05,188125
2025-12-10,1.05,1.075,1.035,1.04,1.04,196329
2025-12-11,1.04,1.06,1.01,1.03,1.03,422320
2025-12-12,1.045,1.06,1.015,1.035,1.035,127030
2025-12-15,1.03,1.05,1.025,1.035,1.035,120978
2025-12-16,1.04,1.045,1.015,1.015,1.015,312310
2025-12-17,1.015,1.03,1.005,1.03,1.03,141494
2025-12-18,1.03,1.03,1,1.01,1.01,180845
2025-12-19,1.02,1.045,1.02,1.045,1.045,223986
2025-12-22,1.05,1.085,1.045,1.07,1.07,161124
2025-12-23,1.08,1.08,1.04,1.055,1.055,326883
2025-12-24,1.055,1.065,1.035,1.06,1.06,172811
2025-12-29,1.06,1.07,1.05,1.06,1.06,111071
2025-12-30,1.06,1.065,1.045,1.045,1.045,109413
2025-12-31,1.055,1.1,1.05,1.05,1.05,255932
2026-01-02,1.055,1.12,1.055,1.1,1.1,400753
2026-01-05,1.09,1.115,1.08,1.11,1.11,308745
2026-01-06,1.075,1.085,1.06,1.06,1.06,367839
2026-01-07,1.045,1.075,1.045,1.045,1.045,287685
2026-01-08,1,1.05,1,1.04,1.04,535148
2026-01-09,1.02,1.025,1.005,1.005,1.005,681993
2026-01-12,1.03,1.09,1.025,1.055,1.055,560041
2026-01-13,1.06,1.06,1.015,1.02,1.02,334574
2026-01-14,1.055,1.125,1.05,1.105,1.105,898919
2026-01-15,1.07,1.08,1.05,1.065,1.065,782753
2026-01-16,1.065,1.105,1.06,1.08,1.08,427045
2026-01-19,1.15,1.21,1.14,1.2,1.2,1214004
2026-01-20,1.18,1.2,1.16,1.17,1.17,455293
2026-01-21,1.135,1.2,1.11,1.17,1.17,689217
2026-01-22,1.15,1.17,1.13,1.165,1.165,336895
2026-01-23,1.19,1.305,1.19,1.3,1.3,993827
2026-01-27,1.32,1.35,1.27,1.34,1.34,627206
2026-01-28,1.31,1.34,1.28,1.29,1.29,386863
2026-01-29,1.295,1.295,1.235,1.25,1.25,328251
2026-01-30,1.22,1.27,1.21,1.23,1.23,332859
2026-02-02,1.255,1.27,1.22,1.23,1.23,235843
2026-02-03,1.22,1.24,1.21,1.22,1.22,113130
2026-02-04,1.23,1.235,1.205,1.215,1.215,285063
2026-02-05,1.205,1.205,1.135,1.135,1.135,433711
2026-02-06,1.13,1.13,1.08,1.09,1.09,603702
2026-02-09,1.13,1.145,1.115,1.115,1.115,314072
2026-02-10,1.13,1.14,1.12,1.12,1.12,65227
2026-02-11,1.13,1.13,1.115,1.12,1.12,59317
2026-02-12,1.11,1.115,1.08,1.09,1.09,290834
2026-02-13,1.1,1.135,1.08,1.08,1.08,337101
2026-02-16,1.19,1.25,1.19,1.2,1.2,785924
2026-02-17,1.2,1.2,1.135,1.185,1.185,322980
2026-02-18,1.19,1.205,1.185,1.19,1.19,204972
2026-02-19,1.205,1.22,1.185,1.21,1.21,197031
2026-02-20,1.2,1.215,1.195,1.195,1.195,118068
2026-02-23,1.275,1.28,1.245,1.275,1.275,555178
2026-02-24,1.345,1.37,1.3,1.305,1.305,812950
2026-02-25,1.45,1.485,1.395,1.43,1.43,1084110
2026-02-26,1.38,1.38,1.33,1.345,1.345,403910
2026-02-27,1.42,1.45,1.405,1.425,1.425,514632
2026-03-02,1.42,1.42,1.35,1.365,1.365,182801
2026-03-03,1.46,1.48,1.415,1.45,1.45,763496
2026-03-04,1.4,1.4,1.32,1.33,1.33,314875
2026-03-05,1.36,1.4,1.34,1.38,1.38,361133
2026-03-06,1.35,1.37,1.34,1.37,1.37,111342
2026-03-09,1.33,1.33,1.255,1.29,1.29,305653
2026-03-10,1.37,1.385,1.34,1.375,1.375,385120
2026-03-11,1.39,1.39,1.365,1.37,1.37,142420
2026-03-12,1.36,1.36,1.2975,1.3,1.3,188513
2026-03-13,1.29,1.29,1.255,1.265,1.265,178134
2026-03-16,1.26,1.27,1.23,1.24,1.24,109020
2026-03-17,1.275,1.305,1.26,1.27,1.27,213516
2026-03-18,1.26,1.2725,1.2425,1.25,1.25,58258
2026-03-19,1.215,1.22,1.15,1.17,1.17,311174
2026-03-20,1.16,1.16,1.12,1.13,1.13,121730
2026-03-23,1.135,1.145,1.105,1.13,1.13,124022
2026-03-24,1.12,1.145,1.06,1.11,1.11,365257
2026-03-25,1.1,1.135,1.1,1.12,1.12,173602
2026-03-26,1.125,1.14,1.115,1.115,1.115,70139
2026-03-27,1.115,1.12,1.1,1.105,1.105,209160
2026-03-30,1.1,1.105,1.07,1.085,1.085,241602
2026-03-31,1.08,1.08,1.055,1.075,1.075,357498
2026-04-01,1.08,1.11,1.08,1.095,1.095,340611
2026-04-02,1.09,1.1,1.07,1.085,1.085,211977
2026-04-07,1.1,1.14,1.1,1.11,1.11,333649
2026-04-08,1.135,1.19,1.135,1.18,1.18,263553
2026-04-09,1.185,1.215,1.165,1.2,1.2,564113
2026-04-10,1.27,1.315,1.265,1.3,1.3,549394
2026-04-13,1.33,1.425,1.325,1.4,1.4,720846
2026-04-14,1.4,1.4,1.33,1.34,1.34,192514
2026-04-15,1.505,1.56,1.48,1.525,1.525,1352380
2026-04-16,1.47,1.47,1.43,1.45,1.45,483911
2026-04-17,1.44,1.44,1.375,1.385,1.385,267409
2026-04-20,1.4,1.44,1.38,1.38,1.38,221242
2026-04-21,1.395,1.425,1.38,1.38,1.38,113785
2026-04-22,1.37,1.37,1.31,1.315,1.315,371591
2026-04-23,1.32,1.32,1.27,1.27,1.27,180780
2026-04-24,1.25,1.255,1.205,1.25,1.25,350855
2026-04-27,1.24,1.26,1.225,1.23,1.23,55401
2026-04-28,1.26,1.265,1.24,1.24,1.24,91430
2026-04-29,1.23,1.23,1.2,1.21,1.21,132549
2026-04-30,1.24,1.265,1.21,1.215,1.215,353677
2026-05-01,1.255,1.28,1.2,1.21,1.21,196267
2026-05-04,1.205,1.215,1.18,1.185,1.185,302478
2026-05-05,1.17,1.225,1.17,1.225,1.225,119338
2026-05-06,1.21,1.23,1.18,1.18,1.18,174500
2026-05-07,1.215,1.23,1.2,1.2,1.2,104240
2026-05-08,1.185,1.19,1.16,1.175,1.175,134516
2026-05-11,1.165,1.165,1.135,1.135,1.135,124009
2026-05-12,1.2,1.235,1.2,1.225,1.225,206004
2026-05-13,1.22,1.235,1.21,1.23,1.23,75029
2026-05-14,1.23,1.23,1.18,1.2,1.2,188144
2026-05-15,1.235,1.25,1.18,1.18,1.18,185075
2026-05-18,1.25,1.27,1.22,1.23,1.23,257375
2026-05-19,1.17,1.175,1.135,1.17,1.17,251507
2026-05-20,1.165,1.19,1.15,1.15,1.15,166251
2026-05-21,1.18,1.225,1.18,1.185,1.185,170352
2026-05-22,1.23,1.26,1.225,1.25,1.25,227404
2026-05-25,1.25,1.295,1.25,1.275,1.275,413540
2026-05-26,1.245,1.29,1.245,1.25,1.25,252881
2026-05-27,1.185,1.195,1.155,1.155,1.155,534567
2026-05-28,1.155,1.175,1.13,1.14,1.14,208132
2026-05-29,1.195,1.215,1.175,1.175,1.175,573920
