Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,1.815,1.825,1.79,1.8,1.7293,1247256
2025-04-28,1.815,1.855,1.795,1.83,1.7581,1431508
2025-04-29,1.835,1.85,1.8125,1.84,1.7677,1055293
2025-04-30,1.855,1.86,1.825,1.855,1.7821,993915
2025-05-01,1.855,1.9,1.845,1.88,1.8061,963110
2025-05-02,1.885,1.89,1.845,1.885,1.8109,728180
2025-05-05,1.9,1.91,1.845,1.865,1.7917,742123
2025-05-06,1.87,1.87,1.845,1.85,1.7773,585940
2025-05-07,1.85,1.91,1.845,1.9,1.8254,1034080
2025-05-08,1.915,1.925,1.86,1.91,1.835,778493
2025-05-09,1.91,1.945,1.895,1.94,1.8638,811549
2025-05-12,1.95,1.955,1.9175,1.925,1.8494,978890
2025-05-13,1.965,2,1.95,1.985,1.907,1215730
2025-05-14,1.98,1.985,1.95,1.96,1.883,729208
2025-05-15,1.97,1.97,1.945,1.95,1.8734,670337
2025-05-16,1.96,1.975,1.9375,1.96,1.883,970871
2025-05-19,1.98,2.02,1.93,1.94,1.8638,1249587
2025-05-20,1.94,1.945,1.905,1.93,1.8542,1383496
2025-05-21,1.94,1.94,1.9,1.91,1.835,883502
2025-05-22,1.9,1.905,1.875,1.905,1.8302,769992
2025-05-23,1.9,1.92,1.89,1.905,1.8302,810926
2025-05-26,1.905,1.905,1.865,1.875,1.8013,961235
2025-05-27,1.88,1.89,1.845,1.85,1.7773,1172399
2025-05-28,1.85,1.8975,1.835,1.86,1.7869,1808217
2025-05-29,1.89,1.89,1.865,1.865,1.7917,670081
2025-05-30,1.875,1.905,1.86,1.9,1.8254,1845433
2025-06-02,1.91,1.91,1.84,1.85,1.7773,533069
2025-06-03,1.855,1.87,1.84,1.85,1.7773,716382
2025-06-04,1.85,1.89,1.85,1.88,1.8061,531883
2025-06-05,1.89,1.89,1.855,1.875,1.8013,621613
2025-06-06,1.88,1.88,1.84,1.845,1.7725,980365
2025-06-10,1.85,1.875,1.83,1.845,1.7725,997079
2025-06-11,1.84,1.8425,1.785,1.8,1.7293,1595616
2025-06-12,1.8,1.81,1.785,1.805,1.7341,1676734
2025-06-13,1.56,1.56,1.33,1.36,1.3066,16452406
2025-06-16,1.385,1.395,1.3425,1.35,1.297,4855378
2025-06-17,1.35,1.385,1.33,1.365,1.3114,5645902
2025-06-18,1.355,1.3625,1.3,1.3,1.2489,4820695
2025-06-19,1.3,1.325,1.28,1.29,1.2393,10819057
2025-06-20,1.3,1.365,1.295,1.34,1.2874,5387154
2025-06-23,1.345,1.345,1.3,1.335,1.2826,2650081
2025-06-24,1.35,1.36,1.32,1.335,1.2826,2527047
2025-06-25,1.35,1.3675,1.3375,1.36,1.3066,1752349
2025-06-26,1.36,1.38,1.34,1.365,1.3114,1878285
2025-06-27,1.38,1.4025,1.375,1.39,1.3354,2122939
2025-06-30,1.405,1.41,1.385,1.395,1.3402,1715468
2025-07-01,1.4,1.425,1.395,1.41,1.3546,1285387
2025-07-02,1.425,1.43,1.39,1.4,1.345,2135938
2025-07-03,1.405,1.42,1.385,1.41,1.3546,1692083
2025-07-04,1.42,1.465,1.41,1.45,1.393,1898731
2025-07-07,1.47,1.515,1.46,1.49,1.4315,3542939
2025-07-08,1.49,1.4975,1.4625,1.485,1.4267,2606783
2025-07-09,1.5,1.515,1.49,1.51,1.4507,1936924
2025-07-10,1.53,1.55,1.5,1.51,1.4507,1729958
2025-07-11,1.52,1.52,1.495,1.51,1.4507,1688506
2025-07-14,1.51,1.515,1.49,1.5,1.4411,1080795
2025-07-15,1.515,1.515,1.48,1.495,1.4363,1224302
2025-07-16,1.49,1.505,1.48,1.495,1.4363,849904
2025-07-17,1.495,1.515,1.48,1.5,1.4411,881601
2025-07-18,1.5,1.52,1.49,1.515,1.4555,1660251
2025-07-21,1.51,1.51,1.475,1.485,1.4267,2914667
2025-07-22,1.475,1.505,1.46,1.505,1.4459,2310126
2025-07-23,1.495,1.505,1.4725,1.49,1.4315,1976159
2025-07-24,1.5,1.505,1.4825,1.495,1.4363,857652
2025-07-25,1.5,1.5,1.475,1.495,1.4363,1156248
2025-07-28,1.5,1.52,1.49,1.52,1.4603,1760677
2025-07-29,1.51,1.51,1.4725,1.48,1.4219,1980809
2025-07-30,1.475,1.49,1.4675,1.49,1.4315,2368450
2025-07-31,1.49,1.4975,1.465,1.49,1.4315,2190459
2025-08-01,1.48,1.505,1.48,1.495,1.4363,1188017
2025-08-04,1.5,1.5025,1.465,1.465,1.4074,1673202
2025-08-05,1.48,1.495,1.47,1.49,1.4315,1793482
2025-08-06,1.49,1.5025,1.475,1.48,1.4219,1596292
2025-08-07,1.48,1.52,1.48,1.52,1.4603,2007875
2025-08-08,1.52,1.525,1.505,1.515,1.4555,1422170
2025-08-11,1.515,1.5225,1.49,1.49,1.4315,1853430
2025-08-12,1.5,1.5275,1.495,1.52,1.4603,1180554
2025-08-13,1.52,1.54,1.51,1.51,1.4507,1552375
2025-08-14,1.515,1.54,1.515,1.53,1.4699,1531189
2025-08-15,1.535,1.5725,1.525,1.565,1.5035,2027768
2025-08-18,1.565,1.565,1.535,1.545,1.4843,1277922
2025-08-19,1.55,1.57,1.5475,1.57,1.5083,1651733
2025-08-20,1.57,1.6,1.57,1.585,1.5227,2488298
2025-08-21,1.61,1.675,1.605,1.66,1.5948,4189170
2025-08-22,1.61,1.615,1.36,1.365,1.3114,13921770
2025-08-25,1.395,1.505,1.38,1.49,1.4315,6711889
2025-08-26,1.5,1.5125,1.4375,1.455,1.3978,3447008
2025-08-27,1.46,1.4625,1.405,1.41,1.3687,2400634
2025-08-28,1.415,1.42,1.37,1.39,1.3493,2242359
2025-08-29,1.39,1.43,1.38,1.42,1.3784,1880169
2025-09-01,1.42,1.425,1.395,1.4,1.359,1010682
2025-09-02,1.41,1.415,1.38,1.385,1.3444,827823
2025-09-03,1.385,1.39,1.335,1.335,1.2959,3288325
