Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.23,3.27,3.23,3.26,3.0984,6008306
2025-07-23,3.29,3.34,3.28,3.33,3.1649,5955830
2025-07-24,3.33,3.33,3.26,3.26,3.0984,6189603
2025-07-25,3.28,3.3,3.26,3.28,3.1174,3876469
2025-07-28,3.29,3.3,3.26,3.26,3.0984,3337116
2025-07-29,3.26,3.3,3.26,3.29,3.1269,5043097
2025-07-30,3.27,3.3,3.265,3.29,3.1269,4530676
2025-07-31,3.26,3.285,3.23,3.24,3.0794,6733301
2025-08-01,3.25,3.25,3.22,3.24,3.0794,3348097
2025-08-04,3.24,3.25,3.22,3.23,3.0699,3555305
2025-08-05,3.24,3.25,3.22,3.25,3.0889,4129218
2025-08-06,3.22,3.23,3.13,3.13,2.9748,10786063
2025-08-07,3.14,3.16,3.12,3.16,3.0033,6710458
2025-08-08,3.14,3.22,3.12,3.21,3.0509,7965924
2025-08-11,3.23,3.27,3.21,3.25,3.0889,5903493
2025-08-12,3.24,3.26,3.23,3.23,3.0699,7502003
2025-08-13,3.25,3.29,3.24,3.29,3.1269,5126963
2025-08-14,3.28,3.29,3.24,3.26,3.0984,6615002
2025-08-15,3.26,3.28,3.245,3.27,3.1079,5092071
2025-08-18,3.23,3.35,3.22,3.33,3.1649,8044127
2025-08-19,3.29,3.31,3.23,3.25,3.0889,4907800
2025-08-20,3.3,3.31,3.21,3.25,3.0889,6591143
2025-08-21,3.23,3.27,3.23,3.26,3.0984,7386691
2025-08-22,3.24,3.24,3.2,3.23,3.0699,3620591
2025-08-25,3.25,3.25,3.22,3.24,3.0794,3621988
2025-08-26,3.25,3.25,3.2,3.23,3.0699,6755871
2025-08-27,3.24,3.25,3.215,3.24,3.0794,3444501
2025-08-28,3.26,3.26,3.22,3.24,3.0794,3736570
2025-08-29,3.24,3.25,3.225,3.24,3.0794,7719578
2025-09-01,3.19,3.225,3.18,3.21,3.1133,11886535
2025-09-02,3.21,3.23,3.19,3.22,3.123,4034029
2025-09-03,3.2,3.22,3.18,3.18,3.0842,4775148
2025-09-04,3.19,3.2,3.165,3.2,3.1036,3545112
2025-09-05,3.22,3.23,3.18,3.18,3.0842,3728790
2025-09-08,3.18,3.19,3.165,3.17,3.0745,1911199
2025-09-09,3.16,3.18,3.14,3.16,3.0648,5679103
2025-09-10,3.15,3.19,3.14,3.16,3.0648,4444806
2025-09-11,3.17,3.19,3.16,3.17,3.0745,4463218
2025-09-12,3.18,3.2,3.17,3.19,3.0939,4208561
2025-09-15,3.18,3.2,3.16,3.2,3.1036,3454731
2025-09-16,3.2,3.21,3.18,3.2,3.1036,4778945
2025-09-17,3.21,3.26,3.2,3.22,3.123,5508748
2025-09-18,3.22,3.24,3.18,3.21,3.1133,5069631
2025-09-19,3.22,3.22,3.195,3.21,3.1133,9854707
2025-09-22,3.21,3.22,3.18,3.2,3.1036,5305380
2025-09-23,3.22,3.24,3.18,3.24,3.1424,10634048
2025-09-24,3.24,3.24,3.19,3.21,3.1133,3873320
2025-09-25,3.2,3.23,3.19,3.21,3.1133,8845485
