Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.82,4.93,4.78,4.9,4.8226,648020
2025-04-28,4.88,4.97,4.86,4.9,4.8226,316372
2025-04-29,4.9,5.04,4.86,5.04,4.9603,530191
2025-04-30,5.02,5.1,5,5.09,5.0096,718462
2025-05-01,5.12,5.21,5.06,5.21,5.1277,619679
2025-05-02,5.1,5.18,5.08,5.16,5.0784,359999
2025-05-05,5.13,5.23,5.055,5.08,4.9997,263280
2025-05-06,5.04,5.23,5.04,5.17,5.0883,414717
2025-05-07,5.18,5.21,4.99,5.02,4.9407,1052683
2025-05-08,5,5.245,4.99,5.19,5.108,598067
2025-05-09,5.12,5.265,5.12,5.22,5.1375,458932
2025-05-12,5.27,5.27,5.21,5.24,5.1572,394660
2025-05-13,5.29,5.415,5.25,5.35,5.2654,361301
2025-05-14,5.38,5.41,5.32,5.38,5.295,584713
2025-05-15,5.42,5.42,5.09,5.1,5.0194,1148989
2025-05-16,5.17,5.28,5.12,5.19,5.108,905627
2025-05-19,5.18,5.19,5.1,5.15,5.0686,441573
2025-05-20,5.18,5.26,5.15,5.2,5.1178,549783
2025-05-21,5.26,5.3,5.12,5.15,5.0686,711548
2025-05-22,5.17,5.31,5.11,5.2,5.1178,679506
2025-05-23,5.18,5.31,5.16,5.2,5.1178,614640
2025-05-26,5.2,5.25,5.13,5.2,5.1178,436942
2025-05-27,5.25,5.35,5.15,5.24,5.1572,517170
2025-05-28,5.25,5.27,5.09,5.19,5.108,983783
2025-05-29,5.18,5.26,5.12,5.21,5.1277,445400
2025-05-30,5.15,5.28,5.15,5.22,5.1375,869613
2025-06-02,5.19,5.23,5.1,5.14,5.0588,561335
2025-06-03,5.2,5.22,5.1,5.15,5.0686,737604
2025-06-04,5.21,5.29,5.13,5.13,5.0489,871196
2025-06-05,5.12,5.19,5.11,5.15,5.0686,1646556
2025-06-06,5.14,5.18,5.07,5.15,5.0686,875270
2025-06-10,5.14,5.19,5.04,5.19,5.108,1032544
2025-06-11,5.18,5.26,5.14,5.25,5.167,632813
2025-06-12,5.24,5.26,5.11,5.11,5.0292,861398
2025-06-13,5.12,5.12,4.85,4.88,4.8029,688111
2025-06-16,4.88,4.95,4.87,4.93,4.8521,676893
2025-06-17,4.9,4.93,4.805,4.84,4.7635,405643
2025-06-18,4.85,4.88,4.805,4.82,4.7438,498798
2025-06-19,4.89,4.92,4.78,4.82,4.7438,809855
2025-06-20,4.82,4.88,4.8,4.81,4.734,2222270
