Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,1.51,1.55,1.485,1.49,1.49,102959
2025-04-28,1.47,1.53,1.47,1.5,1.5,70248
2025-04-29,1.505,1.57,1.495,1.525,1.525,58346
2025-04-30,1.525,1.58,1.525,1.565,1.565,48977
2025-05-01,1.57,1.7,1.57,1.695,1.695,438276
2025-05-02,1.69,1.745,1.69,1.72,1.72,452879
2025-05-05,1.7,1.81,1.7,1.79,1.79,256422
2025-05-06,1.79,1.85,1.75,1.8,1.8,301904
2025-05-07,1.82,1.82,1.765,1.79,1.79,170009
2025-05-08,1.81,1.895,1.765,1.895,1.895,760372
2025-05-09,1.86,1.9,1.815,1.815,1.815,612026
2025-05-12,1.89,1.89,1.79,1.8,1.8,142540
2025-05-13,1.81,1.875,1.795,1.815,1.815,155678
2025-05-14,1.795,1.83,1.79,1.805,1.805,54724
2025-05-15,1.775,1.85,1.765,1.765,1.765,50169
2025-05-16,1.785,1.82,1.77,1.78,1.78,36468
2025-05-19,1.77,1.77,1.705,1.725,1.725,34678
2025-05-20,1.705,1.73,1.66,1.675,1.675,164735
2025-05-21,1.72,1.72,1.645,1.65,1.65,53062
2025-05-22,1.65,1.695,1.65,1.665,1.665,25748
2025-05-23,1.665,1.73,1.66,1.66,1.66,55909
2025-05-26,1.66,1.7725,1.66,1.76,1.76,49078
2025-05-27,1.66,1.73,1.66,1.7,1.7,21874
2025-05-28,1.7,1.75,1.7,1.725,1.725,15959
2025-05-29,1.705,1.755,1.69,1.69,1.69,37456
2025-05-30,1.725,1.775,1.7,1.73,1.73,52489
2025-06-02,1.715,1.735,1.7,1.7,1.7,70687
2025-06-03,1.72,1.77,1.72,1.725,1.725,48768
2025-06-04,1.77,1.78,1.73,1.75,1.75,76490
2025-06-05,1.745,1.77,1.725,1.77,1.77,97967
2025-06-06,1.765,1.765,1.715,1.75,1.75,93005
2025-06-10,1.73,1.765,1.73,1.755,1.755,169333
2025-06-11,1.76,1.78,1.735,1.765,1.765,553322
2025-06-12,1.76,1.82,1.745,1.82,1.82,44981
2025-06-13,1.82,1.82,1.745,1.8,1.8,59525
2025-06-16,1.78,1.78,1.74,1.78,1.78,114202
2025-06-17,1.78,1.78,1.75,1.775,1.775,216256
2025-06-18,1.75,1.75,1.72,1.74,1.74,69404
2025-06-19,1.725,1.75,1.725,1.735,1.735,35414
2025-06-20,1.73,1.775,1.715,1.775,1.775,414688
2025-06-23,1.77,1.77,1.73,1.75,1.75,67720
2025-06-24,1.75,1.775,1.67,1.735,1.735,157398
2025-06-25,1.77,1.82,1.735,1.79,1.79,129214
2025-06-26,1.79,1.8,1.765,1.78,1.78,157405
2025-06-27,1.75,1.87,1.71,1.865,1.865,169574
2025-06-30,1.77,1.84,1.7275,1.84,1.84,125548
2025-07-01,1.81,1.845,1.79,1.8,1.8,66391
2025-07-02,1.8225,1.84,1.765,1.84,1.84,138594
2025-07-03,1.835,1.835,1.77,1.79,1.79,34937
2025-07-04,1.795,1.865,1.795,1.83,1.83,63156
2025-07-07,1.825,1.87,1.8,1.81,1.81,39441
2025-07-08,1.7875,1.89,1.77,1.85,1.85,99591
2025-07-09,1.845,1.855,1.82,1.845,1.845,77720
2025-07-10,1.85,1.875,1.835,1.85,1.85,68690
2025-07-11,1.865,1.885,1.795,1.805,1.805,65213
2025-07-14,1.81,1.835,1.79,1.83,1.83,55477
2025-07-15,1.805,1.85,1.79,1.84,1.84,48514
2025-07-16,1.88,1.88,1.79,1.81,1.81,7236
2025-07-17,1.79,1.83,1.79,1.83,1.83,20158
2025-07-18,1.825,1.84,1.73,1.8,1.8,172518
2025-07-21,1.8,1.815,1.715,1.73,1.73,132134
2025-07-22,1.745,1.78,1.67,1.73,1.73,65590
2025-07-23,1.71,1.755,1.635,1.755,1.755,100872
2025-07-24,1.77,1.77,1.67,1.7,1.7,74856
2025-07-25,1.73,1.73,1.675,1.675,1.675,77264
2025-07-28,1.67,1.7425,1.63,1.66,1.66,81533
2025-07-29,1.645,1.79,1.645,1.79,1.79,82482
2025-07-30,1.78,1.8225,1.75,1.8,1.8,82284
2025-07-31,1.785,1.8,1.7275,1.8,1.8,51572
2025-08-01,1.775,1.775,1.705,1.715,1.715,33206
2025-08-04,1.71,1.715,1.67,1.675,1.675,79762
2025-08-05,1.72,1.73,1.665,1.715,1.715,189703
2025-08-06,1.715,1.73,1.685,1.705,1.705,202589
2025-08-07,1.705,1.72,1.6675,1.72,1.72,83187
2025-08-08,1.72,1.72,1.675,1.695,1.695,64181
2025-08-11,1.675,1.73,1.675,1.71,1.71,64731
2025-08-12,1.7,1.725,1.685,1.71,1.71,44684
2025-08-13,1.68,1.765,1.68,1.695,1.695,57297
2025-08-14,1.675,1.85,1.675,1.85,1.85,288917
2025-08-15,2.2,2.6,2.15,2.6,2.6,5000465
2025-08-18,2.6,2.6,2.36,2.42,2.42,874551
2025-08-19,2.4,2.45,2.34,2.39,2.39,527041
2025-08-20,2.38,2.45,2.355,2.43,2.43,330350
2025-08-21,2.38,2.46,2.36,2.4,2.4,419501
2025-08-22,2.44,2.44,2.36,2.4,2.4,229760
2025-08-25,2.41,2.58,2.41,2.55,2.55,596100
2025-08-26,2.56,2.63,2.54,2.55,2.55,311485
2025-08-27,2.58,2.63,2.55,2.61,2.61,231248
2025-08-28,2.57,2.7,2.565,2.66,2.66,228917
2025-08-29,2.74,2.74,2.65,2.7,2.7,171682
2025-09-01,2.68,2.84,2.68,2.83,2.83,254242
2025-09-02,2.82,3.08,2.82,2.99,2.99,637134
2025-09-03,2.94,2.99,2.86,2.86,2.86,156844
2025-09-04,2.84,3.03,2.8,2.98,2.98,207985
2025-09-05,3,3.08,2.96,3,3,251441
2025-09-08,3.01,3.1,3.01,3.05,3.05,246254
2025-09-09,3.01,3.035,2.96,2.97,2.97,410502
2025-09-10,2.99,3.04,2.94,2.98,2.98,245030
2025-09-11,2.99,2.99,2.82,2.9,2.9,489359
2025-09-12,2.86,3.03,2.86,2.96,2.96,281256
2025-09-15,2.97,3.01,2.93,2.99,2.99,106315
2025-09-16,2.96,3.04,2.96,3.01,3.01,115337
2025-09-17,3.02,3.03,2.96,3,3,104769
2025-09-18,2.95,3.03,2.95,3,3,88873
2025-09-19,2.99,3.13,2.99,3.13,3.13,483853
2025-09-22,3.13,3.19,3.07,3.17,3.17,398181
2025-09-23,3.15,3.2,3.1,3.13,3.13,174460
2025-09-24,3.13,3.13,3.04,3.07,3.07,359598
2025-09-25,3,3.1,2.97,2.99,2.99,200543
2025-09-26,2.98,3.04,2.89,3,3,218814
2025-09-29,3,3.1,3,3.08,3.08,174203
2025-09-30,3.05,3.1,3,3.1,3.1,218478
2025-10-01,3,3.11,3,3.1,3.1,169067
2025-10-02,3.03,3.25,3.03,3.23,3.23,393706
2025-10-03,3.18,3.23,3.1,3.14,3.14,172747
2025-10-06,3.11,3.19,3.1,3.12,3.12,59831
2025-10-07,3.11,3.18,3.08,3.16,3.16,206383
2025-10-08,3.16,3.245,3.13,3.23,3.23,229899
2025-10-09,3.14,3.29,3.14,3.21,3.21,930466
2025-10-10,3.17,3.22,3.15,3.2,3.2,97246
2025-10-13,3.12,3.2,3.12,3.17,3.17,86860
2025-10-14,3.17,3.22,2.93,3,3,1670873
2025-10-15,3.02,3.02,2.76,2.8,2.8,566451
2025-10-16,2.7,2.88,2.7,2.83,2.83,273886
2025-10-17,2.78,2.81,2.67,2.76,2.76,293391
2025-10-20,2.67,2.74,2.62,2.65,2.65,186554
2025-10-21,2.6,2.72,2.58,2.61,2.61,237681
2025-10-22,2.59,2.61,2.52,2.52,2.52,322743
2025-10-23,2.49,2.86,2.49,2.84,2.84,6575044
2025-10-24,2.85,2.85,2.73,2.78,2.78,276938
2025-10-27,2.75,2.87,2.75,2.8,2.8,3991721
2025-10-28,2.7,2.78,2.7,2.78,2.78,312327
2025-10-29,2.75,2.86,2.715,2.83,2.83,445064
2025-10-30,2.75,2.86,2.68,2.77,2.77,945982
2025-10-31,2.77,2.78,2.72,2.74,2.74,115936
2025-11-03,2.71,2.8,2.71,2.77,2.77,134553
2025-11-04,2.71,2.77,2.71,2.74,2.74,100990
2025-11-05,2.7,2.76,2.7,2.72,2.72,168281
2025-11-06,2.72,2.83,2.72,2.79,2.79,157868
2025-11-07,2.78,2.86,2.7,2.86,2.86,353037
2025-11-10,2.83,2.93,2.805,2.89,2.89,230046
2025-11-11,2.83,3,2.83,2.99,2.99,389668
2025-11-12,2.93,3,2.91,2.92,2.92,144827
2025-11-13,2.87,2.91,2.77,2.85,2.85,200097
2025-11-14,2.81,2.81,2.73,2.8,2.8,129370
2025-11-17,2.71,2.81,2.7,2.8,2.8,98654
2025-11-18,2.76,2.79,2.68,2.71,2.71,123718
2025-11-19,2.68,2.75,2.68,2.72,2.72,67486
2025-11-20,2.65,2.8,2.65,2.8,2.8,80124
2025-11-21,2.81,2.825,2.65,2.8,2.8,164349
2025-11-24,2.74,2.81,2.73,2.73,2.73,563567
2025-11-25,2.69,2.775,2.57,2.72,2.72,2342638
2025-11-26,2.7,2.83,2.68,2.8,2.8,261065
2025-11-27,2.83,2.86,2.78,2.82,2.82,286923
2025-11-28,2.68,2.83,2.68,2.76,2.76,78588
2025-12-01,2.69,2.76,2.64,2.71,2.71,84410
2025-12-02,2.65,2.75,2.65,2.69,2.69,77958
2025-12-03,2.65,2.72,2.63,2.64,2.64,136135
2025-12-04,2.64,2.68,2.64,2.67,2.67,50945
2025-12-05,2.63,2.685,2.63,2.66,2.66,72454
2025-12-08,2.64,2.7,2.63,2.7,2.7,207999
2025-12-09,2.65,2.7,2.63,2.7,2.7,190756
2025-12-10,2.66,2.7,2.52,2.56,2.56,171606
2025-12-11,2.57,2.6,2.54,2.57,2.57,61503
