Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,12.51,12.57,12.22,12.22,11.6025,1400530
2025-07-23,12.24,12.35,12.17,12.35,11.7259,1350142
2025-07-24,12.43,12.45,12.25,12.31,11.688,887252
2025-07-25,12.27,12.32,12.13,12.22,11.6025,537585
2025-07-28,12.22,12.28,12.155,12.2,11.5835,1074265
2025-07-29,12.17,12.225,12.05,12.17,11.555,724489
2025-07-30,12.11,12.265,12.09,12.26,11.6405,1433061
2025-07-31,12.22,12.285,12.18,12.25,11.631,786742
2025-08-01,12.15,12.27,12.08,12.22,11.6025,661425
2025-08-04,12.2,12.24,12.15,12.19,11.574,771289
2025-08-05,12.29,12.46,12.265,12.45,11.8209,687014
2025-08-06,12.46,12.57,12.41,12.47,11.8399,715108
2025-08-07,12.44,12.49,12.39,12.45,11.8209,480239
2025-08-08,12.45,12.46,12.365,12.4,11.7734,425330
2025-08-11,12.47,12.61,12.41,12.56,11.9253,564468
2025-08-12,12.56,12.69,12.56,12.65,12.0108,679532
2025-08-13,12.7,12.75,12.44,12.44,11.8114,921670
2025-08-14,12.49,12.69,12.49,12.52,11.8873,844770
2025-08-15,12.59,12.88,12.59,12.84,12.1912,1151296
2025-08-18,12.81,12.83,12.66,12.75,12.1057,780113
2025-08-19,12.75,12.95,12.7,12.9,12.2481,835993
2025-08-20,12.95,13.01,12.66,12.72,12.0772,1322922
2025-08-21,12.81,13.08,12.77,13.05,12.3906,1299276
2025-08-22,13.02,13.13,12.97,12.99,12.3336,1069494
2025-08-25,12.94,13.49,12.84,13.13,12.4665,2269602
2025-08-26,13.3,13.73,13.27,13.47,12.7893,1902961
2025-08-27,13.5,13.55,13.32,13.37,12.6944,1395379
2025-08-28,13.45,13.55,13.28,13.44,12.7609,1335379
2025-08-29,13.5,13.54,13.24,13.34,12.6659,1688187
2025-09-01,13.3,13.37,13.1,13.22,12.552,1349162
2025-09-02,12.79,12.82,12.64,12.72,12.3864,1806409
2025-09-03,12.65,12.68,12.28,12.33,12.0067,1523293
2025-09-04,12.39,12.64,12.38,12.61,12.2793,1351977
2025-09-05,12.6,12.64,12.51,12.56,12.2306,1426199
2025-09-08,12.45,12.53,12.38,12.48,12.1527,1117555
2025-09-09,12.49,12.7,12.46,12.67,12.3377,1320685
2025-09-10,12.65,12.79,12.575,12.65,12.3183,1787055
2025-09-11,12.7,12.7,12.46,12.55,12.2209,1782257
2025-09-12,12.56,12.65,12.5,12.6,12.2696,1126154
2025-09-15,12.55,12.79,12.51,12.79,12.4546,998567
2025-09-16,12.82,12.85,12.73,12.85,12.513,750275
2025-09-17,12.78,12.88,12.69,12.76,12.4254,1174976
2025-09-18,12.84,12.92,12.77,12.88,12.5422,1002822
2025-09-19,12.87,12.905,12.79,12.82,12.4838,2206658
2025-09-22,12.86,12.97,12.83,12.86,12.5228,713510
2025-09-23,12.86,13.19,12.78,13.12,12.7759,1123671
2025-09-24,13.03,13.045,12.8,12.89,12.552,845258
2025-09-25,12.79,12.935,12.76,12.89,12.552,674351
2025-09-26,12.86,13.04,12.83,13,12.6591,853672
2025-09-29,13.09,13.21,13.03,13.2,12.8538,920822
2025-09-30,13.16,13.17,13.015,13.07,12.7273,883742
2025-10-01,13.06,13.15,12.955,13.04,12.698,811539
2025-10-02,13.14,13.24,13.07,13.22,12.8733,960688
2025-10-03,13.2,13.32,13.15,13.21,12.8636,866100
