Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.48,8.48,8.1,8.1,7.498,67938
2025-07-23,8.11,8.11,7.9,7.98,7.3869,31055
2025-07-24,7.98,8.8,7.95,8.7,8.0534,58885
2025-07-25,8.7,8.7,8.6,8.69,8.0441,5222
2025-07-28,8.69,8.74,8.21,8.69,8.0441,2820
2025-07-29,8.5,8.5,8.3,8.3,7.6831,4545
2025-07-30,8.47,8.5,8.31,8.31,7.6924,4333
2025-07-31,8.35,8.35,8.34,8.34,7.7201,201
2025-08-01,8.67,8.67,8.4,8.4,7.7757,8457
2025-08-04,8.5,8.5,8.4,8.45,7.822,6690
2025-08-05,8.6,8.65,8.4,8.4,7.7757,8835
2025-08-06,8.65,8.65,8.35,8.35,7.7294,7288
2025-08-07,8.35,8.49,8.35,8.49,7.859,1733
2025-08-08,8.44,8.45,8.35,8.43,7.8035,2868
2025-08-11,8.5,8.6,8.38,8.5,7.8683,1683
2025-08-12,8.5,8.74,8.5,8.74,8.0904,10522
2025-08-13,8.74,8.89,8.56,8.8,8.146,13276
2025-08-14,8.75,8.8,8.7,8.8,8.146,8951
2025-08-15,8.8,8.89,8.61,8.65,8.0071,9825
2025-08-18,8.66,8.75,8.6,8.61,7.9701,10075
2025-08-19,8.87,8.87,8.68,8.68,8.0349,108
2025-08-20,8.87,8.88,8.55,8.55,7.9145,17296
2025-08-21,8.7,8.87,8.35,8.35,7.7294,7082
2025-08-22,8.84,8.85,8.45,8.45,7.822,5443
2025-08-25,8.5,8.77,8.44,8.77,8.1182,14954
2025-08-26,8.81,8.81,8.8,8.8,8.146,285
2025-08-27,8.81,8.85,8.75,8.81,8.2962,4742
2025-08-28,8.67,8.84,8.49,8.6,8.0985,10793
2025-08-29,8.6,8.62,8.45,8.48,7.9855,9772
2025-09-01,8.55,8.55,8.51,8.51,8.0137,1070
2025-09-02,8.52,8.52,8.33,8.34,7.8537,5578
2025-09-03,8.53,8.53,8.4,8.47,7.9761,5823
2025-09-04,8.47,8.47,8.3,8.3,7.816,11129
2025-09-05,8.32,8.32,8.3,8.3,7.816,10000
2025-09-08,8.46,8.46,8.26,8.35,7.8631,7075
2025-09-09,8.35,8.35,7.92,7.97,7.5052,26456
2025-09-10,7.8,7.8,6.79,6.82,6.4223,116101
2025-09-11,6.95,7.25,6.95,7.14,6.7236,52531
2025-09-12,7.49,8.05,7.49,8.05,7.5806,45409
2025-09-15,8.05,8.09,7.75,7.77,7.3169,18828
2025-09-16,7.77,7.99,7.77,7.82,7.364,677
2025-09-17,7.94,7.94,7.75,7.76,7.3075,10536
2025-09-18,7.75,7.96,7.7,7.7,7.251,3993
2025-09-19,7.83,7.83,7.42,7.51,7.0721,5324
2025-09-22,7.49,7.63,7.45,7.45,7.0156,15135
2025-09-23,7.45,7.54,7.34,7.4,6.9685,36748
