Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.14,5.16,5.12,5.14,4.9706,426570
2025-07-23,5.15,5.21,5.15,5.17,4.9996,758881
2025-07-24,5.18,5.2,5.14,5.16,4.99,392797
2025-07-25,5.17,5.17,5.13,5.13,4.9609,194756
2025-07-28,5.15,5.22,5.145,5.2,5.0286,373532
2025-07-29,5.17,5.21,5.15,5.18,5.0093,543747
2025-07-30,5.15,5.28,5.15,5.28,5.106,410799
2025-07-31,5.24,5.24,5.19,5.21,5.0383,373220
2025-08-01,5.18,5.21,5.15,5.17,4.9996,372680
2025-08-04,5.14,5.195,5.12,5.18,5.0093,481907
2025-08-05,5.22,5.22,5.11,5.15,4.9803,521377
2025-08-06,5.16,5.27,5.15,5.23,5.0576,446084
2025-08-07,5.26,5.27,5.21,5.25,5.077,316018
2025-08-08,5.26,5.31,5.24,5.28,5.106,249062
2025-08-11,5.3,5.31,5.21,5.23,5.0576,342881
2025-08-12,5.25,5.27,5.17,5.18,5.0093,647204
2025-08-13,5.22,5.25,5.185,5.25,5.077,376213
2025-08-14,5.25,5.31,5.22,5.28,5.106,634901
2025-08-15,5.29,5.3,5.22,5.25,5.077,978598
2025-08-18,5.22,5.3,5.2,5.28,5.106,749974
2025-08-19,5.3,5.3,5.22,5.24,5.0673,289943
2025-08-20,5.26,5.27,5.19,5.21,5.0383,875489
2025-08-21,5.36,5.7,5.325,5.61,5.4251,1820632
2025-08-22,5.63,5.63,5.41,5.5,5.3188,1611232
2025-08-25,5.5,5.68,5.46,5.65,5.4638,1161578
2025-08-26,5.56,5.64,5.475,5.61,5.4834,1650258
2025-08-27,5.65,5.65,5.59,5.65,5.5225,397990
2025-08-28,5.67,5.81,5.67,5.75,5.6202,741672
2025-08-29,5.78,5.86,5.745,5.83,5.6984,817752
2025-09-01,5.8,5.9,5.8,5.89,5.757,418678
2025-09-02,5.88,5.9,5.73,5.73,5.6006,2939690
2025-09-03,5.71,5.78,5.67,5.68,5.5518,722005
2025-09-04,5.71,5.78,5.71,5.75,5.6202,470281
2025-09-05,5.76,5.795,5.74,5.75,5.6202,232244
2025-09-08,5.7,5.72,5.6,5.63,5.5029,376461
2025-09-09,5.66,5.68,5.59,5.61,5.4834,300329
2025-09-10,5.59,5.63,5.54,5.6,5.4736,460714
2025-09-11,5.51,5.58,5.51,5.53,5.4052,180217
2025-09-12,5.56,5.65,5.54,5.59,5.4638,450255
2025-09-15,5.55,5.59,5.51,5.58,5.454,202698
2025-09-16,5.58,5.62,5.53,5.56,5.4345,487154
2025-09-17,5.55,5.56,5.42,5.43,5.3074,533993
2025-09-18,5.44,5.47,5.37,5.43,5.3074,395202
2025-09-19,5.48,5.48,5.36,5.4,5.2781,743126
2025-09-22,5.44,5.44,5.27,5.27,5.151,305596
2025-09-23,5.25,5.31,5.23,5.28,5.1608,437393
2025-09-24,5.24,5.4,5.17,5.34,5.2195,1384644
2025-09-25,5.3,5.32,5.19,5.21,5.0924,599252
2025-09-26,5.22,5.23,5.15,5.18,5.0631,428377
2025-09-29,5.14,5.24,5.14,5.21,5.0924,525669
2025-09-30,5.19,5.26,5.18,5.19,5.0728,378643
2025-10-01,5.24,5.25,5.165,5.2,5.0826,288820
2025-10-02,5.2,5.23,5.16,5.22,5.1022,2021896
2025-10-03,5.24,5.28,5.2,5.21,5.0924,244965
2025-10-06,5.25,5.25,5.06,5.07,4.9555,265322
2025-10-07,5.08,5.1,5.01,5.01,4.8969,232238
2025-10-08,5,5.045,4.93,5,4.8871,363099
2025-10-09,5.05,5.21,5.02,5.16,5.0435,884020
2025-10-10,5.17,5.19,5.1,5.18,5.0631,412401
2025-10-13,5.18,5.2,5.09,5.14,5.024,926586
2025-10-14,5.1,5.24,5.08,5.2,5.0826,625711
2025-10-15,5.25,5.29,5.1,5.17,5.0533,428987
2025-10-16,5.21,5.35,5.21,5.24,5.1217,579235
2025-10-17,5.23,5.3,5.2,5.27,5.151,334438
2025-10-20,5.28,5.38,5.25,5.37,5.2488,1414495
2025-10-21,5.38,5.38,5.24,5.27,5.151,399010
2025-10-22,5.31,5.32,5.2,5.32,5.1999,691342
2025-10-23,5.18,5.39,5.18,5.36,5.239,719442
2025-10-24,5.4,5.42,5.32,5.36,5.239,332296
2025-10-27,5.34,5.47,5.34,5.34,5.2195,875380
2025-10-28,5.35,5.45,5.31,5.45,5.327,487050
2025-10-29,5.49,5.49,5.33,5.34,5.2195,247711
2025-10-30,5.3,5.4,5.27,5.37,5.2488,449412
2025-10-31,5.39,5.39,5.3,5.31,5.1901,211975
2025-11-03,5.35,5.39,5.28,5.36,5.239,353476
2025-11-04,5.43,5.43,5.27,5.29,5.1706,264462
2025-11-05,5.4,5.4,5.215,5.25,5.1315,342289
2025-11-06,5.28,5.295,5.19,5.2,5.0826,504291
2025-11-07,5.18,5.195,5.11,5.15,5.0337,2572731
2025-11-10,5.195,5.355,5.18,5.34,5.2195,777068
2025-11-11,5.38,5.69,5.38,5.69,5.5616,1041417
