Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.92,0.9425,0.92,0.93,0.93,15953762
2025-07-23,0.95,0.95,0.9175,0.925,0.925,11089433
2025-07-24,0.91,0.915,0.885,0.895,0.895,22266169
2025-07-25,0.895,0.895,0.855,0.855,0.855,20978691
2025-07-28,0.895,0.905,0.85,0.85,0.85,23459610
2025-07-29,0.84,0.85,0.82,0.845,0.845,14125314
2025-07-30,0.845,0.86,0.835,0.85,0.85,7935948
2025-07-31,0.83,0.83,0.8075,0.81,0.81,16902750
2025-08-01,0.81,0.825,0.775,0.775,0.775,27020971
2025-08-04,0.8,0.8375,0.8,0.825,0.825,24227299
2025-08-05,0.83,0.855,0.82,0.855,0.855,10335367
2025-08-06,0.865,0.885,0.86,0.865,0.865,17329218
2025-08-07,0.875,0.8975,0.8725,0.89,0.89,15114871
2025-08-08,0.9,0.9125,0.89,0.895,0.895,10337485
2025-08-11,0.905,0.905,0.865,0.875,0.875,8305678
2025-08-12,0.86,0.8775,0.855,0.87,0.87,9522768
2025-08-13,0.86,0.87,0.8525,0.865,0.865,6956073
2025-08-14,0.865,0.895,0.865,0.89,0.89,7451478
2025-08-15,0.88,0.885,0.8675,0.875,0.875,9297399
2025-08-18,0.88,0.89,0.87,0.875,0.875,8326806
2025-08-19,0.875,0.8825,0.87,0.87,0.87,5874098
2025-08-20,0.85,0.865,0.835,0.86,0.86,11063735
2025-08-21,0.885,0.895,0.875,0.88,0.88,5828424
2025-08-22,0.89,0.905,0.88,0.88,0.88,13757288
2025-08-25,0.905,0.915,0.88,0.9,0.9,11832485
2025-08-26,0.9,0.9,0.88,0.895,0.895,7744718
2025-08-27,0.905,0.93,0.895,0.92,0.92,15863247
2025-08-28,0.905,0.91,0.865,0.87,0.87,12685916
2025-08-29,0.87,0.88,0.855,0.86,0.86,12187896
2025-09-01,0.885,0.905,0.885,0.89,0.89,18039988
2025-09-02,0.9,0.905,0.875,0.885,0.885,14737332
2025-09-03,0.91,0.9275,0.8975,0.91,0.91,46409384
2025-09-04,0.92,0.935,0.875,0.875,0.875,25508773
2025-09-05,0.88,0.915,0.875,0.915,0.915,17180816
2025-09-08,0.93,0.93,0.905,0.915,0.915,7176350
2025-09-09,0.92,0.935,0.9075,0.92,0.92,18712533
2025-09-10,0.915,0.915,0.87,0.885,0.885,18335633
2025-09-11,0.89,0.915,0.885,0.905,0.905,31525284
2025-09-12,0.925,0.975,0.915,0.97,0.97,37835435
2025-09-15,0.975,0.9775,0.91,0.95,0.95,18741530
2025-09-16,0.97,1.0175,0.965,1.01,1.01,18061364
2025-09-17,1.005,1.0125,0.98,0.99,0.99,17816779
2025-09-18,0.995,1.015,0.9825,1.015,1.015,14668665
2025-09-19,1.005,1.01,0.985,1,1,78471252
2025-09-22,1.035,1.095,1.035,1.075,1.075,19025038
2025-09-23,1.095,1.115,1.07,1.09,1.09,17919775
2025-09-24,1.08,1.1,1.05,1.075,1.075,13446249
2025-09-25,1.055,1.075,1.0375,1.05,1.05,25321966
2025-09-26,1.055,1.075,1.03,1.075,1.075,15192081
2025-09-29,1.09,1.1125,1.065,1.11,1.11,13745097
2025-09-30,1.14,1.1575,1.115,1.145,1.145,15286574
2025-10-01,1.16,1.18,1.13,1.175,1.175,13947638
2025-10-02,1.195,1.235,1.19,1.21,1.21,19023164
2025-10-03,1.205,1.21,1.17,1.205,1.205,13563109
2025-10-06,1.22,1.24,1.2,1.23,1.23,11827508
2025-10-07,1.24,1.255,1.22,1.235,1.235,15709122
2025-10-08,1.235,1.24,1.19,1.22,1.22,23248692
2025-10-09,1.215,1.23,1.18,1.225,1.225,14151581
2025-10-10,1.16,1.2,1.13,1.175,1.175,15226431
2025-10-13,1.205,1.24,1.2,1.235,1.235,18563967
2025-10-14,1.25,1.31,1.25,1.27,1.27,16368771
2025-10-15,1.275,1.3,1.255,1.275,1.275,15540064
2025-10-16,1.29,1.3575,1.28,1.35,1.35,15910168
2025-10-17,1.4,1.405,1.35,1.38,1.38,22414562
2025-10-20,1.3,1.305,1.27,1.3,1.3,19135179
2025-10-21,1.365,1.365,1.305,1.325,1.325,13920508
2025-10-22,1.195,1.205,1.155,1.195,1.195,23362283
2025-10-23,1.19,1.2025,1.155,1.165,1.165,15929739
2025-10-24,1.175,1.175,1.13,1.165,1.165,19350971
2025-10-27,1.15,1.175,1.14,1.16,1.16,17422599
2025-10-28,1.105,1.125,1.0775,1.12,1.12,15216955
2025-10-29,1.125,1.1625,1.1125,1.15,1.15,11702555
2025-10-30,1.14,1.1575,1.1275,1.145,1.145,7869418
2025-10-31,1.165,1.2,1.165,1.17,1.17,9497477
2025-11-03,1.175,1.1775,1.1525,1.16,1.16,4908166
2025-11-04,1.16,1.165,1.14,1.145,1.145,5723774
2025-11-05,1.115,1.1175,1.055,1.11,1.11,10983621
2025-11-06,1.145,1.165,1.13,1.16,1.16,5760410
2025-11-07,1.175,1.185,1.16,1.17,1.17,7836858
2025-11-10,1.19,1.23,1.1825,1.215,1.215,8617039
2025-11-11,1.27,1.275,1.235,1.25,1.25,12577383
2025-11-12,1.265,1.275,1.2375,1.25,1.25,6017454
2025-11-13,1.295,1.3,1.26,1.28,1.28,6554399
2025-11-14,1.22,1.2725,1.2125,1.265,1.265,8245636
2025-11-17,1.24,1.265,1.205,1.25,1.25,8559847
2025-11-18,1.25,1.255,1.1825,1.195,1.195,10456121
2025-11-19,1.23,1.245,1.215,1.23,1.23,5673586
2025-11-20,1.255,1.28,1.245,1.265,1.265,7949331
2025-11-21,1.185,1.225,1.18,1.205,1.205,12764595
2025-11-24,1.21,1.225,1.19,1.195,1.195,7674536
2025-11-25,1.255,1.2725,1.23,1.245,1.245,10162939
2025-11-26,1.245,1.2625,1.22,1.25,1.25,8264515
2025-11-27,1.295,1.305,1.275,1.29,1.29,12682652
2025-11-28,1.29,1.33,1.285,1.325,1.325,6857383
2025-12-01,1.36,1.375,1.31,1.315,1.315,6750071
2025-12-02,1.3,1.355,1.295,1.34,1.34,6186262
2025-12-03,1.38,1.43,1.3575,1.425,1.425,9113640
2025-12-04,1.42,1.4275,1.37,1.39,1.39,7928185
2025-12-05,1.445,1.4525,1.385,1.425,1.425,7558907
2025-12-08,1.41,1.4125,1.3725,1.395,1.395,7545426
2025-12-09,1.385,1.395,1.35,1.36,1.36,9378847
2025-12-10,1.41,1.425,1.39,1.41,1.41,10383077
2025-12-11,1.45,1.465,1.425,1.435,1.435,5743706
2025-12-12,1.49,1.52,1.48,1.51,1.51,15922908
2025-12-15,1.515,1.555,1.495,1.545,1.545,16252476
2025-12-16,1.54,1.57,1.5125,1.555,1.555,14268512
2025-12-17,1.57,1.645,1.535,1.635,1.635,16475573
2025-12-18,1.59,1.68,1.59,1.67,1.67,23220282
2025-12-19,1.725,1.76,1.685,1.72,1.72,21703799
2025-12-22,1.71,1.71,1.67,1.69,1.69,11742878
2025-12-23,1.73,1.735,1.695,1.71,1.71,6965146
2025-12-24,1.7,1.74,1.69,1.715,1.715,3622617
2025-12-29,1.75,1.76,1.67,1.7,1.7,7494748
2025-12-30,1.615,1.69,1.58,1.68,1.68,8155882
2025-12-31,1.68,1.705,1.66,1.705,1.705,5287566
2026-01-02,1.69,1.7,1.665,1.7,1.7,3833722
2026-01-05,1.685,1.73,1.675,1.73,1.73,5143080
2026-01-06,1.75,1.795,1.74,1.79,1.79,10443084
2026-01-07,1.82,1.825,1.655,1.675,1.675,16647901
2026-01-08,1.71,1.72,1.6675,1.67,1.67,7096443
2026-01-09,1.665,1.705,1.6525,1.66,1.66,14920661
2026-01-12,1.7,1.705,1.67,1.7,1.7,8202038
2026-01-13,1.72,1.735,1.685,1.69,1.69,9368269
2026-01-14,1.71,1.725,1.665,1.68,1.68,7823180
2026-01-15,1.685,1.685,1.61,1.62,1.62,10381470
2026-01-16,1.64,1.655,1.6025,1.62,1.62,8640627
2026-01-19,1.65,1.715,1.645,1.695,1.695,9395097
2026-01-20,1.7,1.79,1.695,1.78,1.78,11313283
2026-01-21,1.84,1.945,1.835,1.93,1.93,16527514
2026-01-22,1.87,1.915,1.79,1.805,1.805,15108347
2026-01-23,1.935,1.935,1.845,1.845,1.845,9869847
2026-01-27,1.89,1.92,1.82,1.855,1.855,7327157
2026-01-28,1.89,1.895,1.8425,1.88,1.88,7489983
2026-01-29,1.945,2,1.895,1.99,1.99,17648793
2026-01-30,1.92,1.9825,1.86,1.885,1.885,39679125
2026-02-02,1.74,1.765,1.685,1.73,1.73,19971943
2026-02-03,1.705,1.7875,1.7,1.74,1.74,8907293
2026-02-04,1.8,1.835,1.78,1.805,1.805,6858281
2026-02-05,1.755,1.78,1.685,1.74,1.74,10709679
2026-02-06,1.655,1.68,1.625,1.655,1.655,9896320
2026-02-09,1.735,1.745,1.705,1.735,1.735,4828992
2026-02-10,1.79,1.79,1.72,1.745,1.745,5029450
2026-02-11,1.76,1.86,1.74,1.855,1.855,5566461
2026-02-12,1.85,1.865,1.8125,1.855,1.855,3285714
2026-02-13,1.72,1.795,1.7,1.775,1.775,7520881
2026-02-16,1.8,1.81,1.765,1.775,1.775,6011396
2026-02-17,1.78,1.7925,1.7425,1.755,1.755,2573513
2026-02-18,1.745,1.76,1.71,1.76,1.76,2739734
2026-02-19,1.785,1.795,1.745,1.77,1.77,9361363
2026-02-20,1.78,1.825,1.76,1.805,1.805,5779769
2026-02-23,1.84,1.85,1.72,1.79,1.79,8681652
2026-02-24,1.86,1.9,1.7225,1.78,1.78,9998462
2026-02-25,1.835,1.85,1.75,1.83,1.83,8498483
2026-02-26,1.83,1.83,1.765,1.795,1.795,3971954
2026-02-27,1.825,1.875,1.805,1.825,1.825,12170253
2026-03-02,1.87,1.895,1.82,1.84,1.84,6015072
2026-03-03,1.825,1.84,1.795,1.815,1.815,5644950
2026-03-04,1.69,1.77,1.66,1.74,1.74,5202840
2026-03-05,1.74,1.765,1.675,1.705,1.705,4764550
2026-03-06,1.65,1.7,1.61,1.615,1.615,10134998
2026-03-09,1.6,1.62,1.55,1.61,1.61,12528366
2026-03-10,1.655,1.71,1.6425,1.7,1.7,6381539
2026-03-11,1.725,1.77,1.705,1.735,1.735,9432806
2026-03-12,1.665,1.71,1.665,1.7,1.7,14438085
2026-03-13,1.7,1.71,1.635,1.64,1.64,11948739
2026-03-16,1.57,1.57,1.4975,1.52,1.52,11762764
2026-03-17,1.545,1.59,1.515,1.585,1.585,5849955
2026-03-18,1.56,1.605,1.545,1.605,1.605,8097992
2026-03-19,1.52,1.52,1.4275,1.47,1.47,13714229
2026-03-20,1.375,1.4375,1.3675,1.38,1.38,31018628
2026-03-23,1.3,1.335,1.235,1.255,1.255,19612221
2026-03-24,1.31,1.315,1.245,1.265,1.265,20160740
2026-03-25,1.32,1.41,1.31,1.405,1.405,9353483
2026-03-26,1.365,1.4075,1.3575,1.405,1.405,5804240
2026-03-27,1.375,1.44,1.36,1.43,1.43,11862140
2026-03-30,1.425,1.4475,1.41,1.435,1.435,6797284
2026-03-31,1.42,1.5,1.38,1.49,1.49,12727585
2026-04-01,1.56,1.635,1.53,1.61,1.61,11345379
2026-04-02,1.655,1.67,1.51,1.53,1.53,11996378
2026-04-07,1.56,1.57,1.53,1.565,1.565,5336157
2026-04-08,1.9,1.9,1.775,1.86,1.86,13623735
2026-04-09,1.84,1.89,1.785,1.87,1.87,12528127
2026-04-10,1.855,1.855,1.77,1.81,1.81,6188396
2026-04-13,1.75,1.75,1.7,1.735,1.735,10063918
2026-04-14,1.745,1.76,1.715,1.725,1.725,4548337
2026-04-15,1.755,1.81,1.75,1.77,1.77,5055797
2026-04-16,1.73,1.755,1.715,1.74,1.74,4799707
2026-04-17,1.72,1.725,1.675,1.705,1.705,4829112
2026-04-20,1.71,1.775,1.6875,1.74,1.74,4487141
2026-04-21,1.74,1.755,1.715,1.735,1.735,3459363
2026-04-22,1.685,1.7325,1.68,1.725,1.725,3590708
2026-04-23,1.705,1.73,1.655,1.67,1.67,4808053
2026-04-24,1.67,1.68,1.63,1.64,1.64,3778258
2026-04-27,1.625,1.675,1.615,1.66,1.66,2828352
2026-04-28,1.645,1.65,1.6,1.61,1.61,3366198
