Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,40.89,41.69,40.77,41.51,39.8565,11430702
2025-07-23,41.86,42.39,41.81,41.85,40.1829,9875107
2025-07-24,41.99,42.07,41.46,41.6,39.9429,8832638
2025-07-25,40.86,41.14,40.66,40.8,39.1747,7481253
2025-07-28,40.57,40.71,40.2,40.3,38.6947,6193873
2025-07-29,40.15,40.54,40,40.42,38.8099,5510084
2025-07-30,40.25,40.57,40.2,40.22,38.6178,5662040
2025-07-31,39.27,39.685,39.18,39.25,37.6865,11994238
2025-08-01,39.45,39.69,39.22,39.22,37.6577,7455836
2025-08-04,39.38,39.76,39.18,39.59,38.0129,4916672
2025-08-05,39.81,40.11,39.74,39.8,38.2146,4548811
2025-08-06,39.79,40.2,39.695,39.9,38.3106,6271454
2025-08-07,39.98,40.03,39.68,39.87,38.2818,5398124
2025-08-08,40.07,40.38,39.9,40.21,38.6082,6130664
2025-08-11,40.7,40.98,40.65,40.87,39.242,4867453
2025-08-12,40.99,41.35,40.82,41.26,39.6164,6893144
2025-08-13,41.42,41.95,41.41,41.73,40.0677,8188549
2025-08-14,41.85,42.06,41.27,41.51,39.8565,7815890
2025-08-15,41.55,41.96,41.39,41.96,40.2885,6932247
2025-08-18,41.77,41.935,41.45,41.47,39.8181,5271204
2025-08-19,41.6,42.25,41.34,42.12,40.4422,10003525
2025-08-20,41.39,42.05,40.9,41.75,40.0869,10296580
2025-08-21,41.9,42.12,41.68,42.06,40.3845,9435127
2025-08-22,42.66,42.81,42,42,40.3269,13494593
2025-08-25,42.9,43.34,42.82,43.14,41.4215,9440006
2025-08-26,43,43.02,42.59,42.65,40.951,10597760
2025-08-27,42.7,43.22,42.59,43.22,41.4983,5993473
2025-08-28,42.91,43.06,42.76,43.01,41.2967,6259702
2025-08-29,43.1,43.32,42.8,43.19,41.4695,11355266
2025-09-01,42.7,42.9,42.48,42.7,40.9991,5679631
2025-09-02,42.6,43.19,42.6,42.85,41.1431,6959643
2025-09-03,42.7,43.01,42.25,42.29,40.6054,8236801
2025-09-04,41.75,42.11,41.66,41.98,41.2034,8318138
2025-09-05,41.4,41.61,41.33,41.61,40.8402,8268770
2025-09-08,41.63,41.79,41.31,41.37,40.6047,7131110
2025-09-09,41.13,41.18,40.7,40.97,40.2121,11339058
2025-09-10,40.32,40.56,40.18,40.46,39.7115,7263768
2025-09-11,40.3,40.48,40.15,40.27,39.525,5904258
2025-09-12,40.62,40.89,40.46,40.81,40.055,5093254
2025-09-15,40.75,40.85,40.375,40.58,39.8293,4485886
2025-09-16,40.92,41.14,40.77,40.77,40.0158,7464437
2025-09-17,40.42,40.62,40.135,40.31,39.5643,7379291
2025-09-18,40,40.19,39.88,39.97,39.2306,7823281
2025-09-19,39.77,40.2,39.3,39.64,38.9067,22847291
2025-09-22,39.65,40.34,39.57,40.03,39.2895,7393512
2025-09-23,40.3,40.69,40.075,40.22,39.4759,6219232
2025-09-24,40.45,40.47,40,40.24,39.4956,7179771
2025-09-25,40.99,41.89,40.9,41.67,40.8991,12092384
2025-09-26,42.38,42.67,42.08,42.22,41.4389,10922787
2025-09-29,41.8,41.99,41.51,41.91,41.1347,9744918
2025-09-30,42.75,42.94,42.53,42.53,41.7432,12591714
2025-10-01,42.05,42.12,41.42,41.47,40.7028,11041231
2025-10-02,41.9,42.335,41.84,41.94,41.1641,7075579
2025-10-03,41.9,42.2,41.795,42.08,41.3015,4996434
2025-10-06,42,42.16,41.8,41.9,41.1249,5399935
2025-10-07,41.9,42.315,41.87,41.96,41.1838,6151818
2025-10-08,41.95,42.115,41.82,41.89,41.1151,6737624
2025-10-09,42.61,43.11,42.495,43.11,42.3125,14134217
2025-10-10,42.88,42.9,42.16,42.22,41.4389,10040660
2025-10-13,41.86,42.07,41.52,41.89,41.1151,8378334
2025-10-14,42.56,43.12,42.43,42.79,41.9984,9509568
2025-10-15,43.23,43.54,42.93,43.54,42.7345,9777081
2025-10-16,43.48,43.84,43.34,43.77,42.9603,10243494
2025-10-17,43.56,43.64,43.21,43.6,42.7934,10756381
2025-10-20,42.85,43.14,42.79,43.14,42.3419,8239848
2025-10-21,43.8,44.33,43.73,44.13,43.3136,9494518
2025-10-22,43.4,43.68,43.11,43.51,42.7051,7313867
2025-10-23,42.75,43.01,42.29,43.01,42.2143,7054913
2025-10-24,42.75,43.24,42.67,43.24,42.4401,7404860
2025-10-27,43.05,43.63,42.95,43.54,42.7345,6414129
2025-10-28,43.35,43.68,42.95,43.34,42.5382,8925277
2025-10-29,43.42,43.93,43.35,43.89,43.0781,6122873
2025-10-30,44.28,44.55,43.81,43.88,43.0682,7203994
2025-10-31,43.6,44.09,43.45,43.45,42.6462,7562306
2025-11-03,43.45,43.65,43.07,43.37,42.5677,5473353
2025-11-04,43,43.125,42.51,42.54,41.753,6834944
2025-11-05,42.35,42.45,41.91,42.34,41.5567,7637826
2025-11-06,42.86,43.33,42.66,43,42.2045,6475644
2025-11-07,42.88,42.94,42.43,42.65,41.861,6125961
2025-11-10,42.625,42.795,42.47,42.65,41.861,5094784
2025-11-11,43,43,42.57,42.79,41.9984,5884672
2025-11-12,42.85,43.29,42.77,43.06,42.2634,5169069
2025-11-13,43.33,43.45,42.83,43.33,42.5284,7686716
2025-11-14,42.77,42.9,42.37,42.75,41.9591,6262461
2025-11-17,42.13,42.56,42.01,42.48,41.6941,5526619
2025-11-18,42,42.11,40.8,40.9,40.1434,12252545
2025-11-19,41.4,41.46,40.95,40.95,40.1924,7407413
2025-11-20,41.1,41.8,41.03,41.72,40.9482,8072596
2025-11-21,40.5,40.75,40.21,40.37,39.6232,10232751
2025-11-24,40.78,40.89,40.175,40.62,39.8685,14778037
2025-11-25,40.93,41.03,40.62,41.01,40.2513,8020389
2025-11-26,41.62,41.84,41.49,41.82,41.0463,7359870
2025-11-27,41.73,41.95,41.56,41.74,40.9678,4450872
2025-11-28,41.35,41.76,41.29,41.67,40.8991,8041166
2025-12-01,41.99,42.3,41.81,42.08,41.3015,6152730
2025-12-02,42.9,42.9,42.39,42.56,41.7727,7321330
2025-12-03,42.84,43.04,42.56,42.96,42.1653,7357811
2025-12-04,43.85,44.6,43.75,44.5,43.6768,11656068
2025-12-05,44.55,44.84,44.36,44.84,44.0105,9843381
2025-12-08,44.82,44.84,44.35,44.47,43.6473,5324347
2025-12-09,44.15,44.79,44.1,44.3,43.4805,7148967
2025-12-10,44.39,44.81,44.13,44.54,43.716,6608310
2025-12-11,45.31,45.49,44.8,45.1,44.2657,7930105
2025-12-12,45.68,45.98,45.45,45.59,44.7466,7547616
2025-12-15,45.01,45.14,44.06,44.27,43.451,8496021
2025-12-16,44.3,44.6,44.06,44.24,43.4216,9553809
2025-12-17,44.16,44.445,43.96,44.41,43.5884,7866827
2025-12-18,44.4,44.88,44.38,44.88,44.0497,9640423
2025-12-19,44.55,44.84,44.13,44.36,43.5394,23705950
2025-12-22,44.85,45.17,44.72,45.07,44.2362,5527196
2025-12-23,45.6,45.705,45.3,45.58,44.7368,4534942
2025-12-24,45.78,45.78,45.5,45.62,44.776,2112731
2025-12-29,45.9,46.03,45.45,45.45,44.6092,4680346
2025-12-30,44.8,45.39,44.7,45.1,44.2657,4171339
2025-12-31,45.5,45.62,45.17,45.49,44.6485,3951995
2026-01-02,45.53,45.76,45.37,45.76,44.9135,3035952
2026-01-05,46,46.65,45.91,46.48,45.6201,5888054
2026-01-06,47.32,47.365,46.82,47.22,46.3464,8048129
2026-01-07,48.08,48.49,47.41,47.7,46.8176,7268819
2026-01-08,47.58,47.78,47.17,47.34,46.4642,6359264
2026-01-09,46.9,47.95,46.68,47.72,46.8372,10551269
2026-01-12,46.55,46.9,46.15,46.51,45.6496,11129168
2026-01-13,47.18,47.855,46.99,47.58,46.6998,8959090
2026-01-14,48.24,48.25,47.84,48.12,47.2298,7244698
2026-01-15,49.14,49.75,49,49.37,48.4567,14145071
2026-01-16,49.13,49.2,48.73,48.99,48.0837,12369669
2026-01-19,48.71,49.1,48.34,48.75,47.8481,4876453
2026-01-20,49,49.06,47.74,47.78,46.8961,6618315
2026-01-21,47.43,48.5,47.25,48.48,47.5831,6236093
2026-01-22,49.29,49.36,47.92,48.08,47.1905,8157995
2026-01-23,48.5,48.5,48.03,48.43,47.5341,10394402
2026-01-27,49.75,50.08,49.55,49.75,48.8296,11555637
2026-01-28,50.5,50.86,49.88,50.6,49.6639,10136377
2026-01-29,50.25,51.68,49.92,51.51,50.5571,14752411
2026-01-30,51.84,52.09,50.12,50.57,49.6345,17998156
2026-02-02,49.4,49.89,48.75,49.42,48.5057,12250669
2026-02-03,49.9,50.59,49.7,50.13,49.2026,9627914
2026-02-04,51.77,52.54,51.58,52.4,51.4306,10349118
2026-02-05,51.6,51.87,50.32,50.36,49.4284,8874522
2026-02-06,49.83,49.83,48.5,48.79,47.8874,11533731
