Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.795,1.7975,1.78,1.78,1.6671,274109
2025-07-23,1.785,1.81,1.785,1.79,1.6765,417107
2025-07-24,1.795,1.83,1.795,1.81,1.6952,450351
2025-07-25,1.81,1.82,1.805,1.805,1.6906,373683
2025-07-28,1.82,1.83,1.805,1.82,1.7046,644575
2025-07-29,1.82,1.825,1.8,1.82,1.7046,619020
2025-07-30,1.81,1.83,1.81,1.825,1.7093,381394
2025-07-31,1.825,1.89,1.825,1.89,1.7702,493452
2025-08-01,1.88,1.88,1.835,1.855,1.7374,389896
2025-08-04,1.855,1.86,1.825,1.825,1.7093,189154
2025-08-05,1.79,1.8,1.775,1.8,1.7236,635591
2025-08-06,1.79,1.805,1.775,1.805,1.7284,263389
2025-08-07,1.8,1.845,1.8,1.845,1.7667,903532
2025-08-08,1.84,1.885,1.84,1.87,1.7907,918402
2025-08-11,1.85,1.88,1.84,1.845,1.7667,536772
2025-08-12,1.845,1.865,1.83,1.83,1.7524,297783
2025-08-13,1.835,1.835,1.805,1.805,1.7284,306042
2025-08-14,1.81,1.815,1.79,1.795,1.7189,196921
2025-08-15,1.815,1.82,1.8,1.82,1.7428,212052
2025-08-18,1.82,1.83,1.81,1.82,1.7428,207171
2025-08-19,1.82,1.82,1.795,1.81,1.7332,251776
2025-08-20,1.8,1.805,1.795,1.8,1.7236,376157
2025-08-21,1.805,1.835,1.795,1.815,1.738,677096
2025-08-22,1.835,1.835,1.815,1.815,1.738,435633
2025-08-25,1.82,1.82,1.8,1.805,1.7284,268428
2025-08-26,1.81,1.815,1.785,1.79,1.7141,367671
2025-08-27,1.79,1.795,1.785,1.785,1.7093,204490
2025-08-28,1.795,1.8,1.785,1.79,1.7141,394230
2025-08-29,1.8,1.81,1.795,1.8,1.7236,188979
2025-09-01,1.805,1.805,1.795,1.805,1.7284,212926
2025-09-02,1.795,1.8,1.79,1.795,1.7189,213726
2025-09-03,1.79,1.795,1.78,1.795,1.7189,628987
2025-09-04,1.795,1.82,1.795,1.815,1.738,458737
2025-09-05,1.825,1.845,1.7975,1.8,1.7236,336450
2025-09-08,1.8,1.835,1.79,1.835,1.7572,322688
2025-09-09,1.835,1.84,1.815,1.825,1.7476,326745
2025-09-10,1.82,1.825,1.795,1.795,1.7189,175462
2025-09-11,1.795,1.795,1.78,1.785,1.7093,404832
2025-09-12,1.8,1.81,1.77,1.795,1.7189,618481
2025-09-15,1.795,1.81,1.78,1.805,1.7284,297182
2025-09-16,1.805,1.815,1.8,1.8,1.7236,122339
2025-09-17,1.81,1.81,1.8,1.805,1.7284,267218
2025-09-18,1.795,1.805,1.78,1.785,1.7093,289106
2025-09-19,1.795,1.8,1.785,1.785,1.7093,250158
2025-09-22,1.79,1.8,1.78,1.785,1.7093,291453
2025-09-23,1.79,1.795,1.785,1.795,1.7189,103978
2025-09-24,1.79,1.795,1.775,1.79,1.7141,430752
2025-09-25,1.785,1.79,1.775,1.78,1.7045,197618
2025-09-26,1.78,1.79,1.78,1.78,1.7045,185634
2025-09-29,1.79,1.79,1.7725,1.775,1.6997,335294
2025-09-30,1.78,1.785,1.765,1.785,1.7093,578887
2025-10-01,1.78,1.79,1.78,1.79,1.7141,150540
2025-10-02,1.79,1.8,1.785,1.79,1.7141,249270
2025-10-03,1.795,1.795,1.775,1.775,1.6997,348455
2025-10-06,1.79,1.79,1.775,1.78,1.7045,120762
2025-10-07,1.79,1.79,1.77,1.77,1.6949,275181
2025-10-08,1.77,1.785,1.77,1.785,1.7093,122553
2025-10-09,1.78,1.78,1.775,1.775,1.6997,159700
2025-10-10,1.78,1.78,1.775,1.78,1.7045,310710
2025-10-13,1.77,1.77,1.75,1.76,1.6853,257566
2025-10-14,1.755,1.76,1.75,1.76,1.6853,371751
2025-10-15,1.76,1.77,1.755,1.77,1.6949,215508
2025-10-16,1.77,1.79,1.765,1.78,1.7045,207652
2025-10-17,1.78,1.78,1.755,1.77,1.6949,337177
2025-10-20,1.76,1.785,1.75,1.78,1.7045,189860
2025-10-21,1.785,1.83,1.765,1.765,1.6901,230483
2025-10-22,1.77,1.77,1.755,1.76,1.6853,166017
2025-10-23,1.76,1.77,1.76,1.76,1.6853,168336
2025-10-24,1.76,1.765,1.755,1.76,1.6853,192934
2025-10-27,1.77,1.77,1.76,1.76,1.6853,169552
2025-10-28,1.76,1.765,1.755,1.765,1.6901,344326
2025-10-29,1.765,1.765,1.755,1.755,1.6806,101477
2025-10-30,1.755,1.77,1.745,1.755,1.6806,432752
2025-10-31,1.755,1.8,1.75,1.8,1.7236,546119
2025-11-03,1.81,1.81,1.765,1.775,1.6997,356121
2025-11-04,1.765,1.77,1.755,1.755,1.6806,201193
2025-11-05,1.765,1.765,1.74,1.75,1.6758,369654
2025-11-06,1.755,1.755,1.74,1.755,1.6806,468827
2025-11-07,1.75,1.755,1.74,1.74,1.6662,179533
2025-11-10,1.74,1.745,1.735,1.74,1.6662,526450
2025-11-11,1.75,1.75,1.735,1.735,1.6614,360889
2025-11-12,1.74,1.75,1.74,1.74,1.6662,270524
2025-11-13,1.74,1.75,1.735,1.74,1.6662,228585
2025-11-14,1.73,1.74,1.72,1.73,1.6566,235226
2025-11-17,1.735,1.74,1.72,1.72,1.647,440174
2025-11-18,1.72,1.725,1.695,1.695,1.6231,505978
2025-11-19,1.7,1.71,1.685,1.7,1.6279,323025
2025-11-20,1.7,1.725,1.7,1.725,1.6518,292165
2025-11-21,1.705,1.73,1.7,1.705,1.6327,454495
2025-11-24,1.71,1.74,1.71,1.71,1.6375,537535
2025-11-25,1.725,1.725,1.71,1.72,1.647,169801
2025-11-26,1.73,1.73,1.715,1.715,1.6423,205490
2025-11-27,1.715,1.725,1.715,1.715,1.6423,189463
2025-11-28,1.72,1.735,1.71,1.715,1.6423,237762
2025-12-01,1.715,1.72,1.705,1.705,1.6327,221541
2025-12-02,1.705,1.71,1.69,1.695,1.6231,322647
2025-12-03,1.7,1.71,1.68,1.685,1.6135,612352
2025-12-04,1.695,1.7,1.69,1.69,1.6183,448705
2025-12-05,1.7,1.71,1.7,1.705,1.6327,255202
2025-12-08,1.705,1.715,1.7,1.71,1.6375,327711
2025-12-09,1.71,1.71,1.705,1.705,1.6327,272610
2025-12-10,1.71,1.71,1.695,1.7,1.6279,436826
2025-12-11,1.705,1.705,1.685,1.685,1.6135,254675
2025-12-12,1.7,1.705,1.695,1.705,1.6327,425518
2025-12-15,1.705,1.705,1.69,1.695,1.6231,413931
2025-12-16,1.695,1.7,1.68,1.685,1.6135,680182
2025-12-17,1.69,1.695,1.685,1.69,1.6183,192485
2025-12-18,1.69,1.7,1.685,1.685,1.6135,427024
2025-12-19,1.7,1.705,1.69,1.695,1.6231,251827
2025-12-22,1.7,1.71,1.7,1.7,1.6279,610785
2025-12-23,1.705,1.715,1.7,1.705,1.6327,837355
2025-12-24,1.705,1.715,1.705,1.715,1.6423,153097
2025-12-29,1.72,1.72,1.71,1.71,1.6375,102943
2025-12-30,1.72,1.72,1.71,1.72,1.647,98434
2025-12-31,1.71,1.72,1.71,1.715,1.6423,197645
2026-01-02,1.72,1.725,1.715,1.72,1.647,109438
2026-01-05,1.725,1.76,1.72,1.735,1.6614,390284
2026-01-06,1.735,1.74,1.72,1.72,1.647,332939
2026-01-07,1.725,1.73,1.71,1.715,1.6423,578439
2026-01-08,1.72,1.74,1.72,1.74,1.6662,281323
2026-01-09,1.735,1.74,1.725,1.725,1.6518,108828
2026-01-12,1.73,1.745,1.73,1.735,1.6614,269217
2026-01-13,1.735,1.745,1.73,1.735,1.6614,280963
2026-01-14,1.735,1.735,1.725,1.73,1.6566,158769
2026-01-15,1.735,1.74,1.73,1.73,1.6566,218676
2026-01-16,1.73,1.75,1.73,1.74,1.6662,326108
2026-01-19,1.745,1.745,1.725,1.725,1.6518,260818
2026-01-20,1.73,1.74,1.725,1.73,1.6566,334531
2026-01-21,1.73,1.73,1.71,1.7275,1.6542,338610
2026-01-22,1.74,1.745,1.73,1.74,1.6662,508490
2026-01-23,1.735,1.755,1.735,1.74,1.6662,451849
2026-01-27,1.74,1.76,1.735,1.75,1.6758,515209
2026-01-28,1.75,1.77,1.745,1.745,1.671,169888
2026-01-29,1.75,1.75,1.735,1.735,1.6614,275713
2026-01-30,1.745,1.745,1.735,1.74,1.6662,463710
2026-02-02,1.74,1.755,1.73,1.73,1.6566,633293
2026-02-03,1.74,1.76,1.735,1.75,1.6758,691988
2026-02-04,1.75,1.755,1.735,1.745,1.671,222203
2026-02-05,1.74,1.765,1.74,1.765,1.6901,462642
2026-02-06,1.76,1.76,1.74,1.75,1.6758,560257
2026-02-09,1.7,1.72,1.695,1.71,1.6753,610781
2026-02-10,1.71,1.7125,1.695,1.7,1.6655,510754
2026-02-11,1.705,1.735,1.705,1.73,1.6949,814382
2026-02-12,1.73,1.76,1.73,1.76,1.7243,1015255
2026-02-13,1.75,1.755,1.7325,1.755,1.7194,437227
2026-02-16,1.74,1.75,1.73,1.74,1.7047,439566
2026-02-17,1.745,1.745,1.73,1.73,1.6949,592325
2026-02-18,1.74,1.745,1.73,1.735,1.6998,430717
2026-02-19,1.755,1.76,1.74,1.74,1.7047,522938
2026-02-20,1.74,1.745,1.725,1.745,1.7096,287177
2026-02-23,1.745,1.755,1.74,1.74,1.7047,276394
2026-02-24,1.74,1.75,1.74,1.75,1.7145,119298
2026-02-25,1.74,1.755,1.74,1.755,1.7194,258463
2026-02-26,1.76,1.77,1.755,1.755,1.7194,431286
2026-02-27,1.76,1.77,1.745,1.77,1.7341,807167
2026-03-02,1.75,1.77,1.735,1.74,1.7047,966432
2026-03-03,1.745,1.745,1.72,1.74,1.7047,567946
2026-03-04,1.72,1.73,1.7125,1.725,1.69,405941
2026-03-05,1.725,1.755,1.725,1.74,1.7047,498176
2026-03-06,1.745,1.75,1.73,1.735,1.6998,363194
2026-03-09,1.73,1.73,1.71,1.72,1.6851,436548
2026-03-10,1.725,1.74,1.725,1.73,1.6949,594887
2026-03-11,1.74,1.745,1.73,1.745,1.7096,300457
2026-03-12,1.725,1.74,1.72,1.725,1.69,331461
2026-03-13,1.73,1.735,1.72,1.73,1.6949,441354
2026-03-16,1.735,1.74,1.715,1.725,1.69,337952
2026-03-17,1.725,1.74,1.72,1.74,1.7047,262889
