Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.64,7.65,7.5,7.53,6.9337,1086994
2025-07-23,7.54,7.58,7.5,7.56,6.9613,1354398
2025-07-24,7.55,7.61,7.52,7.55,6.9521,1136837
2025-07-25,7.52,7.54,7.43,7.48,6.8876,944493
2025-07-28,7.47,7.53,7.45,7.49,6.8969,763356
2025-07-29,7.47,7.55,7.43,7.51,6.9153,1097078
2025-07-30,7.5,7.61,7.47,7.58,6.9797,737033
2025-07-31,7.57,7.61,7.54,7.61,7.0074,881907
2025-08-01,7.55,7.58,7.48,7.58,6.9797,874953
2025-08-04,7.53,7.57,7.52,7.56,6.9613,622510
2025-08-05,7.6,7.69,7.6,7.69,7.081,1076679
2025-08-06,7.69,7.73,7.66,7.72,7.1086,1294101
2025-08-07,7.7,7.84,7.675,7.8,7.1823,1521297
2025-08-08,7.78,7.81,7.7,7.75,7.1363,1018431
2025-08-11,7.74,7.81,7.72,7.78,7.1639,931721
2025-08-12,7.77,7.86,7.765,7.85,7.2283,1046430
2025-08-13,7.88,7.89,7.72,7.73,7.1179,798485
2025-08-14,7.75,7.81,7.72,7.75,7.1363,792780
2025-08-15,7.74,7.85,7.735,7.83,7.2099,1101183
2025-08-18,7.8,7.84,7.75,7.82,7.2007,902532
2025-08-19,7.8,7.83,7.73,7.81,7.1915,1722527
2025-08-20,7.83,7.92,7.82,7.9,7.2744,1891850
2025-08-21,7.94,7.96,7.89,7.93,7.302,1462912
2025-08-22,7.94,8.02,7.925,8.02,7.3849,2376133
2025-08-25,8.02,8.07,7.97,7.97,7.3388,1446985
2025-08-26,7.89,7.99,7.85,7.87,7.2468,1252829
2025-08-27,7.9,7.94,7.86,7.88,7.256,1080544
2025-08-28,7.84,7.92,7.27,7.27,6.6943,4336393
2025-08-29,7.25,7.39,7.23,7.27,6.6943,3903024
2025-09-01,7.25,7.27,7.02,7.04,6.4825,2245175
2025-09-02,7.03,7.09,7.01,7.01,6.4549,2300296
2025-09-03,7,7,6.82,6.83,6.2891,2961093
2025-09-04,6.87,6.93,6.83,6.92,6.372,2233564
2025-09-05,6.97,6.99,6.87,6.9,6.3536,1831762
2025-09-08,6.87,6.9,6.82,6.87,6.326,1656374
2025-09-09,6.87,6.95,6.84,6.89,6.3444,1826260
2025-09-10,6.94,7.07,6.905,7.05,6.4917,2425327
2025-09-11,7.04,7.05,6.93,6.97,6.418,4928488
2025-09-12,6.96,7.11,6.96,7.08,6.5193,2759653
2025-09-15,7.05,7.13,7.01,7.11,6.5469,1197859
2025-09-16,7.14,7.22,7.13,7.2,6.6298,1905606
2025-09-17,7.21,7.24,7.08,7.08,6.5193,1726837
2025-09-18,7.1,7.16,7.05,7.09,6.5285,1719853
2025-09-19,7.12,7.13,7.07,7.09,6.5285,3880517
2025-09-22,7.11,7.12,7.07,7.09,6.5285,833531
2025-09-23,7.09,7.25,7.07,7.21,6.639,1512307
2025-09-24,7.2,7.2,7.075,7.14,6.5746,1981319
2025-09-25,7.1,7.13,7.04,7.13,6.5654,1582040
2025-09-26,7.08,7.2,7.08,7.18,6.6114,933979
2025-09-29,7.19,7.29,7.19,7.25,6.6759,1081101
2025-09-30,7.23,7.3,7.195,7.25,6.6759,1636594
2025-10-01,7.25,7.32,7.23,7.26,6.6851,1352989
2025-10-02,7.27,7.35,7.26,7.35,6.7679,1366200
2025-10-03,7.3,7.37,7.28,7.31,6.7311,1196311
2025-10-06,7.31,7.33,7.19,7.24,6.6667,1127718
2025-10-07,7.2,7.22,7.12,7.22,6.6482,1630293
2025-10-08,7.21,7.33,7.21,7.28,6.7035,1577500
2025-10-09,7.31,7.37,7.26,7.27,6.6943,2300906
2025-10-10,7.22,7.24,7.17,7.22,6.6482,2061626
2025-10-13,7.2,7.22,7.13,7.19,6.6206,1486302
2025-10-14,7.19,7.2,7.045,7.12,6.5562,2536725
2025-10-15,7.27,7.44,7.18,7.22,6.6482,3643864
2025-10-16,7.29,7.29,7.12,7.16,6.593,3720835
2025-10-17,7.15,7.24,7.12,7.14,6.5746,4335070
2025-10-20,7.15,7.21,7.08,7.18,6.6114,2528408
2025-10-21,7.2,7.2,7.125,7.16,6.593,5482016
2025-10-22,7.17,7.17,7.07,7.08,6.5193,3040802
2025-10-23,7.1,7.14,7.08,7.13,6.5654,1777813
2025-10-24,7.14,7.15,7.06,7.08,6.5193,2575618
2025-10-27,7.14,7.2,7.07,7.09,6.5285,3073921
2025-10-28,7.11,7.17,7.08,7.08,6.5193,2651495
2025-10-29,6.89,6.92,6.82,6.82,6.4625,4530577
2025-10-30,6.82,6.85,6.76,6.78,6.4246,2130650
2025-10-31,6.78,6.875,6.77,6.86,6.5004,2172920
2025-11-03,6.86,6.95,6.805,6.93,6.5667,2800322
2025-11-04,6.91,6.93,6.83,6.88,6.5193,1609114
2025-11-05,6.88,6.96,6.86,6.89,6.5288,2021592
2025-11-06,6.93,6.98,6.93,6.96,6.5951,1652208
2025-11-07,6.95,6.98,6.78,6.8,6.4435,2581613
2025-11-10,6.84,6.85,6.79,6.84,6.4814,2042769
2025-11-11,6.85,6.89,6.68,6.71,6.3582,2691375
2025-11-12,6.76,6.83,6.74,6.76,6.4056,1689732
2025-11-13,6.76,6.77,6.605,6.68,6.3298,1696311
2025-11-14,6.62,6.67,6.59,6.63,6.2824,1492751
2025-11-17,6.61,6.62,6.52,6.57,6.2256,1829232
2025-11-18,6.53,6.53,6.435,6.48,6.1403,5976714
