Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.37,1.38,1.355,1.37,1.2928,3042404
2025-07-23,1.395,1.41,1.38,1.4,1.3211,7274334
2025-07-24,1.405,1.41,1.37,1.37,1.2928,3595298
2025-07-25,1.37,1.38,1.3575,1.365,1.2881,2683895
2025-07-28,1.36,1.37,1.34,1.345,1.2692,3313695
2025-07-29,1.345,1.355,1.325,1.34,1.2645,4402554
2025-07-30,1.35,1.35,1.29,1.29,1.2173,9609427
2025-07-31,1.16,1.215,1.14,1.17,1.1041,26838823
2025-08-01,1.15,1.1575,1.12,1.14,1.0758,16758183
2025-08-04,1.18,1.2,1.155,1.18,1.1135,13325839
2025-08-05,1.18,1.23,1.18,1.215,1.1465,15830261
2025-08-06,1.19,1.235,1.18,1.23,1.1607,9938496
2025-08-07,1.225,1.25,1.215,1.24,1.1701,10572235
2025-08-08,1.23,1.27,1.225,1.265,1.1937,9154796
2025-08-11,1.28,1.3175,1.28,1.31,1.2362,6194807
2025-08-12,1.315,1.335,1.3075,1.325,1.2503,5774560
2025-08-13,1.31,1.31,1.22,1.225,1.156,15004188
2025-08-14,1.225,1.26,1.215,1.24,1.1701,8980688
2025-08-15,1.25,1.265,1.24,1.25,1.1796,6934043
2025-08-18,1.25,1.265,1.235,1.255,1.1843,5658961
2025-08-19,1.255,1.26,1.2375,1.25,1.1796,7934376
2025-08-20,1.24,1.245,1.22,1.23,1.1607,6822134
2025-08-21,1.24,1.25,1.235,1.245,1.1748,7103781
2025-08-22,1.27,1.28,1.255,1.26,1.189,7052521
2025-08-25,1.275,1.29,1.27,1.27,1.1984,7759850
2025-08-26,1.28,1.285,1.265,1.275,1.2031,14877082
2025-08-27,1.27,1.285,1.2525,1.26,1.189,9249770
2025-08-28,1.205,1.21,1.185,1.195,1.184,6196771
2025-08-29,1.195,1.2175,1.19,1.2,1.189,3751735
2025-09-01,1.205,1.215,1.195,1.21,1.1989,2656099
2025-09-02,1.21,1.215,1.19,1.205,1.1939,4293195
2025-09-03,1.21,1.22,1.195,1.195,1.184,4065838
2025-09-04,1.19,1.2025,1.18,1.2,1.189,5364009
2025-09-05,1.2,1.215,1.2,1.205,1.1939,3911321
