Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.59,2.63,2.49,2.53,2.53,265621
2025-07-23,2.54,2.65,2.49,2.56,2.56,326472
2025-07-24,2.57,2.62,2.37,2.42,2.42,632908
2025-07-25,2.45,2.45,2.37,2.43,2.43,161782
2025-07-28,2.44,2.49,2.4,2.4,2.4,108626
2025-07-29,2.4,2.4,2.27,2.3,2.3,250289
2025-07-30,2.3,2.37,2.24,2.29,2.29,162194
2025-07-31,2.27,2.29,2.16,2.2,2.2,299196
2025-08-01,2.22,2.22,2.045,2.16,2.16,187094
2025-08-04,2.13,2.31,2.13,2.26,2.26,151231
2025-08-05,2.26,2.32,2.23,2.29,2.29,132737
2025-08-06,2.29,2.42,2.29,2.35,2.35,122190
2025-08-07,2.35,2.42,2.26,2.3,2.3,222208
2025-08-08,2.27,2.295,2.23,2.26,2.26,58013
2025-08-11,2.35,2.35,2.22,2.22,2.22,85218
2025-08-12,2.22,2.34,2.22,2.27,2.27,136063
2025-08-13,2.31,2.37,2.26,2.33,2.33,124962
2025-08-14,2.33,2.35,2.23,2.23,2.23,105683
2025-08-15,2.23,2.26,2.18,2.21,2.21,176725
2025-08-18,2.21,2.225,2.09,2.1,2.1,717890
2025-08-19,2.24,2.24,2.05,2.12,2.12,311843
2025-08-20,2.13,2.14,1.98,2,2,653556
2025-08-21,1.995,2.06,1.99,2.05,2.05,855812
2025-08-22,2.11,2.11,2,2.07,2.07,110706
2025-08-25,2.05,2.08,2,2.07,2.07,362259
2025-08-26,2.07,2.09,2.02,2.09,2.09,42499
2025-08-27,2.09,2.15,2.03,2.15,2.15,148805
2025-08-28,2.17,2.19,2.1,2.19,2.19,139319
2025-08-29,2.19,2.38,2.19,2.33,2.33,335036
2025-09-01,2.32,2.33,2.26,2.31,2.31,127837
2025-09-02,2.31,2.48,2.28,2.45,2.45,374564
2025-09-03,2.48,2.88,2.48,2.85,2.85,782921
2025-09-04,3,3.38,3,3.35,3.35,1475447
2025-09-05,3.24,3.26,3.05,3.15,3.15,395915
2025-09-08,3.15,3.24,3.05,3.08,3.08,200592
2025-09-09,3.08,3.16,3.05,3.11,3.11,187447
2025-09-10,3.11,3.11,2.95,3.11,3.11,131523
2025-09-11,3.1,3.1,2.91,2.95,2.95,204029
2025-09-12,2.95,3,2.92,2.93,2.93,156509
2025-09-15,2.95,3.13,2.9,3.03,3.03,539475
2025-09-16,3.08,3.29,3.02,3.24,3.24,614185
2025-09-17,3.45,3.68,3.32,3.56,3.56,982662
2025-09-18,3.56,3.67,3.43,3.67,3.67,260103
2025-09-19,3.67,3.77,3.55,3.77,3.77,439754
2025-09-22,3.79,3.84,3.61,3.78,3.78,134918
2025-09-23,3.72,3.74,3.5,3.58,3.58,188196
2025-09-24,3.58,3.58,3.5,3.53,3.53,222805
2025-09-25,3.52,3.85,3.52,3.75,3.75,374424
2025-09-26,3.76,3.83,3.69,3.74,3.74,191954
2025-09-29,3.8,3.88,3.75,3.76,3.76,260300
2025-09-30,3.76,3.8,3.7,3.75,3.75,315468
2025-10-01,3.72,3.87,3.7,3.87,3.87,330965
2025-10-02,3.85,4.24,3.84,4.19,4.19,859978
2025-10-03,4.19,4.19,3.98,4.16,4.16,495349
2025-10-06,4.2,4.67,4.2,4.6,4.6,604663
2025-10-07,4.62,4.65,4.3,4.37,4.37,527478
2025-10-08,4.41,4.55,4.4,4.54,4.54,422628
2025-10-09,4.69,5.05,4.6,4.93,4.93,1244452
2025-10-10,4.98,5.1,4.76,5,5,597978
2025-10-13,5,5,5,5,5,0
2025-10-14,5.24,5.59,5.24,5.34,5.34,1667431
2025-10-15,5.55,5.85,5.13,5.55,5.55,1741404
2025-10-16,5.68,5.79,5.42,5.72,5.72,911660
2025-10-17,5.51,5.89,5.43,5.68,5.68,912946
2025-10-20,5.76,6.02,5.65,5.69,5.69,1205663
2025-10-21,5.9,6.02,5.71,5.9,5.9,1086487
2025-10-22,5.71,5.71,5.35,5.48,5.48,952266
2025-10-23,5.39,5.58,5.37,5.5,5.5,341955
2025-10-24,5.57,5.57,5.32,5.34,5.34,497524
2025-10-27,5.33,5.52,5.1,5.28,5.28,678757
2025-10-28,5.1,5.26,4.82,5.19,5.19,708272
2025-10-29,5.2,5.63,5.03,5.52,5.52,696797
2025-10-30,5.52,5.6,5.3,5.4,5.4,420417
2025-10-31,5.46,5.77,5.46,5.72,5.72,588124
2025-11-03,5.82,5.88,5.64,5.68,5.68,398213
2025-11-04,5.66,5.66,5.43,5.52,5.52,242143
2025-11-05,5.33,5.33,4.69,4.84,4.84,1079663
2025-11-06,5.01,5.07,4.69,4.73,4.73,600910
2025-11-07,4.7,4.8,4.59,4.65,4.65,306339
2025-11-10,4.89,4.89,4.67,4.75,4.75,471837
2025-11-11,4.78,4.82,4.55,4.72,4.72,289130
2025-11-12,4.71,4.79,4.63,4.71,4.71,187306
2025-11-13,4.77,4.77,4.22,4.5,4.5,703916
2025-11-14,4.45,4.47,4.28,4.38,4.38,464876
2025-11-17,4.24,4.42,4.18,4.4,4.4,253427
2025-11-18,4.38,4.49,4.17,4.26,4.26,412257
2025-11-19,4.27,4.39,4.16,4.32,4.32,297140
2025-11-20,4.4,4.65,4.39,4.5,4.5,345427
2025-11-21,4.45,4.48,4.17,4.26,4.26,597109
2025-11-24,4.3,4.49,4.29,4.3,4.3,2945494
2025-11-25,4.35,4.52,4.3,4.44,4.44,133593
2025-11-26,4.54,4.56,4.3,4.41,4.41,275563
2025-11-27,4.36,4.58,4.31,4.33,4.33,134285
2025-11-28,4.44,4.45,4.31,4.35,4.35,223467
2025-12-01,4.35,4.435,4.2,4.21,4.21,366932
2025-12-02,4.3,4.3,4.03,4.16,4.16,254558
2025-12-03,4.12,4.33,4.03,4.11,4.11,240596
2025-12-04,4.16,4.16,4.03,4.04,4.04,207652
2025-12-05,4.04,4.16,3.99,4,4,458888
2025-12-08,4,4.06,3.7,3.78,3.78,450199
2025-12-09,3.84,3.89,3.7,3.72,3.72,194887
2025-12-10,3.7,3.77,3.64,3.7,3.7,314884
2025-12-11,3.82,4.34,3.82,3.92,3.92,592543
2025-12-12,3.99,4.12,3.9,4,4,369032
2025-12-15,4.01,4.17,3.99,4.1,4.1,231069
2025-12-16,4.1,4.27,3.99,4.04,4.04,314793
2025-12-17,4.25,4.25,4,4.11,4.11,119617
2025-12-18,4.35,4.35,3.75,3.84,3.84,244875
2025-12-19,3.85,4.3,3.84,4.3,4.3,331554
2025-12-22,4.3,4.4,4.12,4.17,4.17,186658
2025-12-23,4.2,4.24,4.06,4.1,4.1,186205
2025-12-24,4,4.15,3.89,4.05,4.05,199782
2025-12-29,4.05,4.15,3.95,3.95,3.95,279034
2025-12-30,3.91,3.99,3.77,3.94,3.94,213637
2025-12-31,3.91,4,3.91,3.96,3.96,102902
2026-01-02,3.96,3.96,3.81,3.82,3.82,391951
2026-01-05,3.81,3.96,3.8,3.96,3.96,288316
2026-01-06,4,4.1,3.89,3.94,3.94,446262
2026-01-07,4,4.19,4,4.14,4.14,302878
2026-01-08,4.14,4.24,4.09,4.11,4.11,285015
2026-01-09,4.12,4.285,4.09,4.16,4.16,192897
2026-01-12,4.2,4.235,4.16,4.2,4.2,123177
2026-01-13,4.22,4.38,4.17,4.2,4.2,345467
