Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,30.63,30.74,30.13,30.35,29.9673,212298
2025-07-23,30.62,31,30.39,30.94,30.5499,183013
2025-07-24,31.36,31.57,31.09,31.26,30.8659,276300
2025-07-25,31.39,32.25,31.37,32.03,31.6262,301172
2025-07-28,32.34,33.29,32.34,33,32.5839,328586
2025-07-29,33.1,33.62,33.09,33.55,33.127,373156
2025-07-30,33.73,34.98,33.21,33.21,32.7913,501460
2025-07-31,32.51,32.89,32.08,32.87,32.4556,378731
2025-08-01,32.41,33.42,32.41,33.24,32.8209,259083
2025-08-04,32.48,32.48,32.1,32.19,31.7841,216634
2025-08-05,32.68,32.88,32.56,32.56,32.1495,269930
2025-08-06,32.62,33.36,32.6,32.99,32.5741,299477
2025-08-07,32.84,33.33,32.84,33.29,32.8703,332839
2025-08-08,33.3,34.23,33.155,33.96,33.5318,306489
2025-08-11,33.95,34.78,33.95,34.78,34.3415,334238
2025-08-12,34.9,35.63,34.88,35.24,34.7957,1108169
2025-08-13,35.37,35.93,35.25,35.51,35.0623,551900
2025-08-14,37.11,37.11,35.55,36.11,35.6547,294328
2025-08-15,36.29,36.41,35.77,36.18,35.7238,407593
2025-08-18,36.15,36.19,35.62,36.11,35.6547,385223
2025-08-19,35.7,36.23,35.69,36.06,35.6053,301046
2025-08-20,36.86,36.86,34.39,35.26,34.8154,900222
2025-08-21,35.87,37.08,35.57,37,36.5335,665546
2025-08-22,36.79,36.89,35.11,35.13,34.6871,609075
2025-08-25,35.77,35.87,34.38,34.59,34.1539,621499
2025-08-26,33.87,34.45,32.92,33.74,33.3146,796013
2025-08-27,33.78,33.78,33,33.19,32.7715,318153
2025-08-28,33.72,33.85,33.19,33.23,32.811,252494
2025-08-29,33.07,34.19,32.91,33.73,33.3047,310163
2025-09-01,33.7,34,32.78,32.88,32.4654,219330
2025-09-02,32.5,33.34,31.84,31.95,31.5472,324397
2025-09-03,31.9,32.5,31.21,31.34,30.9449,378032
2025-09-04,31.2,31.71,31.15,31.45,31.0535,430432
2025-09-05,31.9,32.88,31.55,31.6,31.2016,350741
2025-09-08,31.5,31.55,31.03,31.4,31.0041,500999
2025-09-09,31.3,31.62,30.64,30.89,30.5005,416554
