Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,24.43,25.18,24.43,25.13,23.6173,1157195
2025-07-23,25.32,25.66,25.15,25.31,23.7865,1131091
2025-07-24,25.54,25.58,25.27,25.4,23.8711,1066826
2025-07-25,25.2,25.33,24.68,24.83,23.3354,857549
2025-07-28,24.91,24.97,24.75,24.82,23.326,541900
2025-07-29,24.75,24.82,24.235,24.36,22.8937,926043
2025-07-30,24.28,24.495,24.2,24.42,22.9501,1322309
2025-07-31,24,24.31,23.61,23.77,22.3392,1827884
2025-08-01,23.45,23.65,23.21,23.38,21.9727,1783238
2025-08-04,23.3,23.3,22.99,23.1,21.7095,1082988
2025-08-05,23.24,23.25,22.87,22.99,21.6061,1457671
2025-08-06,23.07,23.42,22.87,23.36,21.9539,1273461
2025-08-07,23.34,23.495,23.085,23.43,22.0196,686348
2025-08-08,23.52,23.9,23.45,23.73,22.3016,690849
2025-08-11,23.9,24.08,23.81,24.01,22.5647,902809
2025-08-12,23.9,23.98,23.53,23.84,22.405,1112124
2025-08-13,23.94,24.28,23.82,23.96,22.5177,1155068
2025-08-14,23.95,24.44,23.94,24.09,22.6399,885841
2025-08-15,23.99,24.24,23.89,24.24,22.7809,1549012
2025-08-18,23,24.1,22.55,23.48,22.0666,3042681
2025-08-19,23.3,23.36,22.64,23.04,21.6531,2837623
2025-08-20,23.3,23.72,22.75,23.7,22.2734,1965333
2025-08-21,24.01,24.57,23.85,24.01,22.5647,2866145
2025-08-22,24.01,24.46,23.08,23.25,21.8505,1608494
2025-08-25,23.4,23.57,23.12,23.31,21.9069,2227190
2025-08-26,23.49,23.53,22.47,22.68,21.3148,4158577
2025-08-27,22.84,23.27,22.74,23.21,21.8129,1776055
2025-08-28,23.2,23.3,22.96,22.96,21.5779,1069133
2025-08-29,22.89,23.22,22.87,22.95,21.5685,1731814
2025-09-01,22.93,23.05,22.69,22.84,21.4652,653746
2025-09-02,22.95,23.19,22.8,22.96,21.5779,858642
2025-09-03,22.99,23.22,22.51,22.66,21.296,1377573
2025-09-04,22.8,22.93,22.63,22.8,21.4276,1089894
2025-09-05,22.81,23.07,22.78,22.91,21.5309,907554
2025-09-08,22.69,22.85,22.59,22.82,21.4464,1543441
2025-09-09,22.35,22.47,22.09,22.38,21.172,970147
2025-09-10,22.23,22.31,22.075,22.2,21.0017,1323160
2025-09-11,21.95,22.12,21.81,22.1,20.9071,926824
2025-09-12,22.18,22.41,22.06,22.29,21.0869,780155
2025-09-15,22,22.26,21.995,22.23,21.0301,1164185
2025-09-16,22.17,22.54,22.15,22.47,21.2572,1004018
2025-09-17,22.3,22.6,22.22,22.53,21.3139,992696
2025-09-18,22.55,22.55,22.245,22.26,21.0585,1391805
2025-09-19,22.47,22.64,22.18,22.43,21.2193,3369191
2025-09-22,22.46,22.69,22.31,22.54,21.3234,1126665
2025-09-23,22.41,22.68,22.41,22.66,21.4369,919958
2025-09-24,22.5,22.67,22.43,22.6,21.3801,1519260
2025-09-25,22.53,22.59,22.32,22.54,21.3234,2134950
2025-09-26,22.65,22.93,22.54,22.7,21.4747,1399375
2025-09-29,22.76,22.79,22.41,22.65,21.4274,1181964
2025-09-30,22.61,22.98,22.4,22.69,21.4653,2441512
2025-10-01,22.79,22.79,22.42,22.5,21.2855,1297789
2025-10-02,22.8,22.85,22.53,22.84,21.6072,991942
2025-10-03,22.68,22.885,22.51,22.8,21.5693,1242995
2025-10-06,22.8,23.01,22.71,22.8,21.5693,676150
2025-10-07,22.68,22.74,22.09,22.09,20.8977,2621307
2025-10-08,22.14,22.14,21.49,21.58,20.4152,1976909
2025-10-09,22.03,22.03,21.47,21.65,20.4814,2580104
2025-10-10,21.6,21.8,20.95,20.99,19.857,3635410
2025-10-13,20.93,20.93,20.35,20.64,19.5259,2647669
2025-10-14,20.6,20.82,20.23,20.28,19.1854,3411669
2025-10-15,20.43,20.81,20.34,20.81,19.6868,3223514
2025-10-16,20.71,20.91,20.53,20.91,19.7814,3593290
2025-10-17,20.71,21,20.55,20.88,19.753,2653264
2025-10-20,20.8,20.98,20.69,20.89,19.7624,1997440
2025-10-21,21.1,21.36,20.98,21.18,20.0368,2910251
2025-10-22,21.4,21.79,21.15,21.55,20.3868,2974748
2025-10-23,21.41,21.69,21.32,21.51,20.349,2665223
2025-10-24,21.5,22.165,21.46,21.96,20.7747,2999255
2025-10-27,22.08,22.35,21.975,22.29,21.0869,2720755
2025-10-28,22.5,23.07,22.36,22.38,21.172,3055803
2025-10-29,23.04,23.44,22.73,23.1,21.8532,2207267
2025-10-30,22.64,23.03,22.635,22.99,21.7491,2531052
2025-10-31,22.89,22.99,22.745,22.9,21.6639,2104877
2025-11-03,22.96,23,22.59,22.7,21.4747,2627757
2025-11-04,22.65,22.695,21.77,21.82,20.6422,2431109
2025-11-05,21.18,21.76,21.11,21.76,20.5855,2605449
2025-11-06,21.86,22.69,21.79,22.14,20.945,3392412
2025-11-07,22.08,22.26,21.95,22.24,21.0396,1943683
2025-11-10,22.02,22.25,21.93,22.06,20.8693,1972879
2025-11-11,22.21,22.41,22.09,22.36,21.1531,1702469
2025-11-12,22.42,22.84,22.21,22.34,21.1342,1736396
2025-11-13,22.36,23.12,22.36,23.12,21.8721,3112260
2025-11-14,23,23.27,22.81,22.81,21.5788,3536582
2025-11-17,22.8,22.8,22.35,22.48,21.2666,2843312
2025-11-18,21,22.18,20.46,22.1,20.9071,4443726
2025-11-19,22.5,22.93,22.27,22.61,21.3896,2741021
2025-11-20,22.37,22.805,22.25,22.63,21.4085,2438890
2025-11-21,22,22.46,21.84,21.96,20.7747,3150145
2025-11-24,22.18,22.61,21.71,22.61,21.3896,49966522
2025-11-25,22.35,23.54,22.35,23.37,22.1086,3077855
2025-11-26,22.96,24.055,22.96,23.98,22.6857,4146963
2025-11-27,23.85,24,23.52,23.73,22.4491,1350201
2025-11-28,23.54,24.46,23.54,24.27,22.96,1365128
2025-12-01,23.98,24.48,23.915,24.35,23.0357,2343093
2025-12-02,23.98,24.42,23.96,23.97,22.6762,2403227
2025-12-03,23.68,24.03,23.68,23.91,22.6194,1710821
2025-12-04,24.2,24.22,23.69,23.88,22.5911,2160800
2025-12-05,24,24.01,23.505,23.78,22.4964,2426613
2025-12-08,23.61,23.825,23.545,23.7,22.4208,1089143
2025-12-09,23.8,24.19,23.73,23.89,22.6005,2058102
2025-12-10,23.9,24.05,23.68,23.74,22.4586,1085442
2025-12-11,24.19,24.4,23.63,23.66,22.3829,2592504
2025-12-12,23.87,24.125,23.77,23.97,22.6762,1000219
2025-12-15,23.79,24.14,23.56,23.95,22.6573,1993149
2025-12-16,23.84,24.34,23.68,23.78,22.4964,1451734
2025-12-17,23.99,24.33,23.84,24.26,22.9505,1896434
2025-12-18,24.14,24.38,23.78,23.93,22.6384,2473090
2025-12-19,23.96,24.01,23.4,23.58,22.3072,5068023
2025-12-22,23.8,24.04,23.62,24.04,22.7424,1174418
2025-12-23,24.15,24.26,23.975,24.16,22.8559,884838
2025-12-24,24.04,24.15,23.89,24.01,22.714,358175
2025-12-29,24.16,24.16,23.86,23.96,22.6667,474266
2025-12-30,24.1,24.3,23.93,24.12,22.8181,622002
2025-12-31,24.02,24.185,23.88,24.07,22.7708,563292
2026-01-02,24.07,24.15,23.88,24.14,22.837,696203
2026-01-05,23.99,24.55,23.945,24.45,23.1303,615941
2026-01-06,28.11,29.88,28.11,29.54,27.9455,6202515
2026-01-07,29.67,29.87,29.27,29.87,28.2577,2756172
2026-01-08,29.6,29.67,29.075,29.4,27.8131,1640093
2026-01-09,29.19,30.14,28.75,30,28.3807,2164992
