Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.12,0.1225,0.115,0.12,0.12,915339
2025-04-28,0.12,0.125,0.1175,0.12,0.12,3418088
2025-04-29,0.125,0.125,0.12,0.12,0.12,1016292
2025-04-30,0.12,0.125,0.12,0.12,0.12,243100
2025-05-01,0.12,0.1225,0.12,0.12,0.12,69299
2025-05-02,0.12,0.1225,0.115,0.115,0.115,1756000
2025-05-05,0.115,0.12,0.115,0.115,0.115,317498
2025-05-06,0.1175,0.12,0.115,0.12,0.12,223099
2025-05-07,0.115,0.1175,0.115,0.115,0.115,882564
2025-05-08,0.12,0.12,0.115,0.115,0.115,517889
2025-05-09,0.115,0.12,0.115,0.115,0.115,839639
2025-05-12,0.115,0.115,0.11,0.115,0.115,2616151
2025-05-13,0.115,0.1225,0.115,0.12,0.12,3055160
2025-05-14,0.12,0.125,0.1175,0.12,0.12,1587361
2025-05-15,0.12,0.125,0.115,0.12,0.12,1264861
2025-05-16,0.125,0.125,0.12,0.12,0.12,1951106
2025-05-19,0.12,0.13,0.12,0.125,0.125,1147622
2025-05-20,0.125,0.13,0.125,0.13,0.13,1069010
2025-05-21,0.13,0.13,0.125,0.13,0.13,691886
2025-05-22,0.13,0.13,0.12,0.12,0.12,3156057
2025-05-23,0.125,0.13,0.125,0.13,0.13,1717817
2025-05-26,0.125,0.13,0.125,0.13,0.13,565971
2025-05-27,0.125,0.13,0.125,0.13,0.13,831233
2025-05-28,0.13,0.13,0.125,0.13,0.13,1298475
2025-05-29,0.125,0.13,0.125,0.13,0.13,491433
2025-05-30,0.13,0.135,0.125,0.135,0.135,3898303
2025-06-02,0.13,0.135,0.13,0.135,0.135,2635942
2025-06-03,0.13,0.14,0.13,0.14,0.14,3014862
2025-06-04,0.135,0.14,0.135,0.135,0.135,2732569
2025-06-05,0.135,0.14,0.135,0.14,0.14,2103644
2025-06-06,0.14,0.145,0.135,0.14,0.14,5431351
2025-06-10,0.14,0.145,0.14,0.14,0.14,677285
2025-06-11,0.14,0.1425,0.14,0.14,0.14,438423
2025-06-12,0.14,0.15,0.14,0.15,0.15,7620559
2025-06-13,0.15,0.16,0.15,0.16,0.16,7349652
2025-06-16,0.16,0.17,0.155,0.17,0.17,7550567
2025-06-17,0.165,0.165,0.155,0.155,0.155,3089001
2025-06-18,0.155,0.16,0.1525,0.155,0.155,1690401
2025-06-19,0.155,0.16,0.155,0.16,0.16,1409961
2025-06-20,0.16,0.16,0.155,0.16,0.16,1004532
2025-06-23,0.155,0.16,0.155,0.155,0.155,1298288
2025-06-24,0.16,0.16,0.155,0.16,0.16,921556
2025-06-25,0.16,0.165,0.155,0.165,0.165,1784639
2025-06-26,0.16,0.18,0.16,0.18,0.18,7066620
2025-06-27,0.18,0.18,0.17,0.17,0.17,979024
2025-06-30,0.175,0.18,0.17,0.18,0.18,1302669
2025-07-01,0.18,0.18,0.17,0.175,0.175,1770879
2025-07-02,0.175,0.175,0.17,0.17,0.17,1645784
2025-07-03,0.17,0.185,0.17,0.185,0.185,3444594
2025-07-04,0.18,0.19,0.175,0.185,0.185,3239522
2025-07-07,0.19,0.19,0.18,0.18,0.18,3385969
2025-07-08,0.18,0.185,0.175,0.185,0.185,1317650
2025-07-09,0.185,0.185,0.175,0.175,0.175,392127
2025-07-10,0.175,0.175,0.17,0.175,0.175,2383753
2025-07-11,0.175,0.175,0.17,0.17,0.17,1090373
2025-07-14,0.17,0.1725,0.17,0.17,0.17,558982
2025-07-15,0.17,0.1725,0.17,0.17,0.17,1160262
2025-07-16,0.17,0.175,0.165,0.175,0.175,2194192
2025-07-17,0.17,0.175,0.165,0.175,0.175,943461
2025-07-18,0.17,0.175,0.17,0.17,0.17,485281
2025-07-21,0.175,0.175,0.17,0.17,0.17,1095318
2025-07-22,0.17,0.18,0.17,0.175,0.175,2004024
2025-07-23,0.17,0.18,0.17,0.175,0.175,1176766
2025-07-24,0.175,0.175,0.17,0.175,0.175,490250
2025-07-25,0.175,0.18,0.17,0.17,0.17,522719
2025-07-28,0.18,0.18,0.17,0.175,0.175,3051776
2025-07-29,0.175,0.175,0.16,0.16,0.16,4457691
2025-07-30,0.165,0.165,0.1575,0.16,0.16,1490588
2025-07-31,0.16,0.16,0.1525,0.155,0.155,2372576
2025-08-01,0.15,0.1675,0.15,0.155,0.155,5424913
2025-08-04,0.15,0.155,0.145,0.15,0.15,2845536
2025-08-05,0.15,0.16,0.15,0.16,0.16,1013097
2025-08-06,0.155,0.16,0.155,0.155,0.155,1271956
2025-08-07,0.155,0.17,0.155,0.165,0.165,1734419
2025-08-08,0.16,0.165,0.16,0.165,0.165,584709
2025-08-11,0.165,0.165,0.16,0.16,0.16,523929
2025-08-12,0.16,0.165,0.16,0.165,0.165,621480
2025-08-13,0.165,0.165,0.16,0.16,0.16,448704
2025-08-14,0.16,0.165,0.16,0.16,0.16,209389
2025-08-15,0.16,0.1675,0.16,0.165,0.165,1800030
2025-08-18,0.165,0.17,0.16,0.17,0.17,1057543
2025-08-19,0.17,0.17,0.1625,0.165,0.165,2155595
2025-08-20,0.165,0.165,0.15,0.15,0.15,2560362
2025-08-21,0.155,0.165,0.155,0.155,0.155,881034
2025-08-22,0.155,0.16,0.15,0.155,0.155,3015483
2025-08-25,0.16,0.165,0.155,0.16,0.16,876840
2025-08-26,0.16,0.165,0.155,0.155,0.155,1034295
2025-08-27,0.16,0.17,0.155,0.16,0.16,3125366
2025-08-28,0.165,0.165,0.16,0.165,0.165,772428
2025-08-29,0.17,0.18,0.165,0.18,0.18,12250090
2025-09-01,0.18,0.18,0.165,0.165,0.165,3319892
2025-09-02,0.17,0.17,0.1575,0.17,0.17,5725972
2025-09-03,0.165,0.165,0.16,0.165,0.165,1103845
2025-09-04,0.165,0.165,0.155,0.155,0.155,2350215
2025-09-05,0.16,0.165,0.155,0.165,0.165,3066045
2025-09-08,0.16,0.165,0.155,0.155,0.155,913474
2025-09-09,0.16,0.165,0.155,0.165,0.165,648751
2025-09-10,0.165,0.165,0.16,0.16,0.16,483197
2025-09-11,0.165,0.165,0.155,0.16,0.16,1559830
2025-09-12,0.16,0.16,0.155,0.155,0.155,485106
2025-09-15,0.16,0.165,0.155,0.155,0.155,2490731
2025-09-16,0.16,0.16,0.1425,0.15,0.15,11035064
2025-09-17,0.145,0.15,0.14,0.145,0.145,4991733
2025-09-18,0.145,0.15,0.14,0.145,0.145,1241673
2025-09-19,0.15,0.15,0.145,0.15,0.15,828344
2025-09-22,0.145,0.15,0.14,0.145,0.145,2070076
2025-09-23,0.145,0.15,0.145,0.145,0.145,1094234
2025-09-24,0.15,0.155,0.145,0.155,0.155,1490905
2025-09-25,0.155,0.155,0.145,0.145,0.145,471481
2025-09-26,0.15,0.15,0.145,0.15,0.15,951614
2025-09-29,0.15,0.15,0.145,0.15,0.15,861158
2025-09-30,0.145,0.15,0.1425,0.145,0.145,2071834
2025-10-01,0.145,0.15,0.14,0.14,0.14,849075
2025-10-02,0.145,0.15,0.145,0.15,0.15,711567
2025-10-03,0.145,0.15,0.14,0.145,0.145,372271
2025-10-06,0.145,0.15,0.14,0.14,0.14,1291062
2025-10-07,0.14,0.145,0.14,0.145,0.145,339868
2025-10-08,0.145,0.145,0.14,0.14,0.14,2058588
2025-10-09,0.14,0.145,0.14,0.145,0.145,574948
2025-10-10,0.145,0.1525,0.14,0.15,0.15,2747768
2025-10-13,0.145,0.15,0.145,0.145,0.145,1585080
2025-10-14,0.145,0.145,0.14,0.14,0.14,1285121
2025-10-15,0.145,0.15,0.1425,0.145,0.145,813634
2025-10-16,0.145,0.15,0.145,0.145,0.145,534131
2025-10-17,0.145,0.145,0.14,0.14,0.14,1085572
2025-10-20,0.14,0.145,0.14,0.145,0.145,427342
2025-10-21,0.14,0.145,0.14,0.14,0.14,467465
2025-10-22,0.145,0.145,0.14,0.145,0.145,896192
2025-10-23,0.145,0.155,0.14,0.155,0.155,4035621
2025-10-24,0.155,0.155,0.15,0.155,0.155,999910
2025-10-27,0.155,0.16,0.155,0.155,0.155,905045
2025-10-28,0.155,0.155,0.15,0.15,0.15,2594224
2025-10-29,0.15,0.165,0.15,0.165,0.165,4380705
2025-10-30,0.16,0.165,0.155,0.165,0.165,2911791
2025-10-31,0.155,0.165,0.145,0.155,0.155,10160567
2025-11-03,0.15,0.1575,0.15,0.15,0.15,1242225
2025-11-04,0.15,0.16,0.15,0.15,0.15,1873308
2025-11-05,0.15,0.155,0.145,0.15,0.15,2128621
2025-11-06,0.15,0.155,0.145,0.15,0.15,418679
2025-11-07,0.15,0.15,0.145,0.15,0.15,596735
2025-11-10,0.145,0.1525,0.145,0.145,0.145,1483889
2025-11-11,0.145,0.15,0.145,0.15,0.15,387227
2025-11-12,0.15,0.155,0.145,0.15,0.15,639574
