Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.16,2.175,2.135,2.15,1.9069,469670
2025-07-23,2.15,2.15,2.095,2.12,1.8803,853003
2025-07-24,2.12,2.14,2.095,2.14,1.8981,654237
2025-07-25,2.1,2.14,2.08,2.1,1.8626,864886
2025-07-28,2.1,2.14,2.05,2.11,1.8715,965205
2025-07-29,2.12,2.15,2.09,2.13,1.8892,1142546
2025-07-30,2.13,2.19,2.11,2.17,1.9247,858291
2025-07-31,2.15,2.155,2.12,2.15,1.9069,467049
2025-08-01,2.13,2.24,2.13,2.21,1.9602,2425451
2025-08-04,2.23,2.26,2.19,2.2,1.9513,1732434
2025-08-05,2.22,2.235,2.18,2.22,1.969,892640
2025-08-06,2.24,2.27,2.22,2.25,1.9956,1007397
2025-08-07,2.3,2.33,2.255,2.31,2.0488,714589
2025-08-08,2.29,2.31,2.22,2.24,1.9868,724882
2025-08-11,2.24,2.35,2.235,2.34,2.0755,802486
2025-08-12,2.34,2.43,2.275,2.42,2.1464,1470783
2025-08-13,2.52,2.53,1.915,2.02,1.7916,13434796
2025-08-14,1.91,2.03,1.885,1.91,1.6941,8344581
2025-08-15,1.88,1.9325,1.86,1.925,1.7074,5382839
2025-08-18,1.945,2.09,1.92,2.07,1.836,4360608
2025-08-19,2.09,2.24,2.075,2.19,1.9876,4386336
2025-08-20,2.23,2.25,2.165,2.22,2.0149,7335285
2025-08-21,2.22,2.29,2.21,2.28,2.0693,2339968
2025-08-22,2.28,2.31,2.25,2.28,2.0693,1256499
2025-08-25,2.28,2.34,2.27,2.28,2.0693,1239837
2025-08-26,2.3,2.31,2.24,2.3,2.0875,1726945
2025-08-27,2.32,2.32,2.23,2.27,2.0602,579430
2025-08-28,2.22,2.28,2.2,2.23,2.0239,513892
2025-08-29,2.24,2.26,2.215,2.24,2.033,372102
2025-09-01,2.27,2.27,2.14,2.18,1.9786,550999
2025-09-02,2.18,2.185,2.13,2.14,1.9423,396639
2025-09-03,2.14,2.14,2.06,2.06,1.8697,808169
2025-09-04,2.07,2.1,2.04,2.04,1.8515,371699
2025-09-05,2.03,2.07,2.03,2.05,1.8606,489433
2025-09-08,2.09,2.09,2,2.03,1.8424,868369
2025-09-09,2.03,2.08,2.02,2.03,1.8424,768991
2025-09-10,2.03,2.08,2.02,2.06,1.8697,1082486
2025-09-11,2.06,2.15,2.06,2.13,1.9332,751857
2025-09-12,2.16,2.26,2.16,2.25,2.0421,1011326
2025-09-15,2.23,2.255,2.21,2.24,2.033,941991
2025-09-16,2.24,2.33,2.23,2.33,2.1147,1335415
2025-09-17,2.33,2.41,2.29,2.31,2.0966,1632950
2025-09-18,2.28,2.37,2.28,2.35,2.1329,990698
2025-09-19,2.35,2.44,2.35,2.44,2.2145,16421448
2025-09-22,2.44,2.47,2.36,2.39,2.1692,1575334
2025-09-23,2.38,2.49,2.38,2.47,2.2418,1411403
2025-09-24,2.46,2.505,2.43,2.48,2.2508,1897189
2025-09-25,2.47,2.58,2.44,2.55,2.3144,2292933
2025-09-26,2.53,2.53,2.395,2.45,2.2236,1244124
2025-09-29,2.46,2.52,2.41,2.51,2.2781,1156428
2025-09-30,2.51,2.63,2.51,2.53,2.2962,3745012
2025-10-01,2.82,3.16,2.82,2.99,2.7137,7281560
2025-10-02,3.08,3.39,3.02,3.35,3.0405,5919872
2025-10-03,3.35,3.37,3.235,3.33,3.0223,3348281
2025-10-06,3.32,3.35,3.28,3.35,3.0405,2178305
2025-10-07,3.3,3.34,3.17,3.33,3.0223,3731592
2025-10-08,3.33,3.36,3.29,3.32,3.0132,2095867
2025-10-09,3.31,3.43,3.3,3.38,3.0677,3621369
2025-10-10,3.38,3.51,3.35,3.51,3.1857,3350586
2025-10-13,3.45,3.48,3.36,3.4,3.0858,2537555
2025-10-14,3.4,3.4,3.24,3.35,3.0405,1837222
2025-10-15,3.35,3.36,3,3.06,2.7773,5732370
2025-10-16,3.12,3.12,2.93,3.01,2.7319,2854780
2025-10-17,2.98,3.11,2.88,2.88,2.6139,1302317
2025-10-20,2.9,2.97,2.9,2.97,2.6956,1805769
2025-10-21,3.01,3.065,2.99,3.04,2.7591,1349752
2025-10-22,3.01,3.06,3.005,3.05,2.7682,1955357
2025-10-23,3.02,3.085,2.985,3.03,2.75,1520127
2025-10-24,3.07,3.07,2.94,2.96,2.6865,919865
2025-10-27,2.95,2.99,2.94,2.96,2.6865,504053
2025-10-28,2.99,3.07,2.95,3.04,2.7591,993074
2025-10-29,3.04,3.04,2.97,2.97,2.6956,1269047
2025-10-30,3.01,3.02,2.915,3.01,2.7319,1262075
2025-10-31,3.01,3.03,2.88,2.88,2.6139,1245974
