Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.5083,3.5382,3.4984,3.5183,3.3506,1204172
2025-07-23,3.5183,3.5432,3.5083,3.5183,3.3506,1403500
2025-07-24,3.5183,3.5382,3.4884,3.4984,3.3316,912556
2025-07-25,3.4884,3.5083,3.4784,3.4884,3.3221,793461
2025-07-28,3.4884,3.5033,3.4684,3.4784,3.3126,1115956
2025-07-29,3.4684,3.4884,3.4585,3.4684,3.3031,948374
2025-07-30,3.4884,3.598,3.4485,3.598,3.4265,852543
2025-07-31,3.5881,3.5881,3.5283,3.5681,3.398,601523
2025-08-01,3.5382,3.5881,3.4884,3.5681,3.398,536307
2025-08-04,3.4984,3.5881,3.4485,3.5482,3.3791,590300
2025-08-05,3.5781,3.6279,3.5382,3.618,3.4455,1182885
2025-08-06,3.608,3.6578,3.5881,3.6279,3.455,1015197
2025-08-07,3.6678,3.6977,3.6578,3.6678,3.493,2049306
2025-08-08,3.6678,3.6678,3.618,3.6279,3.455,1322435
2025-08-11,3.6279,3.6279,3.5283,3.5681,3.398,2152332
2025-08-12,3.5881,3.6279,3.5781,3.5881,3.417,920217
2025-08-13,3.5881,3.5881,3.5482,3.5482,3.3791,1022213
2025-08-14,3.5582,3.608,3.5582,3.5681,3.398,1165187
2025-08-15,3.598,3.6229,3.5781,3.5881,3.417,757781
2025-08-18,3.5881,3.608,3.5781,3.598,3.4265,507889
2025-08-19,3.608,3.608,3.5582,3.5881,3.417,489421
2025-08-20,3.598,3.6379,3.5881,3.618,3.4455,711383
2025-08-21,3.6578,3.6678,3.6279,3.6379,3.4645,643539
2025-08-22,3.6279,3.6528,3.618,3.6379,3.4645,409544
2025-08-25,3.6678,3.6678,3.6229,3.6578,3.4835,628186
2025-08-26,3.6479,3.6578,3.598,3.598,3.4265,620251
2025-08-27,3.618,3.618,3.5482,3.5582,3.3886,1006043
2025-08-28,3.5781,3.5781,3.5382,3.5482,3.3791,851343
2025-08-29,3.5482,3.5881,3.5083,3.5382,3.3696,1872991
2025-09-01,3.5482,3.5881,3.5382,3.5382,3.3696,633207
2025-09-02,3.5582,3.5681,3.5382,3.5482,3.3791,744272
2025-09-03,3.5482,3.5681,3.4984,3.4984,3.3316,836382
2025-09-04,3.5083,3.5631,3.5083,3.5382,3.3696,831752
2025-09-05,3.5582,3.608,3.5582,3.598,3.4265,1045724
2025-09-08,3.598,3.608,3.5582,3.5681,3.398,1328663
2025-09-09,3.5582,3.618,3.5582,3.5881,3.417,603356
2025-09-10,3.5681,3.6279,3.5681,3.598,3.4265,729766
2025-09-11,3.5781,3.6379,3.5781,3.618,3.4455,1134499
2025-09-12,3.598,3.6678,3.5881,3.618,3.4455,774528
2025-09-15,3.618,3.7276,3.598,3.6977,3.5214,1854407
2025-09-16,3.6977,3.7077,3.6678,3.6977,3.5214,855889
2025-09-17,3.6678,3.6877,3.6229,3.6578,3.4835,1708410
2025-09-18,3.608,3.6778,3.5881,3.6578,3.4835,1371825
2025-09-19,3.6877,3.7475,3.6778,3.7077,3.5309,4227676
2025-09-22,3.7176,3.7276,3.6728,3.7176,3.5404,1273340
