Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,23.65,23.73,23.32,23.45,22.8335,1647977
2025-07-23,23.52,23.64,23.27,23.49,22.8725,2355766
2025-07-24,23.43,23.68,23.09,23.13,22.5219,2738419
2025-07-25,23.09,23.175,22.95,23.13,22.5219,1789217
2025-07-28,23.17,23.26,23.04,23.15,22.5414,1481374
2025-07-29,23.06,23.34,23.045,23.33,22.7167,1727063
2025-07-30,23.4,23.82,23.36,23.78,23.1548,2582765
2025-07-31,23.68,24.03,23.68,23.91,23.2814,2012012
2025-08-01,23.66,23.8,23.56,23.7,23.0769,1588264
2025-08-04,23.81,23.81,23.465,23.74,23.1159,1390960
2025-08-05,23.54,23.905,23.54,23.85,23.223,2618787
2025-08-06,23.97,24.2,23.75,24.11,23.4762,2804701
2025-08-07,24.25,24.3,23.27,23.31,22.6972,3320414
2025-08-08,23.28,23.39,23.07,23.24,22.629,3107226
2025-08-11,23.24,23.35,23.08,23.35,22.7361,4802719
2025-08-12,23.29,23.35,22.86,23,22.3953,5145277
2025-08-13,22.82,23.29,22.75,23.2,22.5901,5677878
2025-08-14,23.22,23.26,22.88,23.05,22.444,6526120
2025-08-15,23.14,23.23,22.855,23.23,22.6193,3922957
2025-08-18,23.14,23.38,23.09,23.24,22.629,4054490
2025-08-19,23.33,23.38,23.06,23.26,22.6485,2098260
2025-08-20,23.27,23.58,23.14,23.23,22.6193,3668026
2025-08-21,23.77,26.3,23.65,26.3,25.6086,11104583
2025-08-22,26,26.36,25.81,25.97,25.2873,10225632
2025-08-25,26.75,26.9,26.13,26.34,25.6475,4548962
2025-08-26,26.18,26.31,26,26.13,25.443,7234019
2025-08-27,26.15,26.32,25.94,25.94,25.258,3524586
2025-08-28,25.88,26.24,25.86,26.03,25.3457,2505987
2025-08-29,25.95,26.09,25.76,25.95,25.2678,3937512
2025-09-01,25.93,26.15,25.88,26.02,25.3359,1737039
2025-09-02,25.89,26.19,25.81,26.12,25.4333,3866773
2025-09-03,26.12,26.43,25.93,25.93,25.2483,5797570
2025-09-04,25.88,26.29,25.83,26.29,25.5988,4071219
2025-09-05,26.34,26.63,26.34,26.56,25.8617,2997953
2025-09-08,26.56,26.93,26.33,26.38,25.6865,2243308
2025-09-09,26.13,26.33,25.72,25.9,25.2191,4413375
2025-09-10,25.85,25.89,25.43,25.72,25.3567,2554645
2025-09-11,25.79,25.79,25.27,25.44,25.0807,3523368
2025-09-12,25.4,25.56,25.31,25.33,24.9722,3130886
2025-09-15,25.4,25.5,25.09,25.26,24.9032,3573536
2025-09-16,25.03,25.33,24.96,25.06,24.706,3061343
2025-09-17,24.88,24.99,24.72,24.9,24.5483,3636232
2025-09-18,24.84,24.87,24.39,24.5,24.154,4482857
2025-09-19,24.56,24.78,24.4,24.67,24.3216,9049281
2025-09-22,24.51,24.82,24.51,24.7,24.3511,1838461
2025-09-23,24.84,24.99,24.74,24.97,24.6173,2483711
2025-09-24,24.99,24.99,24.61,24.76,24.4103,4172929
2025-09-25,24.61,24.89,24.2,24.47,24.1244,8345868
2025-09-26,24.61,24.74,24.4,24.64,24.292,2926303
2025-09-29,24.7,24.85,24.585,24.78,24.43,2092852
2025-09-30,24.83,24.94,24.675,24.8,24.4497,4673652
2025-10-01,24.8,25.13,24.8,25.12,24.7652,2774448
2025-10-02,24.96,25.16,24.6,24.9,24.5483,4473761
2025-10-03,24.91,25,24.75,24.8,24.4497,2261645
2025-10-06,25,25.075,24.83,24.85,24.499,1339228
2025-10-07,24.78,24.9,24.59,24.64,24.292,2172488
2025-10-08,24.64,24.79,24.505,24.77,24.4201,3554849
2025-10-09,24.79,24.89,24.48,24.69,24.3413,2304002
2025-10-10,24.9,24.93,24.59,24.82,24.4694,1665417
2025-10-13,24.91,25.04,24.63,24.72,24.3708,2081531
2025-10-14,24.7,24.73,24.15,24.51,24.1638,2005565
2025-10-15,24.71,24.82,24.35,24.58,24.2328,2617362
2025-10-16,24.62,24.905,24.31,24.82,24.4694,3450099
2025-10-17,24.46,24.85,24.44,24.58,24.2328,2725415
2025-10-20,24.85,25.16,24.77,25.08,24.7258,2419448
2025-10-21,24.98,25.39,24.83,25.32,24.9624,2074342
2025-10-22,25.2,25.38,24.72,24.72,24.3708,2503572
2025-10-23,24.25,24.91,24.25,24.67,24.3216,2330587
2025-10-24,24.5,24.87,24.47,24.7,24.3511,2766308
2025-10-27,25.29,25.29,24.75,24.99,24.637,2033128
2025-10-28,25.55,25.56,25.06,25.14,24.7849,3175601
2025-10-29,25,25.075,24.58,24.67,24.3216,2423892
2025-10-30,24.4,24.52,24.17,24.52,24.1737,2866427
2025-10-31,24.6,24.905,24.52,24.86,24.5089,5503998
2025-11-03,25.04,25.105,24.43,24.71,24.361,3425198
2025-11-04,24.62,24.66,23.32,23.41,23.0794,3504054
2025-11-05,23.72,24.29,23.6,23.92,23.5821,4399442
2025-11-06,23.63,24.15,23.63,23.72,23.385,3583627
2025-11-07,23.8,24.045,23.72,23.89,23.5526,3305812
2025-11-10,23.765,23.88,23.64,23.86,23.523,2373978
2025-11-11,24.07,24.11,23.8,23.93,23.592,2681217
2025-11-12,23.95,24.2,23.84,24.12,23.7793,2734775
2025-11-13,24.09,24.14,23.55,23.8,23.4638,3440827
2025-11-14,23.49,23.66,23.44,23.66,23.3258,2108829
2025-11-17,23.5,23.62,23.37,23.47,23.1385,2630675
2025-11-18,23.43,23.7,23.295,23.3,22.9709,3583380
2025-11-19,23.26,23.46,23,23.23,22.9019,2596952
2025-11-20,23.29,23.44,23.145,23.35,23.0202,3658078
2025-11-21,23.2,23.44,23.11,23.25,22.9216,2733406
2025-11-24,23.11,23.61,23.11,23.6,23.2667,5790965
2025-11-25,23.6,23.79,23.46,23.64,23.3061,2572874
2025-11-26,23.88,23.95,23.69,23.91,23.5723,2661086
2025-11-27,23.8,24.24,23.8,24.01,23.6709,2320132
2025-11-28,23.9,24.14,23.89,24.06,23.7202,1650191
2025-12-01,24.11,24.19,23.84,23.84,23.5033,1479974
2025-12-02,24.52,24.63,23.75,23.75,23.4145,3159881
2025-12-03,23.9,24.04,23.46,23.48,23.1484,4243644
2025-12-04,23.69,23.69,23.23,23.42,23.0892,2301818
