Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,37.25,37.39,36.8,36.83,35.8311,767455
2025-07-23,36.88,37.34,36.78,37.32,36.3078,831489
2025-07-24,37.38,37.7,37.2,37.4,36.3856,672482
2025-07-25,37.38,37.55,37.1,37.25,36.2397,486761
2025-07-28,37.47,38.06,37.36,37.89,36.8624,583267
2025-07-29,37.52,38.13,37.25,37.63,36.6094,573054
2025-07-30,37.62,37.81,37.23,37.67,36.6483,569584
2025-07-31,37.67,38.42,37.62,38.18,37.1445,628799
2025-08-01,37.79,37.95,37.53,37.53,36.5121,573620
2025-08-04,37.41,37.53,36.83,37.43,36.4148,400072
2025-08-05,37.83,37.83,37.33,37.68,36.6581,674133
2025-08-06,37.77,38.07,37.32,37.46,36.444,1039044
2025-08-07,38,38.08,36.9,37.13,36.123,952771
2025-08-08,37.04,37.125,36.28,37,35.9965,1053199
2025-08-11,35.15,38.25,34.76,37.2,36.1911,2059958
2025-08-12,38.28,39.39,37.5,39.07,38.0104,1215969
2025-08-13,39.39,40.16,39.24,40.04,38.954,1251598
2025-08-14,39.9,41.21,39.73,41.21,40.0923,1389242
2025-08-15,40.9,41.44,40.66,41.35,40.2285,1623597
2025-08-18,41.55,42,41.35,41.62,40.4912,1137360
2025-08-19,41.87,42.06,41.32,41.46,40.3355,1024995
2025-08-20,41.73,41.95,41.2,41.27,40.1507,944614
2025-08-21,41.35,41.41,40.62,40.89,39.781,1122465
2025-08-22,40.89,41.29,40.71,40.76,39.6545,983272
2025-08-25,41.16,41.55,41.01,41.03,39.9172,1069423
2025-08-26,40.65,40.775,39.89,40.09,39.0027,1609074
2025-08-27,40.02,40.22,39.56,40.1,39.0124,598104
2025-08-28,40.62,40.62,39.875,40.27,39.1778,561414
2025-08-29,40.23,40.6,40.01,40.44,39.3432,754184
2025-09-01,40.19,40.57,39.89,39.94,38.8568,507827
2025-09-02,40.13,40.24,39.07,39.52,38.4481,575165
2025-09-03,39.29,39.76,38.95,39.05,37.9909,666405
2025-09-04,38.86,39.36,38.86,39.1,38.0395,982579
2025-09-05,39.75,39.75,39.34,39.46,38.3898,684706
2025-09-08,39.64,39.775,39.325,39.47,38.3995,534210
2025-09-09,39.5,39.56,39.2,39.35,38.2828,540760
2025-09-10,39.25,39.44,38.98,39.44,38.3703,508742
2025-09-11,39.1,39.655,39.01,39.55,38.4773,735731
2025-09-12,39.3,39.47,38.25,38.33,37.6859,844652
2025-09-15,38.49,38.64,38.17,38.37,37.7252,1274026
2025-09-16,38.56,38.64,38.22,38.53,37.8825,567577
2025-09-17,38.45,38.45,38.01,38.12,37.4794,816683
2025-09-18,38.2,38.45,37.88,38.42,37.7743,740930
2025-09-19,38.6,38.75,38,38,37.3614,1832530
2025-09-22,38.22,38.25,37.65,37.74,37.1058,286413
2025-09-23,37.6,38,37.44,37.67,37.037,466865
2025-09-24,37.22,37.33,36.87,36.92,36.2996,668873
2025-09-25,36.65,37.305,36.65,36.95,36.3291,831219
2025-09-26,36.87,37.07,36.35,37.07,36.447,883709
2025-09-29,37.34,37.34,36.84,37.29,36.6633,625981
2025-09-30,37.18,37.48,36.78,36.78,36.1619,887428
2025-10-01,36.91,36.99,36.42,36.99,36.3684,1247467
2025-10-02,37.39,37.54,37.12,37.36,36.7322,985852
2025-10-03,37.28,38.4,37.12,38.31,37.6662,1009723
2025-10-06,38.68,38.68,38.1,38.3,37.6564,700452
2025-10-07,38.44,38.66,36.67,37.21,36.5847,1415179
2025-10-08,36.82,37.07,36.29,36.72,36.1029,821523
2025-10-09,37.69,37.69,36.38,36.43,35.8178,658607
2025-10-10,36.67,37.09,36.52,36.87,36.2504,606824
2025-10-13,36.33,36.57,35.79,36.09,35.4835,705935
2025-10-14,35.81,36.11,35.46,36,35.395,818171
2025-10-15,36.05,36.3,35.96,36,35.395,1790167
2025-10-16,36.17,36.45,35.75,35.98,35.3754,632349
2025-10-17,35.77,36.275,35.62,35.9,35.2967,1007560
2025-10-20,35.8,36.105,35.43,36,35.395,556978
2025-10-21,35.98,36.21,35.75,36.18,35.572,521324
2025-10-22,36.13,36.3,35.93,36.19,35.5818,765702
2025-10-23,35.8,35.89,35.36,35.72,35.1197,973325
2025-10-24,35.7,36.09,35.43,36.09,35.4835,626063
2025-10-27,36.35,36.42,36.025,36.22,35.6113,559751
2025-10-28,36.21,37.18,36.13,37.18,36.5552,1128673
2025-10-29,36.93,37.45,36.83,37.25,36.624,873754
2025-10-30,36.15,36.62,35.83,35.86,35.2574,1020547
2025-10-31,36.57,36.57,35.47,35.7,35.1001,1341468
2025-11-03,35.7,35.7,35.26,35.4,34.8051,662104
2025-11-04,35.5,35.55,34.55,34.73,34.1464,1002036
2025-11-05,34.55,35.17,34.43,34.9,34.3135,911308
2025-11-06,35.22,35.33,34.47,34.56,33.9792,833276
2025-11-07,34.31,34.825,34.17,34.73,34.1464,823072
2025-11-10,34.36,34.56,34.15,34.39,33.8121,772914
2025-11-11,34.39,34.76,34.21,34.63,34.048,954102
2025-11-12,34.37,34.62,34.21,34.3,33.7236,948184
2025-11-13,34.32,34.45,33.46,33.55,32.9862,1160276
2025-11-14,33.01,33.73,32.73,33.4,32.8387,1161348
2025-11-17,33.52,33.8,33.06,33.61,33.0452,809139
2025-11-18,33.12,33.295,32.36,32.52,31.9735,1754588
2025-11-19,32.32,33.6,32.22,33.05,32.4946,1412659
2025-11-20,32.75,33.9,32.72,33.3,32.7404,1583318
2025-11-21,33.11,33.72,32.7,33.42,32.8584,827691
2025-11-24,34,34.41,33.33,33.33,32.7699,2927681
2025-11-25,33.76,33.96,33.595,33.69,33.1238,2342106
2025-11-26,33.77,34.39,33.57,34.22,33.6449,1544499
2025-11-27,34,34.93,34,34.65,34.0677,1136811
2025-11-28,34.65,34.98,34.47,34.77,34.1857,1501684
2025-12-01,34.5,34.67,34.02,34.19,33.6154,1017671
2025-12-02,34.25,34.25,33.12,33.25,32.6912,1139335
2025-12-03,33.47,33.705,33.16,33.2,32.6421,788155
2025-12-04,33.48,33.48,32.85,32.85,32.298,1045248
2025-12-05,32.86,33.17,32.5,32.62,32.0718,1424674
2025-12-08,32.5,32.97,32.25,32.76,32.2095,730487
2025-12-09,32.64,32.87,32.38,32.38,31.8359,936853
2025-12-10,32.36,32.99,31.77,31.86,31.3246,1040814
2025-12-11,32.44,32.97,31.36,31.4,30.8723,1590561
2025-12-12,31.4,31.77,30.71,30.89,30.3709,1607395
2025-12-15,30.85,31.26,30.57,31.16,30.6364,1352410
