Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,177.89,177.99,171.55,172.42,164.776,2384136
2025-07-23,172.59,173.85,170.67,173.3,165.617,2172774
2025-07-24,173.97,174.74,172.26,173.47,165.7795,1622393
2025-07-25,173.4,173.61,170.97,172.87,165.2061,1626092
2025-07-28,172.5,174.9,171.6,174.9,167.1461,1249203
2025-07-29,173.88,174.64,172.53,174.29,166.5631,1313893
2025-07-30,173.97,177.6,173.25,176.99,169.1434,1817808
2025-07-31,177.11,178.19,176.11,177.91,170.0226,1918660
2025-08-01,176,176.86,174.62,175.06,167.299,1725512
2025-08-04,174,174.93,173.43,174.93,167.1747,1178894
2025-08-05,175.68,177.635,175.06,177.34,169.4779,1356835
2025-08-06,177.6,179.86,177.45,179.08,171.1407,1244593
2025-08-07,179.3,179.54,177.63,178.13,170.2329,1188987
2025-08-08,176.93,177.98,176.2,176.61,168.7803,1239266
2025-08-11,177.1,178.6,176.65,178.6,170.682,1129524
2025-08-12,178.6,180,178.055,178.8,170.8732,1888777
2025-08-13,176.88,177.7,167.43,169.12,161.6223,4412606
2025-08-14,167.12,168.97,166.55,167.21,159.797,2943953
2025-08-15,166.75,168.73,165.24,168.17,160.7144,3133677
2025-08-18,168.33,170.31,168.12,170.19,162.6449,1664555
2025-08-19,171.2,171.83,170.22,171.05,163.4667,2161338
2025-08-20,169.01,174.14,168.96,172.4,167.2999,3195377
2025-08-21,174.23,174.4,172.03,173.8,168.6585,2274857
2025-08-22,173.67,174.5,172.5,172.84,167.7269,3023915
2025-08-25,173.95,174.1,169.3,170.3,165.262,2121993
2025-08-26,170.3,171.76,168.8,169.08,164.0781,2527097
2025-08-27,170.24,171.49,169.275,169.83,164.8059,1134394
2025-08-28,170.37,173.35,170.16,173.35,168.2218,1558387
2025-08-29,172.06,172.78,170.3,170.3,165.262,2230286
2025-09-01,170.58,171.59,168.08,168.95,163.952,1183192
2025-09-02,168.75,171.7,168.67,170.46,165.4173,1294405
2025-09-03,169,169.28,164.3,164.55,159.6821,2536459
2025-09-04,166.05,168.215,165.01,168,163.0301,1657956
2025-09-05,169.27,169.6,167.25,168.14,163.1659,1407522
2025-09-08,168,168.24,166.59,168.24,163.263,1221001
2025-09-09,168.24,168.24,165.38,166.08,161.1669,1967975
2025-09-10,167,169.17,166.91,168.54,163.5541,1448532
2025-09-11,168.59,168.59,166.82,167.77,162.8069,1257595
2025-09-12,167.41,170,167.36,169.97,164.9418,1236459
2025-09-15,168.69,168.98,167.74,168.9,163.9034,1867293
2025-09-16,169.1,169.13,167.78,168.33,163.3503,1390961
2025-09-17,168.42,169.165,167.895,168.15,163.1756,1613610
2025-09-18,167.7,168.35,164.33,164.33,159.4686,2379309
2025-09-19,166.52,166.95,165.43,166.17,161.2542,4607592
2025-09-22,166.45,167.4,164.93,165.57,160.6719,1272323
2025-09-23,166,168.675,164.96,166.87,161.9335,1375851
2025-09-24,165.95,166.8,163.19,164.53,159.6627,2009907
2025-09-25,163.69,164.88,162.54,163.74,158.8961,1607175
2025-09-26,164.14,165.21,163.19,164.88,160.0024,1546068
2025-09-29,165,169.38,164.76,168.43,163.4473,1809099
2025-09-30,167.15,168.23,165.81,166.9,161.9626,1882707
