Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.14,3.14,3.08,3.1,3.0197,243355
2025-07-23,3.1,3.1,3.01,3.09,3.01,153413
2025-07-24,3.085,3.13,3.085,3.13,3.0489,154061
2025-07-25,3.13,3.13,3.05,3.08,3.0002,229641
2025-07-28,3.09,3.12,3.04,3.05,2.971,196488
2025-07-29,3.01,3.09,3.01,3.06,2.9808,388492
2025-07-30,3.07,3.08,3.02,3.02,2.9418,174412
2025-07-31,3.02,3.08,3.02,3.07,2.9905,61922
2025-08-01,3.08,3.165,3.02,3.05,2.971,364808
2025-08-04,3.05,3.07,2.97,3,2.9223,122516
2025-08-05,3,3.08,2.985,3,2.9223,217454
2025-08-06,3.02,3.07,3.01,3.04,2.9613,99279
2025-08-07,3.025,3.11,2.98,3.05,2.971,210949
2025-08-08,3.03,3.04,2.885,2.9,2.8249,1399906
2025-08-11,2.82,2.95,2.82,2.9,2.8249,227301
2025-08-12,2.82,2.91,2.82,2.9,2.8249,123082
2025-08-13,2.9,2.915,2.85,2.88,2.8054,145456
2025-08-14,2.89,3.03,2.89,3,2.9223,491198
2025-08-15,3.02,3.06,2.93,3,2.9223,243349
2025-08-18,2.99,3.05,2.96,3.02,2.9418,240141
2025-08-19,3.01,3.05,2.95,2.99,2.9126,117032
2025-08-20,3.02,3.02,2.91,2.91,2.8346,112977
2025-08-21,3.03,3.03,2.92,2.95,2.8736,83050
2025-08-22,3.37,3.78,3.37,3.67,3.575,2387420
2025-08-25,3.75,3.8,3.48,3.48,3.3899,617394
2025-08-26,3.45,3.66,3.45,3.52,3.4288,502165
2025-08-27,3.58,3.68,3.48,3.62,3.5263,846330
2025-08-28,3.61,3.64,3.56,3.62,3.5807,325186
2025-08-29,3.62,3.715,3.62,3.7,3.6598,359726
2025-09-01,3.7,3.77,3.69,3.75,3.7092,427534
2025-09-02,3.74,3.82,3.68,3.7,3.6598,481133
2025-09-03,3.69,3.69,3.61,3.64,3.6004,2313348
2025-09-04,3.67,3.74,3.61,3.74,3.6993,422657
2025-09-05,3.83,3.83,3.74,3.75,3.7092,226811
2025-09-08,3.76,3.82,3.65,3.79,3.7488,508967
2025-09-09,3.85,3.88,3.75,3.8,3.7587,269316
2025-09-10,3.86,3.88,3.8,3.84,3.7983,154578
2025-09-11,3.87,3.87,3.78,3.8,3.7587,114951
2025-09-12,3.84,3.86,3.8,3.81,3.7686,77210
2025-09-15,3.81,3.86,3.75,3.85,3.8082,339877
2025-09-16,3.87,3.89,3.85,3.89,3.8477,218888
2025-09-17,3.89,3.93,3.87,3.89,3.8477,119177
2025-09-18,3.88,3.92,3.86,3.9,3.8576,64252
