Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,12.4,12.7,12.37,12.44,11.8097,156213
2025-04-28,12.6,12.7,12.43,12.47,11.8381,151150
2025-04-29,12.65,13.37,12.56,13.25,12.5786,204648
2025-04-30,13.43,13.77,13.31,13.54,12.8539,310162
2025-05-01,13.58,13.75,13.46,13.51,12.8254,154053
2025-05-02,13.45,13.6,13.35,13.46,12.778,159482
2025-05-05,13.41,13.58,13.01,13.05,12.3887,119476
2025-05-06,13.08,13.34,13.06,13.15,12.4837,91139
2025-05-07,12.75,13.385,12.725,13.25,12.5786,283591
2025-05-08,13.98,14.42,13.45,13.95,13.2431,339620
2025-05-09,13.93,13.93,13.46,13.74,13.0438,237222
2025-05-12,13.86,13.97,13.48,13.48,12.797,279567
2025-05-13,13.65,14.05,13.62,14,13.2906,170776
2025-05-14,14.33,14.57,14.05,14.05,13.3381,219384
2025-05-15,14.1,14.1,13.81,13.92,13.2147,227262
2025-05-16,13.9,14.005,13.74,13.92,13.2147,115478
2025-05-19,14.05,14.27,13.87,13.87,13.1672,90156
2025-05-20,14.09,14.16,13.95,14.04,13.3286,144959
2025-05-21,14.2,14.2,13.56,13.66,12.9678,137604
2025-05-22,13.33,13.58,13.15,13.28,12.6071,181159
2025-05-23,13.54,13.54,13.29,13.43,12.7495,240539
2025-05-26,13.5,13.835,13.1,13.15,12.4837,193262
2025-05-27,13.25,13.34,13.11,13.2,12.5311,429615
2025-05-28,13.26,13.88,13.26,13.52,12.8349,258674
2025-05-29,13.63,13.9,13.46,13.75,13.0533,132313
2025-05-30,13.62,13.83,13.49,13.73,13.0343,229609
2025-06-02,13.79,13.9,13.58,13.75,13.0533,108489
2025-06-03,13.93,13.93,13.5,13.57,12.8824,100323
2025-06-04,13.73,13.88,13.43,13.59,12.9014,175491
2025-06-05,13.55,13.64,13.43,13.63,12.9394,166093
2025-06-06,13.66,13.74,13.3,13.46,12.778,721331
2025-06-10,13.5,13.6,13.38,13.59,12.9014,264890
2025-06-11,13.56,13.74,13.43,13.65,12.9583,291444
2025-06-12,13.67,13.9,13.49,13.75,13.0533,350775
2025-06-13,13.53,13.54,12.77,12.94,12.2843,388726
2025-06-16,12.98,13.18,12.78,13.15,12.4837,262996
2025-06-17,13.2,13.38,13.14,13.17,12.5027,235790
2025-06-18,13.24,13.27,13.01,13.09,12.4267,227886
2025-06-19,13.01,13.07,12.85,12.91,12.2558,296606
2025-06-20,12.89,13.3,12.7,13.2,12.5311,570120
2025-06-23,12.77,13.07,12.735,12.94,12.2843,256832
2025-06-24,13.2,13.49,13.04,13.28,12.6071,244533
2025-06-25,13.58,13.58,13.14,13.34,12.664,373715
2025-06-26,13.2,13.62,12.89,13.53,12.8444,366700
2025-06-27,13.48,13.82,13.48,13.71,13.0153,230963
2025-06-30,13.88,13.88,13.435,13.53,12.8444,251858
2025-07-01,13.8,13.95,13.61,13.71,13.0153,148730
2025-07-02,13.85,13.95,13.73,13.79,13.0912,174249
2025-07-03,13.81,14.31,13.61,14.17,13.452,387855
2025-07-04,14.25,14.39,14.16,14.32,13.5944,173077
2025-07-07,14.32,14.48,14.08,14.32,13.5944,115247
2025-07-08,14.38,14.45,14.04,14.36,13.6324,133954
2025-07-09,14.49,14.595,14.32,14.56,13.8222,194731
2025-07-10,14.8,14.9,14.62,14.8,14.0501,198741
2025-07-11,14.83,14.97,14.54,14.7,13.9551,146449
2025-07-14,14.56,14.74,14.42,14.68,13.9361,153979
2025-07-15,14.8,15.14,14.51,15.12,14.3539,196345
2025-07-16,15.02,15.12,14.73,14.92,14.164,135715
2025-07-17,15.13,15.13,14.85,14.95,14.1925,143436
2025-07-18,15.1,15.23,15.01,15.13,14.3633,117553
2025-07-21,15,15.11,14.83,14.93,14.1735,71032
2025-07-22,14.96,15.39,14.73,15.39,14.6102,185679
2025-07-23,15.4,15.5,15.12,15.22,14.4488,177365
2025-07-24,15.22,15.26,15.05,15.15,14.3823,115729
2025-07-25,15.21,15.23,14.975,15.09,14.3254,108746
2025-07-28,15.2,15.5,15.18,15.36,14.5817,114116
2025-07-29,15.2,15.23,14.81,15.22,14.4488,234253
2025-07-30,15.19,15.34,14.89,15.27,14.4963,303663
2025-07-31,15.19,15.45,15.095,15.44,14.6576,305558
2025-08-01,15.06,15.66,15.05,15.62,14.8285,453943
2025-08-04,15.62,15.72,15.17,15.26,14.4868,223438
2025-08-05,16.48,18.48,16.45,17.73,16.8316,1451731
2025-08-06,17.65,18.065,17.36,17.4,16.5183,889158
2025-08-07,17.2,17.82,17.01,17.58,16.6892,516513
2025-08-08,17.58,17.58,17.055,17.34,16.4614,465174
2025-08-11,17.18,17.76,17.145,17.65,16.7557,236860
2025-08-12,17.54,17.635,17.22,17.49,16.6038,330466
2025-08-13,17.49,17.72,17.02,17.12,16.2525,370224
2025-08-14,16.99,17.08,16.62,16.7,15.8538,475910
2025-08-15,16.6,16.75,16.46,16.52,15.6829,331787
2025-08-18,16.47,16.54,16.22,16.25,15.4266,263840
2025-08-19,16.22,16.27,16.05,16.15,15.3317,270305
2025-08-20,16.35,16.8,16.07,16.14,15.3222,382500
2025-08-21,16.15,16.19,15.95,16,15.1893,596479
2025-08-22,16.13,16.225,15.85,15.94,15.1323,372447
2025-08-25,16.23,16.24,15.81,15.9,15.0943,262012
2025-08-26,15.9,16.71,15.75,16.6,15.7589,716321
2025-08-27,16.66,16.915,16.26,16.51,15.6734,290311
2025-08-28,16.64,16.705,16.23,16.32,15.493,124129
2025-08-29,16.29,16.585,16.29,16.5,15.6639,244070
2025-09-01,16.66,16.66,16.175,16.28,15.4551,226509
2025-09-02,16.28,16.59,16.16,16.19,15.3696,259388
2025-09-03,16.15,16.23,15.8,15.92,15.1133,260434
2025-09-04,16.28,16.5,16.11,16.45,15.6165,284606
2025-09-05,16.49,16.59,16.33,16.4,15.569,172584
2025-09-08,16.5,16.7,16.15,16.45,15.6165,249553
2025-09-09,16.41,16.78,16.37,16.44,15.607,307963
2025-09-10,16.44,16.64,16.4,16.59,15.7494,340240
2025-09-11,16.67,16.695,16.2,16.51,15.6734,278945
2025-09-12,16.8,17.16,16.49,16.56,15.7209,319997
2025-09-15,16.35,16.35,15.97,16.31,15.8276,156376
2025-09-16,16.39,16.65,16.29,16.65,16.1576,242504
2025-09-17,16.66,16.66,16.3,16.4,15.915,171791
2025-09-18,16.67,16.78,16.49,16.68,16.1867,280339
2025-09-19,16.79,16.97,16.58,16.93,16.4293,1944155
2025-09-22,17,17.01,16.33,16.38,15.8956,204044
2025-09-23,16.46,16.615,16.04,16.1,15.6238,238505
2025-09-24,16.1,16.1,15.69,15.81,15.3424,218141
2025-09-25,15.8,15.85,15.45,15.45,14.9931,216782
2025-09-26,15.35,15.58,15.29,15.55,15.0901,365820
2025-09-29,15.58,15.62,15.26,15.39,14.9348,199828
2025-09-30,15.43,15.485,15.25,15.29,14.8378,235684
2025-10-01,15.26,15.45,15.225,15.26,14.8087,174432
2025-10-02,15.39,15.41,15.16,15.29,14.8378,177963
2025-10-03,15.19,15.35,15.18,15.32,14.8669,122247
2025-10-06,15.31,15.35,15.01,15.05,14.6049,112717
2025-10-07,15.1,15.3,15.035,15.2,14.7505,122917
2025-10-08,15.2,15.335,15.05,15.12,14.6728,405033
2025-10-09,15.15,15.35,15.06,15.06,14.6146,162969
2025-10-10,15,15.06,14.8,15.02,14.5758,160224
2025-10-13,14.89,14.89,14.55,14.7,14.2652,213319
2025-10-14,14.69,14.83,14.57,14.74,14.3041,147244
2025-10-15,14.66,15.07,14.66,14.91,14.469,173316
2025-10-16,14.97,15.12,14.89,14.98,14.537,176978
2025-10-17,14.9,14.91,14.53,14.53,14.1003,130618
2025-10-20,14.53,14.61,14.48,14.53,14.1003,306134
2025-10-21,14.74,14.99,14.58,14.81,14.372,173432
2025-10-22,14.54,15,14.54,15,14.5564,632906
2025-10-23,15.08,15.29,14.96,15.08,14.634,243158
2025-10-24,14.92,15.055,14.885,15,14.5564,106072
2025-10-27,15.03,15.32,15.02,15.29,14.8378,93711
2025-10-28,15.32,15.32,14.59,14.62,14.1876,246792
2025-10-29,14.59,14.74,14.49,14.61,14.1779,350224
2025-10-30,14.7,14.75,14.54,14.72,14.2847,157636
2025-10-31,14.7,14.705,14.29,14.36,13.9353,312400
2025-11-03,14.36,14.63,14.25,14.51,14.0809,111301
2025-11-04,14.45,14.45,14.02,14.07,13.6539,209463
2025-11-05,14.05,14.055,13.63,13.78,13.3725,191071
2025-11-06,13.73,13.86,13.51,13.6,13.1978,215837
2025-11-07,14.06,14.06,13.56,13.65,13.2463,186924
2025-11-10,13.66,13.98,13.59,13.95,13.5374,280432
2025-11-11,13.75,13.98,13.75,13.89,13.4792,127288
2025-11-12,13.86,13.97,13.69,13.69,13.2851,314161
2025-11-13,13.73,13.76,13.43,13.58,13.1784,286584
2025-11-14,13.4,13.4,13.05,13.12,12.732,493891
2025-11-17,13.05,13.13,12.88,13.04,12.6543,819739
2025-11-18,13.1,13.1,12.895,12.92,12.5379,205087
2025-11-19,12.88,12.9,12.65,12.84,12.4603,177263
2025-11-20,12.9,13.19,12.855,13.15,12.7611,248912
2025-11-21,13.12,13.12,12.83,12.83,12.4506,180785
2025-11-24,13.12,13.14,13.03,13.1,12.7126,140097
2025-11-25,13.22,13.3,13.09,13.21,12.8193,180019
2025-11-26,13.21,13.58,13.19,13.56,13.159,229836
2025-11-27,14,14,13.46,13.75,13.3433,170695
2025-11-28,13.85,13.95,13.72,13.9,13.4889,166950
2025-12-01,13.9,14.145,13.77,13.89,13.4792,175176
2025-12-02,13.85,13.975,13.68,13.76,13.353,335416
2025-12-03,13.82,14.2,13.76,14.08,13.6636,259025
2025-12-04,14.08,14.28,13.97,14.13,13.7121,184437
2025-12-05,14,14.11,13.87,14.01,13.5957,186110
2025-12-08,14.04,14.3,13.845,14.19,13.7703,166401
2025-12-09,14.19,14.315,13.96,14.21,13.7897,147440
2025-12-10,14.48,14.57,14.06,14.18,13.7606,209163
2025-12-11,14.3,14.37,13.9,13.95,13.5374,152137
2025-12-12,13.88,14.07,13.84,13.9,13.4889,101536
2025-12-15,13.82,14.04,13.61,13.96,13.5471,189350
2025-12-16,13.86,14.07,13.81,13.94,13.5277,133445
2025-12-17,13.92,13.93,13.4,13.54,13.1396,381151
2025-12-18,13.52,14.02,13.49,14.01,13.5957,198250
2025-12-19,13.95,14.2,13.86,14.17,13.7509,457743
2025-12-22,14.17,14.33,13.97,14.07,13.6539,76221
2025-12-23,14.05,14.26,13.92,14.14,13.7218,85878
2025-12-24,14.14,14.19,14.01,14.08,13.6636,48398
2025-12-29,14.08,14.19,13.93,14.11,13.6927,59196
2025-12-30,14.02,14.31,14.02,14.19,13.7703,126439
2025-12-31,14.15,14.21,14.02,14.06,13.6442,86620
2026-01-02,14.01,14.28,13.985,14.17,13.7509,40924
2026-01-05,14.1,14.17,13.88,13.95,13.5374,170153
2026-01-06,14,14.26,13.975,14.03,13.6151,141560
2026-01-07,14.03,14.18,13.9,14.1,13.683,101632
2026-01-08,14.18,14.25,14.06,14.25,13.8286,85114
2026-01-09,14.05,14.4,14.05,14.27,13.848,77161
2026-01-12,14.98,14.98,14.26,14.33,13.9062,76416
2026-01-13,14.3,14.485,13.95,13.95,13.5374,171652
2026-01-14,14.03,14.03,13.675,13.8,13.3919,230465
2026-01-15,13.75,14.07,13.75,13.99,13.5762,199714
2026-01-16,14,14.08,13.82,14.03,13.6151,129751
2026-01-19,14.1,14.12,13.88,14.12,13.7024,118322
2026-01-20,14.045,14.15,13.94,14.15,13.7315,149620
2026-01-21,14.13,14.16,13.81,14.16,13.7412,330654
2026-01-22,14.1,14.43,14.1,14.14,13.7218,106981
2026-01-23,14.1,14.37,14.03,14.28,13.8577,122129
