Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,20.36,20.66,20.22,20.41,20.1857,265270
2025-07-23,20.5,20.5,20.14,20.29,20.067,203249
2025-07-24,20.34,20.66,20.19,20.58,20.3538,319446
2025-07-25,20.38,20.67,20.32,20.61,20.3835,252500
2025-07-28,20.65,20.82,20.42,20.69,20.4626,196649
2025-07-29,20.71,20.77,20.32,20.66,20.433,273534
2025-07-30,20.5,20.7,20.28,20.7,20.4725,372151
2025-07-31,20.68,20.97,20.51,20.95,20.7198,358711
2025-08-01,20.87,21.73,20.72,21.65,21.4121,515543
2025-08-04,21.17,21.41,21.06,21.07,20.8385,298810
2025-08-05,21.61,22.475,21.5,22.47,22.2231,556214
2025-08-06,22.45,23.4,22.42,23.28,23.0242,677207
2025-08-07,23.29,23.605,23.09,23.4,23.1429,512494
2025-08-08,23.53,23.67,23.3,23.63,23.3703,438055
2025-08-11,23.65,24.13,23.56,23.64,23.3802,433789
2025-08-12,23.51,23.91,23.49,23.81,23.5484,297568
2025-08-13,23.88,24.19,23.61,24.13,23.8648,336866
2025-08-14,24.19,24.355,23.815,24.32,24.0528,422961
2025-08-15,24.33,24.33,23.84,24.18,23.9143,288496
2025-08-18,24.05,24.26,23.83,24.26,23.9934,324332
2025-08-19,24.1,24.4,23.9,24.31,24.0429,326041
2025-08-20,24.45,24.6,23.475,23.67,23.4099,508570
2025-08-21,24.8,26.89,24.75,26.2,25.9121,607040
2025-08-22,26.57,28.63,26.26,28.34,28.0286,910663
2025-08-25,28.08,29.89,28,29.6,29.2747,865215
2025-08-26,29.2,30.6,29.04,30.6,30.2637,1026978
2025-08-27,30.5,30.86,29.59,29.95,29.6209,825712
2025-08-28,30.09,30.37,29.66,29.84,29.5121,506022
2025-08-29,29.84,30.94,29.69,30.88,30.5407,608182
2025-09-01,30.14,30.405,29.47,29.73,29.4033,289501
2025-09-02,30,30.22,29.8,29.81,29.6419,348860
2025-09-03,29.81,30.19,29.64,29.8,29.632,550821
2025-09-04,29.98,30.02,29.43,29.84,29.6718,518971
2025-09-05,30.1,31.19,30.02,30.77,30.5965,475370
2025-09-08,30.71,31.295,30.61,31.08,30.9048,266193
2025-09-09,31.37,31.66,30.8,31.01,30.8352,442524
2025-09-10,31.2,31.45,30.81,31.12,30.9446,365068
2025-09-11,31.1,31.14,30.675,30.95,30.7755,225999
2025-09-12,31.03,31.47,30.68,30.95,30.7755,296002
2025-09-15,30.76,31.04,30.2,30.53,30.3579,379585
2025-09-16,30.89,31,30.33,30.47,30.2982,323674
2025-09-17,30.69,31.09,30.15,30.44,30.2684,346622
2025-09-18,30.27,30.56,30.05,30.29,30.1192,231353
2025-09-19,30.61,30.715,29.98,29.98,29.811,695552
2025-09-22,30.1,30.595,30.03,30.06,29.8905,235541
2025-09-23,30.15,30.56,29.85,29.92,29.7513,262216
2025-09-24,29.73,30.44,29.52,30.38,30.2087,290125
2025-09-25,30,30.31,29.37,29.6,29.4331,298283
2025-09-26,29.31,29.8,29.21,29.72,29.5525,279538
2025-09-29,29.7,30.02,29.38,29.52,29.3536,226968
2025-09-30,29.35,29.67,29.25,29.52,29.3536,304467
2025-10-01,29.52,30.12,29.4,30.1,29.9303,365294
2025-10-02,30.4,30.5,30.13,30.39,30.2187,331013
2025-10-03,30.9,31.45,30.5,31.16,30.9843,644291
2025-10-06,31.03,31.04,30.19,30.38,30.2087,252896
2025-10-07,30.7,32.105,30.59,31.86,31.6804,608092
2025-10-08,31.77,32.21,31.67,32.11,31.929,471007
2025-10-09,32.2,33.1,32.06,32.66,32.4759,564623
2025-10-10,32.62,33.58,32.45,33.24,33.0526,359937
2025-10-13,32.68,33.19,32.49,32.73,32.5455,502119
2025-10-14,32.95,34.035,32.95,33.54,33.3509,642033
2025-10-15,33.6,34.29,33.2,33.99,33.7984,778726
2025-10-16,34.43,34.68,33.015,33.47,33.2813,392877
2025-10-17,33.4,33.43,32.31,33.08,32.8935,1229638
2025-10-20,32.72,33.77,32.705,33.56,33.3708,275452
2025-10-21,33.56,34.18,33.54,34.07,33.8779,321202
2025-10-22,34.1,34.33,33.195,34.3,34.1066,578670
2025-10-23,34.35,34.67,33.935,34.64,34.4447,727751
2025-10-24,34.9,36.05,34.83,35.86,35.6578,336988
2025-10-27,36.25,36.69,35.93,36.3,36.0954,545339
2025-10-28,36.24,36.33,35.415,35.77,35.5683,459083
2025-10-29,35.7,36.35,35.53,36.13,35.9263,293996
2025-10-30,36.14,36.58,35.83,36.53,36.3241,359101
2025-10-31,36.67,36.67,36.06,36.25,36.0456,238837
2025-11-03,36.5,36.92,36.25,36.55,36.344,231471
2025-11-04,36.5,36.83,36.05,36.39,36.1849,218003
2025-11-05,36,36.29,34.46,34.9,34.7033,396937
2025-11-06,35.21,35.41,33.51,33.91,33.7188,597505
2025-11-07,33.52,33.95,33.42,33.6,33.4106,372183
2025-11-10,33.975,34.14,33.755,34.08,33.8879,550922
2025-11-11,34.29,34.44,33.8,34.2,34.0072,311301
2025-11-12,34.3,34.3,33.01,33.15,32.9631,477919
2025-11-13,33.15,33.9,32.91,33.08,32.8935,324502
2025-11-14,31.91,31.94,29.96,30.87,30.696,538380
2025-11-17,30.46,31.88,30.24,31.74,31.5611,352010
2025-11-18,30.97,31.48,30.2,30.62,30.4474,483368
2025-11-19,30.37,30.58,29.37,29.44,29.274,528612
2025-11-20,29.5,30.27,29.49,29.87,29.7016,416959
2025-11-21,28.75,28.79,27.87,28.69,28.5283,597226
2025-11-24,28.69,29.53,28.05,29.53,29.3635,532329
2025-11-25,29.82,30.355,28.95,29.98,29.811,300794
2025-11-26,30.34,30.91,30.19,30.87,30.696,505228
2025-11-27,29.16,31.2,29.16,30.68,30.507,321559
2025-11-28,31,31,30.54,30.85,30.6761,231090
2025-12-01,30.85,31.43,30.07,30.4,30.2286,280682
2025-12-02,29.98,30.89,29.94,30.27,30.0994,675212
2025-12-03,30.1,30.77,30.01,30.63,30.4573,292664
2025-12-04,30.46,31.45,30.31,30.51,30.338,330525
2025-12-05,30.83,31.2,30.55,30.97,30.7954,148124
2025-12-08,31,31.43,30.72,31.07,30.8948,175878
2025-12-09,31.28,31.28,30.12,30.49,30.3181,191143
2025-12-10,31.19,31.19,30.17,30.48,30.3082,381625
2025-12-11,31,31.09,30.16,30.52,30.3479,207674
2025-12-12,31,31.05,30.34,30.47,30.2982,243869
2025-12-15,29.78,30.28,29.18,29.4,29.2343,174259
2025-12-16,29.29,29.455,28.94,29.2,29.0354,412733
2025-12-17,29.3,29.57,28.96,29.1,28.9359,290973
2025-12-18,27.97,28.28,25.18,26.93,26.7782,561957
2025-12-19,27.44,28.41,27.1,28.35,28.1902,785547
2025-12-22,28.52,29.64,28.26,29.43,29.2641,495358
2025-12-23,29.26,29.63,29.13,29.34,29.1746,303914
2025-12-24,29.17,29.17,27.86,29.06,28.8962,172565
2025-12-29,29.06,29.09,28.76,29,28.8365,127240
2025-12-30,29.09,29.44,28.8,28.97,28.8067,283612
2025-12-31,29.08,29.08,28.36,28.43,28.2697,167268
2026-01-02,28.42,29.1,28.385,29.02,28.8564,113200
2026-01-05,29,29.08,28.63,28.97,28.8067,135314
2026-01-06,28.98,29.6,28.79,29.39,29.2243,208816
2026-01-07,29.03,30.39,29.03,30.14,29.9701,289425
2026-01-08,30.05,31.57,30.02,31.56,31.3821,392688
2026-01-09,36.34,39.2,36.29,36.89,36.682,811066
2026-01-12,36.68,37.38,36.42,36.71,36.503,582092
2026-01-13,37.76,37.8,36.63,37,36.7914,605434
2026-01-14,36.7,36.875,36.09,36.55,36.344,335975
2026-01-15,36.5,36.94,36,36.2,35.9959,320498
2026-01-16,35.91,37.48,35.5,37.16,36.9505,445452
2026-01-19,37,37.35,36.69,36.96,36.7516,152151
2026-01-20,36.8,37.6,36.76,37.45,37.2389,481725
2026-01-21,37.17,38.28,36.9,38.28,38.0642,401457
2026-01-22,38.57,39.335,38.49,38.98,38.7603,325191
2026-01-23,38.93,39.47,38.44,39.41,39.1878,280516
2026-01-27,39.41,40.42,39.25,39.47,39.2475,286694
2026-01-28,39.9,40.02,38.96,39.49,39.2674,247476
2026-01-29,39.73,40.03,39.21,39.59,39.3668,168137
2026-01-30,39.2,39.6,37.97,38.04,37.8256,428627
2026-02-02,37.73,38,36.92,37.63,37.4179,211397
2026-02-03,38,38.81,37.9,37.99,37.7758,196090
2026-02-04,38,38,36.81,37.03,36.8212,266974
2026-02-05,36.66,36.835,35.65,35.92,35.7175,243313
2026-02-06,35.03,35.68,34.3,34.57,34.3751,414544
2026-02-09,35.33,36.3,35.29,36.1,35.8965,269851
2026-02-10,36.19,36.8,35.8,35.8,35.5982,477665
2026-02-11,35.68,36.67,35.06,36.63,36.4235,181420
2026-02-12,34.52,35.765,34.52,35.4,35.2004,227560
2026-02-13,35.1,35.41,34.22,34.22,34.0271,351511
2026-02-16,33.97,34.54,32.37,34.26,34.0669,371752
2026-02-17,34.3,34.61,33.45,34.31,34.1166,229405
2026-02-18,33.7,35.94,33.7,34.64,34.4447,326872
2026-02-19,34.59,36.63,33.35,34.55,34.3552,437134
2026-02-20,34.5,34.75,33.37,34.69,34.4944,346558
2026-02-23,35.49,35.9,34.21,34.69,34.4944,313086
2026-02-24,34.59,35.17,33.93,34.59,34.395,487000
2026-02-25,34.55,35.43,34.29,34.36,34.36,328727
2026-02-26,35.12,36.27,34.71,36.24,36.24,344544
2026-02-27,36.24,37.49,35.095,35.51,35.51,431821
2026-03-02,34.83,37.34,34.83,37.13,37.13,304303
2026-03-03,36.96,37.65,36.21,37.58,37.58,525004
2026-03-04,37.39,37.39,36.01,36.5,36.5,370340
2026-03-05,36.5,37.66,36.5,37.18,37.18,385210
2026-03-06,36.72,36.78,35.79,36.54,36.54,253262
2026-03-09,35.24,35.75,34.04,34.43,34.43,363784
2026-03-10,35,36.15,34.715,35.33,35.33,194028
2026-03-11,35.33,36.23,35.06,36.2,36.2,285930
2026-03-12,35.78,36.14,34.79,34.97,34.97,307046
2026-03-13,34.63,34.85,34.2,34.41,34.41,179788
2026-03-16,34.39,34.39,33.56,33.65,33.65,170587
2026-03-17,33.6,34.32,33.6,34.06,34.06,127372
2026-03-18,33.85,34.96,33.85,34.81,34.81,213995
2026-03-19,34.5,34.81,33.9,34.51,34.51,310462
2026-03-20,34.49,34.74,33.53,33.56,33.56,869165
2026-03-23,32.75,32.84,31,32.8,32.8,322880
2026-03-24,33.96,34.12,32.54,32.54,32.54,160181
2026-03-25,32.92,34.58,32.74,34.58,34.58,325194
2026-03-26,34.4,34.71,34.24,34.41,34.41,240740
2026-03-27,34.1,34.2,32.08,32.37,32.37,435487
2026-03-30,31.73,32.015,30.86,31.9,31.9,478833
2026-03-31,31.29,31.89,30.76,31.26,31.26,333718
2026-04-01,32.16,32.63,31.2,32.55,32.55,417731
2026-04-02,33.33,33.71,31.82,32.02,32.02,166499
2026-04-07,33.8,34.18,32.46,33.14,33.14,213115
2026-04-08,34.09,35.5,34.01,35.41,35.41,259596
2026-04-09,35.18,35.37,34.08,34.76,34.76,204129
2026-04-10,34.01,34.54,33.22,34,34,276401
2026-04-13,33.08,33.9,32.95,33.77,33.77,199820
2026-04-14,34.12,34.6,33.65,34.06,34.06,251572
2026-04-15,35.09,35.21,33.23,33.42,33.42,348800
2026-04-16,33.42,34.49,33.07,33.67,33.67,298038
2026-04-17,33.51,34.24,33.41,33.97,33.97,204817
2026-04-20,33.89,34.95,33.67,34.88,34.88,200710
2026-04-21,35.15,36.66,35.045,36.47,36.47,371336
2026-04-22,35.95,36.38,35.52,35.94,35.94,306337
2026-04-23,35.85,36.64,35.24,36,36,153427
2026-04-24,36.01,36.39,34.74,35.64,35.64,193456
2026-04-27,34.57,35.72,34.51,35.67,35.67,148011
2026-04-28,35.57,36.57,34.93,36.38,36.38,247630
2026-04-29,39.1,43.04,39.1,42,42,715481
