Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.44,8.44,8.22,8.32,8.2553,538
2025-07-23,8.33,8.33,8.18,8.33,8.2652,2696
2025-07-24,8.2,8.24,8.2,8.24,8.1759,206
2025-07-25,8.24,8.37,8.24,8.33,8.2652,1121
2025-07-28,8.44,8.44,8.3,8.43,8.3644,1170
2025-07-29,8.3,8.35,8.05,8.35,8.2851,3117
2025-07-30,8.35,8.35,8.22,8.22,8.1561,764
2025-07-31,8.44,8.44,8.4,8.4,8.3347,287
2025-08-01,8.4,8.4,8.31,8.31,8.2454,699
2025-08-04,8.23,8.23,8.23,8.23,8.166,73
2025-08-05,8.23,8.23,8.23,8.23,8.166,0
2025-08-06,8.3,8.4,8.27,8.32,8.2553,1605
2025-08-07,8.43,8.45,8.3,8.45,8.3843,2465
2025-08-08,8.45,8.45,8.3,8.3,8.2354,35
2025-08-11,8.39,8.5,8.39,8.5,8.4339,568
2025-08-12,8.42,8.465,8.22,8.3,8.2354,13287
2025-08-13,8.3,8.33,8.22,8.22,8.1561,2044
2025-08-14,8.23,8.23,8.16,8.16,8.0965,4729
2025-08-15,8.25,8.25,8.13,8.14,8.0767,4012
2025-08-18,8.16,8.28,8.15,8.15,8.0866,798
2025-08-19,8.26,8.35,8.19,8.35,8.2851,3794
2025-08-20,8.35,8.53,8.19,8.53,8.4637,7041
2025-08-21,8.54,8.55,8.31,8.54,8.4736,5387
2025-08-22,8.54,8.54,8.21,8.54,8.4736,1694
2025-08-25,8.54,8.54,8.08,8.45,8.4047,799
2025-08-26,8.44,8.44,7.675,8.225,8.1809,8618
2025-08-27,8.22,8.22,7.815,7.86,7.8178,18167
2025-08-28,7.89,8.1,7.89,8.07,8.0267,8343
2025-08-29,8.1,8.16,8.04,8.14,8.0963,11380
2025-09-01,8.14,8.34,8.14,8.3,8.2555,11639
2025-09-02,8.3,8.35,8.15,8.15,8.1063,8698
2025-09-03,8.18,8.34,8.15,8.34,8.2953,7691
2025-09-04,8.3,8.34,8.16,8.34,8.2953,5697
2025-09-05,8.26,8.26,8.16,8.255,8.2107,10564
2025-09-08,8.26,8.26,8.15,8.15,8.1063,9559
2025-09-09,8.15,8.22,8.06,8.22,8.1759,10935
2025-09-10,8.22,8.4,8.165,8.4,8.3549,5030
2025-09-11,8.31,8.35,8.25,8.35,8.3052,10236
2025-09-12,8.35,8.42,8.2,8.42,8.3748,3364
2025-09-15,8.41,8.41,8.19,8.39,8.345,8750
2025-09-16,8.11,8.29,8.09,8.28,8.2356,9307
2025-09-17,8.24,8.24,8.185,8.185,8.1411,6425
2025-09-18,8.19,8.4,8.09,8.4,8.3549,11254
2025-09-19,8.37,8.37,8.18,8.18,8.1361,1846
2025-09-22,8.2,8.2,8.06,8.06,8.0168,5803
2025-09-23,8.31,8.32,8.16,8.18,8.1361,8739
2025-09-24,8.16,8.2,8.03,8.07,8.0267,536
2025-09-25,8.01,8.17,8.01,8.1,8.0566,4956
2025-09-26,8.09,8.09,7.9,7.92,7.8775,1953
2025-09-29,7.92,8.04,7.92,7.92,7.8775,1831
2025-09-30,7.94,8.04,7.85,8.04,7.9969,2661
2025-10-01,8.04,8.11,8.02,8.1,8.0566,6386
2025-10-02,8.07,8.08,7.91,8.06,8.0168,1103
2025-10-03,8.06,8.09,7.97,8.08,8.0367,2710
2025-10-06,8.09,8.09,7.93,7.93,7.8875,5547
2025-10-07,7.98,8.04,7.98,8.04,7.9969,431
2025-10-08,8.04,8.04,7.96,7.97,7.9272,192
2025-10-09,7.99,8.01,7.93,7.93,7.8875,2679
2025-10-10,7.95,7.95,7.86,7.86,7.8178,1195
2025-10-13,7.9,7.99,7.79,7.98,7.9372,3679
2025-10-14,7.85,7.96,7.78,7.96,7.9173,6464
2025-10-15,7.95,7.96,7.78,7.78,7.7383,7054
2025-10-16,7.9,7.95,7.9,7.95,7.9074,3534
2025-10-17,7.95,8.02,7.84,7.9,7.8576,2712
2025-10-20,8.02,8.1,7.98,8.04,7.9969,6758
2025-10-21,8.1,8.15,8.1,8.1,8.0566,1096
2025-10-22,8.27,8.45,8.24,8.42,8.3748,4063
2025-10-23,8.42,8.42,8.39,8.39,8.345,1262
2025-10-24,8.39,8.39,8.27,8.35,8.3052,3424
2025-10-27,8.355,8.355,8.22,8.22,8.1759,20
2025-10-28,8.3,8.41,8.22,8.22,8.1759,3033
2025-10-29,8.22,8.25,8.2,8.2,8.156,280
2025-10-30,8.26,8.37,8.2,8.33,8.2853,569
2025-10-31,8.48,8.48,8.13,8.47,8.4246,395
2025-11-03,8.47,8.47,8.25,8.25,8.2057,25
2025-11-04,8.3,8.32,8.15,8.25,8.2057,6631
2025-11-05,8.25,8.32,8,8,7.9571,12953
2025-11-06,8,8.18,7.99,8.18,8.1361,17
2025-11-07,8.19,8.32,8.19,8.21,8.166,402
2025-11-10,8.2,8.3,8.18,8.3,8.2555,914
2025-11-11,8.3,8.3,8.05,8.13,8.0864,2272
