Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.3,8.34,8.26,8.28,7.8539,1262600
2025-07-23,8.3,8.35,8.21,8.27,7.8444,1561009
2025-07-24,8.12,8.16,7.98,8.03,7.6168,1876293
2025-07-25,8.07,8.07,7.865,7.92,7.5124,1890362
2025-07-28,7.92,8.09,7.9,8.05,7.6357,1708110
2025-07-29,8,8.21,7.98,8.17,7.7496,1882552
2025-07-30,8.14,8.26,8.1,8.21,7.7875,1362229
2025-07-31,8.13,8.275,8.09,8.23,7.8065,1064964
2025-08-01,8.27,8.365,8.17,8.18,7.759,1618092
2025-08-04,8.1,8.26,8.1,8.21,7.7875,1072138
2025-08-05,8.27,8.32,8.19,8.23,7.8065,1185561
2025-08-06,8.2,8.34,8.185,8.29,7.8634,1356071
2025-08-07,8.33,8.37,8.27,8.37,7.9393,1686967
2025-08-08,8.34,8.36,8.24,8.35,7.9203,944469
2025-08-11,8.3,8.355,8.19,8.21,7.7875,611850
2025-08-12,8.18,8.33,8.18,8.33,7.9013,1346855
2025-08-13,8.32,8.38,8.24,8.27,7.8444,1040878
2025-08-14,8.2,8.3,8.2,8.3,7.8729,1246551
2025-08-15,8.31,8.47,8.285,8.43,7.9962,3044714
2025-08-18,8.35,8.4,8.23,8.25,7.8254,2052885
2025-08-19,8.15,8.52,8.07,8.46,8.0246,3921184
2025-08-20,8.51,8.63,8.47,8.53,8.091,2041897
2025-08-21,8.55,8.83,8.55,8.79,8.3377,2825208
2025-08-22,8.77,8.78,8.62,8.68,8.2333,2774095
2025-08-25,8.71,8.74,8.58,8.6,8.1574,1688061
2025-08-26,8.36,8.46,8.24,8.31,8.0223,2418435
2025-08-27,8.31,8.37,8.21,8.37,8.0802,1128446
2025-08-28,8.44,8.44,8.27,8.31,8.0223,2819833
2025-08-29,8.28,8.38,8.165,8.34,8.0512,1192265
2025-09-01,8.31,8.38,8.22,8.27,7.9837,1865801
2025-09-02,8.15,8.35,8.1,8.23,7.945,2088756
2025-09-03,8.21,8.29,8.2,8.21,7.9257,2014771
2025-09-04,8.24,8.31,8.23,8.31,8.0223,1585255
2025-09-05,8.35,8.43,8.28,8.41,8.1188,1139973
2025-09-08,8.44,8.49,8.33,8.41,8.1188,1504279
2025-09-09,8.41,8.58,8.39,8.49,8.196,2490006
2025-09-10,8.49,8.61,8.41,8.46,8.1671,2372058
2025-09-11,8.45,8.56,8.43,8.55,8.254,1352720
2025-09-12,8.55,8.69,8.52,8.58,8.2829,1069768
2025-09-15,8.5,8.76,8.49,8.75,8.447,2145530
2025-09-16,8.73,8.77,8.67,8.73,8.4277,1322013
2025-09-17,8.78,8.81,8.67,8.76,8.4567,2461898
2025-09-18,8.75,8.78,8.56,8.59,8.2926,1465954
2025-09-19,8.59,8.68,8.54,8.62,8.3215,3235716
