Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,19.73,19.83,19.63,19.71,19.2994,626204
2025-07-23,20.31,20.5,19.97,19.98,19.5638,1362265
2025-07-24,20,20.19,19.6,19.63,19.2211,997418
2025-07-25,19.38,19.74,19.23,19.53,19.1232,621877
2025-07-28,19.64,19.995,19.64,19.91,19.4953,578453
2025-07-29,19.84,19.94,19.7,19.86,19.4463,389016
2025-07-30,19.88,20.27,19.765,20.21,19.789,837066
2025-07-31,20.14,20.36,20.1,20.2,19.7792,1170548
2025-08-01,20,20.03,19.775,19.92,19.5051,817158
2025-08-04,19.85,20.07,19.77,20.02,19.603,445836
2025-08-05,20.29,20.47,20.24,20.36,19.9359,873894
2025-08-06,20.35,20.73,20.33,20.73,20.2982,1044192
2025-08-07,21,21.175,20.97,21.17,20.729,2556178
2025-08-08,21.12,21.77,21.08,21.77,21.3165,1442553
2025-08-11,21.7,21.91,21.395,21.7,21.248,2520496
2025-08-12,21.63,21.935,21.57,21.88,21.4242,1502619
2025-08-13,21.95,22.07,21.78,21.92,21.4634,667611
2025-08-14,22.06,22.23,21.84,21.87,21.4144,935843
2025-08-15,21.93,22.26,21.54,22.01,21.5515,641743
2025-08-18,21.87,22.27,21.87,22.2,21.7376,546451
2025-08-19,22.17,22.3,21.92,22.3,21.8355,689611
2025-08-20,22.42,22.82,22.33,22.82,22.3446,716163
2025-08-21,22.91,23.44,22.71,22.87,22.3936,1034823
2025-08-22,23.51,23.51,22.71,23.42,22.9322,1324689
2025-08-25,23.58,23.82,23.47,23.79,23.2944,1014275
2025-08-26,23.85,24.2,23.785,23.85,23.3532,2010084
2025-08-27,23.9,23.9,23.17,23.44,22.9517,1316746
2025-08-28,23.55,23.57,23.29,23.53,23.0399,962534
2025-08-29,23.45,23.66,23.225,23.43,22.9419,1298495
2025-09-01,23.52,23.79,22.9,23.31,22.8244,1709795
2025-09-02,23.31,23.48,22.87,22.96,22.4817,1011342
2025-09-03,22.93,23.19,22.57,22.66,22.188,1449199
2025-09-04,22.69,22.88,22.59,22.7,22.2271,1420982
2025-09-05,22.95,23.43,22.93,23.3,22.8146,1532067
2025-09-08,23.48,23.48,22.84,23,22.5209,855894
2025-09-09,22.95,23.16,22.76,23.02,22.5405,833929
2025-09-10,23.04,23.08,22.82,23.01,22.5307,756580
2025-09-11,22.92,23.37,22.77,23.18,22.6971,762913
2025-09-12,23.08,23.35,22.92,23.1,22.6188,704890
2025-09-15,22.89,23.28,22.665,23.22,22.7363,811240
2025-09-16,23.19,23.27,22.93,23.27,22.7853,591152
2025-09-17,23.16,23.22,22.85,22.87,22.3936,692677
2025-09-18,22.99,23.05,22.67,22.96,22.4817,1014769
2025-09-19,23.3,23.4,23.04,23.33,22.844,3332273
2025-09-22,23.27,23.35,22.88,22.88,22.4034,847134
2025-09-23,22.95,23.01,22.67,23,22.5209,850907
2025-09-24,22.87,23.01,22.59,22.76,22.2859,983379
2025-09-25,22.57,22.93,22.265,22.51,22.0411,972930
2025-09-26,22.36,22.78,22.26,22.49,22.0215,887489
2025-09-29,22.72,22.83,22.53,22.65,22.1782,712589
2025-09-30,22.62,22.94,22.435,22.75,22.2761,1010417
2025-10-01,22.62,22.88,22.435,22.56,22.0901,2254038
2025-10-02,22.61,23.15,22.55,23,22.5209,841029
2025-10-03,22.86,23.12,22.74,22.93,22.4524,583318
2025-10-06,23.07,23.27,22.92,23.03,22.5503,434031
2025-10-07,23.04,23.07,22.66,22.77,22.2957,448019
2025-10-08,22.72,22.72,22.27,22.43,21.9628,612272
2025-10-09,22.5,22.66,22.32,22.45,21.9824,1489877
2025-10-10,22.1,22.31,22.08,22.29,21.8257,866077
2025-10-13,21.9,22.34,21.55,22.15,21.6886,535462
2025-10-14,22.18,22.52,21.93,22.5,22.0313,841267
2025-10-15,22.68,22.835,22.38,22.5,22.0313,1731443
2025-10-16,22.76,22.91,22.475,22.58,22.1096,1089498
2025-10-17,22.26,22.805,22.21,22.58,22.1096,1852059
2025-10-20,22.72,22.96,22.4,22.94,22.4621,614921
2025-10-21,22.81,22.875,22.54,22.87,22.3936,870811
2025-10-22,22.8,22.95,22.58,22.91,22.4328,745451
2025-10-23,22.38,23.1,22.38,22.99,22.5111,1562204
2025-10-24,23.1,23.25,22.935,23.08,22.5992,866388
2025-10-27,23.23,23.29,22.99,23.19,22.7069,726275
2025-10-28,23.37,23.575,23.18,23.37,22.8832,693628
