Date,Open,High,Low,Close,Adjusted_close,Volume
2026-01-06,2.53,2.53,2.53,2.53,2.4825,5000
2026-01-07,2.53,2.53,2.53,2.53,2.4825,0
2026-01-08,2.53,2.53,2.53,2.53,2.4825,0
2026-01-09,2.53,2.53,2.53,2.53,2.4825,0
2026-01-12,2.53,2.53,2.53,2.53,2.4825,0
2026-01-13,2.53,2.53,2.53,2.53,2.4825,0
2026-01-14,2.53,2.53,2.53,2.53,2.4825,0
2026-01-15,2.53,2.53,2.53,2.53,2.4825,0
2026-01-16,2.53,2.53,2.53,2.53,2.4825,0
2026-01-19,2.53,2.53,2.53,2.53,2.4825,0
2026-01-20,2.53,2.53,2.53,2.53,2.4825,0
2026-01-21,2.53,2.53,2.53,2.53,2.4825,0
2026-01-22,2.53,2.53,2.53,2.53,2.4825,0
2026-01-23,2.53,2.53,2.53,2.53,2.4825,0
2026-01-27,2.53,2.53,2.53,2.53,2.4825,0
2026-01-28,2.53,2.53,2.53,2.53,2.4825,0
2026-01-29,2.53,2.53,2.53,2.53,2.4825,0
2026-01-30,2.53,2.53,2.53,2.53,2.4825,0
2026-02-02,2.53,2.53,2.53,2.53,2.4825,0
2026-02-03,2.53,2.53,2.53,2.53,2.4825,0
2026-02-04,2.53,2.53,2.53,2.53,2.4825,0
2026-02-05,2.53,2.53,2.53,2.53,2.4825,0
2026-02-06,2.53,2.53,2.53,2.53,2.4825,0
2026-02-09,2.53,2.53,2.53,2.53,2.4825,0
2026-02-10,2.53,2.53,2.53,2.53,2.4825,0
2026-02-11,2.53,2.53,2.53,2.53,2.4825,0
2026-02-12,2.53,2.53,2.53,2.53,2.4825,0
2026-02-13,2.53,2.53,2.53,2.53,2.4825,0
2026-02-16,2.53,2.53,2.53,2.53,2.4825,0
2026-02-17,2.53,2.53,2.53,2.53,2.4825,0
2026-02-18,2.53,2.53,2.53,2.53,2.4825,0
2026-02-19,2.53,2.53,2.53,2.53,2.4825,0
2026-02-20,2.53,2.53,2.53,2.53,2.4825,0
2026-02-23,2.53,2.53,2.53,2.53,2.4825,0
2026-02-24,2.53,2.53,2.53,2.53,2.4825,0
2026-02-25,2.53,2.53,2.53,2.53,2.4825,0
2026-02-26,2.53,2.53,2.53,2.53,2.4825,0
2026-02-27,2.53,2.53,2.53,2.53,2.4825,789
2026-03-02,2.53,2.53,2.53,2.53,2.4825,0
2026-03-03,2.53,2.53,2.53,2.53,2.4825,0
2026-03-04,2.5,2.5,2.5,2.5,2.4531,250
2026-03-05,2.5,2.5,2.5,2.5,2.4531,0
2026-03-06,2.5,2.5,2.5,2.5,2.4531,0
2026-03-09,2.5,2.5,2.5,2.5,2.4531,0
2026-03-10,2.5,2.5,2.5,2.5,2.5,0
2026-03-11,2.5,2.5,2.5,2.5,2.5,0
2026-03-12,2.5,2.5,2.5,2.5,2.5,0
2026-03-13,2.5,2.5,2.5,2.5,2.5,0
2026-03-16,2.5,2.5,2.5,2.5,2.5,0
2026-03-17,2.5,2.5,2.5,2.5,2.5,0
2026-03-18,2.5,2.5,2.5,2.5,2.5,0
2026-03-19,2.5,2.5,2.5,2.5,2.5,0
2026-03-20,2.5,2.5,2.5,2.5,2.5,0
2026-03-23,2.5,2.5,2.5,2.5,2.5,0
2026-03-24,2.5,2.5,2.5,2.5,2.5,0
2026-03-25,2.5,2.5,2.5,2.5,2.5,3656
2026-03-26,2.5,2.52,2.5,2.52,2.52,15308
2026-03-27,2.51,2.51,2.42,2.42,2.42,1775
2026-03-30,2.41,2.41,2.41,2.41,2.41,12
2026-03-31,2.41,2.41,2.41,2.41,2.41,0
2026-04-01,2.45,2.45,2.45,2.45,2.45,213
