Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.87,5.095,4.845,5.07,4.9416,3132891
2025-07-23,5.13,5.28,5.1,5.16,5.0293,3227214
2025-07-24,5.15,5.26,5.08,5.26,5.1268,1470096
2025-07-25,4.97,5.06,4.91,5,4.8734,2106581
2025-07-28,5,5.04,4.865,4.87,4.7466,1432441
2025-07-29,4.83,4.89,4.78,4.86,4.7369,1306321
2025-07-30,4.79,4.94,4.69,4.8,4.6784,2020750
2025-07-31,4.6,4.61,4.17,4.17,4.0644,3373575
2025-08-01,4.15,4.23,4.115,4.22,4.1131,2727652
2025-08-04,4.17,4.19,4.11,4.13,4.0254,1451681
2025-08-05,4.18,4.21,4.135,4.15,4.0449,1800868
2025-08-06,4.19,4.225,4.145,4.21,4.1034,2467134
2025-08-07,4.18,4.21,4.08,4.16,4.0546,1846054
2025-08-08,4.21,4.31,4.14,4.2,4.0936,3762236
2025-08-11,4.26,4.29,4.17,4.21,4.1034,1851013
2025-08-12,4.21,4.34,4.19,4.33,4.2203,2948429
2025-08-13,4.35,4.37,4.27,4.29,4.1813,1437935
2025-08-14,4.35,4.39,4.2,4.26,4.1521,1532369
2025-08-15,4.24,4.39,4.21,4.36,4.2496,1690093
2025-08-18,4.32,4.39,4.31,4.35,4.2398,1233593
2025-08-19,4.3,4.34,4.27,4.3,4.1911,946735
2025-08-20,4.32,4.32,4.24,4.26,4.1521,1179233
2025-08-21,4.24,4.29,4.23,4.28,4.1716,880871
2025-08-22,4.25,4.26,4.17,4.19,4.0839,2730802
2025-08-25,4.28,4.43,4.25,4.43,4.3178,2413492
2025-08-26,4.45,4.465,4.33,4.38,4.2691,2787347
2025-08-27,4.4,4.515,4.355,4.51,4.3958,1642299
2025-08-28,4.5,4.51,4.37,4.44,4.3275,1314908
2025-08-29,4.48,4.54,4.42,4.5,4.386,1399809
2025-09-01,4.51,4.55,4.44,4.51,4.3958,1496075
2025-09-02,4.49,4.5,4.43,4.44,4.3275,826909
2025-09-03,4.42,4.47,4.355,4.38,4.2691,1068676
2025-09-04,4.38,4.54,4.37,4.49,4.3763,1615725
2025-09-05,4.56,4.57,4.485,4.51,4.3958,673279
2025-09-08,4.5,4.535,4.45,4.5,4.386,1437042
2025-09-09,4.53,4.65,4.47,4.53,4.4153,1981104
2025-09-10,4.54,4.6,4.46,4.47,4.3568,1727442
2025-09-11,4.49,4.54,4.43,4.47,4.3568,1402637
2025-09-12,4.5,4.52,4.43,4.5,4.386,2458037
2025-09-15,4.48,4.57,4.48,4.57,4.4542,1917493
2025-09-16,4.65,4.79,4.65,4.66,4.542,4450387
2025-09-17,4.68,4.755,4.56,4.57,4.4542,2361961
2025-09-18,4.61,4.71,4.56,4.63,4.5127,1584126
2025-09-19,4.68,4.685,4.55,4.55,4.4347,3960367
2025-09-22,4.62,4.745,4.61,4.74,4.6199,1260593
2025-09-23,4.74,4.78,4.66,4.69,4.5712,665482
2025-09-24,4.62,4.65,4.56,4.59,4.4737,1264996
2025-09-25,4.65,4.78,4.625,4.74,4.6199,1996014
2025-09-26,4.67,4.765,4.63,4.73,4.6102,2344720
2025-09-29,4.72,4.78,4.615,4.64,4.5225,1138487
2025-09-30,4.62,4.7,4.6,4.67,4.5517,1429427
2025-10-01,4.65,4.765,4.63,4.7,4.581,1440259
2025-10-02,4.74,4.93,4.71,4.82,4.6979,2074156
2025-10-03,4.83,4.88,4.74,4.86,4.7369,1435385
2025-10-06,4.93,5,4.91,4.95,4.8246,1571970
2025-10-07,4.92,4.96,4.76,4.78,4.6589,1604911
2025-10-08,4.78,4.8,4.68,4.69,4.5712,927420
2025-10-09,4.91,4.92,4.77,4.84,4.7174,2621675
2025-10-10,4.84,4.855,4.76,4.8,4.6784,2878235
2025-10-13,4.63,4.88,4.63,4.82,4.6979,2296377
2025-10-14,4.91,4.915,4.78,4.83,4.7077,1840501
2025-10-15,4.83,4.9,4.805,4.89,4.7661,2249440
2025-10-16,4.87,4.88,4.73,4.87,4.7466,1467974
2025-10-17,4.76,4.78,4.645,4.76,4.6394,1327779
2025-10-20,4.72,4.75,4.64,4.7,4.581,924048
2025-10-21,4.75,4.87,4.735,4.85,4.7272,1090357
2025-10-22,4.76,4.85,4.76,4.81,4.6882,2222661
2025-10-23,4.88,4.95,4.84,4.95,4.8246,2492569
2025-10-24,4.94,4.96,4.82,4.94,4.8149,1395006
2025-10-27,4.93,4.95,4.85,4.9,4.7759,1356643
2025-10-28,4.87,4.91,4.815,4.82,4.6979,1257349
2025-10-29,4.89,4.965,4.85,4.95,4.8246,1277053
2025-10-30,4.87,5.53,4.87,5.44,5.3022,1903735
2025-10-31,5.42,5.605,5.31,5.54,5.3997,2150521
2025-11-03,5.6,5.7,5.53,5.7,5.5556,1903412
2025-11-04,5.66,5.69,5.465,5.53,5.3899,1466478
2025-11-05,5.44,5.51,5.35,5.5,5.3607,1394821
2025-11-06,5.52,5.55,5.36,5.55,5.4094,1273221
2025-11-07,5.56,5.56,5.38,5.42,5.2827,1056147
2025-11-10,5.375,5.49,5.34,5.4,5.2632,1144664
2025-11-11,5.35,5.38,5.245,5.31,5.2825,1110048
2025-11-12,5.45,5.47,5.3,5.32,5.2925,1009907
2025-11-13,5.34,5.48,5.33,5.48,5.4517,1454129
2025-11-14,5.31,5.32,5.18,5.26,5.2328,1316359
2025-11-17,5.2,5.33,5.14,5.33,5.3024,1091013
2025-11-18,5.29,5.34,5.03,5.06,5.0338,1173687
2025-11-19,5.06,5.21,5.06,5.18,5.1532,1002559
2025-11-20,5.23,5.46,5.17,5.44,5.4119,1425049
2025-11-21,5.34,5.37,5.17,5.18,5.1532,2738366
2025-11-24,5.24,5.355,5.24,5.3,5.2726,1562401
2025-11-25,5.46,5.54,5.4,5.52,5.4915,1151366
2025-11-26,5.54,5.7,5.52,5.67,5.6407,1203177
2025-11-27,5.73,5.755,5.615,5.66,5.6307,1142623
2025-11-28,5.69,5.88,5.65,5.8,5.77,1596229
2025-12-01,5.78,5.87,5.745,5.82,5.7899,1291227
2025-12-02,5.76,5.88,5.72,5.82,5.7899,1642479
2025-12-03,5.77,5.865,5.73,5.85,5.8198,1194622
2025-12-04,6.04,6.14,5.95,5.95,5.9192,2535515
2025-12-05,6.04,6.04,5.905,6.03,5.9988,1125242
2025-12-08,5.99,6.08,5.93,6.03,5.9988,1120655
2025-12-09,5.93,6.04,5.8,6.02,5.9889,1517406
2025-12-10,5.97,6.05,5.91,6.02,5.9889,1092183
2025-12-11,6.02,6.16,5.97,6.09,6.0585,1297443
2025-12-12,6.18,6.24,6.12,6.24,6.2077,945083
2025-12-15,6.12,6.24,6.03,6.09,6.0585,1016725
2025-12-16,6.09,6.12,5.89,5.95,5.9192,1167522
2025-12-17,5.93,6.04,5.89,6.03,5.9988,956918
2025-12-18,5.94,6.06,5.92,6.01,5.9789,1406248
2025-12-19,5.97,6.03,5.865,5.88,5.8496,2814332
2025-12-22,5.83,6.13,5.75,6.12,6.0884,1157156
2025-12-23,6.13,6.19,6.04,6.08,6.0486,1036948
2025-12-24,6.07,6.18,6.065,6.13,6.0983,583492
2025-12-29,6.13,6.16,6.03,6.05,6.0187,511864
2025-12-30,6.11,6.16,6.02,6.12,6.0884,1446400
2025-12-31,6.09,6.17,6.06,6.07,6.0386,644099
2026-01-02,6.06,6.2,6.06,6.13,6.0983,779348
2026-01-05,6.21,6.43,6.18,6.42,6.3868,1791639
2026-01-06,6.42,6.58,6.38,6.53,6.4962,1583616
2026-01-07,6.64,6.65,6.535,6.6,6.5659,1538705
2026-01-08,6.55,6.63,6.47,6.51,6.4763,957971
2026-01-09,6.48,6.6,6.43,6.47,6.4366,1221916
2026-01-12,6.42,6.44,6.3,6.36,6.3271,1190621
2026-01-13,6.34,6.5,6.32,6.41,6.3769,1091984
2026-01-14,6.48,6.53,6.39,6.5,6.4664,1283652
2026-01-15,6.42,6.56,6.32,6.53,6.4962,2709981
2026-01-16,6.56,6.685,6.47,6.62,6.5858,1681018
2026-01-19,6.62,6.62,6.27,6.43,6.3968,1021008
2026-01-20,6.37,6.445,6.27,6.34,6.3072,1697641
2026-01-21,6.32,6.435,6.29,6.43,6.3968,723150
2026-01-22,6.45,6.6,6.305,6.34,6.3072,1118731
2026-01-23,6.34,6.405,6.13,6.19,6.158,1844907
2026-01-27,6.31,6.39,6.26,6.3,6.2674,2170509
2026-01-28,6.38,6.43,6.27,6.34,6.3072,1585713
2026-01-29,6.2,6.34,5.85,6.07,6.0386,3201186
2026-01-30,6.17,6.17,5.725,5.88,5.8496,3900400
2026-02-02,5.67,5.81,5.63,5.79,5.7601,1399972
2026-02-03,5.86,5.86,5.72,5.73,5.7004,1290946
2026-02-04,5.72,5.79,5.67,5.75,5.7203,1278935
2026-02-05,5.71,5.77,5.48,5.56,5.5313,1829365
2026-02-06,5.37,5.49,5.29,5.31,5.2825,2635853
2026-02-09,5.39,5.55,5.31,5.55,5.5213,3517145
2026-02-10,5.68,5.72,5.53,5.66,5.6307,1709135
2026-02-11,5.67,5.82,5.67,5.81,5.78,827157
2026-02-12,5.72,5.75,5.61,5.63,5.6009,2676387
2026-02-13,5.44,5.45,5.13,5.17,5.1433,2325897
2026-02-16,5.25,5.33,5.05,5.13,5.1035,2220007
2026-02-17,5.08,5.12,5,5.02,4.994,1551019
2026-02-18,5.1,5.21,5.085,5.17,5.1433,1860117
2026-02-19,5.18,5.19,5.09,5.15,5.1234,1405328
2026-02-20,5.15,5.16,5.05,5.07,5.0438,1436840
2026-02-23,5.15,5.33,5.11,5.24,5.2129,2092371
2026-02-24,5.16,5.3,5.16,5.28,5.2527,841148
2026-02-25,5.35,5.36,5.265,5.34,5.3124,570976
2026-02-26,5.49,5.49,5.32,5.34,5.3124,932006
2026-02-27,5.42,5.42,5.315,5.37,5.3422,1094744
2026-03-02,5.27,5.48,5.27,5.44,5.4119,1159288
2026-03-03,5.35,5.45,5.25,5.28,5.2527,656703
2026-03-04,5.04,5.115,4.92,4.95,4.9244,1279564
2026-03-05,5.03,5.06,4.94,4.97,4.9443,1627099
2026-03-06,4.88,4.89,4.7,4.79,4.7652,4097586
2026-03-09,4.65,4.65,4.43,4.53,4.5066,5935805
2026-03-10,4.66,4.7,4.52,4.62,4.5961,2619164
2026-03-11,4.72,5.04,4.66,4.94,4.9145,3022176
2026-03-12,4.92,4.99,4.78,4.82,4.7951,1099803
2026-03-13,4.76,4.98,4.76,4.93,4.9045,1132073
2026-03-16,4.78,4.81,4.63,4.72,4.6956,2133185
2026-03-17,4.76,4.76,4.63,4.71,4.6857,1522619
2026-03-18,4.68,4.84,4.68,4.84,4.815,1606644
2026-03-19,4.7,4.78,4.61,4.75,4.7254,1852430
2026-03-20,4.7,4.765,4.53,4.73,4.7055,5647056
2026-03-23,4.62,4.925,4.58,4.9,4.8747,2409052
2026-03-24,5.06,5.14,4.99,5.07,5.0438,1795392
2026-03-25,5.22,5.29,5.13,5.27,5.2428,1186805
2026-03-26,5.27,5.27,5.11,5.2,5.1731,1612010
2026-03-27,5.09,5.39,5.08,5.37,5.3422,1694872
2026-03-30,5.24,5.495,5.24,5.39,5.3621,2340869
2026-03-31,5.39,5.395,5.24,5.28,5.2527,2304731
2026-04-01,5.37,5.46,5.33,5.45,5.4218,1288935
2026-04-02,5.5,5.53,5.29,5.32,5.2925,1069156
2026-04-07,5.51,5.57,5.43,5.5,5.4716,883296
2026-04-08,5.53,5.62,5.44,5.55,5.5213,1460008
2026-04-09,5.49,5.52,5.38,5.44,5.4119,1384778
2026-04-10,5.33,5.39,5.06,5.23,5.203,1923477
2026-04-13,5.2,5.22,5.08,5.11,5.0836,1491248
2026-04-14,5.27,5.275,5.12,5.15,5.1234,1210023
2026-04-15,5.21,5.22,5.1,5.12,5.0935,1104425
2026-04-16,5.1,5.16,5.02,5.07,5.0438,1662287
2026-04-17,5.03,5.1,4.91,4.94,4.9145,2705641
2026-04-20,4.94,4.98,4.83,4.9,4.8747,1743247
2026-04-21,4.99,5.04,4.93,5.04,5.0139,997246
2026-04-22,5.03,5.13,4.995,5.13,5.1035,868393
2026-04-23,5.09,5.14,5.01,5.06,5.0338,979382
2026-04-24,5.06,5.06,4.91,4.95,4.9244,1415437
2026-04-27,4.92,5.03,4.9,4.97,4.9443,1206572
2026-04-28,4.91,4.98,4.9,4.97,4.9443,740768
2026-04-29,4.89,4.97,4.89,4.95,4.9244,757877
