Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.13,3.145,3.12,3.14,2.9795,485002
2025-07-23,3.14,3.145,3.11,3.14,2.9795,1613699
2025-07-24,3.13,3.13,3.08,3.08,2.9226,1452049
2025-07-25,3.09,3.11,3.06,3.1,2.9415,1187169
2025-07-28,3.09,3.11,3.08,3.09,2.932,1262496
2025-07-29,3.09,3.115,3.07,3.1,2.9415,695619
2025-07-30,3.1,3.17,3.1,3.16,2.9985,1597383
2025-07-31,3.15,3.18,3.15,3.18,3.0174,1187722
2025-08-01,3.16,3.18,3.14,3.17,3.008,1782646
2025-08-04,3.17,3.18,3.15,3.18,3.0174,1001119
2025-08-05,3.2,3.23,3.18,3.2,3.0364,1161171
2025-08-06,3.26,3.36,3.24,3.31,3.1408,3524830
2025-08-07,3.34,3.34,3.29,3.33,3.1598,1689625
2025-08-08,3.32,3.34,3.3,3.3,3.1313,751400
2025-08-11,3.31,3.33,3.295,3.33,3.1598,1492684
2025-08-12,3.31,3.35,3.31,3.32,3.1503,741345
2025-08-13,3.33,3.35,3.31,3.32,3.1503,1138957
2025-08-14,3.33,3.37,3.325,3.33,3.1598,1235591
2025-08-15,3.35,3.36,3.33,3.34,3.1693,1391112
2025-08-18,3.34,3.35,3.32,3.35,3.1788,843731
2025-08-19,3.36,3.36,3.32,3.35,3.1788,767854
2025-08-20,3.38,3.4,3.36,3.39,3.2167,2047692
2025-08-21,3.4,3.4,3.37,3.39,3.2167,1198559
2025-08-22,3.4,3.43,3.375,3.42,3.2452,1944751
2025-08-25,3.43,3.45,3.43,3.43,3.2547,1432148
2025-08-26,3.43,3.44,3.41,3.42,3.2452,1770048
2025-08-27,3.43,3.43,3.4,3.41,3.2357,982328
2025-08-28,3.39,3.43,3.31,3.36,3.1882,14048698
2025-08-29,3.36,3.37,3.32,3.36,3.1882,5833222
2025-09-01,3.38,3.38,3.345,3.36,3.1882,2002506
2025-09-02,3.37,3.37,3.335,3.34,3.1693,1740180
2025-09-03,3.33,3.34,3.26,3.28,3.1123,2770269
2025-09-04,3.26,3.33,3.26,3.32,3.1503,1236896
2025-09-05,3.32,3.37,3.32,3.34,3.1693,1400709
2025-09-08,3.35,3.37,3.33,3.33,3.1598,829693
2025-09-09,3.34,3.35,3.32,3.35,3.1788,1253567
2025-09-10,3.35,3.38,3.33,3.37,3.1977,1039726
2025-09-11,3.38,3.44,3.38,3.42,3.2452,2071078
2025-09-12,3.44,3.485,3.43,3.45,3.2736,1895955
2025-09-15,3.44,3.5,3.43,3.5,3.3211,1477777
2025-09-16,3.5,3.52,3.47,3.51,3.3306,2150790
2025-09-17,3.5,3.52,3.475,3.49,3.3116,2334840
2025-09-18,3.49,3.51,3.48,3.5,3.3211,1570305
2025-09-19,3.53,3.55,3.515,3.53,3.3496,5148010
2025-09-22,3.53,3.54,3.505,3.51,3.3306,2048834
2025-09-23,3.51,3.52,3.48,3.51,3.3306,1907391
2025-09-24,3.49,3.55,3.49,3.53,3.3496,1293611
2025-09-25,3.53,3.59,3.52,3.54,3.359,4340215
2025-09-26,3.55,3.56,3.51,3.56,3.378,2386404
2025-09-29,3.52,3.54,3.46,3.48,3.3415,1702803
2025-09-30,3.47,3.51,3.47,3.49,3.3511,1487471
2025-10-01,3.49,3.52,3.46,3.47,3.3319,1675235
2025-10-02,3.49,3.51,3.465,3.49,3.3511,2453628
2025-10-03,3.49,3.51,3.46,3.48,3.3415,2040062
2025-10-06,3.47,3.47,3.445,3.47,3.3319,951191
2025-10-07,3.47,3.47,3.42,3.43,3.2935,1326936
2025-10-08,3.45,3.45,3.42,3.43,3.2935,836788
2025-10-09,3.44,3.45,3.42,3.44,3.3031,1254263
2025-10-10,3.43,3.45,3.42,3.43,3.2935,1489464
2025-10-13,3.42,3.46,3.4,3.42,3.2839,2008103
2025-10-14,3.42,3.44,3.395,3.41,3.2743,2260992
2025-10-15,3.45,3.45,3.415,3.44,3.3031,1251719
2025-10-16,3.47,3.47,3.4,3.43,3.2935,1582255
2025-10-17,3.44,3.48,3.43,3.45,3.3127,1655782
2025-10-20,3.47,3.52,3.465,3.5,3.3607,819900
2025-10-21,3.51,3.53,3.48,3.49,3.3511,960333
2025-10-22,3.5,3.5,3.465,3.49,3.3511,736563
2025-10-23,3.49,3.56,3.49,3.55,3.4087,1445367
2025-10-24,3.55,3.57,3.54,3.55,3.4087,1037943
2025-10-27,3.57,3.57,3.53,3.54,3.3991,917021
2025-10-28,3.54,3.55,3.51,3.53,3.3895,698941
2025-10-29,3.54,3.59,3.53,3.57,3.428,1811703
2025-10-30,3.54,3.55,3.455,3.49,3.3511,2347760
2025-10-31,3.5,3.545,3.49,3.54,3.3991,1490165
2025-11-03,3.5,3.52,3.46,3.51,3.3703,1656053
2025-11-04,3.51,3.54,3.49,3.51,3.3703,1194150
2025-11-05,3.5,3.53,3.49,3.52,3.3799,1993885
2025-11-06,3.57,3.57,3.535,3.55,3.4087,1374805
2025-11-07,3.53,3.555,3.53,3.53,3.3895,1328311
2025-11-10,3.535,3.54,3.52,3.52,3.3799,961552
2025-11-11,3.54,3.57,3.5,3.57,3.428,703482
2025-11-12,3.57,3.57,3.545,3.56,3.4184,753472
2025-11-13,3.56,3.56,3.455,3.48,3.3415,1242711
2025-11-14,3.5,3.5,3.45,3.47,3.3319,886745
2025-11-17,3.48,3.48,3.44,3.45,3.3127,1534586
