Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.86,9.02,8.86,8.96,8.6836,179649
2025-07-23,9,9.19,8.99,9.17,8.8871,367219
2025-07-24,9.16,9.16,8.93,9.12,8.8386,330315
2025-07-25,9.11,9.19,9.045,9.1,8.8192,310461
2025-07-28,9.11,9.19,9.07,9.15,8.8677,201334
2025-07-29,9.19,9.33,9.07,9.33,9.0421,365384
2025-07-30,9.29,9.38,9.265,9.32,9.0325,363121
2025-07-31,9.2,9.35,9.04,9.28,8.9937,214140
2025-08-01,9.27,9.33,9.17,9.29,9.0034,208461
2025-08-04,9.25,9.37,9.21,9.22,8.9355,176151
2025-08-05,9.35,9.39,9.17,9.18,8.8968,198451
2025-08-06,9.2,9.23,8.915,9.04,8.7611,550181
2025-08-07,9.07,9.12,9.02,9.12,8.8386,426956
2025-08-08,9.2,9.34,9,9.34,9.0518,249332
2025-08-11,9.3,9.38,9.19,9.35,9.0615,273343
2025-08-12,9.34,9.585,9.33,9.49,9.1972,278332
2025-08-13,9.5,9.63,9.5,9.62,9.3232,224089
2025-08-14,9.65,9.73,9.58,9.58,9.2844,226624
2025-08-15,9.55,9.59,9.475,9.54,9.2457,170075
2025-08-18,9.59,9.59,9.23,9.32,9.0325,359169
2025-08-19,9.26,9.29,9.19,9.19,8.9065,231697
2025-08-20,9.18,9.33,9.18,9.26,8.9743,121218
2025-08-21,9.31,9.445,9.26,9.42,9.1294,110861
2025-08-22,9.4,9.425,9.3,9.38,9.0906,227598
2025-08-25,9.47,9.58,9.38,9.54,9.2457,273605
2025-08-26,9.59,9.88,9.52,9.76,9.4589,522797
2025-08-27,9.77,9.84,9.44,9.66,9.362,215067
2025-08-28,9.7,9.75,9.625,9.69,9.391,146789
2025-08-29,9.73,9.78,9.68,9.72,9.4201,162565
2025-09-01,9.61,9.73,9.565,9.59,9.2941,112715
2025-09-02,10.54,10.79,9.8,10.26,9.9434,1162658
2025-09-03,10.6,10.7,10.38,10.54,10.2148,1610798
2025-09-04,10.55,10.59,10.43,10.46,10.1373,330036
2025-09-05,10.59,10.59,10.38,10.38,10.0597,356512
2025-09-08,10.45,10.64,10.28,10.57,10.2439,304810
2025-09-09,10.6,10.69,10.36,10.43,10.1082,520500
2025-09-10,10.29,10.52,10.28,10.52,10.1954,342176
2025-09-11,10.42,10.56,10.34,10.39,10.0694,165478
2025-09-12,10.37,10.48,10.35,10.38,10.0597,116539
2025-09-15,10.39,10.45,10.29,10.41,10.0888,244791
2025-09-16,10.41,10.54,10.38,10.54,10.2148,327408
2025-09-17,10.5,10.59,10.46,10.57,10.2439,266213
2025-09-18,10.58,10.69,10.505,10.59,10.2633,417541
2025-09-19,10.63,10.74,10.59,10.66,10.3311,553522
2025-09-22,10.53,10.66,10.5,10.61,10.2827,237469
2025-09-23,10.7,10.73,10.45,10.53,10.2051,249994
2025-09-24,10.54,10.54,10.375,10.48,10.1567,246925
2025-09-25,10.5,10.845,10.45,10.65,10.3214,331120
2025-09-26,10.63,10.635,10.45,10.54,10.2148,292192
2025-09-29,10.65,10.8,10.61,10.61,10.2827,216722
2025-09-30,10.6,10.86,10.59,10.82,10.4862,329060
2025-10-01,10.85,10.9,10.715,10.77,10.4377,253887
2025-10-02,10.79,10.84,10.69,10.81,10.4765,138482
2025-10-03,10.81,11,10.76,10.84,10.5056,937757
2025-10-06,10.9,10.9,10.64,10.69,10.3602,88566
2025-10-07,10.69,10.78,10.67,10.72,10.3893,565606
