Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.1,4.11,4.08,4.09,3.8315,662272
2025-07-23,4.1,4.13,4.085,4.11,3.8503,802771
2025-07-24,4.12,4.13,4.07,4.07,3.8128,628443
2025-07-25,4.07,4.08,4.04,4.05,3.7941,759522
2025-07-28,4.08,4.09,4.05,4.06,3.8034,1128495
2025-07-29,4.06,4.07,4.04,4.05,3.7941,745960
2025-07-30,4.06,4.15,4.045,4.13,3.869,1844200
2025-07-31,4.1,4.17,4.09,4.15,3.8877,1894863
2025-08-01,4.13,4.15,4.1,4.12,3.8596,982598
2025-08-04,4.11,4.13,4.09,4.12,3.8596,797240
2025-08-05,4.16,4.19,4.14,4.18,3.9158,921035
2025-08-06,4.26,4.29,4.21,4.27,4.0002,1685206
2025-08-07,4.36,4.41,4.35,4.37,4.0938,2663225
2025-08-08,4.38,4.405,4.36,4.4,4.1219,1158759
2025-08-11,4.37,4.44,4.36,4.43,4.15,1118069
2025-08-12,4.41,4.45,4.4,4.44,4.1594,1024787
2025-08-13,4.45,4.45,4.4,4.45,4.1688,1618207
2025-08-14,4.46,4.5,4.44,4.48,4.1969,1639713
2025-08-15,4.46,4.5,4.46,4.47,4.1875,984314
2025-08-18,4.47,4.5,4.46,4.49,4.2063,1454460
2025-08-19,4.5,4.51,4.46,4.51,4.225,1030984
2025-08-20,4.52,4.58,4.52,4.57,4.2812,1604289
2025-08-21,4.58,4.61,4.55,4.57,4.2812,2398594
2025-08-22,4.55,4.59,4.55,4.57,4.2812,2042794
2025-08-25,4.59,4.6,4.57,4.6,4.3093,882938
2025-08-26,4.6,4.62,4.54,4.56,4.2718,1544849
2025-08-27,4.57,4.59,4.545,4.57,4.2812,1438922
2025-08-28,4.58,4.59,4.565,4.58,4.2906,1099862
2025-08-29,4.56,4.59,4.535,4.57,4.2812,1196401
2025-09-01,4.57,4.605,4.56,4.6,4.3093,1091770
2025-09-02,4.6,4.6,4.53,4.55,4.2625,880792
2025-09-03,4.52,4.56,4.46,4.46,4.1781,1032350
2025-09-04,4.5,4.52,4.48,4.51,4.225,938533
2025-09-05,4.54,4.57,4.53,4.54,4.2531,820984
2025-09-08,4.5,4.53,4.49,4.51,4.225,853311
2025-09-09,4.51,4.51,4.46,4.5,4.2156,809027
2025-09-10,4.48,4.52,4.45,4.5,4.2156,1128708
2025-09-11,4.5,4.56,4.5,4.56,4.2718,884318
2025-09-12,4.57,4.6,4.56,4.59,4.2999,1373353
2025-09-15,4.58,4.65,4.57,4.65,4.3561,1518765
2025-09-16,4.63,4.66,4.58,4.6,4.3093,1502828
2025-09-17,4.58,4.6,4.55,4.55,4.2625,1431066
2025-09-18,4.54,4.58,4.51,4.56,4.2718,1102903
2025-09-19,4.57,4.6,4.555,4.59,4.2999,4471495
2025-09-22,4.58,4.61,4.55,4.59,4.2999,999903
2025-09-23,4.53,4.6,4.5,4.59,4.2999,972295
2025-09-24,4.54,4.56,4.51,4.55,4.2625,1555790
2025-09-25,4.49,4.535,4.48,4.5,4.2156,1244451
2025-09-26,4.48,4.51,4.48,4.51,4.225,913885
2025-09-29,4.45,4.47,4.37,4.43,4.2095,945990
2025-09-30,4.4,4.46,4.4,4.4,4.181,1523343
2025-10-01,4.42,4.43,4.35,4.4,4.181,1811661
2025-10-02,4.39,4.43,4.37,4.4,4.181,1234499
2025-10-03,4.39,4.405,4.32,4.33,4.1145,1807510
2025-10-06,4.33,4.35,4.3,4.33,4.1145,1325084
2025-10-07,4.3,4.33,4.26,4.28,4.067,864976
2025-10-08,4.28,4.285,4.24,4.27,4.0575,923802
2025-10-09,4.3,4.3,4.25,4.28,4.067,823534
2025-10-10,4.25,4.3,4.24,4.27,4.0575,638034
2025-10-13,4.26,4.3,4.22,4.28,4.067,654968
2025-10-14,4.21,4.285,4.21,4.28,4.067,816389
2025-10-15,4.29,4.32,4.26,4.29,4.0765,1063317
2025-10-16,4.31,4.31,4.255,4.3,4.086,1298029
2025-10-17,4.3,4.36,4.295,4.33,4.1145,1228340
2025-10-20,4.35,4.395,4.33,4.38,4.162,723777
2025-10-21,4.4,4.4,4.36,4.38,4.162,720879
2025-10-22,4.38,4.39,4.35,4.37,4.1525,457863
2025-10-23,4.37,4.41,4.355,4.4,4.181,1084692
2025-10-24,4.44,4.44,4.4,4.42,4.2,870812
2025-10-27,4.45,4.46,4.37,4.39,4.1715,616688
2025-10-28,4.42,4.42,4.37,4.39,4.1715,593316
2025-10-29,4.4,4.41,4.33,4.34,4.124,890181
2025-10-30,4.3,4.33,4.185,4.22,4.01,1377202
2025-10-31,4.23,4.29,4.21,4.25,4.0385,1127446
2025-11-03,4.25,4.27,4.18,4.22,4.01,780893
2025-11-04,4.23,4.25,4.19,4.21,4.0005,942069
2025-11-05,4.22,4.23,4.17,4.22,4.01,706467
2025-11-06,4.23,4.28,4.22,4.26,4.048,990947
2025-11-07,4.25,4.3,4.22,4.27,4.0575,630374
2025-11-10,4.27,4.28,4.25,4.27,4.0575,658313
2025-11-11,4.29,4.31,4.25,4.31,4.0955,678438
2025-11-12,4.31,4.34,4.29,4.33,4.1145,824087
2025-11-13,4.33,4.33,4.16,4.16,3.953,1183326
2025-11-14,4.12,4.165,4.09,4.14,3.934,971555
2025-11-17,4.14,4.16,4.12,4.16,3.953,649305
2025-11-18,4.16,4.165,4.12,4.14,3.934,893705
2025-11-19,4.16,4.17,4.11,4.13,3.9245,809826
2025-11-20,4.11,4.2,4.11,4.17,3.9625,806349
2025-11-21,4.15,4.15,4.11,4.12,3.915,616264
2025-11-24,4.19,4.21,4.14,4.19,3.9815,1331199
2025-11-25,4.19,4.245,4.16,4.17,3.9625,872546
2025-11-26,4.21,4.245,4.15,4.15,3.9435,967663
2025-11-27,4.18,4.18,4.13,4.14,3.934,732982
