Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,9.46,9.75,9.46,9.61,9.5696,812002
2025-07-23,9.65,9.75,9.58,9.6,9.5597,1312054
2025-07-24,9.35,9.62,9.06,9.27,9.2311,2455918
2025-07-25,9.28,9.28,8.895,8.98,8.9423,1152045
2025-07-28,9.04,9.21,8.88,9.06,9.0219,1202621
2025-07-29,9.05,9.2,8.93,9.1,9.0618,1406742
2025-07-30,9.15,9.33,9.01,9.13,9.0916,1653474
2025-07-31,9.04,9.04,8.83,8.97,8.9323,1455019
2025-08-01,8.94,8.94,8.78,8.82,8.7829,1098538
2025-08-04,8.98,9.065,8.76,9.05,9.012,1679373
2025-08-05,9.24,9.29,8.97,9.28,9.241,1951545
2025-08-06,9.48,9.84,9.35,9.77,9.7289,2423048
2025-08-07,9.84,9.96,9.77,9.79,9.7489,1349017
2025-08-08,9.87,9.95,9.76,9.92,9.8783,926874
2025-08-11,9.92,10.03,9.8,9.83,9.7887,1277861
2025-08-12,9.77,9.88,9.67,9.79,9.7489,752502
2025-08-13,9.51,9.63,9.365,9.63,9.5895,1533312
2025-08-14,9.61,9.9,9.59,9.7,9.6592,1377986
2025-08-15,9.68,9.89,9.67,9.88,9.8385,981237
2025-08-18,9.88,9.94,9.58,9.72,9.6792,720963
2025-08-19,9.72,9.72,9.59,9.68,9.6393,599785
2025-08-20,9.52,9.69,9.36,9.69,9.6493,1068297
2025-08-21,9.81,9.86,9.63,9.8,9.7588,1204888
2025-08-22,9.91,9.99,9.68,9.69,9.6493,1075469
2025-08-25,9.97,10.1,9.825,10.06,10.0177,1354157
2025-08-26,9.98,10.19,9.95,10.18,10.1372,1508955
2025-08-27,10.38,10.56,10.38,10.56,10.5156,1741555
2025-08-28,10.56,10.62,10.44,10.49,10.4459,1659784
2025-08-29,10.45,10.49,9.97,10.23,10.187,2603587
2025-09-01,10.58,11.43,10.38,11.43,11.382,2499760
2025-09-02,11.4,11.58,11.195,11.4,11.3521,2303837
2025-09-03,11.67,11.71,11.29,11.29,11.2426,2350202
2025-09-04,11.35,11.46,11.04,11.1,11.0534,2393529
2025-09-05,11.04,11.25,11.01,11.25,11.2027,1446792
2025-09-08,11.55,11.555,11.26,11.36,11.3123,1756906
2025-09-09,11.46,11.54,11.26,11.32,11.2724,1186458
2025-09-10,11.2,11.395,11.14,11.34,11.2924,1202129
2025-09-11,11.5,11.91,11.41,11.86,11.8102,1768624
2025-09-12,12.04,12.32,12.02,12.32,12.2682,2149281
2025-09-15,12.2,12.2,11.58,11.79,11.7405,1883808
2025-09-16,12.1,12.3,11.82,11.98,11.9297,1426901
2025-09-17,11.78,11.865,11.46,11.7,11.6508,1605654
2025-09-18,11.73,11.98,11.64,11.81,11.7604,2512979
2025-09-19,11.79,11.92,11.52,11.55,11.5015,9777695
2025-09-22,12.13,12.35,11.95,12.31,12.2583,1820365
2025-09-23,12.4,12.705,12.33,12.45,12.3977,2700994
2025-09-24,12.11,12.4,12.11,12.34,12.2882,1920628
2025-09-25,12.08,12.5,12.08,12.3,12.2483,1638545
2025-09-26,12.32,12.51,12.21,12.51,12.4574,1552413
2025-09-29,12.74,12.86,12.55,12.86,12.806,1482261
2025-09-30,13.27,13.47,13.14,13.23,13.1744,3781949
2025-10-01,12.91,13.395,12.86,13.36,13.3039,2634311
2025-10-02,13.34,13.745,13.33,13.54,13.4831,2318198
2025-10-03,13.3,13.71,13.3,13.48,13.4234,2918706
2025-10-06,13.6,13.825,13.5,13.7,13.6424,1751430
2025-10-07,13.6,13.6,12.98,13.6,13.5429,2686966
2025-10-08,13.5,13.87,13.38,13.78,13.7221,3239411
2025-10-09,13.84,14.04,13.7,13.9,13.8416,1978527
2025-10-10,13.01,13.49,12.99,13.19,13.1346,2456345
2025-10-13,13.66,13.75,13.36,13.56,13.503,1380139
2025-10-14,13.72,14.24,13.67,14.11,14.0507,2058708
2025-10-15,14.05,14.27,13.92,14.1,14.0408,1855794
2025-10-16,14.31,14.46,14.15,14.24,14.1802,1519551
2025-10-17,14.69,14.77,14.28,14.57,14.5088,2364479
2025-10-20,14,14.16,13.72,14.08,14.0208,1906978
2025-10-21,14.51,14.64,14.17,14.36,14.2997,2695320
2025-10-22,13.3,13.37,12.48,12.95,12.8956,2149929
2025-10-23,12.9,13.1,12.8,13.01,12.9553,3164795
2025-10-24,12.89,13.01,12.82,12.85,12.796,1292653
2025-10-27,12.96,13.01,12.73,12.94,12.8856,1444186
2025-10-28,12.36,12.4,11.935,12.1,12.0492,3026039
2025-10-29,12.13,12.43,11.9,12.32,12.2682,2602866
2025-10-30,12.56,12.62,12.27,12.42,12.3678,1319156
2025-10-31,12.82,13.03,12.74,12.85,12.796,1849206
2025-11-03,12.79,13.01,12.775,12.93,12.8757,1253904
2025-11-04,12.87,13.39,12.815,13,12.9454,1722569
2025-11-05,12.66,12.85,12.47,12.82,12.7661,1915473
2025-11-06,13.08,13.24,12.92,13.24,13.1844,1126059
2025-11-07,12.96,13.34,12.8,13.11,13.0549,1644027
2025-11-10,13.475,13.81,13.4,13.69,13.6325,1336076
2025-11-11,14.11,14.415,14.09,14.24,14.1802,1380904
2025-11-12,14.06,14.3,14.015,14.2,14.1403,1589998
