Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.395,0.405,0.385,0.395,0.3691,10295517
2025-07-23,0.4,0.405,0.395,0.405,0.3784,6505235
2025-07-24,0.4,0.405,0.395,0.405,0.3784,3017717
2025-07-25,0.4,0.405,0.395,0.4,0.3737,7571762
2025-07-28,0.4,0.41,0.395,0.41,0.3831,4683158
2025-07-29,0.41,0.415,0.4,0.4,0.3737,2712091
2025-07-30,0.4,0.415,0.4,0.41,0.3831,3609380
2025-07-31,0.41,0.4175,0.405,0.415,0.3878,1694677
2025-08-01,0.415,0.4175,0.405,0.415,0.3878,1983623
2025-08-04,0.415,0.42,0.41,0.42,0.3924,1782065
2025-08-05,0.425,0.43,0.4175,0.43,0.4018,3493437
2025-08-06,0.43,0.435,0.42,0.425,0.3971,3243013
2025-08-07,0.43,0.445,0.43,0.445,0.4158,2894683
2025-08-08,0.44,0.445,0.4325,0.44,0.4111,3892517
2025-08-11,0.44,0.46,0.435,0.45,0.4205,5084511
2025-08-12,0.445,0.45,0.43,0.44,0.4111,1937129
2025-08-13,0.445,0.445,0.43,0.43,0.4018,2984943
2025-08-14,0.435,0.44,0.43,0.43,0.4018,1503594
2025-08-15,0.43,0.445,0.4275,0.445,0.4158,2909809
2025-08-18,0.44,0.445,0.4275,0.44,0.4111,3307720
2025-08-19,0.435,0.445,0.435,0.44,0.4111,2103286
2025-08-20,0.44,0.45,0.42,0.43,0.4018,4634221
2025-08-21,0.425,0.435,0.425,0.43,0.4018,1768706
2025-08-22,0.43,0.43,0.42,0.43,0.4018,2109600
2025-08-25,0.44,0.4425,0.43,0.44,0.4111,2575899
2025-08-26,0.435,0.44,0.43,0.435,0.4064,4297059
2025-08-27,0.435,0.435,0.425,0.43,0.4018,1261141
2025-08-28,0.44,0.45,0.435,0.445,0.4158,2925618
2025-08-29,0.45,0.45,0.44,0.445,0.4158,911530
2025-09-01,0.44,0.465,0.44,0.46,0.4298,3850162
2025-09-02,0.46,0.46,0.445,0.45,0.4205,2263794
2025-09-03,0.45,0.455,0.445,0.45,0.4205,1970655
2025-09-04,0.45,0.455,0.4475,0.455,0.4251,1265559
2025-09-05,0.455,0.46,0.45,0.45,0.4205,2090335
2025-09-08,0.455,0.47,0.455,0.47,0.4391,2952687
2025-09-09,0.465,0.475,0.46,0.475,0.4438,2502280
2025-09-10,0.475,0.485,0.47,0.485,0.4532,5155948
2025-09-11,0.485,0.49,0.4775,0.49,0.4578,5177388
2025-09-12,0.49,0.5,0.48,0.48,0.4485,3916529
2025-09-15,0.48,0.4875,0.475,0.485,0.4532,2763637
2025-09-16,0.485,0.495,0.48,0.48,0.4485,3999136
2025-09-17,0.475,0.485,0.47,0.475,0.4438,3576061
2025-09-18,0.475,0.485,0.465,0.485,0.4532,3240169
2025-09-19,0.48,0.49,0.4775,0.49,0.4578,48848543
2025-09-22,0.49,0.49,0.4725,0.485,0.4532,3037066
2025-09-23,0.485,0.485,0.4775,0.48,0.4485,2031704
2025-09-24,0.49,0.49,0.475,0.48,0.4485,2458093
2025-09-25,0.485,0.5,0.48,0.495,0.4625,9011448
2025-09-26,0.495,0.495,0.465,0.47,0.4391,4989116
2025-09-29,0.47,0.475,0.46,0.465,0.4415,2118409
2025-09-30,0.465,0.475,0.455,0.455,0.432,11280144
2025-10-01,0.455,0.465,0.45,0.465,0.4415,8914510
2025-10-02,0.465,0.485,0.465,0.485,0.4605,5718575
2025-10-03,0.485,0.49,0.48,0.49,0.4653,5286485
2025-10-06,0.485,0.495,0.485,0.49,0.4653,1786065
2025-10-07,0.49,0.49,0.48,0.485,0.4605,3630250
2025-10-08,0.475,0.48,0.47,0.475,0.451,2458736
2025-10-09,0.48,0.48,0.465,0.475,0.451,2888373
2025-10-10,0.47,0.47,0.46,0.465,0.4415,2143987
2025-10-13,0.46,0.475,0.46,0.475,0.451,3345627
2025-10-14,0.465,0.475,0.46,0.47,0.4463,1395679
2025-10-15,0.47,0.475,0.465,0.465,0.4415,4935617
2025-10-16,0.47,0.4725,0.465,0.47,0.4463,3516250
2025-10-17,0.465,0.475,0.455,0.465,0.4415,5427200
2025-10-20,0.46,0.465,0.455,0.455,0.432,4577407
2025-10-21,0.465,0.465,0.455,0.455,0.432,5396814
2025-10-22,0.455,0.46,0.455,0.455,0.432,4603814
2025-10-23,0.45,0.475,0.45,0.465,0.4415,4640522
2025-10-24,0.47,0.475,0.465,0.47,0.4463,3913062
2025-10-27,0.475,0.4775,0.47,0.475,0.451,1285045
2025-10-28,0.475,0.4825,0.47,0.48,0.4558,2689670
2025-10-29,0.475,0.475,0.465,0.465,0.4415,1640963
2025-10-30,0.465,0.465,0.45,0.46,0.4368,2520844
2025-10-31,0.46,0.465,0.455,0.465,0.4415,2650880
2025-11-03,0.465,0.4675,0.46,0.46,0.4368,922907
2025-11-04,0.46,0.465,0.4575,0.465,0.4415,2115957
2025-11-05,0.46,0.465,0.45,0.465,0.4415,6613353
2025-11-06,0.46,0.47,0.46,0.47,0.4463,2294362
2025-11-07,0.47,0.47,0.46,0.46,0.4368,995310
2025-11-10,0.46,0.465,0.455,0.455,0.432,1599156
2025-11-11,0.455,0.465,0.455,0.46,0.4368,1854073
2025-11-12,0.46,0.465,0.45,0.465,0.4415,1523745
2025-11-13,0.46,0.465,0.4575,0.465,0.4415,4259195
2025-11-14,0.46,0.465,0.455,0.455,0.432,2916454
2025-11-17,0.455,0.46,0.45,0.455,0.432,4051716
2025-11-18,0.45,0.4525,0.445,0.445,0.4225,1747354
2025-11-19,0.44,0.45,0.44,0.45,0.4273,1451039
2025-11-20,0.445,0.45,0.44,0.44,0.4178,4342880
2025-11-21,0.44,0.44,0.435,0.44,0.4178,1409482
2025-11-24,0.44,0.465,0.44,0.465,0.4415,7562315
2025-11-25,0.465,0.475,0.455,0.465,0.4415,8335594
2025-11-26,0.465,0.475,0.46,0.465,0.4415,2294967
2025-11-27,0.46,0.4675,0.46,0.46,0.4368,1725456
2025-11-28,0.465,0.465,0.45,0.455,0.432,2822490
2025-12-01,0.455,0.47,0.455,0.47,0.4463,2956531
2025-12-02,0.47,0.48,0.46,0.475,0.451,5053668
2025-12-03,0.475,0.48,0.47,0.48,0.4558,3690228
2025-12-04,0.48,0.48,0.4725,0.48,0.4558,2881414
2025-12-05,0.48,0.485,0.475,0.48,0.4558,3117243
2025-12-08,0.48,0.48,0.475,0.475,0.451,1894880
2025-12-09,0.475,0.475,0.465,0.465,0.4415,3512315
2025-12-10,0.47,0.475,0.46,0.475,0.451,3967021
2025-12-11,0.47,0.47,0.465,0.47,0.4463,1489172
2025-12-12,0.475,0.475,0.465,0.465,0.4415,3941646
2025-12-15,0.46,0.48,0.46,0.475,0.451,2037986
2025-12-16,0.47,0.47,0.45,0.465,0.4415,4859444
2025-12-17,0.46,0.475,0.455,0.475,0.451,1874728
2025-12-18,0.47,0.48,0.4675,0.48,0.4558,3118023
2025-12-19,0.4775,0.48,0.475,0.48,0.4558,3341708
2025-12-22,0.48,0.49,0.48,0.49,0.4653,1570898
2025-12-23,0.485,0.49,0.48,0.49,0.4653,947812
