Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.81,1.81,1.78,1.805,1.7144,646017
2025-07-23,1.815,1.815,1.775,1.79,1.7001,1804371
2025-07-24,1.795,1.8,1.74,1.745,1.6574,1047905
2025-07-25,1.745,1.765,1.725,1.76,1.6716,765074
2025-07-28,1.745,1.7775,1.735,1.77,1.6811,961639
2025-07-29,1.77,1.775,1.745,1.77,1.6811,598542
2025-07-30,1.77,1.825,1.75,1.815,1.7239,2387026
2025-07-31,1.805,1.855,1.805,1.855,1.7618,1861249
2025-08-01,1.86,1.89,1.85,1.865,1.7713,1767392
2025-08-04,1.865,1.87,1.815,1.84,1.7476,1017524
2025-08-05,1.85,1.9075,1.84,1.89,1.7951,1107483
2025-08-06,1.915,1.9775,1.915,1.95,1.8521,1682758
2025-08-07,1.95,1.965,1.9275,1.945,1.8473,661653
2025-08-08,1.945,1.965,1.94,1.955,1.8568,773804
2025-08-11,1.96,1.96,1.935,1.945,1.8473,541281
2025-08-12,1.95,1.9725,1.94,1.95,1.8521,1019847
2025-08-13,1.955,1.9675,1.94,1.965,1.8663,2345688
2025-08-14,1.97,2,1.965,1.975,1.8758,1344297
2025-08-15,1.97,1.9875,1.97,1.975,1.8758,564171
2025-08-18,1.97,1.985,1.935,1.955,1.8568,737194
2025-08-19,1.92,2.15,1.92,2.15,2.042,4034965
2025-08-20,2.26,2.4,2.25,2.4,2.2795,7421374
2025-08-21,2.39,2.42,2.33,2.39,2.27,5282869
2025-08-22,2.39,2.41,2.37,2.41,2.289,1349747
2025-08-25,2.44,2.44,2.39,2.42,2.2985,2270527
2025-08-26,2.4,2.44,2.32,2.43,2.308,3897075
2025-08-27,2.45,2.48,2.42,2.44,2.3175,1332437
2025-08-28,2.46,2.46,2.415,2.44,2.3175,2791952
2025-08-29,2.45,2.48,2.2,2.48,2.3555,3369254
2025-09-01,2.48,2.48,2.4,2.43,2.308,1572568
2025-09-02,2.43,2.44,2.36,2.39,2.27,2099999
2025-09-03,2.38,2.39,2.29,2.32,2.2035,1454088
2025-09-04,2.35,2.36,2.31,2.34,2.2225,998240
2025-09-05,2.37,2.38,2.335,2.36,2.2415,875401
2025-09-08,2.37,2.43,2.33,2.34,2.2225,1577517
2025-09-09,2.34,2.35,2.28,2.31,2.194,1078439
2025-09-10,2.31,2.31,2.26,2.3,2.1845,1487395
2025-09-11,2.28,2.3,2.265,2.28,2.1655,1398519
2025-09-12,2.28,2.345,2.27,2.32,2.2035,1905328
2025-09-15,2.25,2.345,2.24,2.33,2.213,952480
2025-09-16,2.35,2.35,2.31,2.31,2.194,727953
2025-09-17,2.26,2.285,2.24,2.28,2.1655,1236702
2025-09-18,2.27,2.305,2.265,2.28,2.1655,1426805
2025-09-19,2.28,2.32,2.255,2.32,2.2035,7368161
2025-09-22,2.3,2.3,2.24,2.26,2.1465,864088
2025-09-23,2.28,2.3,2.25,2.27,2.156,875346
2025-09-24,2.26,2.28,2.22,2.25,2.137,1291983
2025-09-25,2.21,2.24,2.175,2.22,2.1085,1069323
2025-09-26,2.22,2.24,2.19,2.22,2.1085,1005058
2025-09-29,2.22,2.26,2.19,2.23,2.118,1193302
2025-09-30,2.17,2.24,2.17,2.21,2.099,1189949
2025-10-01,2.23,2.24,2.19,2.2,2.0895,1042659
2025-10-02,2.23,2.24,2.18,2.19,2.08,1129582
2025-10-03,2.24,2.24,2.195,2.23,2.118,698079
2025-10-06,2.25,2.25,2.21,2.22,2.1085,610933
2025-10-07,2.25,2.28,2.2,2.25,2.137,1439460
2025-10-08,2.25,2.29,2.24,2.28,2.1655,1568306
2025-10-09,2.29,2.32,2.25,2.26,2.1465,1508568
2025-10-10,2.26,2.29,2.25,2.28,2.1655,934308
2025-10-13,2.28,2.28,2.22,2.27,2.156,726972
2025-10-14,2.27,2.32,2.24,2.3,2.1845,1378348
2025-10-15,2.33,2.35,2.3,2.33,2.213,1397728
2025-10-16,2.34,2.34,2.27,2.31,2.194,844172
2025-10-17,2.27,2.34,2.27,2.31,2.194,918913
2025-10-20,2.32,2.32,2.295,2.3,2.1845,514974
2025-10-21,2.32,2.335,2.3,2.33,2.213,430391
2025-10-22,2.3,2.32,2.29,2.3,2.1845,1199203
2025-10-23,2.29,2.38,2.29,2.38,2.2605,3507436
2025-10-24,2.39,2.39,2.36,2.38,2.2605,1190814
2025-10-27,2.38,2.42,2.365,2.39,2.27,811988
2025-10-28,2.44,2.44,2.4,2.41,2.289,363609
2025-10-29,2.42,2.42,2.37,2.38,2.2605,957731
2025-10-30,2.34,2.35,2.28,2.29,2.175,936378
2025-10-31,2.28,2.365,2.28,2.36,2.2415,1053369
2025-11-03,2.34,2.35,2.315,2.32,2.2035,1620057
2025-11-04,2.35,2.37,2.33,2.33,2.213,1403383
2025-11-05,2.32,2.34,2.3,2.34,2.2225,1381357
2025-11-06,2.35,2.35,2.28,2.3,2.1845,2338236
2025-11-07,2.28,2.33,2.27,2.29,2.175,1073959
2025-11-10,2.26,2.27,2.225,2.24,2.1275,1479626
2025-11-11,2.25,2.28,2.235,2.25,2.137,1535752
2025-11-12,2.29,2.36,2.27,2.35,2.232,1618155
2025-11-13,2.35,2.375,2.24,2.36,2.2415,3198570
2025-11-14,2.28,2.38,2.27,2.37,2.251,1453390
2025-11-17,2.39,2.4,2.35,2.38,2.2605,982027
2025-11-18,2.4,2.4,2.31,2.38,2.2605,1400368
2025-11-19,2.37,2.38,2.32,2.34,2.2225,1618810
2025-11-20,2.31,2.39,2.31,2.37,2.251,1003449
2025-11-21,2.3,2.33,2.29,2.29,2.175,1443433
2025-11-24,2.35,2.37,2.29,2.36,2.2415,1462856
2025-11-25,2.34,2.37,2.33,2.36,2.2415,927437
2025-11-26,2.35,2.395,2.31,2.32,2.2035,794166
2025-11-27,2.31,2.33,2.27,2.3,2.1845,907540
2025-11-28,2.23,2.29,2.22,2.22,2.1085,1870219
2025-12-01,2.19,2.26,2.16,2.24,2.1275,2690274
2025-12-02,2.19,2.24,2.165,2.19,2.08,1239191
2025-12-03,2.2,2.21,2.14,2.15,2.042,1344135
2025-12-04,2.13,2.19,2.11,2.12,2.0135,1725374
2025-12-05,2.1,2.145,2.08,2.13,2.023,1421596
2025-12-08,2.1,2.145,2.1,2.13,2.023,640419
2025-12-09,2.13,2.17,2.12,2.13,2.023,1810766
2025-12-10,2.13,2.15,2.12,2.13,2.023,1095350
2025-12-11,2.2,2.21,2.11,2.11,2.004,618896
2025-12-12,2.17,2.17,2.115,2.16,2.0515,945837
2025-12-15,2.14,2.16,2.12,2.12,2.0135,548680
2025-12-16,2.1,2.145,2.1,2.11,2.004,1034204
2025-12-17,2.1,2.14,2.07,2.13,2.023,787447
2025-12-18,2.12,2.14,2.1,2.13,2.023,2518389
2025-12-19,2.1,2.16,2.1,2.1,1.9945,4984168
2025-12-22,2.15,2.16,2.095,2.11,2.004,1177323
2025-12-23,2.1,2.14,2.1,2.12,2.0135,1157306
2025-12-24,2.1,2.13,2.07,2.07,1.966,325007
2025-12-29,2.11,2.11,2.04,2.05,1.9471,560185
2025-12-30,2.08,2.26,2,2.03,1.978,1145682
2025-12-31,2.01,2.03,1.995,2.02,1.9683,938550
2026-01-02,2,2.06,2,2.03,1.978,774048
2026-01-05,2.06,2.09,2,2.01,1.9585,1043777
2026-01-06,2.05,2.05,1.9675,1.98,1.9293,769554
2026-01-07,2.01,2.02,1.97,1.975,1.9244,597203
2026-01-08,1.975,1.985,1.965,1.98,1.9293,1031104
2026-01-09,2,2.01,1.97,1.975,1.9244,1001539
2026-01-12,2.01,2.06,1.97,2.04,1.9877,816955
2026-01-13,2.06,2.06,2.02,2.05,1.9975,900085
2026-01-14,2.02,2.08,2.02,2.07,2.017,1103635
2026-01-15,2.05,2.07,2.04,2.05,1.9975,2971980
2026-01-16,2.06,2.07,2.02,2.07,2.017,466591
2026-01-19,2.07,2.07,2.03,2.04,1.9877,665358
2026-01-20,2.04,2.05,1.995,2,1.9488,2295897
2026-01-21,2.02,2.02,1.95,1.97,1.9195,773179
2026-01-22,1.96,1.97,1.93,1.945,1.8952,531383
2026-01-23,1.945,2.03,1.945,1.99,1.939,989349
2026-01-27,1.99,2.05,1.96,2.05,1.9975,917172
2026-01-28,2.04,2.04,1.99,1.99,1.939,1502182
2026-01-29,1.95,1.99,1.86,1.89,1.8416,2311004
2026-01-30,1.915,2,1.905,1.935,1.8854,5262772
2026-02-02,1.9,1.96,1.8775,1.955,1.9049,1531385
2026-02-03,1.98,2.07,1.9775,2.03,1.978,2763323
2026-02-04,2.02,2.06,1.975,2.04,1.9877,1544871
2026-02-05,2.08,2.09,2.045,2.08,2.0267,1390343
2026-02-06,2.05,2.07,1.92,1.94,1.8903,2082025
2026-02-09,1.95,2,1.93,1.995,1.9439,1326726
2026-02-10,1.995,2.02,1.98,2.01,1.9585,1481427
2026-02-11,2.01,2.05,1.995,2.03,1.978,991704
2026-02-12,2.01,2.02,1.95,1.965,1.9147,1039638
2026-02-13,1.96,1.965,1.93,1.935,1.8854,476776
2026-02-16,1.95,1.99,1.915,1.99,1.939,660402
2026-02-17,1.97,2.01,1.95,1.995,1.9439,1200821
2026-02-18,1.995,2.07,1.995,2.05,1.9975,437787
2026-02-19,2.09,2.09,2.03,2.04,1.9877,1421243
2026-02-20,2.01,2.03,1.99,2.03,1.978,572994
2026-02-23,2.03,2.03,1.97,1.975,1.9244,690456
2026-02-24,2,2.03,1.9,1.935,1.8854,1191464
2026-02-25,1.985,1.985,1.905,1.92,1.8708,1747946
