Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.89,7.89,7.72,7.72,7.3214,434581
2025-07-23,7.72,7.73,7.6,7.66,7.2645,463114
2025-07-24,7.64,7.74,7.63,7.64,7.2456,581958
2025-07-25,7.67,7.77,7.63,7.73,7.3309,500836
2025-07-28,7.73,7.88,7.7,7.87,7.4637,205610
2025-07-29,7.89,7.975,7.83,7.9,7.4921,296147
2025-07-30,7.89,8.04,7.875,8,7.587,364309
2025-07-31,7.96,8.08,7.9,8.02,7.6059,540360
2025-08-01,7.94,8.03,7.905,8.01,7.5965,424349
2025-08-04,7.96,8.04,7.95,8.03,7.6154,254010
2025-08-05,8.04,8.1,7.99,8.1,7.6818,308356
2025-08-06,8.14,8.31,8.1,8.29,7.862,610818
2025-08-07,8.26,8.45,8.26,8.45,8.0137,593778
2025-08-08,8.45,8.48,8.34,8.43,7.9948,517729
2025-08-11,8.43,8.575,8.37,8.52,8.0801,439645
2025-08-12,8.64,8.64,8.395,8.44,8.0043,404791
2025-08-13,8.7,8.7,8.41,8.47,8.0327,361127
2025-08-14,8.9,8.9,8.32,8.38,7.9473,555991
2025-08-15,8.35,8.445,8.325,8.43,7.9948,378378
2025-08-18,8.38,8.59,8.38,8.49,8.0517,449425
2025-08-19,8.48,8.5,8.43,8.5,8.0612,349954
2025-08-20,8.52,8.67,8.51,8.55,8.1086,563371
2025-08-21,8.55,8.64,8.53,8.64,8.1939,1065993
2025-08-22,8.67,8.67,8.52,8.6,8.156,432740
2025-08-25,8.7,8.845,8.56,8.73,8.2793,1215862
2025-08-26,8.7,8.81,8.63,8.77,8.3172,915030
2025-08-27,8.77,8.87,8.71,8.85,8.3931,1068220
2025-08-28,8.83,8.87,8.76,8.85,8.3931,858505
2025-08-29,8.83,8.9,8.8,8.89,8.431,727497
2025-09-01,8.85,8.96,8.81,8.83,8.3741,563562
2025-09-02,8.84,8.86,8.69,8.7,8.2508,3200157
2025-09-03,8.59,8.79,8.59,8.72,8.2698,551865
2025-09-04,8.81,8.92,8.76,8.86,8.4026,581832
2025-09-05,8.92,8.96,8.86,8.91,8.45,439992
2025-09-08,8.9,8.92,8.82,8.84,8.3836,800545
2025-09-09,8.73,8.89,8.72,8.77,8.3172,1157407
2025-09-10,8.88,8.88,8.79,8.82,8.3646,745335
2025-09-11,8.79,8.88,8.78,8.81,8.3551,629085
2025-09-12,8.87,8.9,8.78,8.86,8.4026,776206
2025-09-15,8.59,8.59,8.42,8.52,8.326,844372
2025-09-16,8.57,8.58,8.48,8.49,8.2966,569003
2025-09-17,8.57,8.59,8.36,8.39,8.1989,786361
2025-09-18,8.43,8.5,8.34,8.42,8.2282,1410220
2025-09-19,8.43,8.5,8.3,8.3,8.111,22872725
2025-09-22,8.55,8.55,8.17,8.29,8.1012,756258
2025-09-23,8.17,8.39,8.17,8.37,8.1794,552297
2025-09-24,8.33,8.405,8.32,8.36,8.1696,447474
2025-09-25,8.26,8.41,8.26,8.37,8.1794,519757
2025-09-26,8.24,8.33,8.2,8.32,8.1305,393088
2025-09-29,8.32,8.46,8.32,8.4,8.2087,444810
2025-09-30,8.26,8.445,8.26,8.36,8.1696,606040
2025-10-01,8.5,8.5,8.3,8.31,8.1207,609780
2025-10-02,8.33,8.41,8.31,8.38,8.1892,1767189
2025-10-03,8.38,8.41,8.335,8.35,8.1598,616994
2025-10-06,8.4,8.4,8.26,8.26,8.0719,222879
2025-10-07,8.25,8.35,8.225,8.34,8.1501,352029
2025-10-08,8.39,8.39,8.14,8.16,7.9742,295764
2025-10-09,8.17,8.23,8.12,8.12,7.9351,430965
2025-10-10,8.1,8.17,8.08,8.16,7.9742,308657
2025-10-13,8.4,8.4,7.94,7.96,7.7787,318751
2025-10-14,7.78,7.94,7.78,7.92,7.7396,440839
2025-10-15,8.09,8.09,7.89,7.92,7.7396,1341283
2025-10-16,7.96,8.04,7.9,7.99,7.808,472647
2025-10-17,7.92,8.11,7.92,8.04,7.8569,526084
2025-10-20,8.02,8.095,8.01,8.07,7.8862,238336
2025-10-21,8.09,8.19,8.075,8.16,7.9742,253783
2025-10-22,8.15,8.17,8.09,8.09,7.9058,277407
2025-10-23,7.92,8.165,7.92,8.13,7.9448,380551
2025-10-24,8.17,8.18,8.12,8.13,7.9448,278559
2025-10-27,8.17,8.19,8.09,8.1,7.9155,181432
2025-10-28,8.17,8.17,8.08,8.08,7.896,258589
2025-10-29,8.12,8.14,8.05,8.07,7.8862,988574
2025-10-30,7.98,8.12,7.98,8.09,7.9058,259978
2025-10-31,8.1,8.255,8.1,8.22,8.0328,766121
2025-11-03,8.18,8.31,8.18,8.3,8.111,274039
2025-11-04,8.31,8.37,8.225,8.23,8.0426,178937
2025-11-05,8.48,8.48,8.24,8.27,8.0817,422820
2025-11-06,8.3,8.34,8.18,8.25,8.0621,339021
2025-11-07,8.28,8.36,8.21,8.21,8.023,285214
2025-11-10,8.205,8.21,8.135,8.15,7.9644,248044
2025-11-11,8.4,8.4,8.09,8.27,8.0817,352182
2025-11-12,8.46,8.48,8.16,8.2,8.0132,648980
2025-11-13,8.2,8.23,7.97,8.11,7.9253,544716
2025-11-14,7.97,8.09,7.97,8.08,7.896,295759
2025-11-17,8.05,8.1,7.99,8.08,7.896,425068
2025-11-18,8.11,8.2,8.09,8.12,7.9351,375186
2025-11-19,8.08,8.14,7.92,7.95,7.7689,379786
2025-11-20,7.97,8.1,7.97,8.05,7.8667,263764
2025-11-21,7.92,8.075,7.88,8.01,7.8276,275032
2025-11-24,8.19,8.205,8.065,8.13,7.9448,221000
2025-11-25,8.06,8.15,8.04,8.11,7.9253,224974
2025-11-26,8.18,8.21,8.13,8.13,7.9448,292815
2025-11-27,8.2,8.21,8.09,8.11,7.9253,212966
2025-11-28,8.05,8.07,8.02,8.06,7.8764,189603
2025-12-01,8,8.05,7.97,7.97,7.7885,253334
2025-12-02,7.9,8.11,7.9,8.02,7.8373,529458
2025-12-03,7.99,8.06,7.99,8.03,7.8471,357154
2025-12-04,7.95,8.07,7.95,7.99,7.808,262286
2025-12-05,8.06,8.06,7.93,7.96,7.7787,181164
2025-12-08,7.9,8.02,7.9,8.02,7.8373,212930
2025-12-09,7.96,8.05,7.96,8.01,7.8276,397514
2025-12-10,8.08,8.08,7.95,8.02,7.8373,629004
2025-12-11,7.97,8.12,7.97,8.1,7.9155,271000
2025-12-12,8.15,8.2,8.1,8.13,7.9448,183962
2025-12-15,8.13,8.23,8.09,8.18,7.9937,311051
2025-12-16,8.12,8.15,8.06,8.1,7.9155,349547
2025-12-17,8.13,8.21,8.1,8.14,7.9546,1037507
2025-12-18,8.09,8.15,8.02,8.08,7.896,696942
2025-12-19,8.02,8.15,8.02,8.08,7.896,1553156
2025-12-22,8.08,8.14,8.06,8.11,7.9253,479352
2025-12-23,8.05,8.32,8.05,8.3,8.111,378060
2025-12-24,8.2,8.28,8.2,8.23,8.0426,150467
2025-12-29,8.23,8.28,8.15,8.18,7.9937,175251
2025-12-30,8.27,8.28,8.19,8.25,8.0621,162911
2025-12-31,8.25,8.3,8.12,8.13,7.9448,154270
2026-01-02,8.24,8.24,8.14,8.18,7.9937,216505
2026-01-05,8.1,8.22,8.1,8.11,7.9253,177283
2026-01-06,8.36,8.36,7.99,7.99,7.808,224718
2026-01-07,7.94,8.035,7.94,7.97,7.7885,265617
2026-01-08,7.94,8.27,7.94,8.01,7.8276,285114
2026-01-09,8.3,8.3,8.02,8.05,7.8667,276286
2026-01-12,8.3,8.3,8.01,8.08,7.896,179352
2026-01-13,8,8.14,8,8.07,7.8862,329574
2026-01-14,8.3,8.3,8.05,8.08,7.896,273893
2026-01-15,7.99,8.22,7.99,8.2,8.0132,297259
2026-01-16,8.12,8.24,8.12,8.19,8.0035,170255
2026-01-19,8.19,8.25,8.15,8.2,8.0132,207657
2026-01-20,8.2,8.2,8.05,8.05,7.8667,220580
2026-01-21,8.1,8.1,7.95,8.08,7.896,278463
2026-01-22,7.98,8.15,7.98,8.1,7.9155,282748
2026-01-23,8.03,8.17,8.03,8.12,7.9351,309701
2026-01-27,8.3,8.3,8.13,8.13,7.9448,490821
2026-01-28,8.3,8.3,8.13,8.2,8.0132,436908
2026-01-29,8.15,8.21,8.11,8.16,7.9742,329353
2026-01-30,8.2,8.29,8.12,8.2,8.0132,577582
2026-02-02,8.06,8.395,8.06,8.35,8.1598,245445
2026-02-03,8.39,8.39,8.285,8.29,8.1012,221941
2026-02-04,8.31,8.39,8.2,8.3,8.111,268568
2026-02-05,8.29,8.34,8.23,8.31,8.1207,319339
2026-02-06,8.21,8.23,7.92,7.94,7.7592,441039
2026-02-09,7.94,8.055,7.89,7.94,7.7592,346836
2026-02-10,8,8,7.73,7.75,7.5735,373068
2026-02-11,7.75,7.86,7.75,7.78,7.6028,424645
2026-02-12,7.74,7.83,7.7,7.76,7.5833,377233
2026-02-13,7.52,7.805,7.52,7.73,7.554,281279
2026-02-16,7.44,7.86,7.44,7.83,7.6517,441423
2026-02-17,7.85,7.87,7.73,7.81,7.6321,235425
2026-02-18,7.51,7.88,7.51,7.87,7.6908,312143
2026-02-19,7.94,8.12,7.845,8.09,7.9058,502313
2026-02-20,7.84,8.1,7.79,8.1,7.9155,376875
2026-02-23,7.94,8.29,7.94,8.19,8.0035,262185
2026-02-24,8.09,8.29,7.85,8.17,7.9839,594439
2026-02-25,8.13,8.235,7.76,7.86,7.681,959022
2026-02-26,7.86,8.02,7.8,7.95,7.7689,401686
2026-02-27,7.97,8.08,7.96,8.01,7.8276,359920
2026-03-02,8.17,8.17,7.92,7.96,7.7787,304649
2026-03-03,7.97,8.03,7.88,7.99,7.808,250945
2026-03-04,8.11,8.11,7.93,7.96,7.7787,300876
2026-03-05,8.01,8.02,7.85,7.9,7.7201,517426
2026-03-06,7.72,7.86,7.72,7.84,7.6614,392123
2026-03-09,7.51,7.85,7.51,7.75,7.5735,550223
2026-03-10,7.95,7.95,7.69,7.78,7.6028,659831
2026-03-11,7.78,7.88,7.645,7.65,7.4758,547193
2026-03-12,7.63,7.87,7.57,7.59,7.4171,767157
2026-03-13,7.65,7.66,7.55,7.58,7.4074,511619
2026-03-16,7.47,7.6,7.45,7.55,7.55,740940
2026-03-17,7.51,7.64,7.51,7.61,7.61,655002
2026-03-18,7.57,7.83,7.57,7.82,7.82,585140
2026-03-19,7.96,7.96,7.72,7.78,7.78,798238
2026-03-20,7.67,8.15,7.67,8.15,8.15,4211344
2026-03-23,8,8.04,7.92,7.95,7.95,810716
2026-03-24,8.08,8.08,7.79,7.94,7.94,353461
2026-03-25,7.99,8.04,7.89,7.89,7.89,347893
2026-03-26,7.91,7.94,7.83,7.84,7.84,437352
2026-03-27,7.75,7.85,7.75,7.83,7.83,393938
2026-03-30,7.76,7.86,7.71,7.86,7.86,362887
2026-03-31,7.7,7.88,7.7,7.8,7.8,644554
2026-04-01,7.82,7.89,7.74,7.79,7.79,521519
2026-04-02,7.79,7.93,7.75,7.82,7.82,643166
2026-04-07,7.88,7.96,7.82,7.86,7.86,510093
2026-04-08,8.01,8.01,7.84,7.88,7.88,468736
2026-04-09,7.9,8.04,7.88,7.91,7.91,349832
2026-04-10,7.86,7.9,7.83,7.86,7.86,560206
2026-04-13,7.88,7.97,7.84,7.86,7.86,673523
2026-04-14,7.82,7.9,7.75,7.8,7.8,712338
2026-04-15,7.83,7.91,7.77,7.83,7.83,533786
2026-04-16,7.92,8.01,7.845,7.96,7.96,833231
2026-04-17,7.95,8.035,7.94,8.01,8.01,522449
2026-04-20,8,8.07,7.91,7.97,7.97,563249
2026-04-21,7.99,8.03,7.9,7.94,7.94,274441
2026-04-22,8,8.11,7.92,8,8,439003
2026-04-23,7.98,8.09,7.97,8.03,8.03,536786
2026-04-24,8.09,8.11,8.02,8.11,8.11,264806
2026-04-27,8.03,8.1,7.98,8.03,8.03,531644
2026-04-28,7.98,8.12,7.97,8.06,8.06,419504
2026-04-29,7.96,8.02,7.92,7.94,7.94,446091
2026-04-30,8.07,8.08,7.93,8.01,8.01,690889
2026-05-01,8.1,8.27,8.04,8.27,8.27,800967
2026-05-04,8.37,8.38,8.235,8.27,8.27,449650
2026-05-05,8.17,8.31,8.17,8.26,8.26,326908
2026-05-06,8.29,8.305,8.18,8.23,8.23,273049
2026-05-07,8.17,8.31,8.17,8.29,8.29,28032715
2026-05-08,8.16,8.36,8.16,8.34,8.34,450006
2026-05-11,8.32,8.48,8.28,8.45,8.45,359591
2026-05-12,8.4,8.49,8.18,8.29,8.29,568260
2026-05-13,8.27,8.28,8.17,8.17,8.17,502950
2026-05-14,8.16,8.25,8.14,8.23,8.23,251628
2026-05-15,8.45,8.45,8.21,8.29,8.29,491834
2026-05-18,8.33,8.33,8.165,8.25,8.25,465259
2026-05-19,8.3,8.47,8.29,8.39,8.39,934698
2026-05-20,8.37,8.43,8.22,8.22,8.22,568411
2026-05-21,8.29,8.4,8.24,8.4,8.4,680453
2026-05-22,8.45,8.45,8.31,8.34,8.34,359684
2026-05-25,8.33,8.33,8.19,8.19,8.19,403180
2026-05-26,8.19,8.2,8.01,8.03,8.03,417417
2026-05-27,8.06,8.13,7.97,8.1,8.1,658772
2026-05-28,8.1,8.14,8,8.07,8.07,549851
2026-05-29,8.16,8.16,8.03,8.07,8.07,524242
2026-06-01,8.07,8.09,7.91,7.94,7.94,450539
2026-06-02,7.81,7.94,7.77,7.89,7.89,1514103
2026-06-03,7.95,7.98,7.83,7.83,7.83,378420
2026-06-04,7.74,7.86,7.74,7.81,7.81,353519
2026-06-05,7.87,7.87,7.72,7.73,7.73,366639
2026-06-09,7.78,8.02,7.78,8.02,8.02,780491
2026-06-10,7.98,8.14,7.97,8.13,8.13,513301
2026-06-11,8.21,8.28,8.14,8.25,8.25,389495
2026-06-12,8.25,8.29,8.12,8.15,8.15,282817
2026-06-15,8.15,8.23,8.06,8.06,8.06,583680
2026-06-16,8,8.14,7.91,7.96,7.96,1027599
2026-06-17,7.9,8.06,7.9,7.98,7.98,684939
2026-06-18,7.97,8.12,7.93,7.94,7.94,635217
2026-06-19,7.96,8.02,7.86,7.97,7.97,1446617
2026-06-22,7.97,8.055,7.93,8.01,8.01,555044
2026-06-23,8.14,8.16,8.02,8.16,8.16,383782
2026-06-24,8.13,8.17,8.05,8.09,8.09,490729
2026-06-25,8.17,8.2,8.01,8.09,8.09,462223
2026-06-26,8.16,8.16,8.06,8.16,8.16,532653
2026-06-29,8.25,8.25,8.11,8.14,8.14,580934
2026-06-30,8.2,8.28,8.13,8.22,8.22,549470
2026-07-01,8.26,8.26,8.08,8.1,8.1,506661
2026-07-02,8.06,8.12,7.93,7.98,7.98,465788
2026-07-03,8.03,8.03,7.84,7.87,7.87,253844
2026-07-06,7.95,7.95,7.76,7.88,7.88,396417
2026-07-07,7.85,7.94,7.79,7.87,7.87,397986
2026-07-08,7.87,7.98,7.745,7.86,7.86,378686
2026-07-09,7.84,8,7.84,7.94,7.94,276319
2026-07-10,7.92,7.95,7.83,7.9,7.9,314403
2026-07-13,8,8.03,7.89,7.99,7.99,439001
2026-07-14,7.98,8.17,7.96,8.02,8.02,225815
2026-07-15,8.02,8.09,7.89,7.92,7.92,402448
2026-07-16,7.93,8.01,7.91,7.95,7.95,381662
2026-07-17,8.08,8.09,7.96,8.06,8.06,389562
