Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,309.3,310.9,307.02,310.24,304.1469,65340
2025-07-23,312.5,313.06,310.04,311.13,305.0194,96078
2025-07-24,313.54,314.58,311.35,314.01,307.8428,112739
2025-07-25,314.04,316.34,312.83,312.83,306.686,103689
2025-07-28,314.28,318.91,313.71,317,310.7741,137060
2025-07-29,317.8,319.56,315.5,319.42,313.1466,122535
2025-07-30,316.74,318.85,315.935,316.89,310.6663,109148
2025-07-31,318.03,319.1,314.87,318.52,312.2642,126542
2025-08-01,317.36,318.52,312.33,312.33,306.1958,135259
2025-08-04,312,312.91,309,311.67,305.5488,105058
2025-08-05,312.28,314.92,311.8,313.73,307.5683,140790
2025-08-06,315,315.22,311.76,313.47,307.3134,108600
2025-08-07,313.59,315.19,312.24,313.86,307.6958,95789
2025-08-08,312.74,314.2,309.27,309.27,303.1959,105518
2025-08-11,309.26,312.01,305.41,311.46,305.3429,91568
2025-08-12,311.41,312.515,309.125,311.94,305.8135,234974
2025-08-13,312,313.73,309.83,313.29,307.137,225607
2025-08-14,314.05,314.61,304.785,305.99,299.9803,184676
2025-08-15,305.39,313.27,298.8,309.03,302.9606,281978
2025-08-18,310.77,311.99,296,296.36,290.5395,257757
2025-08-19,296.36,298.06,292.67,298.06,292.2061,219691
2025-08-20,299.19,304.3,298.13,301.66,295.7354,261909
2025-08-21,303.79,304.22,300.12,303.78,297.8137,170032
2025-08-22,303.14,304.94,300.54,301.91,295.9805,143768
2025-08-25,301.37,303.89,300,302.24,296.304,159481
2025-08-26,302.17,302.32,299.1,301.01,295.0981,192582
2025-08-27,297.95,303.7,297.95,301.68,295.755,110854
2025-08-28,302,302.75,300.2,300.2,294.304,163863
2025-08-29,299.92,303.17,297,301.55,295.6275,180251
2025-09-01,297.7,300.81,296.54,300.65,294.7452,52788
2025-09-02,299.52,301.74,296.73,297.53,291.6865,67228
2025-09-03,297.26,302.23,294.64,296.05,290.2356,99029
2025-09-04,296.5,299.98,296.17,298.78,292.9119,82129
2025-09-05,301.01,301.96,296.74,298.53,292.6668,87556
2025-09-08,299,301.64,298.45,299.88,293.9903,69639
2025-09-09,301.35,302.53,298.55,298.88,293.01,97004
2025-09-10,301.11,301.42,298.51,300.59,294.6864,85412
2025-09-11,298.15,299.615,296.37,297.63,291.7845,164180
2025-09-12,296.29,299.99,296,299.79,293.9021,86589
2025-09-15,299.5,303.68,296.15,302.72,296.7746,124895
2025-09-16,303.65,303.74,300.7,302,296.0687,99997
2025-09-17,302.72,302.92,294.54,296.07,290.2552,170464
2025-09-18,294.7,297.43,293.34,295.07,291.3908,173952
2025-09-19,292.68,296.91,290.08,293.2,289.5441,286864
2025-09-22,289.1,294.5,288.15,292.83,289.1788,105309
2025-09-23,295.25,296.13,291.61,292,288.3591,105533
2025-09-24,291.5,291.5,289.08,289.29,285.6829,124397
2025-09-25,287.01,288.78,283.95,285.24,281.6834,192671
2025-09-26,284.36,288.95,278.74,280,276.5087,175509
2025-09-29,279.51,281.805,277.86,279.29,275.8076,123467
2025-09-30,277.49,281.33,277,279.25,275.7681,163458
2025-10-01,280.98,281.41,276.385,278.99,275.5113,233780
2025-10-02,281.61,282.81,279.11,281.57,278.0592,90256
2025-10-03,280.23,283.6,280.23,283.46,279.9256,72405
2025-10-06,283.68,284.95,282.34,284.8,281.2489,74166
2025-10-07,288.03,289.68,283.71,286.88,283.3029,174956
2025-10-08,286.88,289.64,285.01,289.64,286.0285,113829
2025-10-09,290.44,291.29,282.27,282.31,278.7899,113669
2025-10-10,283.96,285.78,281.93,283.94,280.3996,102595
2025-10-13,283.64,283.78,275.76,277.53,274.0695,90861
2025-10-14,278.02,280.86,275,278.65,275.1756,87468
